Stock,P/E,EV/EBITDA,P/B,P/CF,P/S,ROE,ROA,ROD,ROI,Revenue,Profit,Equity,Assets,D/A,Ebitda Growth,CF Growth,,Stock,O-Score
AEO,21.26786667,8.713466667,2.443933333,14.88497383,0.8795333333,0.1261037893,0.07171649823,1.726081112,-0.9171939736,0.4159587485,0.5068278678,0.3407659973,0.5620653684,0.04154874167,-0.1281311686,0.2871262429,,AEO,1.622263887
AMZN,244.8662,32.93773333,15.5934,67.90322415,2.822533333,0.1895049319,0.05458951818,0.4495494059,-0.3910630416,1.823775132,2.984123346,4.090072751,2.833928515,0.1214316324,-0.4142584189,3.172100969,,AMZN,2.737905714
ANF,41.027,7.3072,1.929466667,41.89380865,0.675,0.06132297045,0.03054559703,0.4301460401,-0.493604492,0.2652237591,0.33163869,-0.2583121402,0.0614856094,0.07101215443,0.1869115393,1.052690431,,ANF,0.8735770995
APTV,24.22892308,11.44907692,5.780307692,14.9270263,1.458076923,0.2894632141,0.09580953322,0.3430260922,-1.860033236,0.3518710893,0.4032196244,1.680149862,0.8764533847,0.2793068382,-0.4283381932,0.5429313645,,APTV,1.583286821
AZO,16.90846667,10.92213333,10.89586667,54.75487805,2.046666667,-0.9691682662,0.1571570964,0.3203649383,-2.85897587,0.6316980249,0.6594999324,2.046212236,0.8153183147,0.4905564799,0.3668575126,0.5647879286,,AZO,1.197320387
BABA,35.2464,20.8891,5.2126,14.37812686,8.7296,0.1616989314,0.08882776406,0.6184274937,-2.526960622,1.866989809,1.53739347,1.829480363,1.780573866,0.1436348884,-0.5557491706,0.7675163473,,BABA,2.142390967
BBW,73.16028571,12.0692,1.837266667,17.42883935,0.4599333333,0.04690757281,0.02160337111,5.67E-05,-0.356554438,0.2631823497,0.5252200279,0.1762453984,0.1377616688,380.8832922,-0.4369966526,0.7401491003,,BBW,9.37E-01
BBY,13.6296,5.948666667,4.0332,11.50977842,0.3684666667,0.2655851286,0.07424942064,0.9594926807,-1.534673816,-0.04308591688,-0.08379762326,-0.2917678353,-0.02932707274,0.07738404068,0.5331166648,-0.07311777478,,BBY,1.350736419
BNED,124.724,25.96044444,0.5605555556,2.158769535,0.1377777778,-0.0841782516,-0.04015010783,-0.3861134539,1.179169915,-0.1073304258,-0.1493552837,-0.8627279957,-0.1603811575,0.1039852598,2.749589118,-1.533364695,,BNED,1.642406333
BURL,40.26475,1.347818182,35.69666667,33.85187276,1.479909091,4.443682187,0.04509744649,0.135170057,-0.6770496721,0.6797773258,0.7739283472,23.55961306,0.9268206316,0.3336348854,14.98657763,1.063735682,,BURL,9.829903691
BWA,25.94753333,8.5542,2.390066667,8.873741156,1.069533333,0.1459910687,0.06237956949,0.312623835,-1.178027408,0.5812987334,0.4697640583,0.4787374404,0.5669156347,0.199535552,-0.3120338547,0.5353165092,,BWA,1.328779892
CAAS,11.15713333,5.237266667,1.015133333,3.41477668,0.5222666667,0.07200271315,0.02984089197,4.592701499,-0.7186478264,0.3713283851,0.5096306137,0.4591716665,0.3455617992,0.006497459496,-0.6171667155,-0.0887089285,,CAAS,3.080956267
CAKE,43.69726667,18.81353333,4.1282,16.46531743,0.9512,0.1440919014,0.04749078972,0.401007764,-0.7939811713,0.5549145498,0.5962704013,-0.3956675147,0.7787334746,0.1184286041,-0.08672126094,0.01951026071,,CAKE,0.9061903811
CMG,64.95193333,27.0842,11.7112,142.538924,4.337733333,0.2605384793,0.1334946335,2.083289869,-1.393405458,1.251231468,1.70062073,1.025042211,1.72573151,0.06407876097,0.3740114163,1.683964903,,CMG,2.138229616
CZR,27.312,37.7914,3.0114,11.36956273,1.4313,-0.121757179,-0.01637408482,-0.0409437379,0.6578666759,2.099887345,2.253016259,1.663084374,1.625120703,0.3999167067,-0.750631096,2.81215231,,CZR,1.731393413
EDU,40.7484,27.16126667,5.0524,295.8876837,5.1732,0.06969803238,0.03752849119,1.137888738,-0.8397102,1.155434347,1.085349386,1.230841589,1.130347674,0.03298080906,-0.3221597422,1.879103579,,EDU,1.522079403
ETSY,79.4425,30.53955556,18.22857143,27.59800299,8.206111111,0.1828620782,0.03784092791,0.03798178531,-2.234230333,1.712215533,1.731793848,-2.959657471,1.002884769,0.9962914486,-0.3804428501,1.656739117,,ETSY,0.4155039546
