name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,07/31/1995,07/31/1994,07/31/1993
TotalAssets,"3,557,909,000","3,420,956,000","3,786,643,000","3,434,806,000","3,328,679,000","1,903,378,000","1,816,313,000","1,782,660,000","1,612,246,000","1,696,908,000","1,694,164,000","1,756,053,000","1,950,802,000","1,879,998,000","2,138,148,000","1,963,676,000","1,867,680,000","1,979,558,000","1,605,649,000","1,328,926,000","932,414,000","741,339,000","673,895,000","543,046,000","263,682,000","210,948,000","144,795,000","110,438,000","95,363,000","134,500,000","82,900,000","40,100,000"
	CurrentAssets,"1,433,350,000","1,100,241,000","1,396,924,000","1,522,643,000","1,047,930,000","1,046,253,000","968,530,000","901,229,000","723,375,000","828,040,000","927,991,000","1,141,800,000","1,287,488,000","1,174,410,000","1,167,030,000","925,359,000","1,020,834,000","1,189,108,000","1,078,256,000","865,365,000","530,700,000","427,878,000","376,709,000","318,661,000","187,135,000","154,504,000","102,473,000","73,760,000","56,342,000","95,800,000","59,900,000","27,300,000"
		CashCashEquivalentsAndShortTermInvestments,"454,094,000","170,209,000","434,770,000","850,477,000","416,930,000","425,465,000","413,613,000","378,613,000","260,067,000","410,697,000","428,935,000","630,992,000","745,044,000","734,695,000","698,635,000","483,853,000","619,939,000","813,813,000","751,518,000","589,607,000","337,812,000","241,573,000","225,483,000","161,373,000","70,896,000","85,300,000","48,359,000","34,326,000","19,986,000","500,000","200,000","300,000"
			CashAndCashEquivalents,"354,094,000","170,209,000","434,770,000","850,477,000","361,930,000","333,330,000","413,613,000","378,613,000","260,067,000","410,697,000","418,933,000","509,119,000","719,545,000","667,593,000","693,960,000","473,342,000","116,061,000","59,737,000","130,529,000","219,372,000","137,087,000","194,526,000","180,398,000","133,446,000","49,099,000","71,940,000","48,359,000","34,326,000","19,986,000","500,000","200,000","300,000"
				CashFinancial,"162,279,000","84,960,000","138,758,000","524,970,000","126,087,000","108,216,000","184,107,000","265,332,000","205,359,000","370,692,000","330,013,000","257,191,000","548,728,000",,,,,,,,,,,,,,,,,,,
				CashEquivalents,"191,815,000","85,249,000","296,012,000","325,507,000","235,843,000","225,114,000","229,506,000","113,281,000","54,708,000","40,005,000","88,920,000","251,928,000","170,817,000",,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"100,000,000","0",,"0","55,000,000","92,135,000","0",,,"0","10,002,000","121,873,000","25,499,000","67,102,000","4,675,000","10,511,000","503,878,000","754,076,000","620,989,000","370,235,000","200,725,000","47,047,000","45,085,000","27,927,000","21,797,000","13,360,000",,,,,,
		Receivables,"247,934,000","242,386,000","286,683,000","146,102,000","119,064,000","93,477,000","78,304,000","86,634,000","80,912,000","67,894,000","73,882,000","46,321,000","40,310,000","36,721,000","34,746,000","41,471,000","31,920,000","26,045,000","29,146,000","26,432,000","24,129,000","13,598,000","17,627,000","29,466,000","13,276,000","8,560,000","7,647,000","3,556,000","5,642,000","7,300,000","5,400,000",
			AccountsReceivable,"247,934,000","242,386,000","121,849,000","94,686,000","62,328,000","47,931,000","50,471,000","62,639,000","53,584,000","42,351,000","40,035,000","31,401,000","26,176,000","36,721,000","34,746,000","41,471,000","31,920,000","26,045,000","29,146,000","26,432,000","24,129,000","13,598,000","17,627,000","29,466,000","13,276,000","8,560,000","7,647,000","3,556,000","5,642,000",,,
			TaxesReceivable,,"47,201,000","75,137,000","12,394,000","6,607,000","7,483,000","8,271,000","4,731,000",,,,,,,,,,,,,,,,,,,,,,,,
