name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,07/31/1995,07/31/1994,07/31/1993
OperatingCashFlow,"472,959,000","580,710,000","406,296,000","303,671,000","202,498,000","415,416,000","456,645,000","394,426,000","365,596,000","335,113,000","339,389,000","229,856,000","475,055,000","239,256,000","381,413,000","386,462,000","303,310,000","464,270,000","749,268,000","465,641,000","378,131,000","203,583,000","122,118,000","174,890,000","150,591,000","132,912,000","59,821,000","26,168,000","18,581,000","20,259,000","-3,700,000","-5,300,000","13,500,000"
	CashFlowFromContinuingOperatingActivities,"472,959,000","580,710,000","406,296,000","303,671,000","202,498,000","415,416,000","456,645,000","394,426,000","365,596,000","341,918,000","338,426,000","229,856,000","499,671,000","278,137,000","410,416,000","400,326,000","303,310,000","464,270,000","749,268,000","480,861,000","368,683,000","215,201,000","135,056,000","174,890,000","150,591,000","132,912,000","59,821,000","26,168,000","18,581,000","20,259,000","-3,700,000","-5,300,000","13,500,000"
		NetIncomeFromContinuingOperations,"248,030,000","170,038,000","125,136,000","419,629,000","-209,274,000","191,257,000","261,902,000","204,163,000","212,449,000","213,291,000","88,787,000","82,983,000","264,098,000","175,279,000","195,731,000","213,398,000","179,061,000","400,019,000","387,359,000","294,153,000","224,232,000","83,108,000","99,644,000","105,495,000","93,758,000","90,660,000","54,118,000","19,537,000","5,925,000","-1,334,000","6,800,000","12,200,000","3,800,000"
		OperatingGainsLosses,,,,,,,"-397,000","-5,616,000","-835,000","-6,445,000","-495,000","1,378,000","100,000","-325,000","25,791,000","9,226,000","-24,000","1,221,000","183,968,000","56,176,000","56,762,000","7,865,000","5,099,000","5,801,000","9,854,000","12,270,000","3,703,000","3,506,000","3,058,000","6,214,000","1,300,000","600,000","100,000"
			NetForeignCurrencyExchangeGainLoss,,,,,,,"-397,000","-5,616,000","-835,000","2,977,000","-495,000","1,378,000","100,000","-325,000","117,000","6,477,000","-1,141,000",,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,"25,674,000","2,749,000","1,117,000",,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"229,681,000","235,213,000","212,499,000","171,151,000","165,580,000","181,379,000","170,504,000","169,473,000","158,174,000","148,858,000","142,351,000","134,047,000","128,397,000","140,502,000","141,662,000","139,832,000","133,141,000","109,203,000","88,033,000","78,728,000","68,273,000","59,965,000","53,361,000","41,875,000","23,200,000","12,199,000","8,611,000","7,318,000","6,087,000","6,221,000","5,000,000","3,700,000","3,300,000"
			DepreciationAndAmortization,"229,681,000","235,213,000","212,499,000","171,151,000","165,580,000","181,379,000","170,504,000","169,473,000","158,174,000","148,858,000","142,351,000","134,047,000","128,397,000","140,502,000","141,662,000","139,832,000","133,141,000","109,203,000","88,033,000","78,728,000","68,273,000","59,965,000","53,361,000","41,875,000","23,200,000","12,199,000","8,611,000","7,318,000","6,087,000","6,221,000","5,000,000","3,700,000","3,300,000"
		DeferredTax,"-66,093,000","-43,456,000","31,049,000","-12,850,000","-34,890,000","6,541,000","-4,391,000","44,312,000","14,838,000","4,680,000","-2,279,000","20,100,000","-30,647,000","4,207,000","11,885,000","-36,027,000","24,469,000","-8,147,000","-27,615,000","4,752,000","-17,087,000","13,008,000","8,012,000","6,574,000","-6,572,000","-7,214,000","-2,753,000","-496,000","-1,898,000","-297,000","3,100,000","-7,000,000",
			DeferredIncomeTax,"-66,093,000","-43,456,000","31,049,000","-12,850,000","-34,890,000","6,541,000","-4,391,000","44,312,000","14,838,000","4,680,000","-2,279,000","20,100,000","-30,647,000","4,207,000","11,885,000","-36,027,000","24,469,000","-8,147,000","-27,615,000","4,752,000","-17,087,000","13,008,000","8,012,000","6,574,000","-6,572,000","-7,214,000","-2,753,000","-496,000","-1,898,000","-297,000","3,100,000","-7,000,000",
		AssetImpairmentCharge,"105,606,000","116,365,000","20,633,000","11,944,000","249,163,000","66,252,000","546,000","0","20,576,000","0","33,468,000","44,465,000","34,869,000","19,718,000","0","940,000","29,602,000",,,,,,,,,,,,,,,,
		StockBasedCompensation,"53,074,000","51,067,000","38,986,000","38,153,000","32,778,000","23,038,000","27,506,000","16,890,000","29,137,000","34,977,000","16,070,000","-6,541,000","66,349,000","11,724,000","24,909,000","34,615,000","20,296,000",,,,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,"-87,000","771,000","-17,000","3,149,000","5,183,000","428,000",,,,,,,,,,,,,,,,
		OtherNonCashItems,,,"60,341,000",,,,,,,,,,,,"253,000",,"50,326,000","35,366,000","42,480,000",,,,,,,,,,,"200,000","100,000",,"2,400,000"
