name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
OperatingCashFlow,"107,952,000,000","84,946,000,000","46,752,000,000","46,327,000,000","66,064,000,000","38,514,000,000","30,723,000,000","18,365,000,000","17,203,000,000","12,039,000,000","6,842,000,000","5,475,000,000","4,180,000,000","3,903,000,000","3,495,000,000","3,293,000,000","1,697,000,000","1,405,000,000","702,000,000","733,000,000","566,000,000","393,000,000","174,291,000","-119,782,000","-130,442,000","-90,875,000","31,035,000","687,000","-2,010,000"
	CashFlowFromContinuingOperatingActivities,"107,952,000,000","84,946,000,000","46,752,000,000","46,327,000,000","66,064,000,000","38,514,000,000","30,723,000,000","18,365,000,000","17,203,000,000","12,039,000,000","6,842,000,000","5,475,000,000","4,180,000,000","3,903,000,000","3,495,000,000","3,293,000,000","1,697,000,000","1,405,000,000","702,000,000","733,000,000","566,000,000","393,000,000","174,291,000","-119,782,000","-130,442,000","-90,875,000","31,035,000","687,000","-2,010,000"
		NetIncomeFromContinuingOperations,"44,419,000,000","30,425,000,000","-2,722,000,000","33,364,000,000","21,331,000,000","11,588,000,000","10,073,000,000","3,033,000,000","2,371,000,000","596,000,000","-241,000,000","274,000,000","-39,000,000","631,000,000","1,152,000,000","902,000,000","645,000,000","476,000,000","190,000,000","359,000,000","588,000,000","35,000,000","-149,132,000","-567,277,000","-1,411,273,000","-719,968,000","-124,546,000","-31,020,000","-6,246,000"
		OperatingGainsLosses,,,,,,,,,,"5,000,000","-3,000,000","1,000,000","-9,000,000","-4,000,000","-2,000,000","-4,000,000","-2,000,000","1,000,000","-2,000,000","-1,000,000","-1,000,000","112,000,000","82,165,000","28,992,000","264,156,000","85,457,000","3,176,000",,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,,"-43,000,000","24,492,000","104,000,000","103,136,000","-46,613,000","0",,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,"5,000,000","-3,000,000","1,000,000","-9,000,000","-4,000,000","-2,000,000","-4,000,000","-2,000,000","1,000,000","-2,000,000","-1,000,000","-1,000,000","-16,000,000","-20,971,000","-1,335,000","-40,440,000","8,688,000","271,000",,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,,,,,,,"436,000","4,169,000","30,327,000","304,596,000","76,769,000","2,905,000","0",
		DepreciationAmortizationDepletion,"49,673,000,000","48,663,000,000","41,921,000,000","34,433,000,000","25,251,000,000","21,789,000,000","15,341,000,000","11,478,000,000","8,116,000,000","6,281,000,000","4,746,000,000","3,253,000,000","2,159,000,000","1,083,000,000","568,000,000","378,000,000","287,000,000","246,000,000","205,000,000","121,000,000","76,000,000","76,000,000","82,274,000","265,742,000","406,232,000","251,500,000","52,020,000","3,442,000","296,000"
			DepreciationAndAmortization,"49,673,000,000","48,663,000,000","41,921,000,000","34,433,000,000","25,251,000,000","21,789,000,000","15,341,000,000","11,478,000,000","8,116,000,000","6,281,000,000","4,746,000,000","3,253,000,000","2,159,000,000","1,083,000,000","568,000,000","378,000,000","287,000,000","246,000,000","205,000,000","121,000,000","76,000,000","76,000,000","82,274,000","265,742,000","406,232,000","251,500,000","52,020,000","3,442,000","296,000"
				Depreciation,,,,,,,,,,,,,,"1,083,000,000","568,000,000","378,000,000","287,000,000","246,000,000","205,000,000","121,000,000","76,000,000","75,558,000","82,274,000","84,709,000","84,460,000","36,806,000","9,421,000","3,442,000",
