name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997
TotalAssets,"2,974,233,000","2,713,100,000","2,939,491,000","3,314,902,000","3,549,665,000","2,385,593,000","2,325,692,000","2,295,757,000","2,433,039,000","2,505,167,000","2,850,997,000","2,987,401,000","3,117,032,000","2,941,415,000","2,821,866,000","2,848,181,000","2,567,598,000","2,248,067,000","1,789,718,000","1,386,791,000","1,383,229,000","1,023,048,000","770,546,000","602,219,000","458,166,000","319,278,000","183,238,000","105,761,000"
	CurrentAssets,"1,537,265,000","1,228,018,000","1,507,759,000","1,661,629,000","1,264,749,000","1,335,950,000","1,264,538,000","1,139,300,000","1,178,980,000","1,164,972,000","1,320,566,000","1,307,824,000","1,557,654,000","1,426,781,000","1,225,683,000","1,072,010,000","1,140,255,000","1,092,078,000","947,084,000","670,784,000","752,655,000","629,382,000","405,195,000","303,562,000","300,217,000","218,200,000","108,962,000","44,878,000"
		CashCashEquivalentsAndShortTermInvestments,"900,884,000","517,602,000","823,139,000","1,104,862,000","671,267,000","723,135,000","675,558,000","547,189,000","588,578,000","520,708,000","600,116,000","643,505,000","668,145,000","826,353,000","702,306,000","522,122,000","648,530,000","529,752,000","461,854,000","338,735,000","521,073,000","430,063,000","238,884,000","137,581,000","193,509,000","163,600,000","42,667,000","1,945,000"
			CashAndCashEquivalents,"900,884,000","517,602,000","823,139,000","1,104,862,000","671,267,000","723,135,000","675,558,000","547,189,000","588,578,000","520,708,000","600,116,000","643,505,000","583,495,000","826,353,000","669,950,000","522,122,000","118,044,000","81,959,000","50,687,000","338,735,000","56,373,000","420,063,000","167,664,000","137,581,000","147,908,000","163,600,000","42,667,000","1,945,000"
				CashFinancial,"524,735,000","467,238,000","762,187,000","796,994,000","612,595,000","633,137,000","309,700,000",,,,"452,116,000","398,508,000","374,479,000","300,624,000","186,333,000","137,383,000",,,,,,,,,,,,
				CashEquivalents,"376,149,000","50,364,000","60,952,000","307,868,000","58,672,000","89,998,000","365,858,000",,,,"148,000,000","244,997,000","209,016,000","525,729,000","483,617,000","384,739,000",,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,"0","84,650,000","0","32,356,000","0","530,486,000","447,793,000","411,167,000",,"464,700,000","10,000,000","71,220,000",,"45,601,000",,,
		Receivables,"78,346,000","104,506,000","69,102,000","83,857,000","80,251,000","73,112,000","79,724,000","93,384,000","56,868,000","52,910,000","67,965,000","99,622,000","89,350,000","74,777,000","90,865,000","53,110,000","53,801,000","43,240,000","41,855,000","37,760,000","7,197,000","10,572,000","20,456,000","15,829,000","11,447,000","4,100,000","25,480,000","2,102,000"
			AccountsReceivable,"78,346,000","104,506,000","69,102,000","83,857,000","80,251,000","73,112,000","79,724,000","93,384,000","56,868,000","52,910,000","67,965,000","99,622,000","89,350,000","81,264,000","90,865,000","53,110,000","53,801,000","43,240,000","41,855,000","37,760,000","7,197,000","10,572,000","20,456,000","15,829,000","11,447,000","4,100,000","1,695,000","2,102,000"
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,785,000",
		Inventory,"469,466,000","505,621,000","525,864,000","404,053,000","434,326,000","437,879,000","424,393,000","399,795,000","436,701,000","460,794,000","530,192,000","426,962,000","679,935,000","385,857,000","310,645,000","372,422,000","333,153,000","427,447,000","362,536,000","211,198,000","170,703,000","143,306,000","108,876,000","120,997,000","75,262,000","44,000,000","33,927,000","34,943,000"
			OtherInventories,"500,020,000","541,299,000","543,060,000","429,993,000","456,335,000","458,860,000","446,559,000","425,807,000","466,918,000","484,865,000",,,,"417,857,000","330,145,000","392,322,000",,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,"-30,554,000","-35,678,000","-17,196,000","-25,940,000","-22,009,000","-20,981,000","-22,166,000","-26,012,000","-30,217,000","-24,071,000",,,,"-32,000,000","-19,500,000","-19,900,000",,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,"13,986,000","21,835,000","32,558,000","35,882,000","60,405,000","44,570,000","43,408,000","36,128,000","33,170,000","29,654,000","39,090,000",,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"13,986,000","21,835,000","32,558,000","35,882,000","60,405,000","44,570,000","43,408,000","36,128,000","33,170,000","29,654,000","39,090,000",,,,,,,,
		OtherCurrentAssets,"88,569,000","100,289,000","89,654,000","68,857,000","78,905,000","101,824,000","84,863,000","98,932,000","96,833,000","116,574,000","100,458,000","105,177,000","84,342,000","79,389,000","77,297,000","80,948,000","68,643,000","58,469,000","51,185,000","44,001,000","53,682,000","45,441,000","36,979,000","29,155,000","19,999,000","6,500,000","6,888,000","5,888,000"
	TotalNonCurrentAssets,"1,436,968,000","1,485,082,000","1,431,732,000","1,653,273,000","2,284,916,000","1,049,643,000","1,061,154,000","1,156,457,000","1,254,059,000","1,340,195,000","1,530,431,000","1,679,577,000","1,559,378,000","1,514,634,000","1,596,183,000","1,776,171,000","1,427,343,000","1,155,989,000","842,634,000","716,007,000","630,574,000","393,666,000","365,351,000","298,657,000","157,949,000","101,078,000","74,276,000","60,883,000"
		NetPPE,"1,216,289,000","1,275,135,000","1,206,567,000","1,444,576,000","1,896,244,000","694,855,000","738,182,000","824,738,000","894,178,000","967,001,000","1,131,341,000","1,308,232,000","1,197,271,000","1,154,759,000","1,244,019,000","1,398,655,000","1,318,291,000","1,092,282,000","813,603,000","687,011,000","630,022,000","392,941,000","365,112,000","278,785,000","146,403,000","89,600,000","70,517,000","58,992,000"
			GrossPPE,"3,187,440,000","3,241,412,000","3,151,724,000","3,382,946,000","3,975,921,000","2,829,250,000","2,821,709,000","2,772,139,000","2,792,437,000","2,797,250,000","2,885,712,000","2,915,072,000","2,655,219,000","2,461,233,000","2,362,492,000","2,339,284,000","2,054,275,000","1,669,053,000","1,286,383,000","1,073,412,000","961,817,000","585,642,000","501,323,000","384,196,000","225,781,000","152,700,000","124,000,000","101,892,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
				LandAndImprovements,"28,599,000","28,599,000","28,599,000","28,599,000","28,599,000","36,875,000","36,875,000","36,875,000","37,451,000","37,473,000","37,453,000","36,890,000","36,890,000","36,885,000","32,877,000","32,302,000","32,302,000","32,291,000","15,985,000","15,985,000","15,985,000","62,419,000","15,414,000","14,007,000","14,007,000",,,
				BuildingsAndImprovements,"238,185,000","232,996,000","233,523,000","230,104,000","230,281,000","285,014,000","288,977,000","282,564,000","287,081,000","286,820,000","296,382,000","297,243,000","267,566,000","223,520,000","223,532,000","235,738,000","1,171,291,000","935,335,000","743,130,000","513,506,000","442,957,000","92,680,000","91,531,000","31,613,000","19,572,000","16,450,000","11,615,000",
				MachineryFurnitureEquipment,"1,350,749,000","1,296,816,000","1,266,156,000","1,215,272,000","1,284,802,000","1,249,521,000","1,211,958,000","1,172,270,000","1,161,282,000","1,081,808,000","1,059,072,000","996,717,000","851,886,000","602,885,000","805,445,000","766,291,000","540,114,000","568,564,000","444,540,000","516,127,000","469,135,000","386,289,000","303,606,000","212,674,000","158,753,000","126,091,000","104,671,000",
				OtherProperties,"679,451,000","725,553,000","700,234,000","895,989,000","1,232,954,000","2,027,000","1,956,000","1,952,000","3,135,000","3,107,000","44,075,000","44,081,000","44,727,000","280,873,000","47,010,000","47,017,000","132,681,000","10,168,000","3,248,000","12,000","5,839,000","7,349,000","62,051,000","7,349,000","7,349,000","7,349,000","7,349,000",
				ConstructionInProgress,"44,359,000","68,984,000","9,483,000","22,744,000","60,913,000","26,319,000","10,773,000","54,080,000","19,875,000","49,836,000","33,791,000","90,573,000","113,663,000","69,577,000","48,352,000","114,280,000","177,887,000","122,695,000","79,480,000","27,782,000","27,901,000","36,905,000","28,721,000","118,553,000","26,100,000","2,728,000","365,000",
				Leases,"846,097,000","888,464,000","913,729,000","990,238,000","1,138,372,000","1,229,494,000","1,271,170,000","1,224,398,000","1,283,613,000","1,338,206,000","1,414,939,000","1,449,568,000","1,340,487,000","1,247,493,000","1,205,276,000","1,143,656,000",,,,,,,,,,,,
			AccumulatedDepreciation,"-1,971,151,000","-1,966,277,000","-1,945,157,000","-1,938,370,000","-2,079,677,000","-2,134,395,000","-2,083,527,000","-1,947,401,000","-1,898,259,000","-1,830,249,000","-1,754,371,000","-1,606,840,000","-1,457,948,000","-1,306,474,000","-1,118,473,000","-940,629,000","-735,984,000","-576,771,000","-472,780,000","-386,401,000","-331,795,000","-192,701,000","-136,211,000","-105,411,000","-79,378,000","-63,100,000","-53,483,000","-42,900,000"
		GoodwillAndOtherIntangibleAssets,,,,,,,"26,147,000","27,092,000","28,057,000","27,943,000","30,987,000","30,811,000","31,760,000",,,,,,,,,,,,,,,
			OtherIntangibleAssets,,,,,,,"26,147,000","27,092,000","28,057,000","27,943,000","30,987,000","30,811,000","31,760,000",,,,,,,,,,,,,,,
		InvestmentsAndAdvances,,,,,,,,,,,,"0","14,858,000","100,534,000","141,794,000","229,081,000",,,,,,,,,,,,
			InvestmentinFinancialAssets,,,,,,,,,,,,"0","14,858,000","100,534,000","141,794,000","229,081,000",,,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,"64,039,000","91,141,000","89,677,000","96,999,000","97,587,000","50,387,000","29,165,000","16,764,000","1,516,000",,,,,,,,,"19,491,000","11,060,000","10,737,000","3,759,000","1,885,000"
			NonCurrentDeferredTaxesAssets,,,,,,,"64,039,000","91,141,000","89,677,000","96,999,000","97,587,000","50,387,000","29,165,000","16,764,000","1,516,000",,,,,,,,,"19,491,000","11,060,000","10,737,000","3,759,000","1,885,000"
		NonCurrentPrepaidAssets,,,,,,,"42,178,000","40,451,000","71,442,000","74,383,000","81,307,000","90,703,000","94,666,000","75,367,000","66,745,000",,,,,,,,,,,,,
		DefinedPensionBenefit,,,,,,,"102,797,000","99,675,000","96,590,000","93,448,000","90,222,000","87,597,000","85,149,000","82,501,000","71,245,000",,,,,,,,,,,,,
		OtherNonCurrentAssets,"220,679,000","209,947,000","225,165,000","208,697,000","388,672,000","354,788,000","322,972,000","73,360,000","74,115,000","80,421,000","98,987,000","111,847,000","106,509,000","259,341,000","70,864,000","148,435,000","109,052,000","63,707,000","29,031,000","28,996,000","552,000","725,000","239,000","381,000","11,546,000","11,478,000",,"6,000"
TotalLiabilitiesNetMinorityInterest,"1,924,246,000","2,006,531,000","2,102,167,000","2,365,590,000","2,478,487,000","1,166,972,000","1,073,221,000","1,043,718,000","1,137,317,000","1,115,466,000","1,121,504,000","1,169,133,000","1,185,697,000","1,050,631,000","993,949,000","1,002,603,000","949,285,000","842,770,000","794,601,000","717,465,000","525,464,000","273,521,000","175,112,000","179,519,000","147,072,000","133,178,000","124,463,000","94,523,000"
	CurrentLiabilities,"966,820,000","902,200,000","1,015,240,000","959,399,000","815,354,000","558,917,000","507,546,000","486,000,000","534,703,000","485,956,000","568,222,000","690,801,000","699,406,000","552,364,000","449,372,000","449,797,000","543,113,000","510,627,000","491,554,000","429,212,000","311,072,000","245,288,000","163,579,000","169,265,000","137,866,000","122,200,000","66,962,000","43,590,000"
		PayablesAndAccruedExpenses,"787,195,000","688,221,000","792,417,000","710,553,000","532,525,000","539,359,000","458,856,000","436,239,000","475,016,000","420,289,000","474,545,000","604,064,000","610,690,000","439,370,000","344,332,000","293,041,000","389,347,000","361,138,000","360,347,000","288,913,000","254,753,000","198,817,000","141,483,000","135,244,000","18,714,000","24,800,000","51,111,000","28,802,000"
			Payables,"350,540,000","274,918,000","396,602,000","314,188,000","268,645,000","284,270,000","216,317,000","226,957,000","227,366,000","209,118,000","238,323,000","309,098,000","357,424,000","251,288,000","192,270,000","129,597,000","108,437,000","100,919,000","145,313,000","83,760,000","91,364,000","79,291,000","31,897,000","33,942,000","18,714,000","24,800,000","15,968,000","6,414,000"
