name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997
OperatingCashFlow,"697,213,000","653,422,000","-2,343,000","277,782,000","404,918,000","300,685,000","352,933,000","287,658,000","185,169,000","310,009,000","312,480,000","175,493,000","684,171,000","365,219,000","391,789,000","395,487,000","491,031,000","817,524,000","582,171,000","453,590,000","423,784,000","340,814,000","345,832,000","233,202,000","151,189,000","153,809,000","173,100,000","100,195,000","46,836,000"
	CashFlowFromContinuingOperatingActivities,"697,213,000","653,422,000","-2,343,000","277,782,000","404,918,000","300,685,000","352,933,000","287,658,000","185,169,000","310,009,000","312,480,000","175,493,000","684,171,000","365,219,000","391,789,000","395,487,000","491,031,000","817,524,000","582,171,000","453,590,000","423,784,000","340,814,000","345,832,000","233,202,000","151,189,000","153,809,000","173,100,000","100,195,000","46,836,000"
		NetIncomeFromContinuingOperations,"509,292,000","335,413,000","10,385,000","270,066,000","-108,954,000","44,960,000","78,808,000","10,525,000","7,718,000","38,559,000","51,821,000","54,628,000","237,011,000","143,934,000","155,709,000","254,000","272,255,000","475,697,000","422,186,000","333,986,000","216,376,000","204,830,000","194,754,000","168,672,000","158,133,000","149,604,000","102,062,000","48,322,000","24,674,000"
		OperatingGainsLosses,"10,045,000","8,383,000","500,000","10,367,000","16,353,000","6,298,000","6,020,000","7,460,000","3,836,000","11,082,000","5,794,000","16,909,000","9,412,000","35,902,000","7,064,000","10,646,000","7,607,000","7,205,000","6,261,000","79,341,000","78,241,000","71,835,000","56,232,000",,,,"11,497,000","6,219,000",
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,"-2,454,000","13,442,000",,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"145,737,000","141,104,000","132,243,000","144,035,000","166,281,000","173,625,000","178,030,000","194,549,000","195,414,000","213,680,000","226,421,000","235,240,000","224,245,000","232,956,000","229,153,000","238,752,000","225,334,000","183,716,000","111,671,000","91,679,000","73,020,000","64,765,000","54,890,000","41,155,000","30,731,000","27,721,000","20,946,000","16,342,000","11,759,000"
			DepreciationAndAmortization,"145,737,000","141,104,000","132,243,000","144,035,000","166,281,000","173,625,000","178,030,000","194,549,000","195,414,000","213,680,000","226,421,000","235,240,000","224,245,000","232,956,000","229,153,000","238,752,000","225,334,000","183,716,000","111,671,000","91,679,000","73,020,000","64,765,000","54,890,000","41,155,000","30,731,000","27,721,000","20,946,000","16,342,000","11,759,000"
				Depreciation,,,,,,,,,,,,,,,,,,"183,716,000","146,156,000","124,206,000","105,814,000","89,539,000","75,951,000",,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,"-37,418,000","-34,485,000","-32,527,000","-32,794,000","-24,774,000","-21,061,000",,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,"-37,418,000","-34,485,000","-32,527,000","-32,794,000","-24,774,000","-21,061,000",,,,,,
