name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997
TotalRevenue,"4,664,042,000","4,280,677,000","3,697,751,000","3,712,768,000","3,125,384,000","3,623,073,000","3,590,109,000","3,492,690,000","3,326,740,000","3,518,680,000","3,744,030,000","4,116,897,000","4,510,805,000","4,158,058,000","3,468,777,000","2,928,626,000","3,484,058,000","3,699,656,000","3,318,158,000","2,784,711,000","2,021,253,000","1,707,810,000","1,595,757,000","1,364,853,000","1,237,604,000","1,030,858,000","805,180,000","521,617,000","335,372,000"
	OperatingRevenue,"4,664,042,000","4,280,677,000","3,697,751,000","3,712,768,000","3,125,384,000","3,623,073,000","3,590,109,000","3,492,690,000","3,326,740,000","3,518,680,000","3,744,030,000","4,116,897,000","4,510,805,000","4,158,058,000","3,468,777,000","2,928,626,000","3,484,058,000","3,699,656,000","3,318,158,000","2,784,711,000","2,021,253,000","1,707,810,000","1,595,757,000","1,364,853,000","1,237,604,000","1,030,858,000","805,180,000","521,617,000","335,372,000"
CostOfRevenue,"1,651,085,000","1,587,265,000","1,593,213,000","1,400,773,000","1,234,179,000","1,472,155,000","1,430,193,000","1,408,848,000","1,298,172,000","1,361,137,000","1,430,460,000","1,541,462,000","1,694,096,000","1,607,834,000","1,251,348,000","1,045,028,000","1,152,963,000","1,211,490,000","1,109,152,000","933,295,000","680,029,000","624,640,000","940,010,000","806,819,000","697,498,000","552,754,000","452,880,000","320,537,000","211,606,000"
GrossProfit,"3,012,957,000","2,693,412,000","2,104,538,000","2,311,995,000","1,891,205,000","2,150,918,000","2,159,916,000","2,083,842,000","2,028,568,000","2,157,543,000","2,313,570,000","2,575,435,000","2,816,709,000","2,550,224,000","2,217,429,000","1,883,598,000","2,331,095,000","2,488,166,000","2,209,006,000","1,851,416,000","1,341,224,000","1,083,170,000","655,747,000","558,034,000","540,106,000","478,104,000","352,300,000","201,080,000","123,766,000"
OperatingExpense,"2,346,662,000","2,208,741,000","2,011,890,000","1,968,911,000","1,838,737,000","2,061,715,000","2,020,970,000","1,997,401,000","2,005,450,000","2,068,094,000","2,146,632,000","2,366,397,000","2,435,069,000","2,260,818,000","1,980,249,000","1,779,219,000","1,832,833,000","1,709,256,000","1,550,916,000","1,308,678,000","993,589,000","751,990,000","343,432,000","286,576,000","286,454,000","236,040,000","185,342,000","116,955,000","77,773,000"
	SellingGeneralAndAdministration,"2,348,972,000","2,214,614,000","2,014,564,000","1,977,238,000","1,843,791,000","2,015,858,000","2,021,079,000","2,011,946,000","2,031,662,000","2,074,535,000","2,161,871,000","2,389,471,000","2,454,402,000","2,257,346,000","1,990,305,000","1,779,219,000","1,841,611,000","1,720,958,000","1,560,899,000","1,314,212,000","998,079,000","752,969,000","343,432,000","286,576,000","255,723,000","208,319,000","164,396,000","116,955,000","77,773,000"
		GeneralAndAdministrativeExpense,"704,095,000","642,877,000","517,602,000","536,815,000","463,843,000","464,615,000","484,863,000","471,914,000","453,202,000","470,321,000","458,820,000","481,784,000","473,883,000","437,120,000","400,804,000","353,269,000","405,248,000","376,780,000",,,,,,,,,,,
			OtherGandA,"704,095,000","642,877,000","517,602,000","536,815,000","463,843,000","464,615,000","484,863,000","471,914,000","453,202,000","470,321,000","458,820,000","481,784,000","473,883,000","437,120,000","400,804,000","353,269,000","405,248,000","376,780,000",,,,,,,,,,,
		SellingAndMarketingExpense,"1,644,877,000","1,571,737,000","1,496,962,000","1,440,423,000","1,379,948,000","1,551,243,000","1,536,216,000","1,540,032,000","1,578,460,000","1,604,214,000","1,703,051,000","1,907,687,000","1,980,519,000","1,820,226,000","1,589,501,000","1,425,950,000","1,436,363,000","1,344,178,000",,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"30,731,000","27,721,000","20,946,000",,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"30,731,000","27,721,000","20,946,000",,
	OtherOperatingExpenses,"-2,310,000","-5,873,000","-2,674,000","-8,327,000","-5,054,000","45,857,000","-109,000","-14,545,000","-26,212,000","-6,441,000","-15,239,000","-23,074,000","-19,333,000","3,472,000","-10,056,000","-13,533,000","-8,778,000","-11,702,000","-9,983,000","-5,534,000","-4,490,000","-979,000",,,,,,,
OperatingIncome,"666,295,000","484,671,000","92,648,000","343,084,000","52,468,000","89,203,000","138,946,000","86,441,000","23,118,000","89,449,000","166,938,000","209,038,000","381,640,000","289,406,000","237,180,000","104,379,000","498,262,000","778,910,000","658,090,000","542,738,000","347,635,000","331,180,000","312,315,000","271,458,000","253,652,000","242,064,000","166,958,000","84,125,000","45,993,000"
NetNonOperatingInterestIncomeExpense,"14,394,000","-372,000","-25,632,000","-34,110,000","-28,274,000","-7,737,000","-10,999,000","-16,889,000","-18,666,000","-18,248,000","-14,365,000","-7,546,000","-7,288,000","-3,577,000","-3,362,000","1,598,000","11,382,000","18,827,000",,,,,,,,,,,
	InterestIncomeNonOperating,"40,622,000","29,980,000","4,604,000","3,848,000","3,452,000","12,171,000","11,789,000","6,084,000","4,412,000","4,353,000",,,,"4,300,000","4,438,000","8,200,000","14,800,000",,,,,,,,,,,,
	InterestExpenseNonOperating,"26,228,000","30,352,000","30,236,000","37,958,000","31,726,000","7,737,000","22,788,000","22,973,000","23,078,000","22,601,000","14,365,000","7,546,000","7,288,000","7,877,000","3,362,000","6,602,000","-11,382,000","-18,827,000",,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,"14,365,000","7,546,000","7,288,000","3,577,000","3,362,000","-1,598,000","-11,382,000","-18,827,000",,,,,,,,,,,
OtherIncomeExpense,,,"-14,031,000","-12,100,000","-72,937,000","-19,135,000","-11,580,000","-14,391,000","-7,930,000","-16,611,000","-53,419,000","-128,215,000","-7,407,000","-68,022,000","10,056,000","13,533,000","8,864,000","11,734,000","9,983,000","5,534,000","4,490,000","979,000",,,,,,,
	SpecialIncomeCharges,,,"-14,031,000","-12,100,000","-72,937,000","-19,135,000","-11,580,000","-14,391,000","-7,930,000","-16,611,000","-53,419,000","-128,215,000","-7,407,000","-68,022,000","10,056,000","13,533,000","8,864,000","11,734,000","9,983,000","5,534,000","4,490,000","979,000",,,,,,,
		RestructuringAndMergernAcquisition,,,,,,,,"0","0","-1,598,000","8,431,000","81,500,000","0","0",,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,"14,031,000","12,100,000","72,937,000","19,135,000","11,580,000","14,391,000","7,930,000","18,209,000","44,988,000","46,715,000","7,407,000","68,022,000",,,,,,,,,,,,,,,
PretaxIncome,"680,689,000","484,299,000","67,016,000","308,974,000","-48,743,000","62,331,000","116,367,000","55,161,000","-3,478,000","54,590,000","99,154,000","73,277,000","366,945,000","217,807,000","233,818,000","119,510,000","509,644,000","797,737,000","671,986,000","549,410,000","352,853,000","334,888,000","316,083,000","276,522,000","261,453,000","249,334,000","170,102,000","80,542,000","41,074,000"
TaxProvision,"171,397,000","148,886,000","56,631,000","38,908,000","60,211,000","17,371,000","37,559,000","44,636,000","-11,196,000","16,031,000","47,333,000","18,649,000","129,934,000","74,669,000","78,109,000","40,557,000","201,475,000","298,610,000","249,800,000","215,426,000","136,477,000","130,058,000","121,329,000","107,850,000","103,320,000","99,730,000","68,040,000","32,220,000","16,400,000"
NetIncomeCommonStockholders,"501,676,000","328,123,000","2,816,000","263,010,000","-114,021,000","39,358,000","74,541,000","7,094,000","3,956,000","35,576,000","51,821,000","54,628,000","237,011,000","143,934,000","155,709,000","254,000","272,255,000","475,697,000","422,186,000","333,984,000","216,376,000","204,830,000","194,754,000","168,672,000","158,133,000","149,604,000","102,062,000","48,322,000","24,674,000"
	NetIncome,"501,676,000","328,123,000","2,816,000","263,010,000","-114,021,000","39,358,000","74,541,000","7,094,000","3,956,000","35,576,000","51,821,000","54,628,000","237,011,000","143,934,000","155,709,000","254,000","272,255,000","475,697,000","422,186,000","333,984,000","216,376,000","204,830,000","194,754,000","168,672,000","158,133,000","149,604,000","102,062,000","48,322,000","24,674,000"
		NetIncomeIncludingNoncontrollingInterests,"509,292,000","335,413,000","10,385,000","270,066,000","-108,954,000","44,960,000","78,808,000","10,525,000","7,718,000","38,559,000","51,821,000","54,628,000","237,011,000","143,934,000","155,709,000","254,000","272,255,000","475,697,000","422,186,000","333,984,000","216,376,000","204,830,000","194,754,000","168,672,000","158,133,000","149,604,000","102,062,000","48,322,000","24,674,000"
			NetIncomeContinuousOperations,"509,292,000","335,413,000","10,385,000","270,066,000","-108,954,000","44,960,000","78,808,000","10,525,000","7,718,000","38,559,000","51,821,000","54,628,000","237,011,000","143,138,000","155,709,000","78,953,000","308,169,000","499,127,000","422,186,000","333,984,000","216,376,000","204,830,000","194,754,000","168,672,000","158,133,000","149,604,000","102,062,000","48,322,000","24,674,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,"0","0","796,000","0","-78,699,000","-35,914,000","-23,430,000",,,,,,,,,,,
		MinorityInterests,"-7,616,000","-7,290,000","-7,569,000","-7,056,000","-5,067,000","-5,602,000","-4,267,000","-3,431,000","-3,762,000","-2,983,000","0",,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"501,676,000","328,123,000","2,816,000","263,010,000","-114,021,000","39,358,000","74,541,000","7,094,000","3,956,000","35,576,000","51,821,000","54,628,000","237,011,000","143,934,000","155,709,000","254,000","272,255,000","475,697,000","422,186,000","333,984,000","216,376,000","204,830,000","194,754,000","168,672,000","158,133,000","149,604,000","102,062,000","48,322,000","24,674,000"
BasicEPS,"9.9","6.53","0.06","4.41","-1.82","0.61","1.11","0.1","0.06","0.52","0.72","0.71","3.21","1.47","1.71","0","3.14","5.45","4.79","3.83","2.33","2.12","1.98","1.7","1.58","1.45","0.99","0.475","0.27"
DilutedEPS,"9.43","6.22","0.05","4.2","-1.82","0.6","1.08","0.1","0.06","0.51","0.71","0.69","3.16","1.43","1.67","0","3.05","5.2","4.59","3.66","2.28","2.06","1.98","1.65","1.55","1.39","0.96","0.47","0.27"
BasicAverageShares,"50,808,500","50,250,000","50,307,000","59,597,000","62,551,000","64,428,000","67,350,000","68,391,000","67,878,000","68,880,000","71,785,000","77,157,000","81,940,000","86,848,000","88,061,000","87,874,000","86,816,000","87,248,000","88,052,000","87,161,000","92,865,236","96,617,925","98,171,000","99,102,000","99,083,000","102,030,000","103,092,929","101,730,526","99,469,856"
DilutedAverageShares,"53,597,000","52,726,000","52,327,000","62,636,000","62,551,000","65,778,000","69,137,000","69,403,000","68,284,000","69,417,000","72,937,000","78,666,000","83,175,000","89,537,000","89,851,000","88,609,000","89,291,000","91,523,000","92,010,000","91,221,000","95,110,000","99,580,000","100,631,000","102,524,000","99,083,000","102,030,000","106,314,583","102,812,766","99,469,856"
TotalOperatingIncomeAsReported,"666,295,000","484,671,000","92,648,000","343,084,000","-20,469,000","70,068,000","127,366,000","72,050,000","15,188,000","72,838,000","113,519,000","80,823,000","374,233,000","221,384,000","237,180,000","117,912,000","498,262,000","778,909,000","658,090,000","542,738,000","347,635,000","331,180,000","312,315,000","271,458,000","253,652,000","242,064,000","166,958,000","84,125,000","45,993,000"
