name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalAssets,"24,427,000,000","21,884,000,000","18,007,000,000","17,522,000,000","13,459,000,000","12,480,000,000","12,169,000,000","12,292,000,000","11,973,000,000","10,721,000,000","11,047,000,000","10,176,000,000","9,128,000,000","11,082,000,000","10,307,000,000"
	CurrentAssets,"8,247,000,000","7,784,000,000","8,436,000,000","7,465,000,000","5,319,000,000","4,777,000,000","5,641,000,000","5,419,000,000","5,121,000,000","5,224,000,000","5,752,000,000","5,227,000,000","5,501,000,000","7,666,000,000","6,835,000,000"
		CashCashEquivalentsAndShortTermInvestments,"1,640,000,000","1,531,000,000","3,139,000,000","2,821,000,000","412,000,000","567,000,000","1,596,000,000","737,000,000","535,000,000","859,000,000","1,389,000,000","1,105,000,000","1,363,000,000","3,769,000,000","3,107,000,000"
			CashAndCashEquivalents,"1,640,000,000","1,531,000,000","3,139,000,000","2,821,000,000","412,000,000","567,000,000","1,596,000,000","737,000,000","535,000,000","859,000,000","1,389,000,000","1,105,000,000","1,363,000,000","3,769,000,000","3,107,000,000"
				CashEquivalents,,,,,,,,,,,,,,"3,769,000,000","3,107,000,000"
		Receivables,"3,870,000,000","3,672,000,000","3,032,000,000","3,016,000,000","2,829,000,000","2,788,000,000","2,785,000,000","2,306,000,000","3,017,000,000","2,653,000,000","2,941,000,000","2,688,000,000","2,745,000,000","2,307,000,000","2,213,000,000"
			AccountsReceivable,"3,546,000,000","3,433,000,000","2,784,000,000","2,812,000,000","2,569,000,000","2,487,000,000","2,440,000,000","2,130,000,000","2,750,000,000","2,400,000,000","2,662,000,000","2,425,000,000","2,459,000,000","2,307,000,000","2,213,000,000"
				GrossAccountsReceivable,"3,598,000,000","3,485,000,000","2,821,000,000","2,852,000,000",,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-52,000,000","-52,000,000","-37,000,000","-40,000,000",,,,,,,,,,,
			NotesReceivable,"9,000,000","8,000,000","16,000,000","8,000,000","10,000,000","43,000,000","16,000,000","7,000,000","25,000,000","28,000,000","45,000,000","22,000,000","24,000,000",,
			TaxesReceivable,"260,000,000","207,000,000","232,000,000","196,000,000","250,000,000","258,000,000","206,000,000","169,000,000","242,000,000","225,000,000","234,000,000","241,000,000","262,000,000",,
			OtherReceivables,"55,000,000","24,000,000",,,,"7,000,000","123,000,000",,,,,,,,
		Inventory,"2,365,000,000","2,340,000,000","2,014,000,000","1,297,000,000","1,286,000,000","1,277,000,000","1,083,000,000","859,000,000","1,181,000,000","1,013,000,000","1,093,000,000","1,066,000,000","1,054,000,000","988,000,000","876,000,000"
			RawMaterials,"1,507,000,000","1,570,000,000","1,311,000,000","745,000,000","706,000,000","724,000,000","584,000,000","491,000,000","634,000,000","562,000,000","584,000,000","586,000,000","594,000,000","544,000,000","494,000,000"
			WorkInProcess,"178,000,000","164,000,000","172,000,000","111,000,000","102,000,000","101,000,000","100,000,000","72,000,000","98,000,000","104,000,000","142,000,000","128,000,000","144,000,000","159,000,000","133,000,000"
			FinishedGoods,"680,000,000","606,000,000","531,000,000","441,000,000","478,000,000","452,000,000","399,000,000","296,000,000","449,000,000","347,000,000","367,000,000","352,000,000","316,000,000","285,000,000","249,000,000"
		PrepaidAssets,"97,000,000","82,000,000","69,000,000","52,000,000","92,000,000","76,000,000","112,000,000","67,000,000","86,000,000","67,000,000","68,000,000","101,000,000","81,000,000",,
		RestrictedCash,,,"0","32,000,000","16,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","4,000,000","8,000,000","9,000,000","47,000,000","96,000,000"
		CurrentDeferredAssets,"122,000,000","90,000,000","110,000,000","169,000,000","101,000,000","47,000,000","33,000,000","47,000,000","55,000,000","226,000,000","209,000,000","217,000,000","224,000,000",,
			CurrentDeferredTaxesAssets,,,,,,,,,"0","171,000,000","133,000,000","148,000,000","183,000,000",,
		AssetsHeldForSaleCurrent,,,,"0","532,000,000","0","0","1,390,000,000","223,000,000","384,000,000",,,,,
		HedgingAssetsCurrent,"138,000,000","44,000,000","38,000,000","48,000,000","30,000,000","6,000,000","30,000,000","11,000,000","0","0","15,000,000","21,000,000","4,000,000",,
		OtherCurrentAssets,"15,000,000","25,000,000","34,000,000","30,000,000","21,000,000","15,000,000","1,000,000","1,000,000","23,000,000","21,000,000","33,000,000","21,000,000","21,000,000","555,000,000","543,000,000"
	TotalNonCurrentAssets,"16,180,000,000","14,100,000,000","9,571,000,000","10,057,000,000","8,140,000,000","7,703,000,000","6,528,000,000","6,873,000,000","6,852,000,000","5,497,000,000","5,295,000,000","4,949,000,000","3,627,000,000","3,416,000,000","3,472,000,000"
		NetPPE,"4,325,000,000","3,946,000,000","3,677,000,000","3,681,000,000","3,722,000,000","3,179,000,000","2,804,000,000","2,325,000,000","3,377,000,000","3,021,000,000","3,216,000,000","2,860,000,000","2,315,000,000","2,067,000,000","1,960,000,000"
			GrossPPE,"8,941,000,000","8,026,000,000","7,396,000,000","6,991,000,000","6,330,000,000","5,343,000,000","4,602,000,000","3,745,000,000","5,321,000,000","4,726,000,000","4,806,000,000","4,043,000,000","3,122,000,000","2,554,000,000","2,083,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"296,000,000","279,000,000","268,000,000","256,000,000","244,000,000","248,000,000","197,000,000","197,000,000","299,000,000","255,000,000","272,000,000","262,000,000","245,000,000","242,000,000","234,000,000"
				BuildingsAndImprovements,"764,000,000","699,000,000","679,000,000","691,000,000","646,000,000","582,000,000","505,000,000","436,000,000","652,000,000","614,000,000","665,000,000","626,000,000","504,000,000","492,000,000","556,000,000"
				MachineryFurnitureEquipment,"6,863,000,000","6,134,000,000","5,701,000,000","5,401,000,000","4,705,000,000","4,156,000,000","3,570,000,000","2,861,000,000","4,055,000,000","3,521,000,000","3,525,000,000","2,890,000,000","2,138,000,000","1,574,000,000","1,098,000,000"
				OtherProperties,"540,000,000","451,000,000","383,000,000","380,000,000","413,000,000",,,,,,,,,,
				ConstructionInProgress,"478,000,000","463,000,000","365,000,000","263,000,000","322,000,000","357,000,000","330,000,000","251,000,000","315,000,000","336,000,000","344,000,000","265,000,000","235,000,000","246,000,000","195,000,000"
			AccumulatedDepreciation,"-4,616,000,000","-4,080,000,000","-3,719,000,000","-3,310,000,000","-2,608,000,000","-2,164,000,000","-1,798,000,000","-1,420,000,000","-1,944,000,000","-1,705,000,000","-1,590,000,000","-1,183,000,000","-807,000,000","-487,000,000","-123,000,000"
		GoodwillAndOtherIntangibleAssets,"7,550,000,000","7,691,000,000","3,475,000,000","3,671,000,000","3,593,000,000","3,904,000,000","3,163,000,000","2,650,000,000","2,922,000,000","1,384,000,000","1,219,000,000","1,276,000,000","596,000,000","665,000,000","750,000,000"
			Goodwill,"5,151,000,000","5,106,000,000","2,511,000,000","2,580,000,000","2,407,000,000","2,524,000,000","1,944,000,000","1,502,000,000","1,539,000,000","656,000,000","496,000,000","473,000,000","8,000,000",,
			OtherIntangibleAssets,"2,399,000,000","2,585,000,000","964,000,000","1,091,000,000","1,186,000,000","1,380,000,000","1,219,000,000","1,148,000,000","1,383,000,000","728,000,000","723,000,000","803,000,000","588,000,000",,
		InvestmentsAndAdvances,"1,508,000,000","1,807,000,000","1,893,000,000","2,124,000,000","207,000,000","171,000,000","147,000,000","73,000,000","117,000,000","98,000,000","234,000,000","231,000,000","257,000,000","281,000,000","270,000,000"
			LongTermEquityInvestment,"1,508,000,000","1,807,000,000","1,893,000,000","2,124,000,000","207,000,000","171,000,000","147,000,000","73,000,000","117,000,000","98,000,000","234,000,000","231,000,000","257,000,000","281,000,000","270,000,000"
				InvestmentsinAssociatesatCost,,,"1,797,000,000","2,011,000,000","106,000,000","72,000,000","56,000,000","6,000,000","23,000,000","0","234,000,000","231,000,000","257,000,000",,
				InvestmentsInOtherVenturesUnderEquityMethod,"1,508,000,000","1,807,000,000","1,893,000,000","2,124,000,000","207,000,000","99,000,000","91,000,000","67,000,000","94,000,000","98,000,000","234,000,000","231,000,000","257,000,000",,
		FinancialAssets,"23,000,000","14,000,000","3,000,000","22,000,000","8,000,000","2,000,000","8,000,000","8,000,000","0","0","5,000,000","6,000,000","0",,
		NonCurrentAccountsReceivable,"102,000,000","75,000,000","48,000,000","54,000,000","104,000,000","44,000,000","59,000,000","63,000,000","78,000,000","95,000,000","152,000,000","121,000,000","93,000,000",,
		NonCurrentDeferredAssets,"2,520,000,000","427,000,000","346,000,000","371,000,000","384,000,000","280,000,000","251,000,000","156,000,000","281,000,000","305,000,000","362,000,000","331,000,000","245,000,000",,
			NonCurrentDeferredTaxesAssets,"2,351,000,000","259,000,000","159,000,000","174,000,000","164,000,000","143,000,000","185,000,000","130,000,000","238,000,000","232,000,000","283,000,000","281,000,000","204,000,000",,
		OtherNonCurrentAssets,"152,000,000","140,000,000","129,000,000","134,000,000","122,000,000","123,000,000","96,000,000","1,598,000,000","77,000,000","594,000,000","107,000,000","124,000,000","121,000,000","403,000,000","492,000,000"
TotalLiabilitiesNetMinorityInterest,"12,583,000,000","12,790,000,000","9,446,000,000","9,422,000,000","9,448,000,000","8,810,000,000","8,652,000,000","9,529,000,000","9,240,000,000","7,708,000,000","7,613,000,000","7,346,000,000","6,957,000,000","4,983,000,000","4,941,000,000"
	CurrentLiabilities,"4,808,000,000","4,865,000,000","4,207,000,000","4,046,000,000","4,054,000,000","3,694,000,000","3,540,000,000","4,148,000,000","3,927,000,000","3,889,000,000","3,894,000,000","3,659,000,000","3,712,000,000","3,719,000,000","3,426,000,000"
		PayablesAndAccruedExpenses,"4,357,000,000","4,373,000,000","3,928,000,000","3,702,000,000","3,345,000,000","3,206,000,000","3,363,000,000","2,617,000,000","3,511,000,000","3,266,000,000","3,648,000,000","3,317,000,000","3,369,000,000","2,884,000,000","2,668,000,000"
			Payables,"3,326,000,000","3,341,000,000","3,113,000,000","2,751,000,000","2,643,000,000","2,521,000,000","2,651,000,000","1,969,000,000","2,763,000,000","2,537,000,000","2,875,000,000","2,539,000,000","2,654,000,000","2,456,000,000","2,120,000,000"
				AccountsPayable,"3,151,000,000","3,150,000,000","2,953,000,000","2,571,000,000","2,463,000,000","2,334,000,000","2,227,000,000","1,820,000,000","2,541,000,000","2,278,000,000","2,595,000,000","2,278,000,000","2,397,000,000","2,236,000,000","1,872,000,000"
				TotalTaxPayable,"175,000,000","188,000,000","157,000,000","177,000,000","180,000,000","187,000,000","233,000,000","149,000,000","222,000,000","259,000,000","280,000,000","261,000,000","257,000,000","220,000,000","248,000,000"
					IncomeTaxPayable,,,,,,,,,,,,,"257,000,000","220,000,000","248,000,000"
				DividendsPayable,"0","3,000,000","3,000,000","3,000,000","0","0","59,000,000","0",,,,,,,
				OtherPayable,,,,,,"4,000,000","132,000,000",,,,,,,,
			CurrentAccruedExpenses,"1,031,000,000","1,032,000,000","815,000,000","951,000,000","702,000,000","685,000,000","712,000,000","648,000,000","748,000,000","729,000,000","773,000,000","778,000,000","715,000,000","428,000,000","548,000,000"
				InterestPayable,"51,000,000","51,000,000","30,000,000","48,000,000","47,000,000","42,000,000","41,000,000","40,000,000","39,000,000","30,000,000","24,000,000","9,000,000","10,000,000",,
		CurrentProvisions,,,,,,,,"300,000,000",,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"131,000,000","151,000,000","83,000,000","84,000,000","97,000,000","96,000,000","116,000,000","78,000,000","90,000,000","127,000,000","130,000,000","143,000,000","145,000,000","370,000,000","255,000,000"
		CurrentDebtAndCapitalLeaseObligation,"130,000,000","140,000,000","100,000,000","190,000,000","487,000,000","306,000,000","17,000,000","10,000,000","52,000,000","34,000,000","61,000,000","140,000,000","107,000,000","218,000,000","302,000,000"
			CurrentDebt,"4,000,000","25,000,000","8,000,000","90,000,000","393,000,000","306,000,000","17,000,000","10,000,000","52,000,000","34,000,000","61,000,000","140,000,000","107,000,000","218,000,000","302,000,000"
				OtherCurrentBorrowings,"4,000,000","25,000,000","8,000,000","90,000,000","393,000,000","306,000,000","17,000,000","10,000,000","52,000,000","34,000,000","61,000,000","140,000,000","107,000,000","218,000,000","302,000,000"
			CurrentCapitalLeaseObligation,"126,000,000","115,000,000","92,000,000","100,000,000","94,000,000",,,,,,,,,,
		CurrentDeferredLiabilities,"184,000,000","172,000,000","83,000,000","62,000,000","78,000,000","67,000,000","29,000,000","22,000,000","36,000,000","42,000,000","39,000,000","47,000,000","48,000,000","4,000,000","20,000,000"
