name,ttm,08/31/2023,08/31/2022,08/31/2021,08/31/2020,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001,08/31/2000,08/31/1999,08/31/1998,08/31/1997,08/31/1996,08/31/1995,08/31/1994,08/31/1993,08/31/1992,08/31/1991,08/31/1990
TotalRevenue,"17,975,506,000","17,457,209,000","16,252,230,000","14,629,585,000","12,631,967,000","11,863,743,000","11,221,077,000","10,888,676,000","10,635,676,000","10,187,340,000","9,475,313,000","9,147,530,000","8,603,863,000","8,072,973,000","7,362,618,000","6,816,824,000","6,522,706,000","6,169,804,000","5,948,355,000","5,710,882,000","5,637,025,000","5,457,123,000","5,325,510,000","4,818,185,000","4,482,696,000","4,116,400,000","3,242,900,000","2,691,400,000","2,242,600,000","1,808,100,000","1,508,000,000","1,216,800,000","1,002,300,000","818,000,000","671,700,000"
	OperatingRevenue,"17,975,506,000","17,457,209,000","16,252,230,000","14,629,585,000","12,631,967,000","11,863,743,000","11,221,077,000","10,888,676,000","10,635,676,000","10,187,340,000","9,475,313,000","9,147,530,000","8,603,863,000","8,072,973,000","7,362,618,000","6,816,824,000","6,522,706,000","6,169,804,000","5,948,355,000","5,710,882,000","5,637,025,000","5,457,123,000","5,325,510,000","4,818,185,000","4,482,696,000","4,116,400,000","3,242,900,000","2,691,400,000","2,242,600,000","1,808,100,000","1,508,000,000","1,216,800,000","1,002,300,000","818,000,000","671,700,000"
CostOfRevenue,"8,416,645,000","8,386,787,000","7,779,580,000","6,911,800,000","5,861,214,000","5,498,742,000","5,247,331,000","5,149,056,000","5,026,940,000","4,860,309,000","4,540,406,000","4,406,595,000","4,171,827,000","3,953,510,000","3,650,874,000","3,400,375,000","3,254,645,000","3,105,554,000","3,009,835,000","2,918,334,000","2,880,446,000","2,942,114,000","2,950,123,000","2,804,896,000","2,602,386,000","2,256,400,000","1,793,100,000","1,481,500,000","1,244,100,000","1,008,700,000","853,000,000","710,600,000","589,300,000","481,800,000","408,500,000"
GrossProfit,"9,558,861,000","9,070,422,000","8,472,650,000","7,717,785,000","6,770,753,000","6,365,001,000","5,973,746,000","5,739,620,000","5,608,736,000","5,327,031,000","4,934,907,000","4,740,935,000","4,432,036,000","4,119,463,000","3,711,744,000","3,416,449,000","3,268,061,000","3,064,250,000","2,938,520,000","2,792,548,000","2,756,579,000","2,515,009,000","2,375,387,000","2,013,289,000","1,880,310,000","1,860,000,000","1,449,800,000","1,209,900,000","998,500,000","799,400,000","655,000,000","506,200,000","413,000,000","336,200,000","263,200,000"
OperatingExpense,"5,844,338,000","5,596,436,000","5,201,921,000","4,773,258,000","4,353,074,000","4,148,864,000","4,162,890,000","3,659,551,000","3,548,341,000","3,373,980,000","3,104,684,000","2,967,837,000","2,803,145,000","2,624,660,000","2,392,330,000","2,240,387,000","2,143,927,000","2,008,984,000","1,928,595,000","1,816,884,000","1,757,873,000","1,597,212,000","1,604,379,000","1,498,909,000","1,368,290,000","1,426,800,000","1,067,400,000","888,600,000","729,600,000","571,700,000","464,300,000","365,400,000","309,400,000","256,900,000","213,900,000"
	SellingGeneralAndAdministration,,,"5,201,921,000","4,773,258,000","4,353,074,000","4,148,864,000","4,162,890,000","3,659,551,000","3,548,341,000","3,373,980,000","3,104,684,000","2,967,837,000","2,803,145,000","2,624,660,000","2,392,330,000","2,240,387,000","2,143,927,000","2,008,984,000","1,928,595,000","1,816,884,000","1,757,873,000","1,597,212,000","1,604,379,000","1,498,909,000","1,368,290,000","1,298,300,000","970,800,000","810,800,000","666,100,000","523,400,000","431,200,000","344,100,000","295,700,000","247,400,000","205,600,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"126,800,000","128,500,000","96,600,000","77,800,000","63,500,000","48,300,000","33,100,000","21,300,000","13,700,000","9,500,000","8,300,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"126,800,000","128,500,000","96,600,000","77,800,000","63,500,000","48,300,000","33,100,000","21,300,000","13,700,000","9,500,000","8,300,000"
	OtherOperatingExpenses,"5,844,338,000","5,596,436,000","5,201,921,000","4,773,258,000","4,353,074,000","4,148,864,000","4,162,890,000","3,659,551,000","3,548,341,000","3,373,980,000","3,104,684,000","2,967,837,000","2,803,145,000","2,624,660,000","2,392,330,000","2,240,387,000","2,143,927,000",,,,,,,,,,,,,,,,,,
OperatingIncome,"3,714,523,000","3,473,986,000","3,270,729,000","2,944,527,000","2,417,679,000","2,216,137,000","1,810,856,000","2,080,069,000","2,060,395,000","1,953,051,000","1,830,223,000","1,773,098,000","1,628,891,000","1,494,803,000","1,319,414,000","1,176,062,000","1,124,134,000","1,055,266,000","1,009,925,000","975,664,000","998,706,000","917,797,000","771,008,000","514,380,000","512,020,000","433,200,000","382,400,000","321,300,000","268,900,000","227,700,000","190,700,000","140,800,000","103,600,000","79,300,000","49,300,000"
NetNonOperatingInterestIncomeExpense,"-407,153,000","-306,372,000","-191,638,000","-195,337,000","-201,165,000","-184,804,000","-174,527,000","-154,580,000","-147,681,000","-150,439,000","-167,509,000","-185,415,000","-175,905,000","-170,557,000","-158,909,000","-142,316,000","-116,745,000",,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,"12,054,000","6,048,000","5,417,000","5,689,000","7,396,000","5,636,000","3,502,000","2,371,000","1,605,000","1,850,000","1,606,000","1,397,000","2,058,000","2,626,000","3,887,000","3,785,000",,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"419,207,000","318,426,000","197,686,000","200,754,000","206,854,000","192,200,000","180,163,000","158,082,000","150,052,000","152,044,000","169,359,000","187,021,000","177,302,000","172,615,000","161,535,000","146,203,000","120,530,000",,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,,,,,,,,,,,,,,,,,,,,,,,"-126,689,000",,,,,"-1,900,000","600,000","2,200,000","2,500,000","800,000",,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,"-126,689,000",,,,,"-1,900,000","600,000","2,200,000","2,500,000","800,000",,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,"126,689,000",,,,,,,,,,,
