name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
TotalAssets,"1,764,829,000,000","1,753,044,000,000","1,695,553,000,000","1,690,218,000,000","1,312,985,000,000","965,076,000,000","717,124,000,000","506,812,000,000","364,245,000,000","255,434,000,000","111,549,000,000","63,786,000,000","47,210,000,000","15,295,468,000","12,705,140,000","9,456,742,000","7,910,831,000","6,053,469,000","2,044,681,000"
	CurrentAssets,"752,864,000,000","697,966,000,000","638,535,000,000","643,360,000,000","462,923,000,000","270,273,000,000","256,855,000,000","181,864,000,000","134,035,000,000","142,109,000,000","67,833,000,000","43,162,000,000","27,899,000,000","13,241,097,000","11,040,015,000","8,142,894,000","7,119,894,000","5,567,244,000","1,714,514,000"
		CashCashEquivalentsAndShortTermInvestments,"571,029,000,000","524,470,000,000","455,085,000,000","483,445,000,000","363,215,000,000","203,165,000,000","210,210,000,000","150,801,000,000","115,696,000,000","125,999,000,000","45,074,000,000","33,315,000,000","22,337,000,000","11,651,800,000","9,888,673,000","7,266,445,000","6,612,324,000","5,273,552,000","1,488,804,000"
			CashAndCashEquivalents,"248,125,000,000","193,086,000,000","189,898,000,000","321,262,000,000","330,503,000,000","189,976,000,000","199,309,000,000","143,736,000,000","106,818,000,000","108,193,000,000","33,045,000,000","30,396,000,000","16,857,000,000","3,433,048,000","3,086,165,000","2,748,690,000","2,688,951,000","4,321,170,000","437,804,000"
				CashFinancial,,,,,,,,,,,,,,"2,169,455,000","1,446,233,000","0",,"1,566,907,000","204,854,000"
				CashEquivalents,,,,,,,,,,,,,,"1,263,593,000","1,639,932,000","2,748,690,000",,"2,754,263,000","232,950,000"
			OtherShortTermInvestments,"322,904,000,000","331,384,000,000","265,187,000,000","162,183,000,000","32,712,000,000","13,189,000,000","10,901,000,000","7,065,000,000","8,878,000,000","17,806,000,000","12,029,000,000","2,919,000,000","5,480,000,000","8,218,752,000","6,802,508,000","4,517,755,000","3,923,373,000","952,382,000","1,051,000,000"
		Receivables,"80,410,000,000","78,643,000,000","82,434,000,000","64,086,000,000","51,856,000,000","34,119,000,000","29,070,000,000","22,162,000,000","12,173,000,000","11,135,000,000","15,940,000,000","4,789,000,000","1,368,000,000","559,465,000","337,739,000","37,925,000","12,678,000","26,320,000","33,479,000"
			AccountsReceivable,"30,686,000,000","32,134,000,000","32,813,000,000","27,076,000,000","19,786,000,000","13,771,000,000","7,284,000,000","4,388,000,000","1,209,000,000","1,067,000,000","269,000,000","135,000,000","155,000,000","45,494,000","54,162,000","37,925,000",,,
			LoansReceivable,,,,,,"490,000,000","419,000,000","812,000,000","390,000,000","835,000,000","13,159,000,000","4,426,000,000","581,000,000","7,488,000","0",,,,
