name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006
OperatingCashFlow,"170,923,000,000","182,593,000,000","199,752,000,000","142,759,000,000","231,786,000,000","180,607,000,000","150,975,000,000","125,805,000,000","82,854,000,000","56,836,000,000","41,217,000,000","26,379,000,000","14,476,000,000","9,275,000,000","2,181,989,000","3,039,393,000","2,240,215,000","1,590,063,000","1,409,217,000","730,671,000"
	CashFlowFromContinuingOperatingActivities,,"182,593,000,000","199,752,000,000","142,759,000,000","231,786,000,000","180,607,000,000","150,975,000,000","125,805,000,000","82,854,000,000","56,836,000,000","41,217,000,000","26,379,000,000","14,476,000,000","9,275,000,000","2,181,989,000","3,039,393,000","2,240,215,000","1,590,063,000","1,409,217,000","730,671,000"
		NetIncomeFromContinuingOperations,,"71,332,000,000","65,573,000,000","47,079,000,000","143,284,000,000","140,350,000,000","80,234,000,000","61,412,000,000","41,226,000,000","71,289,000,000","24,320,000,000","23,403,000,000","8,649,000,000","4,665,000,000","2,136,734,000","1,706,457,000","1,176,419,000","1,364,820,000","1,149,444,000","291,388,000"
		OperatingGainsLosses,,"29,568,000,000","22,869,000,000","5,138,000,000","-74,625,000,000","-72,994,000,000","-46,818,000,000","-6,794,000,000","-1,698,000,000","-47,792,000,000","-5,571,000,000","-271,000,000","-147,000,000","145,000,000","-59,353,000","-11,119,000","30,241,000","-35,494,000","61,225,000","750,000"
			GainLossOnSaleOfBusiness,,"-1,540,000,000","58,000,000","-1,131,000,000","-1,027,000,000","-10,043,000,000","-38,000,000","-2,985,000,000","-501,000,000","-30,002,000,000","-435,000,000","-384,000,000","-76,000,000","-21,000,000",,"0","-6,980,000","-41,281,000","0",
			GainLossOnSaleOfPPE,,"-107,000,000","-163,000,000","132,000,000","75,000,000","-24,000,000","55,000,000","-95,000,000","34,000,000","-11,000,000","-13,000,000","0","3,000,000","3,000,000","2,610,000","514,000","191,000","-61,000","17,000","483,000"
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,"-55,632,000","-18,112,000","-462,000","5,848,000","61,208,000","267,000"
			GainLossOnInvestmentSecurities,,"23,480,000,000","14,911,000,000","20,481,000,000","-66,689,000,000","2,901,000,000","-46,269,000,000","-24,506,000,000","-6,258,000,000","-19,509,000,000","-6,713,000,000","-90,000,000","-80,000,000","138,000,000","-5,601,000",,,,,
			EarningsLossesFromEquityInvestments,,"7,735,000,000","8,063,000,000","-14,344,000,000","-6,984,000,000","-65,828,000,000","-566,000,000","20,792,000,000","5,027,000,000","1,730,000,000","1,590,000,000","203,000,000","6,000,000","25,000,000","-730,000","6,479,000","37,492,000",,,
		DepreciationAmortizationDepletion,,"44,504,000,000","46,938,000,000","48,065,000,000","47,909,000,000","42,427,000,000","37,080,000,000","22,020,000,000","14,292,000,000","7,048,000,000","4,499,000,000","1,654,000,000","935,000,000","870,000,000","252,692,000","226,323,000","126,582,000","88,471,000","59,260,000","54,043,000"
			DepreciationAndAmortization,,"44,504,000,000","46,938,000,000","48,065,000,000","47,909,000,000","42,427,000,000","37,080,000,000","22,020,000,000","14,292,000,000","7,048,000,000","4,499,000,000","1,654,000,000","935,000,000","870,000,000","252,692,000","226,323,000","126,582,000","88,471,000","59,260,000","54,043,000"
				Depreciation,,"26,640,000,000","27,799,000,000","27,808,000,000","26,389,000,000","20,523,000,000","14,962,000,000","8,789,000,000","5,284,000,000","3,770,000,000","2,326,000,000","1,339,000,000","805,000,000","715,000,000","195,421,000","187,190,000","119,380,000","80,669,000","59,016,000","54,043,000"
				AmortizationCashFlow,,"17,864,000,000","19,139,000,000","20,257,000,000","21,520,000,000","21,904,000,000","22,118,000,000","13,231,000,000","9,008,000,000","3,278,000,000","2,173,000,000","315,000,000","130,000,000","155,000,000","57,271,000","39,133,000","7,202,000","7,802,000","244,000","0"
					AmortizationOfIntangibles,,"17,864,000,000","19,139,000,000","20,257,000,000","21,520,000,000","21,904,000,000","22,118,000,000","13,231,000,000","9,008,000,000","3,278,000,000","2,173,000,000","315,000,000","130,000,000","155,000,000","57,271,000","39,133,000","7,202,000","7,802,000","244,000","0"
		DeferredTax,,"-5,263,000,000","-1,717,000,000","-1,369,000,000","3,236,000,000","-3,443,000,000","-2,197,000,000","976,000,000","-1,088,000,000","106,000,000","1,659,000,000","1,466,000,000","104,000,000","150,000,000",,,,,,
			DeferredIncomeTax,,"-5,263,000,000","-1,717,000,000","-1,369,000,000","3,236,000,000","-3,443,000,000","-2,197,000,000","976,000,000","-1,088,000,000","106,000,000","1,659,000,000","1,466,000,000","104,000,000","150,000,000",,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,,"1,025,000","587,000",,,,
		AssetImpairmentCharge,,"34,854,000,000","19,985,000,000","34,808,000,000","9,169,000,000","17,360,000,000","13,710,000,000","3,111,000,000","3,155,000,000","2,319,000,000","594,000,000","163,000,000","175,000,000","135,000,000","2,796,000","0",,,,
		ProvisionandWriteOffofAssets,,"3,509,000,000","2,802,000,000","1,739,000,000","1,935,000,000","1,989,000,000","383,000,000","601,000,000","1,680,000,000","483,000,000","861,000,000","442,000,000","120,000,000","4,000,000",,,,,,
		StockBasedCompensation,,"18,546,000,000","30,831,000,000","23,971,000,000","50,120,000,000","31,742,000,000","37,491,000,000","20,075,000,000","15,995,000,000","16,082,000,000","13,028,000,000","2,844,000,000","1,259,000,000","1,254,000,000","336,137,000","340,971,000","200,385,000","198,046,000","152,077,000","113,904,000"
		OtherNonCashItems,,"-708,000,000","-1,011,000,000","1,478,000,000","250,000,000","1,758,000,000","-1,158,000,000","1,679,000,000","-495,000,000","348,000,000","268,000,000","1,171,000,000","245,000,000","264,000,000","-274,308,000","-158,286,000","-219,387,000","-501,895,000","-588,945,000","-23,159,000"
		ChangeInWorkingCapital,,"-13,749,000,000","13,482,000,000","-18,150,000,000","50,508,000,000","21,418,000,000","32,250,000,000","22,725,000,000","9,787,000,000","6,953,000,000","1,559,000,000","-4,493,000,000","3,136,000,000","1,788,000,000","7,914,000","1,031,242,000","925,975,000","476,115,000","576,156,000","376,238,000"
			ChangeInReceivables,,,,,,,,,,,"-11,674,000,000","-9,175,000,000","-2,828,000,000","-226,000,000","-7,622,000","-1,609,000","-6,555,000","16,907,000","6,468,000","-3,348,000"
			ChangeInPrepaidAssets,,"-37,621,000,000","8,605,000,000","-32,496,000,000","-43,611,000,000","-43,386,000,000","-10,185,000,000","-14,765,000,000","-8,237,000,000","-4,504,000,000","-14,138,000,000","-12,742,000,000","-354,000,000","-240,000,000","-160,821,000","10,677,000",,,"-28,176,000","35,470,000"
			ChangeInPayablesAndAccruedExpense,,"22,362,000,000","1,945,000,000","9,801,000,000","78,580,000,000","54,012,000,000","32,612,000,000","30,411,000,000","12,538,000,000","8,994,000,000","12,741,000,000","6,344,000,000","4,517,000,000","1,656,000,000","326,282,000","310,071,000","242,711,000","205,152,000","-40,797,000","-97,081,000"
				ChangeInPayable,,"-4,764,000,000","-9,214,000,000","-3,526,000,000","4,026,000,000","2,538,000,000","8,257,000,000","7,253,000,000","7,226,000,000","1,237,000,000","2,247,000,000","1,008,000,000","860,000,000","324,000,000","326,282,000","310,071,000","242,711,000","205,152,000","-40,797,000","-97,081,000"
					ChangeInTaxPayable,,"-4,764,000,000","-9,214,000,000","-3,526,000,000","4,026,000,000","2,538,000,000","3,060,000,000","6,610,000,000","4,698,000,000","1,237,000,000","1,410,000,000","1,008,000,000","-116,000,000","230,000,000",,,,,,
						ChangeInIncomeTaxPayable,,"-4,764,000,000","-9,214,000,000","-3,526,000,000","4,026,000,000","2,538,000,000","3,060,000,000","6,610,000,000","4,698,000,000","1,237,000,000","1,410,000,000","1,008,000,000","-116,000,000","230,000,000",,,,,,
					ChangeInAccountPayable,,,,,,,,,,,,,,,"449,000","-7,926,000",,,"4,185,000","-5,477,000"
				ChangeInAccruedExpense,,"27,126,000,000","11,159,000,000","13,327,000,000","74,554,000,000","51,474,000,000","24,355,000,000","23,158,000,000","5,312,000,000","7,757,000,000","10,494,000,000","5,336,000,000","3,657,000,000","1,332,000,000",,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,"-237,841,000","-230,627,000","-101,405,000","-89,011,000",
			ChangeInOtherCurrentLiabilities,,,,,,"2,878,000,000","1,184,000,000","1,389,000,000","875,000,000","113,000,000","2,490,000,000","1,628,000,000","2,338,000,000","583,000,000",,"190,887,000","-30,268,000",,,
			ChangeInOtherWorkingCapital,,"1,510,000,000","2,932,000,000","4,545,000,000","15,539,000,000","10,792,000,000","9,823,000,000","7,079,000,000","5,486,000,000","2,463,000,000","2,956,000,000","1,905,000,000","1,801,000,000","598,000,000","-149,925,000","712,103,000","950,714,000","355,461,000","699,496,000","441,197,000"
		TaxesRefundPaid,,,,,,,,,,,,,,,"-221,648,000","-96,782,000",,,"-182,638,000","-82,493,000"
InvestingCashFlow,"-70,248,000,000","-21,824,000,000","-135,506,000,000","-198,592,000,000","-244,194,000,000","-108,072,000,000","-151,060,000,000","-83,764,000,000","-79,579,000,000","-42,831,000,000","-53,454,000,000","-32,997,000,000","545,000,000","-125,000,000","-1,585,468,000","-2,746,975,000","-1,222,244,000","-3,110,921,000","-101,947,000","-794,367,000"
	CashFlowFromContinuingInvestingActivities,,"-21,824,000,000","-135,506,000,000","-198,592,000,000","-244,194,000,000","-108,072,000,000","-151,060,000,000","-83,764,000,000","-79,579,000,000","-42,831,000,000","-53,454,000,000","-32,997,000,000","545,000,000","-125,000,000","-1,585,468,000","-2,746,975,000","-1,222,244,000","-3,110,921,000","-101,947,000","-794,367,000"
