name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2000
TotalAssets,"272,325,000","280,794,000","266,324,000","261,372,000","297,262,000","172,046,000","197,989,000","199,595,000","213,334,000","212,054,000","195,611,000","192,102,000","241,571,000","275,794,000","284,273,000","300,152,000","339,531,000","305,170,000","246,108,000","189,237,000","111,963,000","93,693,254","45,572,000"
	CurrentAssets,"127,772,000","147,431,000","129,998,000","100,193,000","98,750,000","99,798,000","110,229,000","110,044,000","128,731,000","144,400,000","121,083,000","116,706,000","124,378,000","139,043,000","135,755,000","125,864,000","140,197,000","125,596,000","147,807,000","109,955,000","52,113,000","42,703,671",
		CashCashEquivalentsAndShortTermInvestments,"44,327,000","42,198,000","32,845,000","34,840,000","26,726,000","17,894,000","30,445,000","32,483,000","46,654,000","66,510,000","44,665,000","45,171,000","46,367,000","58,755,000","60,399,000","47,000,000","66,261,000","53,109,000","90,950,000","67,327,000","20,601,000","15,865,961","7,098,000"
			CashAndCashEquivalents,"44,327,000","42,198,000","32,845,000","34,840,000","26,726,000","17,894,000","30,445,000","32,483,000","45,196,000","65,389,000","44,665,000","45,171,000","46,367,000","58,755,000","60,399,000","47,000,000","66,261,000","53,109,000","90,950,000","67,327,000","20,601,000","15,865,961","7,098,000"
			OtherShortTermInvestments,,,,,,,,"0","1,458,000","1,121,000","0",,,,,,,,,,,,
		Receivables,"8,569,000","15,374,000","11,701,000","8,295,000","11,526,000","10,588,000","13,302,000","12,939,000","13,346,000","11,461,000","14,542,000","9,428,000","7,878,000","7,923,000","5,337,000","8,288,000","7,068,000","7,389,000","6,629,000","3,792,000","1,678,000","1,664,545",
			AccountsReceivable,"8,569,000","15,374,000","11,701,000","8,295,000","11,526,000","10,588,000","13,302,000","12,939,000","13,346,000","11,461,000","14,542,000","9,428,000",,,,"8,288,000","7,068,000","7,389,000","6,629,000",,,,
				GrossAccountsReceivable,"15,504,000","21,246,000","18,801,000","15,695,000","17,826,000","15,988,000","16,402,000","16,539,000","16,346,000","14,661,000","16,442,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-6,935,000","-5,872,000","-7,100,000","-7,400,000","-6,300,000","-5,400,000","-3,100,000","-3,600,000","-3,000,000","-3,200,000","-1,900,000",,,,,,,,,,,,
		Inventory,"63,499,000","70,485,000","71,809,000","46,947,000","53,381,000","58,356,000","53,136,000","51,885,000","53,877,000","51,939,000","50,248,000","46,904,000","51,860,000","46,475,000","44,384,000","50,586,000","48,638,000","50,905,000","40,157,000","30,791,000","22,573,000","21,570,324",
		PrepaidAssets,"4,909,000","10,673,000","5,915,000","4,257,000","3,302,000","9,566,000","8,575,000","7,191,000","7,852,000","7,848,000","4,608,000","8,736,000","17,854,000","18,425,000","19,329,000","16,151,000","14,624,000","11,805,000","6,839,000","5,320,000","7,262,000","3,602,841",
		CurrentDeferredAssets,,,,,,,,,,"1,378,000","81,000","987,000","419,000","7,465,000","6,306,000","3,839,000","3,606,000","2,388,000","3,232,000","2,725,000",,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"1,378,000","81,000","987,000","419,000","7,465,000","6,306,000","3,839,000","3,606,000","2,388,000","3,232,000","2,725,000",,,
		OtherCurrentAssets,"6,468,000","8,701,000","7,728,000","5,854,000","3,815,000","3,394,000","4,771,000","5,546,000","7,002,000","6,642,000","6,939,000","5,480,000",,,,,,"0","0",,"-1,000",,
	TotalNonCurrentAssets,"144,553,000","133,363,000","136,326,000","161,179,000","198,512,000","72,248,000","87,760,000","89,551,000","84,603,000","67,654,000","74,528,000","75,396,000","117,193,000","136,751,000","148,518,000","174,288,000","199,334,000","179,574,000","98,301,000","79,282,000","59,850,000","50,989,583",
		NetPPE,"128,705,000","122,550,000","126,637,000","157,798,000","191,999,000","66,368,000","77,751,000","74,924,000","67,741,000","62,766,000","70,163,000","71,459,000","77,445,000","88,029,000","101,044,000","123,193,000","139,841,000","130,347,000","89,973,000","75,815,000","56,358,000","48,071,181",
			GrossPPE,"299,098,000","287,619,000","284,996,000","306,795,000","370,377,000","240,964,000","250,946,000","247,257,000","251,427,000","247,810,000","247,675,000","260,593,000","252,463,000","251,635,000","245,457,000","242,646,000","236,003,000","204,049,000","144,476,000","115,548,000","79,440,000","61,972,355",
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
				LandAndImprovements,"2,261,000","2,261,000","2,261,000","2,261,000","2,261,000","2,261,000","2,261,000","2,261,000","2,261,000","2,261,000","2,261,000","2,261,000","2,261,000","2,261,000","2,261,000","2,261,000","2,261,000","2,261,000",,,,,
				BuildingsAndImprovements,"88,413,000","86,760,000","14,970,000","14,970,000","14,970,000","14,970,000","14,970,000","14,970,000","14,970,000","14,970,000","14,970,000","14,970,000","14,970,000","14,970,000","14,970,000","14,970,000","154,887,000","137,013,000","98,991,000","78,321,000","48,308,000","38,023,837",
				MachineryFurnitureEquipment,"99,477,000","88,895,000","86,099,000","83,598,000","114,789,000","115,292,000","114,224,000","110,301,000","113,344,000","105,651,000","103,721,000","104,579,000","95,337,000","95,151,000","87,446,000","82,872,000","60,770,000","49,587,000","32,382,000","27,328,000","24,094,000","19,174,576",
				OtherProperties,,"71,791,000","77,671,000","104,825,000","126,144,000",,,,,,,,,,,"20,153,000","14,906,000","12,988,000","7,250,000","9,899,000","7,038,000","4,773,942",
				ConstructionInProgress,"7,821,000","10,895,000","4,952,000","3,707,000","9,615,000","3,583,000","7,774,000","6,152,000","6,871,000","5,034,000","2,655,000","2,381,000","2,543,000","1,918,000","1,886,000","2,820,000","3,179,000","2,200,000","5,853,000",,,,
				Leases,"101,126,000","98,808,000","99,043,000","97,434,000","102,598,000","104,858,000","111,717,000","113,573,000","113,981,000","119,894,000","124,068,000","136,402,000","137,352,000","137,335,000","138,894,000","139,723,000",,,,,,,
			AccumulatedDepreciation,"-170,393,000","-165,069,000","-158,359,000","-148,997,000","-178,378,000","-174,596,000","-173,195,000","-172,333,000","-183,686,000","-185,044,000","-177,512,000","-189,134,000","-175,018,000","-163,606,000","-144,413,000","-119,453,000","-96,162,000","-73,702,000","-54,503,000","-39,733,000","-23,082,000","-13,901,174",
		GoodwillAndOtherIntangibleAssets,,,,,"0","731,000","995,000","1,721,000","1,738,000","304,000","518,000","633,000","32,961,000","33,851,000","37,381,000","34,383,000","46,856,000","44,587,000","1,454,000","1,411,000","1,590,000","1,417,371",
			Goodwill,,,,,,,,,,,,"0","32,306,000","32,407,000","33,780,000","30,480,000","42,840,000","42,327,000",,,,,
			OtherIntangibleAssets,,,,,,"731,000","995,000","1,721,000","1,738,000","304,000","518,000","633,000","655,000","1,444,000","3,601,000","3,903,000","4,016,000","2,260,000","1,454,000","1,411,000","1,590,000","1,417,371",
		InvestmentsAndAdvances,,,,,,,,,,,,,,,"0","7,721,000",,,,,,,
		NonCurrentDeferredAssets,"10,803,000","7,445,000","8,310,000","1,037,000","3,411,000","3,099,000","6,381,000","8,256,000","10,864,000","2,807,000",,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"8,682,000","6,592,000","7,613,000","0","3,411,000","3,099,000","6,381,000","8,256,000","10,864,000","2,807,000",,,,,,,,,,,,,
		OtherNonCurrentAssets,"5,045,000","3,368,000","1,379,000","2,344,000","3,102,000","2,050,000","2,633,000","4,650,000","4,260,000","1,777,000","3,847,000","3,304,000","6,787,000","14,871,000","10,093,000","8,991,000","12,637,000","4,640,000","6,874,000","2,056,000","1,902,000","1,501,031",
TotalLiabilitiesNetMinorityInterest,"142,663,000","161,677,000","172,641,000","194,064,000","208,631,000","77,732,000","90,674,000","100,483,000","113,920,000","114,429,000","111,221,000","108,965,000","112,328,000","118,081,000","119,493,000","132,427,000","145,923,000","134,727,000","115,751,000","93,727,000","90,423,000","78,162,054","35,514,000"
