name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007,02/28/2006,02/28/2005,02/29/2004,02/28/2003,02/28/2002,02/28/2001,02/29/2000,02/28/1999,02/28/1998,02/28/1997,02/29/1996,02/28/1995,02/28/1994,02/28/1993,02/29/1992,02/28/1991,02/28/1990,03/31/1989,03/31/1988,03/31/1987,03/31/1986
TotalAssets,"14,967,000,000","15,803,000,000","17,504,000,000","19,067,000,000","15,591,000,000","12,901,000,000","13,049,000,000","13,856,000,000","13,519,000,000","15,245,000,000","14,013,000,000","16,005,000,000","17,849,000,000","18,302,000,000","15,826,000,000","12,758,000,000","13,570,000,000","11,864,000,000","10,294,000,000","8,652,000,000","7,694,000,000","7,367,000,000","4,840,000,000","2,995,342,000","2,531,623,000","2,056,300,000","1,734,300,000","1,890,800,000","1,507,100,000","952,500,000","439,100,000","337,200,000","185,500,000","156,800,000","139,900,000","140,300,000","87,600,000","31,900,000"
	CurrentAssets,"7,897,000,000","8,802,000,000","10,539,000,000","12,540,000,000","8,857,000,000","8,870,000,000","9,829,000,000","10,516,000,000","9,886,000,000","11,472,000,000","10,485,000,000","10,297,000,000","10,473,000,000","10,566,000,000","8,192,000,000","7,342,000,000","9,081,000,000","7,985,000,000","6,903,000,000","5,724,000,000","4,898,000,000","4,600,000,000","2,929,000,000","2,238,460,000","2,071,827,000","1,710,300,000","1,385,000,000","1,560,500,000","1,240,700,000","764,600,000","304,900,000","273,100,000","139,600,000","128,000,000","113,000,000","111,400,000","74,600,000","28,400,000"
		CashCashEquivalentsAndShortTermInvestments,"1,447,000,000","1,874,000,000","2,936,000,000","5,494,000,000","2,229,000,000","1,980,000,000","3,133,000,000","3,921,000,000","3,281,000,000","3,888,000,000","2,901,000,000","1,199,000,000","1,125,000,000","1,916,000,000","509,000,000","1,502,000,000","3,793,000,000","3,799,000,000","3,348,000,000","2,600,000,000","1,914,000,000","1,861,000,000","747,000,000","750,723,000","785,777,000","520,100,000","89,800,000","86,400,000","144,700,000","59,900,000","7,100,000","112,800,000","27,100,000","23,800,000","800,000","600,000","2,600,000","100,000"
			CashAndCashEquivalents,"1,447,000,000","1,874,000,000","2,936,000,000","5,494,000,000","2,229,000,000","1,980,000,000","1,101,000,000","2,240,000,000","1,976,000,000","2,432,000,000","2,678,000,000","1,199,000,000","1,103,000,000","1,826,000,000","498,000,000","1,438,000,000","1,205,000,000","748,000,000","354,000,000","245,000,000","1,914,000,000","1,861,000,000","747,000,000","750,723,000","785,777,000","520,100,000","89,800,000","86,400,000","144,700,000","59,900,000","7,100,000","112,800,000","27,100,000","23,800,000","800,000","600,000","2,600,000","100,000"
				CashFinancial,,,"1,352,000,000","1,935,000,000","561,000,000","570,000,000","577,000,000","709,000,000","768,000,000","772,000,000","973,000,000","856,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,"1,584,000,000","3,559,000,000","1,668,000,000","1,410,000,000","524,000,000","1,531,000,000","1,208,000,000","1,660,000,000","1,705,000,000","343,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,"0","2,032,000,000","1,681,000,000","1,305,000,000","1,456,000,000","223,000,000","0","22,000,000","90,000,000","11,000,000","64,000,000","2,588,000,000","3,051,000,000","2,994,000,000","2,355,000,000",,,,,,,,,,,,,,,,,,
		Receivables,"939,000,000","1,141,000,000","1,042,000,000","1,061,000,000","1,149,000,000","1,015,000,000","1,049,000,000","1,347,000,000","1,162,000,000","1,280,000,000","1,308,000,000","2,288,000,000","2,348,000,000","2,020,000,000","1,868,000,000","549,000,000","548,000,000","439,000,000","375,000,000","343,000,000","312,000,000","221,000,000","209,000,000","189,301,000","132,401,000","95,700,000","79,600,000","121,400,000","84,400,000","52,900,000","38,000,000","16,000,000","8,700,000","7,300,000","6,500,000","8,200,000","6,800,000","3,400,000"
			AccountsReceivable,"939,000,000","1,141,000,000","1,042,000,000","1,061,000,000","1,149,000,000","1,015,000,000","1,049,000,000","1,347,000,000","1,162,000,000","1,280,000,000","1,308,000,000","2,288,000,000","2,348,000,000",,"1,868,000,000","549,000,000","548,000,000","439,000,000","375,000,000","343,000,000","312,000,000","221,000,000","209,000,000",,,,,,,,,,,,,,,
				GrossAccountsReceivable,"971,000,000","1,171,000,000","1,081,000,000","1,099,000,000","1,173,000,000","1,038,000,000","1,086,000,000","1,399,000,000","1,211,000,000","1,339,000,000","1,412,000,000","2,360,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
