name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007,02/28/2006,02/28/2005,02/29/2004,02/28/2003,02/28/2002,02/28/2001,02/29/2000,02/28/1999,02/28/1998,02/28/1997,02/29/1996,02/28/1995,02/28/1994,02/28/1993,02/29/1992,02/28/1991,02/28/1990
OperatingCashFlow,"2,106,000,000","1,470,000,000","1,824,000,000","3,252,000,000","4,927,000,000","2,565,000,000","2,408,000,000","2,141,000,000","2,557,000,000","1,343,000,000","1,935,000,000","1,094,000,000","3,293,000,000","1,190,000,000","2,206,000,000","1,877,000,000","2,025,000,000","1,762,000,000","1,740,000,000","1,981,000,000","1,335,000,000","699,000,000","1,273,000,000","803,000,000","760,228,000","662,431,000","450,443,000","13,200,000","99,500,000","-37,400,000","-126,200,000","-31,000,000","6,300,000","21,600,000","34,200,000"
	CashFlowFromContinuingOperatingActivities,"2,106,000,000","1,470,000,000","1,824,000,000","3,252,000,000","4,927,000,000","2,565,000,000","2,408,000,000","2,141,000,000","2,557,000,000","1,343,000,000","1,935,000,000","1,094,000,000","3,293,000,000","1,190,000,000","2,206,000,000","1,877,000,000","2,025,000,000","1,762,000,000","1,740,000,000","1,981,000,000","1,387,000,000","778,000,000","1,543,000,000","861,000,000","760,228,000","662,431,000","450,443,000","13,200,000","99,500,000","-37,400,000","-126,200,000","-31,000,000","6,300,000","21,600,000","34,200,000"
		NetIncomeFromContinuingOperations,"1,260,000,000","1,241,000,000","1,419,000,000","2,454,000,000","1,798,000,000","1,541,000,000","1,464,000,000","1,000,000,000","1,228,000,000","897,000,000","1,235,000,000","523,000,000","22,000,000","1,366,000,000","1,394,000,000","1,033,000,000","1,407,000,000","1,377,000,000","1,140,000,000","934,000,000","800,000,000","622,000,000","570,000,000","401,000,000","347,070,000","216,282,000","81,938,000","1,700,000","48,000,000","57,700,000","41,700,000","19,900,000","9,600,000","4,500,000","5,700,000"
		OperatingGainsLosses,,"-21,000,000",,,,,,,,"-99,000,000","-1,000,000","143,000,000","-55,000,000",,,"42,000,000","-3,000,000","-11,000,000","-3,000,000","45,000,000","38,000,000","26,000,000","46,000,000","20,609,000",,,"3,300,000","500,000","1,300,000","800,000","700,000","500,000","400,000","600,000","700,000"
			GainLossOnSaleOfBusiness,"0","-21,000,000","0","0",,,,"0","0","-99,000,000","-1,000,000","143,000,000","0",,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,"-55,000,000",,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"887,000,000","923,000,000","918,000,000","869,000,000","839,000,000","812,000,000","770,000,000","683,000,000","654,000,000","657,000,000","656,000,000","716,000,000","945,000,000","978,000,000","926,000,000","793,000,000","580,000,000","509,000,000","456,000,000","459,000,000","385,000,000","310,000,000","245,000,000","165,000,000","109,541,000","78,367,000","71,584,000","67,300,000","54,900,000","38,600,000","22,400,000","14,800,000","10,000,000","7,800,000","5,500,000"
			DepreciationAndAmortization,"887,000,000","923,000,000","918,000,000","869,000,000","839,000,000","812,000,000","770,000,000","683,000,000","654,000,000","657,000,000","656,000,000","716,000,000","945,000,000","978,000,000","926,000,000","793,000,000","580,000,000","509,000,000","456,000,000","459,000,000","385,000,000","310,000,000","245,000,000","165,000,000","109,541,000","78,367,000","71,584,000","67,300,000","54,900,000","38,600,000","22,400,000","14,800,000","10,000,000","7,800,000","5,500,000"
				Depreciation,,"862,000,000","832,000,000","787,000,000",,,,"683,000,000","654,000,000","657,000,000","656,000,000","701,000,000","897,000,000","896,000,000","838,000,000","730,000,000",,,,,,,"242,000,000","164,000,000",,,,,,,,,,,
				AmortizationCashFlow,,"61,000,000","86,000,000","82,000,000",,,,,,"0","0","15,000,000","48,000,000","82,000,000","88,000,000","63,000,000",,,,,,,"3,000,000","1,000,000",,,,,,,,,,,
