name,ttm,04/30/2024,04/30/2023,04/30/2022,04/30/2021,04/30/2020,04/30/2019,04/30/2018,04/30/2017,04/30/2016,04/30/2015,04/30/2014,04/30/2013,04/30/2012
OperatingCashFlow,"-25,990,000","-5,122,000","91,670,000","1,161,000","32,896,000","-8,676,000","121,791,000","60,042,000","67,986,000","83,083,000","17,725,000","50,736,000","59,488,000","60,689,000"
	CashFlowFromContinuingOperatingActivities,"-25,679,000","-1,545,000","90,513,000","-16,195,000","27,049,000","-8,676,000","121,791,000","60,042,000","67,986,000","83,083,000","17,725,000","50,736,000","59,488,000","60,689,000"
		NetIncomeFromContinuingOperations,"-111,989,000","-62,481,000","-90,140,000","-61,559,000","-133,569,000","-38,250,000","-24,374,000","-252,566,000","5,361,000","84,000","19,132,000","35,106,000","30,174,000","36,425,000"
		DepreciationAmortizationDepletion,"43,364,000","40,560,000","42,189,000","42,510,000","45,949,000","65,942,000","66,961,000","65,586,000","53,318,000","52,690,000","50,509,000","48,014,000","46,849,000","45,343,000"
			DepreciationAndAmortization,"43,364,000","40,560,000","42,189,000","42,510,000","45,949,000","65,942,000","66,961,000","65,586,000","53,318,000","52,690,000","50,509,000","48,014,000","46,849,000","45,343,000"
				Depreciation,"43,364,000","40,560,000","42,163,000","42,124,000","45,204,000","61,860,000","65,865,000","65,586,000","53,318,000",,,,,
				AmortizationCashFlow,,"0","26,000","386,000","745,000","4,082,000","1,096,000","0","0",,,,,
					AmortizationOfIntangibles,,"0","26,000","386,000","745,000","4,082,000","1,096,000","0","0",,,,,
		DeferredTax,"-530,000","-550,000","409,000","-17,838,000","-7,772,000","-5,380,000","-4,531,000","-14,765,000","-11,961,000","-11,868,000","-11,332,000","-9,962,000","-7,621,000","-2,189,000"
			DeferredIncomeTax,"-530,000","-550,000","409,000","-17,838,000","-7,772,000","-5,380,000","-4,531,000","-14,765,000","-11,961,000","-11,868,000","-11,332,000","-9,962,000","-7,621,000","-2,189,000"
		AssetImpairmentCharge,,"7,166,000","6,008,000","6,411,000","27,630,000","433,000","57,748,000","313,130,000","0","11,987,000","0","0","209,000","161,000"
		StockBasedCompensation,"1,560,000","3,380,000","4,715,000","5,726,000","4,678,000","6,638,000","9,017,000","8,459,000","9,366,000","6,670,000","4,741,000","2,373,000","1,019,000","620,000"
		OtherNonCashItems,"16,975,000","15,802,000","3,129,000","1,906,000","16,072,000","1,095,000","1,550,000","1,502,000","792,000","488,000","2,340,000",,"1,228,000",
		ChangeInWorkingCapital,"-37,458,000","-5,422,000","124,203,000","6,649,000","74,061,000","-39,154,000","15,420,000","-61,304,000","11,110,000","23,032,000","-45,325,000","-24,795,000","-11,142,000","-19,671,000"
			ChangeInReceivables,"-13,547,000","-11,598,000","43,489,000","-15,532,000","-30,244,000","7,320,000","1,814,000","-13,670,000","-6,407,000","25,732,000","-37,550,000","-2,707,000","-5,505,000","-4,172,000"
			ChangeInInventory,"-14,547,000","-23,701,000","-29,862,000","-14,096,000","144,885,000","-2,326,000","24,015,000","-4,448,000","2,047,000","-15,533,000","-22,565,000","-32,991,000","-26,076,000","-42,898,000"
			ChangeInPrepaidAssets,"44,076,000","31,593,000","19,610,000","2,100,000","-35,256,000","-4,399,000","69,000","-2,648,000","-2,834,000","-2,206,000","-504,000","-1,481,000","-479,000","1,952,000"
			ChangeInPayablesAndAccruedExpense,"-26,445,000","19,257,000","82,343,000","45,943,000","-10,411,000","-59,095,000","-5,138,000","-3,715,000","4,069,000","9,147,000","6,959,000","18,610,000","19,427,000","25,820,000"
			ChangeInOtherWorkingCapital,"-26,995,000","-20,973,000","8,623,000","-11,766,000","5,087,000","19,346,000","-5,340,000","-36,823,000","14,235,000","5,892,000","8,335,000","-6,226,000","1,491,000","-373,000"
	CashFromDiscontinuedOperatingActivities,"-311,000","-3,577,000","1,157,000","17,356,000","5,847,000",,,,,,,,,
InvestingCashFlow,"-13,098,000","7,403,000","-31,043,000","-42,661,000","-36,888,000","-37,019,000","-55,620,000","-100,032,000","-224,438,000","-68,744,000","-58,185,000","-37,445,000","-49,108,000","-43,302,000"
	CashFlowFromContinuingInvestingActivities,"-13,098,000","-13,992,000","-24,501,000","-32,735,000","-27,227,000","-37,019,000","-55,620,000","-100,032,000","-224,438,000","-68,744,000","-58,185,000","-37,445,000","-49,108,000","-43,302,000"
		NetPPEPurchaseAndSale,"-13,321,000","-14,070,000","-25,092,000","-33,607,000","-27,562,000","-36,192,000","-46,420,000","-42,809,000","-34,670,000","-50,790,000","-48,452,000","-38,253,000","-38,760,000","-40,479,000"
			PurchaseOfPPE,"-13,321,000","-14,070,000","-25,092,000","-33,607,000","-27,562,000","-36,192,000","-46,420,000","-42,809,000","-34,670,000","-50,790,000","-48,452,000","-38,253,000","-38,760,000","-40,479,000"
		NetBusinessPurchaseAndSale,"0",,,,"0","0","-10,000,000","-58,259,000","-186,720,000","-17,843,000","0","0",,
			PurchaseOfBusiness,"0",,,,"0","0","-10,000,000","-58,259,000","-186,720,000","-17,843,000","0","0",,
		NetOtherInvestingChanges,"223,000","78,000","591,000","872,000","335,000","-827,000","800,000","1,036,000","-3,048,000","-111,000","-9,733,000","808,000","-10,348,000","-2,823,000"
	CashFromDiscontinuedInvestingActivities,"0","21,395,000","-6,542,000","-9,926,000","-9,661,000",,,,,,,,,
FinancingCashFlow,"41,069,000","-5,699,000","-49,675,000","45,721,000","11,799,000","39,935,000","-68,272,000","35,162,000","147,283,000","-28,289,000","-46,841,000","64,129,000","6,794,000","-23,704,000"
