name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012
TotalAssets,"7,706,840,000","7,269,597,000","7,089,513,000","6,781,092,000","5,593,859,000","3,079,172,000","2,812,829,000","2,574,483,000","2,571,813,000","2,624,569,000","2,621,092,000","2,478,082,000","2,501,143,000"
	CurrentAssets,"2,327,024,000","2,283,792,000","2,547,644,000","2,510,616,000","1,417,371,000","1,271,900,000","1,100,433,000","928,324,000","932,982,000","987,483,000","1,016,520,000","879,654,000","877,988,000"
		CashCashEquivalentsAndShortTermInvestments,"925,359,000","872,623,000","1,091,091,000","1,380,276,000","403,074,000","112,274,000","133,286,000","81,597,000","20,915,000","25,349,000","132,984,000","43,336,000","35,664,000"
			CashAndCashEquivalents,"925,359,000","872,623,000","1,091,091,000","1,380,276,000","403,074,000","112,274,000","133,286,000","81,597,000","20,915,000","25,349,000","132,984,000","43,336,000","35,664,000"
		Receivables,"74,361,000","71,091,000","54,089,000","62,161,000","91,508,000","58,752,000","71,649,000","43,252,000","38,571,000","49,716,000","35,678,000","41,734,000","40,119,000"
			AccountsReceivable,"74,361,000","71,091,000","54,089,000","62,161,000","91,508,000","58,752,000","71,649,000","43,252,000","38,571,000","49,716,000","35,678,000","41,734,000","40,119,000"
				GrossAccountsReceivable,"76,674,000","72,343,000","57,394,000","67,016,000","92,303,000","58,830,000","71,748,000","43,514,000","38,843,000","49,827,000","35,787,000","41,815,000","40,204,000"
				AllowanceForDoubtfulAccountsReceivable,"-2,313,000","-1,252,000","-3,305,000","-4,855,000","-795,000","-78,000","-99,000","-262,000","-272,000","-111,000","-109,000","-81,000","-85,000"
		Inventory,"1,087,841,000","1,181,982,000","1,021,009,000","740,788,000","777,248,000","954,183,000","752,562,000","701,891,000","783,528,000","788,708,000","720,052,000","680,190,000","682,260,000"
			FinishedGoods,"1,087,841,000","1,181,982,000","1,021,009,000","740,788,000","777,248,000","954,183,000","752,562,000","701,891,000","783,528,000","788,708,000","720,052,000","680,190,000","682,260,000"
		PrepaidAssets,,,"370,515,000","314,154,000","136,698,000","124,809,000","115,136,000","73,784,000","62,168,000","58,681,000","82,231,000","73,461,000","61,381,000"
		RestrictedCash,"0","6,582,000","6,582,000","6,582,000","6,582,000","21,882,000","27,800,000","27,800,000","27,800,000","27,800,000","32,100,000","34,800,000","34,800,000"
		CurrentDeferredAssets,,,,,,,,,"0","37,229,000","13,475,000","6,133,000","23,243,000"
			CurrentDeferredTaxesAssets,,,,,,,,,"0","37,229,000","13,475,000","6,133,000","23,243,000"
		AssetsHeldForSaleCurrent,"23,299,000","19,823,000","4,358,000","6,655,000","2,261,000","0",,,,,,"191,000","521,000"
		OtherCurrentAssets,"216,164,000","131,691,000","370,515,000",,,,,,,,,,
	TotalNonCurrentAssets,"5,379,816,000","4,985,805,000","4,541,869,000","4,270,476,000","4,176,488,000","1,807,272,000","1,712,396,000","1,646,159,000","1,638,831,000","1,637,086,000","1,604,572,000","1,598,428,000","1,623,155,000"
		NetPPE,"5,013,093,000","4,613,937,000","4,190,710,000","3,908,229,000","3,801,015,000","1,253,705,000","1,134,772,000","1,049,447,000","1,018,570,000","970,419,000","902,657,000","878,305,000","865,215,000"
			GrossPPE,"6,966,043,000","6,331,827,000","5,842,157,000","5,406,884,000","5,163,297,000","2,543,908,000","2,325,059,000","2,176,784,000","2,045,754,000","1,903,314,000","1,727,961,000","1,601,175,000","1,482,162,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"105,645,000","112,513,000","148,144,000","148,973,000","149,426,000","156,040,000","159,465,000","157,272,000","159,044,000","159,246,000","162,331,000","162,849,000","162,985,000"
				BuildingsAndImprovements,"413,634,000","394,798,000","490,698,000","492,289,000","491,389,000","485,265,000","465,207,000","452,497,000","438,609,000","424,601,000","365,101,000","361,028,000","358,631,000"
				MachineryFurnitureEquipment,"1,941,697,000","1,746,729,000","1,608,074,000","1,353,370,000","1,304,320,000","1,183,691,000","1,067,762,000","968,499,000","921,250,000","831,049,000","731,889,000","653,058,000","577,413,000"
				OtherProperties,"3,132,768,000","2,945,932,000","2,638,473,000","2,469,366,000","2,397,842,000",,,,,,,,
