name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
OperatingCashFlow,"1,452,000,000","1,397,000,000","1,180,000,000","1,210,000,000","1,184,000,000","1,008,000,000","1,126,000,000","1,180,000,000","1,035,700,000","867,900,000","801,800,000","718,800,000","878,700,000","708,200,000","538,900,000","351,000,000","400,800,000","603,500,000","442,100,000","396,500,000","426,600,000","306,900,000","261,400,000","194,000,000","303,000,000","344,500,000","132,600,000","167,400,000","177,900,000","112,200,000","157,700,000","74,100,000","37,100,000"
	CashFlowFromContinuingOperatingActivities,"1,452,000,000","1,397,000,000","1,180,000,000","1,210,000,000","1,184,000,000","1,008,000,000","1,126,000,000","1,180,000,000","1,035,700,000","867,900,000","801,800,000","718,800,000","878,700,000","708,200,000","538,900,000","351,000,000","400,800,000","603,500,000","442,100,000","396,500,000","426,600,000","306,900,000","261,400,000","194,000,000","303,000,000","344,500,000","132,600,000","167,400,000","177,900,000","112,200,000","157,700,000","74,100,000","37,100,000"
		NetIncomeFromContinuingOperations,"832,000,000","702,000,000","718,000,000","445,000,000","567,000,000","797,000,000","985,000,000","483,000,000","636,700,000","613,900,000","687,500,000","651,000,000","522,400,000","570,600,000","396,200,000","36,400,000","-19,300,000","288,500,000","211,600,000","239,600,000","218,300,000","174,900,000","-119,100,000","66,000,000","94,000,000","132,300,000","94,700,000","103,200,000","41,800,000","74,200,000","64,400,000","32,800,000","-12,100,000"
		OperatingGainsLosses,"124,000,000","122,000,000","36,000,000","383,000,000","4,000,000","-170,000,000","-8,800,000","-32,000,000","110,100,000","-7,000,000","-2,100,000","-21,300,000","24,000,000","13,700,000","1,700,000","21,300,000","12,000,000","16,000,000","35,200,000","1,300,000","31,600,000","9,200,000","285,700,000","4,000,000","26,000,000","-14,100,000","-11,400,000","-11,800,000","46,700,000","-19,200,000",,,
			GainLossOnSaleOfBusiness,"-3,000,000","-5,000,000","-16,000,000","29,000,000","0","-170,000,000","0","0","127,100,000",,"0","0","31,700,000","21,500,000","0",,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,"-19,400,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"174,000,000","73,000,000","362,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"0",,,,,"0","-15,000,000","-32,000,000","-17,000,000","-32,700,000","-5,200,000","-21,300,000","-7,700,000","-7,800,000","1,700,000","21,300,000","12,000,000",,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,"-19,000,000","-21,000,000","-28,000,000","4,000,000","27,000,000","0","0","0","25,700,000","3,100,000","0",,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"608,000,000","582,000,000","552,000,000","574,000,000","568,000,000","439,000,000","431,000,000","408,000,000","391,400,000","320,200,000","330,400,000","299,400,000","288,600,000","283,000,000","252,900,000","260,900,000","286,800,000","264,600,000","256,600,000","255,500,000","177,000,000","161,300,000","137,400,000","104,000,000","146,000,000","123,400,000","91,600,000","87,100,000","84,800,000","77,600,000","70,500,000","67,600,000","74,000,000"
