name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalRevenue,"14,342,000,000","14,198,000,000","12,635,000,000","11,803,000,000","10,165,000,000","10,168,000,000","10,530,000,000","9,799,000,000","9,071,000,000","8,023,200,000","8,305,100,000","7,436,600,000","7,183,200,000","7,114,700,000","5,652,800,000","3,961,800,000","5,263,900,000","5,328,600,000","4,585,400,000","4,293,800,000","3,525,300,000","3,069,200,000","2,731,100,000","2,351,600,000","2,647,000,000","2,458,600,000","1,836,800,000","1,767,000,000","1,540,100,000","1,329,100,000","1,223,400,000","985,400,000","926,000,000"
	OperatingRevenue,"14,342,000,000","14,198,000,000","12,635,000,000","11,803,000,000","10,165,000,000","10,168,000,000","10,530,000,000","9,799,000,000","9,071,000,000","8,023,200,000","8,305,100,000","7,436,600,000","7,183,200,000","7,114,700,000","5,652,800,000","3,961,800,000","5,263,900,000","5,328,600,000","4,585,400,000","4,293,800,000","3,525,300,000","3,069,200,000","2,731,100,000","2,351,600,000","2,647,000,000","2,458,600,000","1,836,800,000","1,767,000,000","1,540,100,000","1,329,100,000","1,223,400,000","985,400,000","926,000,000"
CostOfRevenue,"11,702,000,000","11,630,000,000","10,266,000,000","9,630,000,000","8,255,000,000","8,067,000,000","8,300,000,000","7,684,000,000","7,142,300,000","6,320,100,000","6,548,700,000","5,879,100,000","5,716,300,000","5,704,300,000","4,559,500,000","3,401,000,000","4,425,400,000","4,378,700,000","3,735,500,000","3,440,000,000","2,874,200,000","2,482,500,000","2,176,500,000","1,890,800,000","2,003,000,000","1,888,500,000","1,450,700,000","1,375,400,000","1,205,500,000","1,044,900,000","948,400,000","769,300,000","755,200,000"
GrossProfit,"2,640,000,000","2,568,000,000","2,369,000,000","2,173,000,000","1,910,000,000","2,101,000,000","2,230,000,000","2,115,000,000","1,928,700,000","1,703,100,000","1,756,400,000","1,557,500,000","1,466,900,000","1,410,400,000","1,093,300,000","560,800,000","838,500,000","949,900,000","849,900,000","853,800,000","651,100,000","586,700,000","554,600,000","460,800,000","644,000,000","570,100,000","386,100,000","391,600,000","334,600,000","284,200,000","275,000,000","216,100,000","170,800,000"
OperatingExpense,"1,376,000,000","1,320,000,000","1,286,000,000","1,067,000,000","989,000,000","873,000,000","942,000,000","899,000,000","818,000,000","687,700,000","702,000,000","645,600,000","646,900,000","621,000,000","569,000,000","459,800,000","542,900,000","525,100,000","489,600,000","530,700,000","342,000,000","316,800,000","302,600,000","291,700,000","390,000,000","326,700,000","226,700,000","219,100,000","207,500,000","175,400,000","162,600,000","151,100,000","143,600,000"
	SellingGeneralAndAdministration,"1,369,000,000","1,331,000,000","1,290,000,000","1,078,000,000","951,000,000","873,000,000","946,000,000","899,000,000","818,000,000","687,700,000","702,000,000","645,600,000","646,600,000","621,000,000","566,600,000","459,800,000","542,900,000","531,900,000","498,100,000","495,900,000","339,000,000","316,900,000","303,500,000","249,700,000","244,000,000","203,300,000","135,100,000","132,000,000","122,700,000","97,800,000","92,100,000","83,500,000","69,600,000"
		GeneralAndAdministrativeExpense,"1,369,000,000","1,331,000,000","1,290,000,000","1,078,000,000",,,"945,700,000","898,500,000","818,000,000","687,700,000","702,000,000","645,600,000","646,600,000","621,000,000","566,600,000",,,,,,,,,,,,,,,,,,
			SalariesAndWages,"16,000,000","15,000,000","0","-7,000,000",,,,"0","0","25,700,000","3,100,000","5,900,000","17,300,000","0","0",,,,,,,,,,,,,,,,,,
			OtherGandA,"1,353,000,000","1,316,000,000","1,290,000,000","1,085,000,000",,,"945,700,000","898,500,000","818,000,000","662,000,000","698,900,000","639,700,000","629,300,000","621,000,000","566,600,000",,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,"0","0","38,000,000","0","0",,,,,,,,,,,,,,,,,"42,000,000","146,000,000","123,400,000","91,600,000","87,100,000","84,800,000","77,600,000","70,500,000","67,600,000","74,000,000"
