name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalAssets,"766,440,000","714,352,000","716,762,000","707,560,000","660,156,000","690,499,000","717,369,000","631,699,000","607,695,000","629,161,000","565,607,000","485,825,000","466,447,000","405,527,665","314,382,572","231,046,936","182,984,687","152,108,538","119,529,723","105,486,645","95,846,750","19,427,000","12,288,764","6,628"
	CurrentAssets,"564,075,000","520,718,000","501,380,000","475,658,000","441,313,000","495,428,000","532,603,000","477,958,000","476,059,000","522,625,000","470,407,000","389,562,000","365,380,000","310,875,688","244,781,261","168,292,580","127,271,310","104,438,803","69,652,770","67,034,094","70,892,749","0","8,813","6,628"
		CashCashEquivalentsAndShortTermInvestments,"125,744,000","134,077,000","133,451,000","107,387,000","82,547,000","103,889,000","94,145,000","61,567,000","90,885,000","109,522,000","89,489,000","87,649,000","72,961,000","70,408,870","43,480,176","37,113,375","19,487,159","27,418,500","12,374,944","11,164,639","10,730,882",,"8,813","6,628"
			CashAndCashEquivalents,"114,660,000","121,216,000","131,695,000","97,248,000","76,715,000","86,346,000","64,558,000","31,092,000","69,676,000","68,505,000","53,979,000","87,649,000","72,961,000","70,408,870","43,480,176","37,113,375","19,487,159","27,418,500","12,374,944","11,164,639","10,730,882",,"8,813","6,628"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,"8,813","6,628"
				CashEquivalents,,,,,,,,,,,,,"94,781,390","70,408,870",,,,,,,,,,
			OtherShortTermInvestments,"11,084,000","12,861,000","1,756,000","10,139,000","5,832,000","17,543,000","29,587,000","30,475,000","21,209,000","41,017,000","35,510,000","0",,,,,,,,,,,,
		Receivables,"269,406,000","224,324,000","210,336,000","234,140,000","233,005,000","256,344,000","294,075,000","306,715,000","276,315,000","305,108,000","284,833,000","223,592,000","212,459,000","195,858,988","154,863,292","96,424,856","82,022,643","57,234,383","41,580,320","37,632,603","38,680,011",,,
			AccountsReceivable,"172,400,000","149,549,000","161,867,000","158,640,000","162,587,000","167,925,000","185,975,000","175,387,000","163,746,000","159,925,000","158,114,000","129,422,000","120,845,000","119,451,465","98,800,548","96,424,856","45,777,573","57,234,383","41,580,320","37,632,603","38,680,011",,,
				GrossAccountsReceivable,"173,804,000","151,312,000",,,,,,"154,403,000","141,828,000","137,165,000",,,"120,845,295","122,379,968","104,120,926",,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,404,000","-1,763,000",,,,,,,,,,,"-1,191,200","-2,928,503","-5,320,378",,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,"40,989,840","36,245,070",,,,,,,
			NotesReceivable,"112,605,000","89,134,000","61,328,000","85,354,000","72,797,000","90,412,000","109,183,000","132,409,000","113,777,000","146,597,000","128,068,000","95,436,000","92,805,000","76,407,523","56,062,744",,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,"18,825,000","19,086,000","20,984,000","21,918,000","22,760,000","17,194,000","12,286,000",,,,,,,,,,,,
			OtherReceivables,,,,,,,,"0","0","0","0","0",,"0","0","0","0","0","0","0","0",,,
			ReceivablesAdjustmentsAllowances,"-15,599,000","-14,359,000","-12,859,000","-9,854,000","-2,379,000","-1,993,000","-1,083,000","-1,081,000","-1,208,000","-1,414,000","-1,349,000","-1,266,000","-1,191,000",,,,,,,,,,,
		Inventory,"112,392,000","112,236,000","116,493,000","88,325,000","82,931,000","88,021,000","79,217,000","68,050,000","65,570,000","64,419,000","51,392,000","43,542,000","51,607,000","36,870,272","27,415,697","26,571,755","20,193,286","15,464,571","12,385,833","12,507,910","10,229,422",,,
			RawMaterials,"28,505,000","24,502,000","33,583,000","24,367,000","21,464,000","27,190,000","20,033,000","15,007,000","15,653,000","15,842,000","12,185,000","11,144,000","15,604,000","11,394,670","10,683,448","8,354,397","7,904,167","5,381,372","3,025,687","3,868,859","3,622,369",,,
			WorkInProcess,"17,123,000","16,001,000","9,415,000","10,098,000","9,469,000","11,932,000","17,951,000","10,852,000","14,222,000","11,849,000","8,079,000","7,094,000","7,344,000","7,537,766","6,824,137","4,466,720","4,181,248","3,253,192","2,559,626","2,049,963","2,110,612",,,
			FinishedGoods,"62,760,000","71,371,000","73,495,000","53,860,000","51,998,000","48,899,000","41,233,000","42,191,000","35,695,000","36,728,000","31,128,000","25,304,000","28,659,000","17,937,836","12,017,195","14,826,961","9,586,709","7,548,218","7,295,082","6,817,372","4,808,434",,,
			OtherInventories,"4,004,000","362,000",,,,,,"0","0","0","0","0",,"0","0","0","0","0","-220","0",,,,
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,"-1,929,687","-2,109,083","-1,076,323","-1,478,838","-718,211","-494,342","-228,284","-311,993",,,
		PrepaidAssets,"1,991,000","1,439,000","600,000","522,000","1,287,000","1,281,000","20,841,000","624,000","544,000","741,000","866,000","779,000","630,000","4,226,137","2,413,556","1,442,614",,,,,,,,
		RestrictedCash,"40,534,000","37,735,000","27,804,000","30,813,000","29,688,000","29,623,000","31,535,000","30,799,000","31,402,000","33,633,000","33,963,000","26,481,000","21,821,000","20,983,891","12,742,187","6,739,980","4,645,644","3,484,335","1,185,660","1,842,536","1,272,067",,,
		CurrentDeferredAssets,,,,,,,,"7,946,000","6,962,000","7,078,000","5,783,000","4,392,000","3,687,000","3,511,421","3,866,353","0",,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,"7,946,000","6,962,000","7,078,000","5,783,000","4,392,000","3,687,000","3,511,421","3,866,353","0",,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,"0","925,000","0",,,,,,,,,,,,
		OtherCurrentAssets,"14,008,000","10,907,000","12,696,000","14,471,000","11,855,000","16,270,000","12,790,000","10,203,000","4,381,000","2,124,000","3,156,000","3,127,000","2,215,000","0","0","1,442,614","922,578","837,014","2,126,013","3,886,406","9,980,367",,"0","0"
	TotalNonCurrentAssets,"202,365,000","193,634,000","215,382,000","231,902,000","218,843,000","195,071,000","184,766,000","153,741,000","131,636,000","106,536,000","95,200,000","96,263,000","101,067,000","94,651,977","69,601,311","62,754,356","55,713,377","47,669,735","49,876,953","38,452,551","24,954,001","19,427,000","0","0"
		NetPPE,"110,950,000","115,298,000","130,953,000","148,160,000","149,325,000","137,168,000","77,781,000","73,541,000","56,822,000","42,350,000","41,754,000","49,973,000","50,499,000","75,380,747","58,529,447","51,978,905","46,585,041","40,848,046","39,796,033","35,943,624","22,350,056","284,000",,
			GrossPPE,"337,954,000","331,793,000","344,622,000","333,832,000","304,298,000","281,760,000","213,900,000","188,136,000","168,039,000","146,215,000","131,649,000","123,927,000","121,368,000","132,319,530","105,712,041","89,647,945","73,064,782","59,171,634","52,081,669","43,552,725","28,050,079","316,000",,
				Properties,"0","0","0","0","0","0","63,173,000","47,448,000","51,384,000","48,956,000","43,849,000","36,881,000","39,528,000","0","0","0","0","0",,"0",,,,
				LandAndImprovements,,,,,,,,,,,,,"39,527,681","36,983,940","33,100,702","27,416,977","23,101,634","17,384,534",,"13,232,650",,,,
				BuildingsAndImprovements,"64,390,000","64,928,000","69,554,000","61,035,000","51,771,000","51,176,000",,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"246,348,000","243,693,000","258,366,000","238,337,000","204,821,000","197,390,000","170,808,000","138,756,000","125,232,000","124,206,000","113,517,000","99,310,000","103,283,000","90,648,891","70,672,083","61,223,553","48,420,283","38,506,821","52,081,669","24,203,434",,,,
				OtherProperties,"6,082,000","6,719,000","7,025,000","6,748,000","6,175,000","5,810,000","5,819,000","4,979,000","7,527,000","7,706,000","7,414,000","6,174,000","6,354,000","0","0","0","23,101,634","0","0","0",,,,
				ConstructionInProgress,"21,134,000","16,453,000","9,677,000","27,712,000","41,531,000","27,384,000","37,273,000","44,401,000","35,280,000","14,303,000","10,718,000","18,443,000","11,731,000","4,686,699","1,939,256","1,007,415","1,542,865","3,280,279",,"6,116,641",,,,
			AccumulatedDepreciation,"-227,004,000","-216,495,000","-213,669,000","-185,672,000","-154,973,000","-144,592,000","-136,119,000","-114,595,000","-111,217,000","-103,865,000","-89,895,000","-73,954,000","-70,869,000","-56,938,783","-47,182,594","-37,669,040","-26,479,741","-18,323,588","-12,285,636","-7,609,101","-5,700,023","-32,000",,
		GoodwillAndOtherIntangibleAssets,"13,098,000","10,828,000","12,544,000","12,504,000","11,698,000","8,148,000","63,834,000","48,065,000","54,785,000","53,020,000","44,535,000","37,557,000","40,365,000","662,089","561,389","504,339","589,713","3,140,548","3,503,217","392,552","218,639",,,
			Goodwill,,,,,,,,"0","608,000","645,000","0",,,,,,,,,,,,,
			OtherIntangibleAssets,"13,098,000","10,828,000","12,544,000","12,504,000","11,698,000","8,148,000","63,834,000","48,065,000","54,177,000","52,375,000","44,535,000","37,557,000","40,365,000","662,089","561,389","504,339","589,713","3,140,548","3,503,217","392,552","218,639",,,
		InvestmentsAndAdvances,"68,820,000","59,810,000","45,101,000","54,454,000","39,642,000","32,620,000","27,596,000","17,296,000","11,234,000","4,575,000","4,023,000","3,665,000","3,485,000","3,162,136","79,084","6,538,520",,,,,,,,
			LongTermEquityInvestment,"60,173,000","59,810,000",,,,,,,,,,"3,665,000",,,,,,,,,,,,
				InvestmentsInOtherVenturesUnderEquityMethod,"60,173,000","59,810,000",,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"8,647,000","0","8,135,000","4,688,000","0",,"0","865,000","5,082,000",,,,,,,,,,,,,,,
				AvailableForSaleSecurities,"8,647,000",,"8,135,000","4,688,000",,,,"865,000","5,082,000",,,,,,,,,,,,,,,
			OtherInvestments,,"59,810,000","36,966,000","49,766,000","39,642,000","32,620,000","27,596,000","16,431,000","6,152,000","4,575,000","4,023,000","3,665,000","3,485,000",,,,,,,,,,,
		NonCurrentAccountsReceivable,"598,000","46,000","358,000","179,000","307,000","1,799,000","2,188,000","2,252,000","3,896,000","1,695,000","360,000","956,000","2,377,000","2,801,434","1,064,224","1,349,527",,,,,,,,
		DuefromRelatedPartiesNonCurrent,,,,,,,,"559,000","621,000","725,000","729,000","715,000","1,138,000",,,,,,,,,,,
		NonCurrentDeferredAssets,"8,899,000","7,652,000","10,114,000","13,846,000","15,291,000","15,336,000","13,367,000","12,587,000","4,899,000","4,896,000","4,528,000","4,112,000","4,341,000","3,271,594","2,998,124","2,383,065","1,315,510",,,,,,,
			NonCurrentDeferredTaxesAssets,"8,899,000","7,652,000","10,114,000","13,846,000","15,291,000","15,336,000","13,367,000","12,587,000","4,899,000","4,896,000","4,528,000","4,112,000","4,341,000","3,271,594","2,998,124","2,383,065","1,315,510",,,,,,,
		NonCurrentPrepaidAssets,,"0","8,135,000","4,688,000","0","14,858,000","14,921,000","865,000","5,082,000","8,840,000","5,585,000","5,163,000","5,184,000","9,373,977","6,369,043",,,,,,,,,
		OtherNonCurrentAssets,,,"16,312,000","2,759,000","2,580,000",,,"802,000","5,082,000","1,619,000","360,000","849,000",,"2,801,434","0","7,888,047","7,223,113","3,681,141","6,577,703","2,116,375","2,385,306","19,143,000",,
TotalLiabilitiesNetMinorityInterest,"398,018,000","386,937,000","379,321,000","387,645,000","350,597,000","385,672,000","411,240,000","325,807,000","300,400,000","330,992,000","293,836,000","253,425,000","250,290,000","257,287,874","232,529,179","126,493,720","92,583,555","75,615,581","60,851,575","55,776,357","51,145,176","13,330,000","0","0"
	CurrentLiabilities,"383,739,000","364,195,000","351,816,000","354,484,000","303,779,000","341,300,000","373,463,000","324,667,000","298,212,000","324,515,000","291,072,000","250,816,000","217,560,000","256,683,891","232,295,238","126,259,679","92,248,955","75,302,430","60,549,961","55,579,979","50,948,629","13,330,000",,
		PayablesAndAccruedExpenses,"203,431,000","195,679,000","183,127,000","191,369,000","149,374,000","163,834,000","182,309,000","173,470,000","157,407,000","167,155,000","146,950,000","120,000,000","127,569,000","188,656,884","149,807,095","63,632,673","40,756,151","53,499,217","40,638,373","24,173,322","27,699,653","1,103,000",,
			Payables,"181,685,000","173,934,000","166,040,000","168,691,000","134,564,000","147,724,000","164,441,000","157,806,000","144,773,000","152,492,000","134,833,000","111,884,000","118,964,000","160,088,985","118,978,010","44,650,254","32,511,812","37,647,913","31,375,599","15,358,250","23,017,221","1,103,000",,
				AccountsPayable,"160,551,000","150,577,000","146,057,000","145,079,000","116,738,000","129,087,000","156,368,000","144,856,000","133,122,000","137,246,000","124,836,000","103,621,000","114,202,000","1,867,926","107,495,833","38,595,446","32,511,812","37,647,913","31,375,599","15,358,250","23,017,221","1,103,000",,
				TotalTaxPayable,"17,267,000","17,598,000","12,326,000","13,149,000","11,493,000","11,137,000","5,927,000","11,674,000","9,284,000","11,557,000","7,792,000","5,593,000","2,029,000","6,860,946","11,482,177","5,717,438",,,,,,,,
					IncomeTaxPayable,"2,293,000","680,000",,,,,,,,,,,,,,,,,,,,,,
				DividendsPayable,"424,000","431,000","471,000","460,000","0",,,,"505,000","1,574,000","35,000","162,000","808,000","1,530,445",,,,,,,,,,
				DuetoRelatedPartiesCurrent,,,"0","344,000","309,000","317,000","343,000","312,000","345,000","380,000","312,000","332,000","352,000","353,817","0",,,,,,,,,
				OtherPayable,"3,443,000","5,328,000","7,186,000","9,659,000","6,024,000","7,183,000","1,803,000","964,000","2,022,000","1,735,000","1,858,000","2,176,000","1,573,000","149,475,851","0","337,370","0","0","0","0","0","0",,
			CurrentAccruedExpenses,"21,746,000","21,745,000","17,087,000","22,678,000","14,810,000","16,110,000","17,868,000","15,664,000","12,634,000","14,663,000","12,117,000","8,116,000","8,605,000","28,567,899","30,829,085","18,982,419","8,244,339","15,851,304","9,262,774","8,815,072","4,682,432",,,
				InterestPayable,"0","465,000","507,000","646,000","104,000","423,000","1,347,000","88,000","116,000","121,000","85,000","87,000","626,000","4,927,200",,,,,,,,,,
		CurrentProvisions,"30,440,000","32,435,000","36,572,000","36,215,000","32,907,000","31,085,000","29,033,000","26,225,000","23,059,000","25,011,000","22,104,000","18,081,000","16,809,000",,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,"3,192,000","3,161,000","3,282,000","4,051,000","4,130,000","4,664,000","5,586,000","4,626,000","4,255,000","4,067,000","4,927,200",,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"141,235,000","130,427,000","129,717,000","124,533,000","116,681,000","141,985,000","156,559,000","119,760,000","111,275,000","124,689,000","115,598,000","107,564,000","67,623,000","36,794,812","35,125,802","60,888,391","28,991,174","15,384,615","14,814,815","26,774,928","9,638,554",,,
			CurrentDebt,"141,032,000","130,201,000","129,589,000","124,411,000","116,565,000","141,985,000","156,559,000","119,760,000","111,275,000","124,689,000","115,598,000","107,564,000","67,623,000","36,794,812","35,125,802","60,888,391","28,991,174","15,384,615","14,814,815","26,774,928","9,638,554",,,
				CurrentNotesPayable,"93,027,000","84,530,000","81,997,000","80,173,000","69,929,000","81,033,000","83,848,000","78,940,000","70,346,000","80,701,000","78,217,000","67,280,000","57,307,000","30,000,000","30,000,000","53,572,674","15,018,571",,,"13,160,470",,,,
				LineOfCredit,"48,005,000","45,671,000","47,592,000","36,575,000","44,199,000","53,667,000","69,650,000","37,216,000","40,929,000","39,085,000","37,381,000","40,341,000","10,316,000",,,,,,,,,,,
				OtherCurrentBorrowings,,,,"7,663,000","2,437,000","7,285,000","3,061,000","3,604,000","40,929,000","4,903,000","37,381,000","-57,000","10,316,000","6,794,812","5,125,802","7,315,717","13,972,603",,,"13,614,458",,,,
			CurrentCapitalLeaseObligation,"203,000","226,000","128,000","122,000","116,000","0",,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"8,633,000","5,654,000","2,400,000","2,367,000","1,656,000","1,114,000","1,511,000","1,082,000","1,807,000","2,074,000","1,794,000","916,000","1,492,000","1,033,187","1,918,835",,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,,,"193,000","194,000","189,000","117,000","46,000","311,000","312,304",,,,,,,,,,
			CurrentDeferredRevenue,"8,633,000","5,654,000","2,400,000","2,367,000","1,656,000","1,114,000","1,511,000","1,082,000","1,613,000","1,885,000","1,677,000","870,000","1,181,000","720,883","1,918,835",,,,,,,,,
		OtherCurrentLiabilities,,,,,,,"29,033,000","0","0","0","0","18,951,000",,"25,271,808","45,443,506","1,738,615","22,501,630","6,418,598","5,096,773","4,631,729","13,610,422","0",,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"14,279,000","22,742,000","27,505,000","33,161,000","46,818,000","44,372,000","37,777,000","1,140,000","2,188,000","6,477,000","2,764,000","2,609,000","32,730,000","603,983","233,941","234,041","334,600","313,151","301,614","196,378","196,547",,,
		LongTermDebtAndCapitalLeaseObligation,"1,273,000","783,000","22,000","149,000","7,438,000","291,000","306,000","608,000",,,,"0","23,571,000","603,983","233,941",,,,,,,,,
			LongTermDebt,"1,221,000","528,000",,,"7,167,000","291,000","306,000","608,000",,,,"0","23,571,000","603,983","233,941",,,,,,,,,
			LongTermCapitalLeaseObligation,"52,000","255,000","22,000","149,000","271,000","0",,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"3,943,000","4,010,000","4,380,000","4,280,000","4,253,000","4,198,000","4,393,000","193,000","266,000","321,000","0","2,609,000","983,986","603,983",,,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,"3,943,000","4,010,000","4,380,000","4,280,000","4,253,000","4,198,000","4,393,000","193,000","266,000","321,000","0",,,,,,,,,,,,,
			NonCurrentDeferredRevenue,,,,,,"1,654,000","359,000","339,000","1,922,000","6,156,000","2,764,000","2,609,000","983,986","603,983",,,,,,,,,,
		TradeandOtherPayablesNonCurrent,"9,063,000","17,949,000","23,103,000","28,732,000","35,127,000","39,883,000","33,078,000","339,000","1,922,000","6,156,000","2,764,000","2,609,000","984,000",,,,,,,,,,,
		NonCurrentAccruedExpenses,,,,,,,,,,,,"0","7,615,709","0",,,,,,,,,,
		DerivativeProductLiabilities,,,,,,,,,,,,"0","559,000","0",,,,,,,,,,
		PreferredSecuritiesOutsideStockEquity,,,"553,000","523,000","0",,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,,,,,,,,"0","1,922,000","6,156,000","2,764,000","2,609,000","7,616,000","0","233,941","234,041","334,600","313,151","301,614","196,378","196,547",,,
TotalEquityGrossMinorityInterest,"368,422,000","327,415,000","337,441,000","319,915,000","309,559,000","304,827,000","306,129,000","305,892,000","307,295,000","298,169,000","271,771,000","232,400,000","216,157,000","148,239,791","81,853,393","104,553,216","90,401,132","76,492,957","58,678,148","49,710,288","44,701,574","6,097,000","12,288,764","6,628"
	StockholdersEquity,"344,464,000","311,651,000","321,034,000","303,222,000","289,309,000","285,877,000","299,448,000","300,480,000","299,043,000","289,257,000","226,700,000","193,554,000","173,129,000","112,273,018","54,715,036","81,330,650","67,234,862","53,380,290","36,927,105","32,138,450","26,014,862","6,097,000","12,288,764","6,628"
		CapitalStock,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","2,717","2,704","2,698","2,396","2,385","2,257","2,257","2,257","2,091","529","529"
			PreferredStock,,,,,,,,,,,,,,"0","0","0",,,,,,,,
			CommonStock,"3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","3,000","2,717","2,704","2,698","2,396","2,385","2,257","2,257","2,257","2,091","529","529"
