name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalRevenue,"3,502,484,000","3,439,503,000","3,303,156,000","2,927,540,000","1,983,225,000","2,482,692,000","2,332,331,000","2,260,502,000","2,275,719,000","2,100,609,000","1,976,624,000","1,877,910,000","1,809,017,000","1,757,624,000","1,659,404,000","1,602,020,000","1,606,406,000","1,511,577,000","1,315,325,000","1,182,053,000","969,232,000","773,835,000","651,970,000","539,130,000","438,281,000","347,500,000","265,200,000","208,589,000","160,305,000","117,165,000","85,592,126","67,000,000","52,000,000"
	OperatingRevenue,"3,502,484,000","3,439,503,000","3,303,156,000","2,927,540,000","1,983,225,000","2,482,692,000","2,332,331,000","2,260,502,000","2,275,719,000","2,100,609,000","1,976,624,000","1,877,910,000","1,809,017,000","1,757,624,000","1,659,404,000","1,602,020,000","1,606,406,000","1,511,577,000","1,315,325,000","1,182,053,000","969,232,000","773,835,000","651,970,000","539,130,000","438,281,000","347,500,000","265,200,000","208,589,000","160,305,000","117,165,000","85,592,126","67,000,000","52,000,000"
CostOfRevenue,"2,049,559,000","2,031,395,000","2,022,877,000","1,725,761,000","1,236,918,000","1,461,450,000","1,367,014,000","1,296,983,000","1,286,626,000","1,188,849,000","1,136,408,000","1,058,754,000","1,030,345,000","1,015,826,000","949,809,000","1,325,864,000","1,347,379,000","1,226,157,000","1,057,725,000","935,315,000","779,545,000","615,719,000","516,525,000","431,236,000","346,688,000","278,300,000","140,200,000","170,917,000","133,567,000","89,923,000","65,103,444","20,700,000","15,900,000"
GrossProfit,"1,452,925,000","1,408,108,000","1,280,279,000","1,201,779,000","746,307,000","1,021,242,000","965,317,000","963,519,000","989,093,000","911,760,000","840,216,000","819,156,000","778,672,000","741,798,000","709,595,000","276,156,000","259,027,000","285,420,000","257,600,000","246,738,000","189,687,000","158,116,000","135,445,000","107,894,000","91,593,000","69,200,000","125,000,000","37,672,000","26,738,000","27,242,000","20,488,682","46,300,000","36,100,000"
OperatingExpense,"1,257,348,000","1,233,013,000","1,179,760,000","1,068,101,000","865,128,000","879,945,000","817,571,000","787,053,000","774,417,000","723,605,000","680,433,000","645,857,000","618,148,000","596,663,000","576,231,000","172,616,000","168,904,000","174,617,000","150,759,000","116,997,000","92,732,000","76,219,000","65,188,000","52,455,000","45,456,000","38,400,000","107,300,000","23,438,000","17,982,000","16,916,000","11,586,548","39,600,000","31,800,000"
	SellingGeneralAndAdministration,"223,642,000","217,449,000","205,753,000","186,136,000","157,644,000","160,199,000","154,770,000","141,533,000","146,042,000","137,402,000","119,094,000","114,728,000","104,156,000","96,263,000","95,729,000","97,432,000","95,614,000","110,415,000","97,695,000","71,820,000","56,751,000","47,991,000","42,333,000","34,998,000","31,774,000","27,500,000","98,800,000","16,742,000","12,632,000","11,061,000","7,937,088","37,300,000","30,400,000"
		GeneralAndAdministrativeExpense,"223,642,000","217,449,000","205,753,000","186,136,000","157,644,000","160,199,000","154,770,000","141,533,000","146,042,000","137,402,000","119,094,000","114,728,000","104,156,000","96,263,000","95,729,000",,,,,,,,,,,,,,,,,,
			OtherGandA,"223,642,000","217,449,000","205,753,000","186,136,000","157,644,000","160,199,000","154,770,000","141,533,000","146,042,000","137,402,000","119,094,000","114,728,000","104,156,000","96,263,000","95,729,000",,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"96,565,000","93,136,000","92,380,000","89,654,000","91,415,000","88,133,000","95,976,000","92,729,000","88,010,000","85,563,000","82,835,000","78,558,000","74,433,000","71,958,000","72,140,000","75,184,000","73,290,000","64,202,000","53,064,000","45,177,000","35,981,000","28,228,000","22,855,000","17,457,000","13,682,000","10,900,000","8,500,000","6,696,000","5,350,000","2,985,000","3,649,460","2,300,000","1,400,000"
		DepreciationAndAmortizationInIncomeStatement,"96,565,000","93,136,000","92,380,000","89,654,000","91,415,000","88,133,000","95,976,000","92,729,000","88,010,000","85,563,000","82,835,000","78,558,000","74,433,000","71,958,000","72,140,000","75,184,000","73,290,000","64,202,000","53,064,000","45,177,000","35,981,000","28,228,000","22,855,000","17,457,000","13,682,000","10,900,000","8,500,000","6,696,000","5,350,000","2,985,000","3,649,460","2,300,000","1,400,000"
	OtherOperatingExpenses,"937,141,000","922,428,000","881,627,000","792,311,000","616,069,000","631,613,000","566,825,000","552,791,000","540,365,000","500,640,000","478,504,000","452,571,000","439,559,000","428,442,000","408,362,000",,,,,,,,,,,,,"6,646,000",,"2,870,000",,,
OperatingIncome,"195,577,000","175,095,000","100,519,000","133,678,000","-118,821,000","141,297,000","147,746,000","176,466,000","214,676,000","188,155,000","159,783,000","173,299,000","160,524,000","145,135,000","133,364,000","103,540,000","90,123,000","110,803,000","106,841,000","129,741,000","96,955,000","81,897,000","70,257,000","55,439,000","46,137,000","30,800,000","17,700,000","14,234,000","8,756,000","10,326,000","8,902,134","6,700,000","4,300,000"
NetNonOperatingInterestIncomeExpense,"-8,619,000","-8,552,000","-6,043,000","-10,698,000","-8,599,000","-2,497,000","-6,783,000","-5,900,000","-9,225,000","-5,894,000","-6,187,000","-4,504,000","-4,725,000","-4,307,000","-17,122,000","-23,061,000","-12,939,000","-6,149,000","4,245,000","3,918,000","2,234,000","3,354,000",,,,,"2,955,000","520,000","499,000","1,127,000","1,729,257",,
	InterestIncomeNonOperating,,,,,,,,,,,,,,"842,000","192,000","372,000","1,849,000","4,703,000","6,123,000","4,860,000",,,,,,,,,"511,809",,"1,736,269",,
	InterestExpenseNonOperating,"8,619,000","8,552,000","6,043,000","10,698,000","8,599,000","2,497,000","6,783,000",,,,,,,"4,918,000","16,808,000","23,433,000","14,788,000","10,852,000","1,878,000","942,000",,,,,,,,,"13,468",,"7,012",,
	TotalOtherFinanceCost,,,,,,"2,497,000","6,783,000","5,900,000","9,225,000","5,894,000","6,187,000","4,504,000","4,725,000","4,307,000","17,122,000",,,,"-4,245,000","-3,918,000","-2,234,000","-3,354,000",,,,,"-2,955,000","-520,000","-499,000","-1,127,000",,,
OtherIncomeExpense,"-70,423,000","-66,529,000","-61,584,000","-51,360,000","-228,616,000","1,534,000","-33,552,000","-24,100,000","-13,683,000","-22,909,000","-15,052,000","-12,345,000","-21,825,000","-11,685,000","-5,153,000","-29,172,000","-3,929,000","1,009,000","2,048,000","557,000","966,000","2,944,000","2,178,000","1,654,000","-439,000","600,000","3,400,000","420,000","-360,000","197,000","90,695","800,000",
	EarningsFromEquityInterest,,,,"0","0","39,233,000","-4,754,000","-479,000","0",,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-70,423,000","-66,529,000","-61,584,000","-51,360,000","-228,616,000","-37,699,000","-28,798,000","-23,621,000","-13,683,000","-22,909,000","-15,052,000","-12,345,000","-21,825,000","-11,685,000","-5,153,000","-29,172,000","-3,929,000","1,009,000","2,048,000","557,000","966,000","2,944,000","2,178,000","1,654,000","-439,000","600,000","3,400,000","420,000","-360,000","197,000","90,695","800,000",
		RestructuringAndMergernAcquisition,"11,477,000","11,686,000","13,368,000","19,510,000","-1,173,000","6,303,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,"219,333,000","18,247,000","17,861,000","10,343,000","114,000","6,011,000","696,000","-561,000","9,536,000","1,547,000","0","26,541,000","2,952,000","0","0",,,,,,,,,,,,,,
		WriteOff,"29,770,000","29,464,000","31,387,000","18,139,000","219,333,000","18,247,000","17,861,000","10,343,000","114,000","6,011,000","696,000","-561,000","9,536,000","1,547,000","0",,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"29,176,000","25,379,000","16,829,000","13,711,000","10,456,000","13,149,000","10,937,000","13,278,000","13,569,000","16,898,000","14,356,000","12,906,000","12,289,000","10,138,000","5,153,000","2,631,000","977,000","-1,009,000","-2,048,000",,,,,,,,,,,,,,
PretaxIncome,"116,535,000","100,014,000","32,892,000","71,620,000","-356,036,000","140,334,000","107,411,000","146,466,000","191,768,000","159,352,000","138,544,000","156,450,000","133,974,000","129,143,000","111,089,000","51,307,000","73,255,000","105,663,000","113,134,000","134,216,000","100,155,000","88,195,000","76,320,000","61,421,000","50,358,000","34,200,000","21,100,000","15,174,000","8,895,000","11,650,000","10,722,086","7,500,000",
TaxProvision,"274,000","-1,337,000","-10,231,000","-753,000","-102,671,000","13,041,000","8,376,000","-10,926,000","52,274,000","42,829,000","37,268,000","42,094,000","35,551,000","33,423,000","29,376,000","8,474,000","20,962,000","31,699,000","31,852,000","46,268,000","34,819,000","30,965,000","27,245,000","22,112,000","18,257,000","12,500,000","7,100,000","5,235,000","2,983,000","3,041,000","3,474,895","2,800,000",
NetIncomeCommonStockholders,"116,261,000","101,351,000","43,123,000","49,131,000","-277,107,000","127,293,000","99,035,000","157,392,000","139,494,000","116,523,000","101,276,000","114,356,000","98,423,000","95,720,000","81,713,000","42,833,000","52,293,000","73,964,000","81,282,000","87,948,000","65,336,000","57,230,000","49,075,000","39,309,000","32,101,000","21,700,000","7,700,000","9,939,000","5,912,000","8,609,000","7,247,191","4,700,000","4,200,000"
	NetIncome,"116,261,000","101,351,000","43,123,000","72,373,000","-253,365,000","127,293,000","99,035,000","157,392,000","139,494,000","116,523,000","101,276,000","114,356,000","98,423,000","95,720,000","81,713,000","42,833,000","52,293,000","73,964,000","81,282,000","87,948,000","65,336,000","57,230,000","49,075,000","39,309,000","32,101,000","21,700,000","7,700,000","9,939,000","5,912,000","8,609,000","7,247,191","4,700,000","4,200,000"
		NetIncomeIncludingNoncontrollingInterests,"116,261,000","101,351,000","43,123,000","72,373,000","-253,365,000","127,293,000","99,035,000","157,392,000","139,494,000","116,523,000","101,276,000","114,356,000","98,423,000","95,720,000","81,713,000","42,833,000","52,293,000","73,964,000","81,282,000","87,948,000","65,336,000","57,230,000","49,075,000","39,309,000","32,101,000","21,700,000","7,700,000","9,939,000","5,912,000","8,609,000","7,247,191","4,700,000","4,200,000"
			NetIncomeContinuousOperations,"116,261,000","101,351,000","43,123,000","72,373,000","-253,365,000","127,293,000","99,035,000","157,392,000","139,494,000","116,523,000","101,276,000","114,356,000","98,423,000","95,720,000","81,713,000","42,833,000","52,293,000","73,964,000","81,282,000","87,948,000","65,336,000","57,230,000","49,075,000","39,309,000","32,101,000","21,700,000","14,000,000","9,939,000","5,912,000","8,609,000","7,247,191","4,700,000","4,200,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,"-6,300,000",,,,,,
	PreferredStockDividends,,,,"18,661,000","13,485,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,"0","0","4,581,000","10,257,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
AverageDilutionEarnings,,"0","0","85,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"116,261,000","101,351,000","43,123,000","49,216,000","-277,107,000","127,293,000","99,035,000","157,392,000","139,494,000","116,523,000","101,276,000","114,356,000","98,423,000","95,720,000","81,713,000","42,833,000","52,293,000","73,964,000","81,282,000","87,948,000","65,336,000","57,230,000","49,075,000","39,309,000","32,101,000","21,700,000","7,700,000","9,939,000","5,912,000","8,609,000","7,247,191","4,700,000","4,200,000"
BasicEPS,"2.43","2.1","0.87","1.03","-6.32","2.9","2.19","3.35","2.91","2.39","2.04","2.19","1.85","1.7","1.39","0.72","0.82","1.02","1.04","1.12","0.84","0.76","0.64","0.553","0.462","0.32","0.113","0.175","0.107","0.158","0.136","0.102","0.116"
DilutedEPS,"2.4","2.07","0.86","1.01","-6.32","2.86","2.14","3.27","2.83","2.3","1.96","2.1","1.78","1.64","1.35","0.71","0.82","1.01","1.02","1.1","0.82","0.74","0.61","0.527","0.427","0.302","0.11","0.172","0.107","0.154","0.136","0.102","0.116"
BasicAverageShares,"47,890,500","48,324,000","49,815,000","47,529,000","43,869,000","43,949,000","45,263,000","46,930,000","47,981,000","48,833,000","49,567,000","52,229,000","53,185,000","56,378,000","58,905,000","59,362,000","63,822,000","72,475,000","78,181,000","78,354,000","77,613,000","75,633,000","73,889,000","71,199,000","69,369,750","67,707,000","67,446,000","56,841,750","55,181,250","54,685,125","53,286,017","45,932,528","36,309,879"
DilutedAverageShares,"48,744,500","49,050,000","50,414,000","48,510,000","43,869,000","44,545,000","46,215,000","48,152,000","49,372,000","50,605,000","51,584,000","54,377,000","55,211,000","58,190,000","60,446,000","60,082,000","64,009,000","73,504,000","79,460,000","80,176,000","79,395,000","77,772,000","76,737,000","74,845,500","75,287,250","71,511,750","69,430,500","57,820,500","56,089,125","55,879,875","53,286,017","45,932,528","36,309,879"
