name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalAssets,"8,044,362,000","6,927,504,000","6,652,958,000","5,982,896,000","5,104,604,000","2,265,518,000","2,045,692,000","2,026,103,000","2,725,066,000","2,527,317,000","2,009,280,000","1,668,667,000","1,425,308,000","1,121,605,000","961,505,000","824,985,000","722,115,000","604,208,000","392,495,000","329,653,000","249,014,000","194,172,000","146,403,000"
	CurrentAssets,"1,620,713,000","1,175,837,000","1,381,564,000","1,420,237,000","1,072,204,000","814,794,000","629,535,000","522,374,000","814,647,000","859,511,000","666,307,000","546,607,000","501,192,000","406,221,000","297,454,000","211,072,000","201,844,000","178,837,000","17,824,000","10,332,000","7,833,000","20,221,000","10,819,000"
		CashCashEquivalentsAndShortTermInvestments,"1,295,447,000","899,136,000","1,076,319,000","951,603,000","880,782,000","676,798,000","508,951,000","417,716,000","663,204,000","758,057,000","578,174,000","472,859,000","456,248,000","349,604,000","269,566,000","188,034,000","171,176,000","153,642,000","61,000",,,,
			CashAndCashEquivalents,"560,609,000","384,000,000","815,374,000","607,987,000","480,626,000","249,953,000","184,569,000","87,880,000","248,005,000","419,465,000","323,203,000","322,553,000","401,243,000","224,838,000","219,566,000","88,044,000","151,176,000","153,642,000","61,000",,,,
			OtherShortTermInvestments,"734,838,000","515,136,000","260,945,000","343,616,000","400,156,000","426,845,000","324,382,000","329,836,000","415,199,000","338,592,000","254,971,000","150,306,000","55,005,000","124,766,000","50,000,000","99,990,000","20,000,000",,,,,,
		Receivables,"168,495,000","154,621,000","193,663,000","387,283,000","108,250,000","62,312,000","49,806,000","45,559,000","96,435,000","51,327,000","27,673,000","26,412,000","8,389,000","29,186,000","4,763,000","3,928,000","14,908,000","13,648,000","4,181,000","3,222,000",,,
			AccountsReceivable,"115,535,000","106,880,000","99,599,000","104,500,000","80,545,000","62,312,000","40,453,000","40,451,000","38,283,000","34,839,000","24,016,000","16,800,000","8,389,000","5,658,000","4,763,000","3,643,000","5,373,000","4,865,000","1,933,000","2,490,000",,,
				GrossAccountsReceivable,,,,,"80,552,000","62,312,000","40,453,000","40,710,000","39,459,000","36,038,000","25,206,000","17,987,000","8,597,000","5,760,000",,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,,,"-7,000","0","0","-259,000","-1,176,000","-1,199,000","-1,190,000","-1,187,000","-208,000","-102,000",,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,"8,783,000","2,248,000","732,000",,,
			TaxesReceivable,"52,960,000","47,741,000","94,064,000","282,783,000","27,705,000","0","9,353,000","5,108,000","58,152,000","16,488,000","3,657,000","9,612,000","0","23,528,000","0","285,000","9,535,000",,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,"9,535,000",,,,,,
		Inventory,"39,309,000","35,668,000","32,826,000","26,445,000","26,096,000","21,555,000","19,860,000","15,019,000","15,043,000","15,332,000","13,044,000","11,096,000","8,913,000","7,098,000","5,614,000","4,789,000","4,332,000","3,505,000","2,625,000","2,256,000",,,
		PrepaidAssets,,"86,412,000","78,756,000","54,906,000","57,076,000","54,129,000","50,918,000","44,080,000","39,965,000","34,795,000","34,204,000","27,378,000","21,404,000","16,016,000","14,377,000","11,764,000","8,997,000","7,112,000","8,611,000","4,854,000",,,
		CurrentDeferredAssets,,,,,,,,,,"18,968,000","13,212,000","8,862,000","6,238,000","4,317,000","3,134,000","2,557,000","2,431,000","930,000","2,346,000",,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"18,968,000","13,212,000","8,862,000","6,238,000","4,317,000","3,134,000","2,557,000","2,431,000","930,000","2,346,000",,,,
		OtherCurrentAssets,"117,462,000","86,412,000","78,756,000","54,906,000","57,076,000","54,129,000","50,918,000","44,080,000","39,965,000","34,795,000","34,204,000","27,378,000","21,404,000",,,,,,,,,,
	TotalNonCurrentAssets,"6,423,649,000","5,751,667,000","5,271,394,000","4,562,659,000","4,032,400,000","1,450,724,000","1,416,157,000","1,503,729,000","1,910,419,000","1,667,806,000","1,342,973,000","1,122,060,000","924,116,000","715,384,000","664,051,000","613,913,000","520,271,000","425,371,000","374,671,000","319,321,000","241,181,000","173,951,000","135,584,000"
		NetPPE,"5,748,586,000","5,253,549,000","4,887,572,000","4,351,496,000","3,964,156,000","1,379,254,000","1,338,366,000","1,303,558,000","1,217,220,000","1,106,984,000","963,238,000","866,703,000","751,951,000","676,881,000","636,411,000","585,899,000","494,930,000","404,740,000","340,694,000","289,873,000",,,
			GrossPPE,"7,730,608,000","6,988,136,000","6,423,895,000","5,731,206,000","5,165,595,000","2,462,761,000","2,317,290,000","2,149,027,000","1,938,095,000","1,720,660,000","1,490,635,000","1,311,620,000","1,122,120,000","982,109,000","882,111,000","777,361,000","645,926,000","522,374,000","427,120,000","350,351,000",,,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,
