name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
OperatingCashFlow,"1,877,743,000","1,783,477,000","1,323,179,000","1,282,081,000","663,847,000","721,632,000","621,552,000","468,216,000","355,160,000","683,316,000","682,067,000","528,780,000","419,963,000","411,096,000","289,191,000","260,673,000","198,507,000","146,923,000","103,597,000","77,431,000","39,672,000"
	CashFlowFromContinuingOperatingActivities,"1,877,743,000","1,783,477,000","1,323,179,000","1,282,081,000","663,847,000","721,632,000","621,552,000","468,216,000","355,160,000","683,316,000","682,067,000","528,780,000","419,963,000","411,096,000","289,191,000","260,673,000","198,507,000","146,923,000","103,597,000","77,431,000","39,672,000"
		NetIncomeFromContinuingOperations,"1,410,261,000","1,228,737,000","899,101,000","652,984,000","355,766,000","350,158,000","176,553,000","176,253,000","22,938,000","475,602,000","445,374,000","327,438,000","278,000,000","214,945,000","178,981,000","126,845,000","78,202,000","70,563,000","41,423,000","37,696,000","6,126,000"
		OperatingGainsLosses,,,,,,,,"13,345,000","23,877,000","13,194,000","6,976,000","6,751,000","5,027,000","5,806,000","6,296,000","5,956,000","9,339,000","6,168,000","2,877,000","17,982,000","-7,195,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,"6,296,000","5,956,000",,,,,
		DepreciationAmortizationDepletion,"330,843,000","319,394,000","286,826,000","254,657,000","238,534,000","212,778,000","201,979,000","163,348,000","146,368,000","130,368,000","110,474,000","96,054,000","84,130,000","74,938,000","68,921,000","61,308,000","52,770,000","43,595,000","34,253,000","28,026,000","21,802,000"
			DepreciationAndAmortization,"330,843,000","319,394,000","286,826,000","254,657,000","238,534,000","212,778,000","201,979,000","163,348,000","146,368,000","130,368,000","110,474,000","96,054,000","84,130,000","74,938,000","68,921,000","61,308,000","52,770,000","43,595,000","34,253,000","28,026,000","21,802,000"
				Depreciation,,,,,"423,072,000","376,730,000","201,979,000","163,348,000",,,,,,,,,,,,,
		DeferredTax,"-23,158,000","-9,505,000","-43,195,000","-12,357,000","108,350,000","29,962,000","10,585,000","-18,026,000","-14,207,000","11,666,000","-20,671,000","2,103,000","-18,057,000","11,935,000","10,479,000","8,282,000","13,165,000","-3,545,000","-1,857,000","-2,654,000","11,485,000"
			DeferredIncomeTax,"-23,158,000","-9,505,000","-43,195,000","-12,357,000","108,350,000","29,962,000","10,585,000","-18,026,000","-14,207,000","11,666,000","-20,671,000","2,103,000","-18,057,000","11,935,000","10,479,000","8,282,000","13,165,000","-3,545,000","-1,857,000","-2,654,000","11,485,000"
		AssetImpairmentCharge,"22,769,000","37,025,000","20,738,000","17,086,000","28,874,000","15,402,000","61,987,000","13,345,000","23,877,000",,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"1,103,000","1,570,000","-760,000","493,000","164,000","33,000","125,000","214,000","-262,000","-23,000","9,000","19,000","1,046,000","239,000","-151,000",,,,,,
		StockBasedCompensation,"154,503,000","124,016,000","98,030,000","176,392,000","82,626,000","91,396,000","69,164,000","65,255,000","64,166,000","57,911,000","96,440,000","63,657,000","64,276,000","41,382,000","21,381,000","14,992,000","11,374,000","7,801,000",,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,"0","-1,320,000","-74,442,000","-21,667,000","-38,379,000","-73,210,000","-38,786,000","-14,526,000","-10,435,000",,,,,
		OtherNonCashItems,"668,000","-13,080,000","-16,202,000","-4,599,000","3,643,000","-10,592,000","-2,918,000","-218,000","-1,924,000","582,000","104,000","507,000","522,000","2,501,000","264,000","118,000","303,000","536,000","5,134,000","-18,599,000","-1,615,000"
		ChangeInWorkingCapital,"-19,246,000","95,320,000","78,641,000","197,425,000","-154,110,000","32,495,000","104,077,000","68,045,000","114,204,000","68,458,000","65,028,000","70,630,000","78,229,000","98,136,000","17,810,000","53,607,000","33,354,000","21,805,000","21,767,000","14,980,000","9,069,000"
