Date,Open,High,Low,Close,Adj Close,Volume
2009-09-23,1.867200,1.880000,1.842800,1.842800,1.842800,26125000
2009-09-24,1.859600,1.870600,1.831400,1.856000,1.856000,18295000
2009-09-25,1.858800,1.858800,1.830200,1.833800,1.833800,12625000
2009-09-28,1.840600,1.859800,1.834000,1.853000,1.853000,8370000
2009-09-29,1.852000,1.973200,1.852000,1.927400,1.927400,50660000
2009-09-30,1.922200,1.956200,1.905000,1.941000,1.941000,35385000
2009-10-01,1.935000,1.942200,1.861400,1.865000,1.865000,47480000
2009-10-02,1.841400,1.867000,1.815800,1.839400,1.839400,20395000
2009-10-05,1.850400,1.882000,1.835800,1.849200,1.849200,16555000
2009-10-06,1.856600,1.872400,1.829200,1.834800,1.834800,25375000
2009-10-07,1.839800,1.864000,1.811400,1.828000,1.828000,17730000
2009-10-08,1.842000,1.855800,1.823600,1.834200,1.834200,15355000
2009-10-09,1.837000,1.845400,1.822200,1.835600,1.835600,9375000
2009-10-12,1.839400,1.844000,1.807000,1.814800,1.814800,17370000
2009-10-13,1.813800,1.844000,1.788200,1.834400,1.834400,21740000
2009-10-14,1.853600,1.860000,1.827200,1.845000,1.845000,18785000
2009-10-15,1.839800,1.849600,1.806600,1.820600,1.820600,28675000
2009-10-16,1.814800,1.823600,1.791000,1.810600,1.810600,29445000
2009-10-19,1.817600,1.835200,1.800000,1.829000,1.829000,24530000
2009-10-20,1.830800,1.833400,1.770800,1.782800,1.782800,37455000
2009-10-21,1.780000,1.780400,1.701200,1.709600,1.709600,57360000
2009-10-22,1.656400,1.806600,1.651600,1.790400,1.790400,143955000
2009-10-23,1.742000,1.774800,1.634400,1.647000,1.647000,127210000
2009-10-26,1.653600,1.680000,1.622600,1.631400,1.631400,41345000
2009-10-27,1.631600,1.641600,1.580400,1.594800,1.594800,45630000
2009-10-28,1.601800,1.635200,1.592200,1.604800,1.604800,40730000
2009-10-29,1.618600,1.637800,1.609400,1.635800,1.635800,25095000
2009-10-30,1.634800,1.674000,1.629600,1.629800,1.629800,45365000
2009-11-02,1.632800,1.671200,1.621200,1.653600,1.653600,31830000
2009-11-03,1.650200,1.664000,1.637600,1.654400,1.654400,25005000
2009-11-04,1.677600,1.677600,1.644800,1.648200,1.648200,35000000
2009-11-05,1.660400,1.717200,1.659600,1.717200,1.717200,35685000
2009-11-06,1.699000,1.734400,1.694000,1.729000,1.729000,25005000
2009-11-09,1.739400,1.767000,1.727400,1.765200,1.765200,22930000
2009-11-10,1.763400,1.800000,1.761800,1.797600,1.797600,40715000
2009-11-11,1.798800,1.818000,1.786000,1.801800,1.801800,30605000
2009-11-12,1.796200,1.809000,1.737000,1.751000,1.751000,33785000
2009-11-13,1.755400,1.783200,1.754000,1.777200,1.777200,25705000
2009-11-16,1.793400,1.800400,1.774400,1.792000,1.792000,22790000
2009-11-17,1.792400,1.792400,1.771600,1.779200,1.779200,14740000
2009-11-18,1.781600,1.781600,1.742400,1.751800,1.751800,23070000
2009-11-19,1.737600,1.742000,1.696000,1.709400,1.709400,26490000
2009-11-20,1.700000,1.714800,1.674400,1.677600,1.677600,23445000
2009-11-23,1.690200,1.721400,1.690200,1.702800,1.702800,16815000
2009-11-24,1.700000,1.704600,1.672400,1.679800,1.679800,13380000
2009-11-25,1.681000,1.692400,1.672400,1.689000,1.689000,12255000
2009-11-27,1.660400,1.689200,1.659800,1.666600,1.666600,7280000
2009-11-30,1.661800,1.683200,1.648400,1.669000,1.669000,14755000
2009-12-01,1.679600,1.706000,1.673000,1.692200,1.692200,17250000
2009-12-02,1.695600,1.716800,1.692800,1.710000,1.710000,15715000
2009-12-03,1.708400,1.719000,1.662200,1.664200,1.664200,15560000
2009-12-04,1.684600,1.712000,1.653400,1.696400,1.696400,12980000
2009-12-07,1.723600,1.723600,1.665000,1.677600,1.677600,7305000
2009-12-08,1.664200,1.688200,1.637000,1.677800,1.677800,8670000
2009-12-09,1.671200,1.708400,1.662000,1.703200,1.703200,26845000
2009-12-10,1.714800,1.734800,1.702400,1.721800,1.721800,17860000
2009-12-11,1.734400,1.753000,1.729400,1.746200,1.746200,12335000
2009-12-14,1.759800,1.797400,1.751400,1.797400,1.797400,17705000
2009-12-15,1.794600,1.809600,1.776200,1.797400,1.797400,18055000
2009-12-16,1.809200,1.809200,1.772400,1.777200,1.777200,11900000
2009-12-17,1.769400,1.799800,1.763000,1.783400,1.783400,16565000
2009-12-18,1.800000,1.803400,1.771600,1.789800,1.789800,18140000
2009-12-21,1.793000,1.804000,1.786200,1.794200,1.794200,16360000
2009-12-22,1.797800,1.828000,1.797800,1.817000,1.817000,13180000
2009-12-23,1.815000,1.820000,1.793400,1.803600,1.803600,8515000
2009-12-24,1.803600,1.806800,1.798200,1.806800,1.806800,1655000
2009-12-28,1.807000,1.822600,1.781000,1.820600,1.820600,13215000
2009-12-29,1.820400,1.840000,1.812800,1.825800,1.825800,7905000
2009-12-30,1.825800,1.831200,1.784200,1.799600,1.799600,10980000
2009-12-31,1.803800,1.806800,1.758400,1.763200,1.763200,15665000
2010-01-04,1.792000,1.792000,1.743600,1.756800,1.756800,15695000
2010-01-05,1.750400,1.800000,1.742200,1.780400,1.780400,25550000
2010-01-06,1.771800,1.792000,1.732000,1.746400,1.746400,14145000
2010-01-07,1.746800,1.762200,1.720000,1.728600,1.728600,21125000
2010-01-08,1.811400,1.854600,1.800000,1.837800,1.837800,59820000
2010-01-11,1.877200,1.960000,1.850000,1.935400,1.935400,70320000
2010-01-12,1.930400,1.933600,1.896400,1.908400,1.908400,27400000
2010-01-13,1.905400,1.919200,1.885000,1.912800,1.912800,18365000
2010-01-14,1.944600,1.994200,1.937200,1.988400,1.988400,43925000
2010-01-15,1.991200,1.991600,1.936600,1.961200,1.961200,29750000
2010-01-19,1.960000,1.999400,1.950800,1.990000,1.990000,22250000
2010-01-20,1.972200,1.996000,1.947600,1.957000,1.957000,22420000
2010-01-21,1.959000,2.058000,1.959000,2.001200,2.001200,45985000
2010-01-22,2.000400,2.015800,1.952800,1.955400,1.955400,14680000
2010-01-25,1.964600,1.969200,1.907800,1.917000,1.917000,18795000
2010-01-26,1.910600,1.974600,1.910600,1.950000,1.950000,20515000
2010-01-27,1.952600,1.979600,1.922600,1.968800,1.968800,19060000
2010-01-28,1.975600,1.992800,1.932600,1.972400,1.972400,24710000
2010-01-29,1.980200,1.993000,1.928800,1.929200,1.929200,12725000
2010-02-01,1.937800,2.008200,1.937200,2.007600,2.007600,21695000
2010-02-02,2.007600,2.028000,1.986400,2.017000,2.017000,24190000
2010-02-03,2.013000,2.022600,2.000200,2.007600,2.007600,11155000
2010-02-04,2.000000,2.000000,1.958000,1.970200,1.970200,28535000
2010-02-05,1.962200,1.973600,1.876200,1.904000,1.904000,39660000
2010-02-08,1.911000,2.017200,1.903400,1.998400,1.998400,48500000
2010-02-09,2.010800,2.017600,1.983400,2.013000,2.013000,27590000
2010-02-10,2.014800,2.036200,1.989000,1.990200,1.990200,19550000
2010-02-11,1.990000,2.029600,1.967800,2.022400,2.022400,47610000
2010-02-12,1.972600,2.102600,1.960000,2.097400,2.097400,109610000
2010-02-16,2.114400,2.129800,2.063400,2.075800,2.075800,30225000
2010-02-17,2.076000,2.094000,2.069800,2.089200,2.089200,18140000
2010-02-18,2.082000,2.100000,2.071000,2.079600,2.079600,14245000
2010-02-19,2.071200,2.109200,2.071200,2.099800,2.099800,16515000
2010-02-22,2.100000,2.100000,2.060000,2.078600,2.078600,18160000
2010-02-23,2.078800,2.092000,2.057600,2.072800,2.072800,15375000
