name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
OperatingCashFlow,"1,390,000,000","1,809,000,000","975,000,000","1,172,000,000","-582,000,000","313,000,000","323,000,000","129,886,000","95,372,000","56,715,000","31,606,000","23,536,000","28,366,000"
	CashFlowFromContinuingOperatingActivities,"1,390,000,000","1,809,000,000","993,000,000","1,199,000,000","-561,000,000","313,000,000","323,000,000","129,886,000","95,372,000","56,715,000","31,606,000","23,536,000","28,366,000"
		NetIncomeFromContinuingOperations,"-208,000,000","828,000,000","-910,000,000","-1,016,000,000","-1,758,000,000","81,000,000","95,000,000","73,380,000","24,527,000","114,183,000","-14,322,000","18,897,000","-991,000"
		OperatingGainsLosses,"69,000,000","217,000,000","71,000,000","460,000,000","18,000,000","-51,000,000","4,000,000","39,116,000","155,000","-37,099,000","-3,246,000","-15,109,000","9,172,000"
			GainLossOnSaleOfBusiness,,"22,000,000","5,000,000","11,000,000","-7,000,000","-50,000,000","1,000,000","319,000",,,,,
			GainLossOnSaleOfPPE,,,,,,,,"319,000","836,000","6,000","84,000","226,000","198,000"
			NetForeignCurrencyExchangeGainLoss,,"0","0","-21,000,000","-129,000,000","0","0",,,,,,
			GainLossOnInvestmentSecurities,"-7,000,000","-5,000,000","-19,000,000","234,000,000","-43,000,000","-9,000,000","3,000,000",,,"-35,582,000","509,000","1,626,000","893,000"
			EarningsLossesFromEquityInvestments,,,,,,"2,441,000","213,000","367,000","0","-39,042,000","-2,705,000","-3,355,000","8,952,000"
			PensionAndEmployeeBenefitExpense,,,,,,,,,"0",,"-715,000",,"0"
		DepreciationAmortizationDepletion,"1,291,000,000","1,261,000,000","1,205,000,000","1,126,000,000","583,000,000","222,000,000","157,000,000","105,891,000","63,449,000","56,921,000","28,643,000","17,031,000","17,651,000"
			DepreciationAndAmortization,"1,291,000,000","1,261,000,000","1,205,000,000","1,126,000,000","583,000,000","222,000,000","157,000,000","105,891,000","63,449,000","56,921,000","28,643,000","17,031,000","17,651,000"
				Depreciation,,"1,261,000,000","1,205,000,000","1,126,000,000","583,000,000","222,000,000","157,000,000","105,891,000",,,,,
		DeferredTax,"88,000,000","-888,000,000","-41,000,000","-283,000,000","176,000,000","-2,000,000","34,000,000","-112,561,000","11,201,000","-70,773,000","1,583,000",,"0"
			DeferredIncomeTax,"88,000,000","-888,000,000","-41,000,000","-283,000,000","176,000,000","-2,000,000","34,000,000","-112,561,000","11,201,000","-70,773,000","1,583,000",,"0"
		AmortizationOfSecurities,,,,,,,,,"3,520,000","-4,372,000","-2,261,000","854,000","1,006,000"
		AssetImpairmentCharge,"213,000,000","95,000,000","108,000,000","102,000,000","215,000,000","1,000,000","14,000,000","38,016,000","0","0",,,
		ProvisionandWriteOffofAssets,"38,000,000","41,000,000","25,000,000","26,000,000","29,000,000","1,000,000","2,000,000","531,000","161,000","-18,000","1,070,000","847,000","271,000"
		StockBasedCompensation,"97,000,000","104,000,000","101,000,000","82,000,000","79,000,000","20,000,000","13,000,000","6,322,000","3,341,000","1,488,000","0",,
		OtherNonCashItems,"131,000,000","211,000,000","680,000,000","408,000,000","177,000,000","17,000,000","8,000,000","6,856,000","3,520,000","-4,282,000","-2,245,000","854,000","1,761,000"
		ChangeInWorkingCapital,"-329,000,000","-60,000,000","-246,000,000","294,000,000","-80,000,000","24,000,000","-4,000,000","-27,134,000","-10,982,000","-3,705,000","19,614,000","-610,000","-391,000"
			ChangeInReceivables,"-63,000,000","-82,000,000","-143,000,000","-135,000,000","-70,000,000","5,000,000","6,000,000","-19,110,000","-4,874,000","2,955,000","358,000","-454,000","-213,000"
				ChangesInAccountReceivables,"-63,000,000","-82,000,000","-143,000,000","-135,000,000","-70,000,000","5,000,000","6,000,000","-19,110,000","-4,874,000","2,955,000","358,000","-454,000","-213,000"
			ChangeInInventory,,,,,,,"596,000","105,000","687,000","-71,000","-12,000","-264,000","284,000"
			ChangeInPrepaidAssets,"25,000,000","39,000,000","-15,000,000","-67,000,000","9,000,000","10,000,000","0","-423,000","-995,000","2,094,000","2,503,000","-37,000","-129,000"
			ChangeInPayablesAndAccruedExpense,"-256,000,000","10,000,000","-82,000,000","482,000,000","25,000,000","31,000,000","-17,000,000","-7,131,000","-6,693,000","-9,394,000","19,038,000","228,000","-333,000"
