name,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003
TotalAssets,"6,392,458,000","6,034,666,000","10,151,053,000","6,556,885,000","4,646,559,000","3,977,712,000","2,924,979,000","2,354,834,000","1,951,537,000","1,603,545,000","1,353,441,000","1,128,817,000","863,370,000","596,420,000","469,402,000","396,743,000","316,060,000","135,868,000","134,517,000","80,093,000","61,903,203.01"
	CurrentAssets,"4,413,887,000","4,473,959,000","6,574,155,000","3,756,420,000","3,466,242,000","2,941,914,000","2,326,262,000","1,869,336,000","1,348,880,000","1,233,675,000","1,070,832,000","895,376,000","675,269,000","463,814,000","347,727,000","286,840,000","220,891,000","42,393,000",,,
		CashCashEquivalentsAndShortTermInvestments,"3,996,609,000","4,190,957,000","6,260,962,000","3,518,130,000","3,191,532,000","2,714,823,000","2,165,788,000","1,733,960,000","1,200,324,000","1,113,492,000","972,153,000","800,055,000","613,644,000","419,009,000","314,617,000","261,391,000","207,384,000","32,653,000",,,"28,046,483.816"
			CashAndCashEquivalents,"1,662,982,000","1,148,637,000","1,612,211,000","915,057,000","1,414,171,000","983,319,000","641,018,000","709,209,000","531,298,000","371,593,000","417,166,000","428,261,000","317,260,000","281,104,000","254,772,000","208,440,000","204,378,000","32,653,000",,,"28,046,483.816"
			OtherShortTermInvestments,"2,333,627,000","3,042,320,000","4,648,751,000","2,603,073,000","1,777,361,000","1,731,504,000","1,524,770,000","1,024,751,000","669,026,000","741,899,000","554,987,000","371,794,000","296,384,000","137,905,000","59,845,000","52,951,000","3,006,000",,,,
		Receivables,"136,769,000","125,472,000","118,495,000","57,056,000","81,680,000","36,967,000","28,217,000","27,083,000","25,040,000","24,838,000","16,765,000","14,599,000","9,330,000","1,922,000","1,539,000","880,000","1,118,000","728,000",,,
			AccountsReceivable,"33,074,000","16,430,000","8,667,000","4,178,000","3,300,000","3,179,000","3,343,000","3,747,000","4,222,000","2,782,000","3,530,000","3,794,000","1,655,000","1,922,000","1,539,000","880,000","537,000","378,000",,,
				GrossAccountsReceivable,"34,673,000","17,642,000","10,280,000","4,735,000","3,803,000","3,664,000","3,928,000","4,155,000","5,023,000","3,047,000","3,712,000","3,842,000","1,715,000",,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,599,000","-1,212,000","-1,613,000","-557,000","-503,000","-485,000","-585,000","-408,000","-801,000","-265,000","-182,000","-48,000","-60,000",,,,,,,,
			AccruedInterestReceivable,"8,154,000","33,459,000","51,249,000","33,488,000","23,856,000","23,647,000","14,005,000","9,341,000","6,490,000","10,474,000","4,642,000","5,321,000","5,980,000",,,,,,,,
			TaxesReceivable,"21,887,000","12,174,000","7,887,000","5,562,000","2,297,000","3,493,000","2,305,000",,"1,979,000","1,408,000","911,000","1,139,000","1,076,000",,,,,,,,
			DuefromRelatedPartiesCurrent,"9,383,000","23,245,000","4,118,000","3,384,000","42,644,000","1,595,000","5,948,000","4,539,000","3,586,000","4,116,000","2,372,000","0",,,,,,,,,
			OtherReceivables,"64,271,000","40,164,000","46,574,000","10,444,000","9,583,000","5,053,000","2,616,000","9,456,000","10,742,000","6,058,000","5,310,000","4,345,000","619,000",,,"912,000","581,000","350,000",,,
			ReceivablesAdjustmentsAllowances,,,,,"-248,000","-914,000","-595,000",,,,,,,,,,,,,,
		Inventory,"52,689,000","27,925,000","31,175,000","31,324,000","29,046,000","40,175,000","31,742,000","27,303,000","23,983,000","22,366,000","22,540,000","20,074,000","18,011,000","17,163,000","15,188,000","10,693,000","6,408,000","4,541,000",,,
			RawMaterials,,,,,"10,181,000","12,020,000","7,419,000","5,787,000","7,383,000","5,690,000","6,583,000","6,620,000","6,218,000","6,024,000","5,362,000",,,,,,
			FinishedGoods,,,,,"18,865,000","28,155,000","24,323,000","21,516,000","16,600,000","16,676,000","15,957,000","13,454,000","11,793,000","11,139,000","9,826,000",,,,,,
		PrepaidAssets,"105,809,000","117,162,000","147,983,000","135,271,000","130,848,000","131,412,000","91,566,000","72,056,000","68,803,000","51,951,000","48,723,000","49,741,000","23,170,000","22,156,000","14,222,000","13,015,000","2,255,000","1,969,000",,,
		RestrictedCash,"110,892,000","0",,"0","43,000","47,000","44,000","110,000","944,000","488,000","1,626,000","3,591,000","3,374,000","582,000","540,000","503,000","400,000","374,000",,,
		CurrentDeferredAssets,,,,,,,,,"17,988,000","12,033,000","9,025,000","7,316,000","5,337,000","2,982,000","1,621,000","358,000",,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,"17,988,000","12,033,000","9,025,000","7,316,000","5,337,000","2,982,000","1,621,000","358,000",,,,,
		OtherCurrentAssets,"11,119,000","12,443,000","15,540,000","14,639,000","33,093,000","18,490,000","8,905,000","8,824,000","11,798,000","8,507,000",,"9,934,000","2,403,000",,,"358,000","3,326,000","2,128,000",,,
	TotalNonCurrentAssets,"1,978,571,000","1,560,707,000","3,576,898,000","2,800,465,000","1,180,317,000","1,035,798,000","598,717,000","485,498,000","602,657,000","369,870,000","282,609,000","233,441,000","188,101,000","132,606,000","121,675,000","109,903,000","95,169,000","93,475,000",,,
		NetPPE,"799,295,000","933,792,000","2,722,563,000","2,097,921,000","532,015,000","449,592,000","282,800,000","237,698,000","231,463,000","225,335,000","247,262,000","204,342,000","160,421,000","118,118,000","109,785,000","103,098,000","90,575,000","88,109,000",,,
			GrossPPE,"1,200,996,000","1,322,622,000","3,361,872,000","2,551,139,000","874,121,000","725,532,000","525,835,000","447,635,000","418,075,000","380,736,000","370,952,000","292,597,000","224,944,000","165,535,000","146,394,000","129,778,000","108,487,000","99,653,000",,,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,
				LandAndImprovements,,,,,"8,085,000","5,202,000","4,975,000","5,107,000","5,351,000","5,316,000","5,397,000","4,223,000",,,,,,,,,
				BuildingsAndImprovements,"156,017,000","166,238,000","205,292,000","178,782,000","142,047,000","156,324,000","141,477,000","146,411,000","145,159,000","139,708,000","142,294,000","118,830,000","104,994,000","88,303,000","88,317,000","85,700,000","85,865,000","79,698,000",,,
				MachineryFurnitureEquipment,"254,421,000","261,940,000","433,269,000","299,819,000","234,234,000","203,833,000","145,674,000","125,752,000","117,406,000","101,701,000","95,475,000","77,682,000","60,181,000","43,761,000","35,933,000","28,928,000","22,073,000","19,954,000",,,
				OtherProperties,"449,106,000","515,818,000","1,821,101,000","1,448,451,000","10,359,000","-15,499,000","7,182,000",,,,,,,,,,"549,000","1,000",,,
				ConstructionInProgress,"48,216,000","37,607,000","63,060,000","44,856,000","36,376,000","30,921,000","14,654,000","6,127,000","2,581,000","2,956,000","1,196,000","5,346,000","2,808,000","1,219,000","746,000","0",,,,,
				Leases,"293,236,000","341,019,000","839,150,000","579,231,000","451,105,000","349,953,000","216,848,000","169,345,000","152,929,000","136,371,000","131,987,000","90,739,000","56,961,000","32,252,000","21,398,000","15,150,000",,"6,261,000",,,
			AccumulatedDepreciation,"-401,701,000","-388,830,000","-639,309,000","-453,218,000","-342,106,000","-275,940,000","-243,035,000","-209,937,000","-186,612,000","-155,401,000","-123,690,000","-88,255,000","-64,523,000","-47,417,000","-36,609,000","-26,680,000","-17,912,000","-11,544,000",,,
		GoodwillAndOtherIntangibleAssets,"134,014,000","77,230,000","92,079,000","96,649,000","99,954,000","44,058,000","21,756,000","17,069,000","19,375,000","8,772,000","9,164,000","6,107,000","16,066,000","7,008,000","7,063,000","3,745,000","3,469,000","3,378,000",,,
			Goodwill,"105,514,000","70,803,000","73,254,000","80,366,000","79,614,000","31,729,000","14,083,000","10,545,000","11,194,000","3,692,000","3,760,000","1,798,000","7,588,000","2,818,000","2,712,000","0",,"209,000",,,
			OtherIntangibleAssets,"28,500,000","6,427,000","18,825,000","16,283,000","20,340,000","12,329,000","7,673,000","6,524,000","8,181,000","5,080,000","5,404,000","4,309,000","8,478,000","4,190,000","4,351,000","3,745,000","3,469,000","3,378,000",,,
		InvestmentsAndAdvances,"862,319,000","437,919,000","537,749,000","431,101,000","404,704,000","433,333,000","217,259,000","178,863,000","325,991,000","117,113,000","8,267,000","2,002,000","2,000","2,000","2,000","2,000",,,,,
			LongTermEquityInvestment,"195,571,000","204,050,000","201,836,000",,,"9,131,000","11,537,000","13,599,000","9,404,000","0","5,265,000","0",,,,,,,,,
				InvestmentsinSubsidiariesatCost,"195,571,000","204,050,000",,,,,,"1,164,000","2,313,000","0","5,265,000","0",,,,,,,,,
				InvestmentsInOtherVenturesUnderEquityMethod,,,,,,,"5,220,000","7,089,000","3,967,000","0",,,,,,,,,,,
				InvestmentsinJointVenturesatCost,,,,,,,"6,317,000","6,510,000","3,124,000","0",,,,,,,,,,,
			InvestmentinFinancialAssets,"666,748,000","233,869,000","335,913,000",,,"385,695,000","197,590,000","163,804,000","314,587,000","115,111,000","1,000,000","0",,,,,,,,,
				AvailableForSaleSecurities,"666,748,000","233,869,000","335,913,000",,,"385,695,000","197,590,000","163,804,000","67,107,000","17,662,000","1,000,000",,,,,,,,,,
				HeldToMaturitySecurities,,,,,,,,"0","247,480,000","97,449,000","0",,,,,,,,,,
			OtherInvestments,,,,,,"38,507,000","8,132,000","1,460,000","2,000,000","2,002,000","2,002,000","2,002,000",,,,,,,,,
		NonCurrentAccountsReceivable,"1,735,000","3,365,000","4,157,000","22,709,000","1,204,000","2,226,000","1,748,000","1,741,000","1,497,000","930,000","904,000","1,449,000",,"396,000","396,000",,,"1,088,000",,,
		DuefromRelatedPartiesNonCurrent,"1,735,000","3,365,000","4,157,000","22,709,000","1,204,000","2,226,000","1,748,000","1,741,000","1,497,000","930,000","904,000","1,449,000",,,,,,,,,
		NonCurrentDeferredAssets,"55,933,000","20,038,000","103,587,000","63,324,000","61,467,000","43,323,000","28,858,000","24,341,000","5,040,000","2,224,000","3,153,000","1,238,000","997,000","1,567,000","1,077,000","1,041,000","1,091,000","644,000",,,
			NonCurrentDeferredTaxesAssets,"55,933,000","20,038,000","103,587,000","63,324,000","61,467,000","43,323,000","28,858,000","24,341,000","5,040,000","2,224,000","3,153,000","1,238,000","997,000","1,567,000","1,077,000","1,041,000","1,091,000","644,000",,,
		NonCurrentPrepaidAssets,"26,492,000","33,409,000","74,796,000","62,116,000","50,184,000","40,290,000","24,872,000","15,136,000","15,692,000","13,656,000","13,859,000","18,303,000","2,789,000","1,851,000","1,331,000","0",,"137,000",,,
		OtherNonCurrentAssets,"98,783,000","54,954,000","41,967,000","26,645,000","30,789,000","22,976,000","21,424,000","10,650,000","3,599,000","1,840,000",,"12,819,000","7,826,000","3,664,000","2,021,000","2,017,000","34,000","1,344,000",,,
TotalLiabilitiesNetMinorityInterest,"2,577,670,000","2,241,142,000","5,132,877,000","3,687,074,000","2,121,462,000","1,969,641,000","1,204,901,000","920,172,000","727,693,000","577,787,000","496,189,000","438,415,000","289,147,000","168,842,000","117,918,000","97,886,000","68,868,000","70,811,000","76,020,000","53,044,000","40,119,108.738"
	CurrentLiabilities,"2,250,978,000","1,710,114,000","3,471,445,000","2,479,364,000","2,006,224,000","1,750,884,000","1,202,681,000","918,190,000","725,232,000","576,065,000","489,835,000","438,303,000","288,000,000","168,705,000","117,761,000","97,886,000","68,868,000","58,013,000",,,"34,438,854.092"
		PayablesAndAccruedExpenses,"574,871,000","452,570,000","788,866,000","613,481,000","573,879,000","443,555,000","309,488,000","251,553,000","206,269,000","170,735,000","140,368,000","154,320,000","42,572,000","61,640,000","42,979,000","38,673,000","23,622,000","15,934,000",,,
			Payables,"265,164,000","192,457,000","273,140,000","243,205,000","255,307,000","205,039,000","125,561,000","103,313,000","87,688,000","70,750,000","67,473,000","95,582,000","40,083,000","16,802,000","13,125,000","9,794,000","5,657,000","4,512,000",,,
				AccountsPayable,"69,764,000","22,289,000","38,441,000","33,147,000","34,057,000","39,889,000","24,258,000","21,395,000","17,888,000","8,586,000","8,569,000","8,943,000","9,518,000","11,038,000","9,295,000","7,033,000","5,657,000","4,512,000",,,
				TotalTaxPayable,"135,444,000","89,454,000","110,458,000","106,051,000","110,107,000","82,303,000","62,165,000","53,997,000","46,259,000","38,087,000","35,420,000","22,404,000","15,659,000","5,750,000","3,728,000","2,755,000",,"1,168,000",,,
					IncomeTaxPayable,"118,049,000","75,650,000","84,321,000","101,385,000","94,071,000","67,233,000","51,045,000","32,806,000","25,376,000","17,720,000","16,472,000","10,012,000","5,221,000","5,750,000","3,728,000","2,755,000",,"1,168,000",,,
				DividendsPayable,,,,,,,,,,,"0","50,000,000",,,,,,"99,000",,,
