name,ttm,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006
OperatingCashFlow,"1,167,417,000","971,008,000","-1,280,453,000","1,130,085,000","804,455,000","805,648,000","781,127,000","622,694,000","524,313,000","374,145,000","361,345,000","283,628,000","249,304,000","215,819,000","141,890,000","97,182,000","76,708,000","59,540,000","25,212,000"
	CashFlowFromContinuingOperatingActivities,,"971,008,000","-1,280,453,000","1,130,085,000","804,455,000","805,648,000","781,127,000","622,694,000","524,313,000","374,145,000","361,345,000","283,628,000","249,304,000","215,819,000","141,890,000","97,182,000","76,708,000","59,540,000","25,212,000"
		NetIncomeFromContinuingOperations,,"235,363,000","-1,220,276,000","230,021,000","354,859,000","227,846,000","297,237,000","276,796,000","225,328,000","192,718,000","215,704,000","136,269,000","132,688,000","101,539,000","77,562,000","60,853,000","49,013,000","29,631,000","6,158,000"
		OperatingGainsLosses,,"6,922,000","96,492,000","3,213,000","3,074,000","-17,032,000","-4,955,000","-2,050,000","2,726,000","4,441,000","-145,000","2,789,000","135,000","1,968,000","214,000","14,000","-24,000","130,000","24,000"
			GainLossOnSaleOfBusiness,,"0","79,609,000","0","0","-3,627,000","0","0","-3,760,000","0","-3,621,000","0","-408,000","1,537,000","0",,,,
			GainLossOnSaleOfPPE,,"2,167,000","0","5,380,000","4,866,000","10,685,000","2,032,000","1,747,000","2,061,000","2,904,000","2,023,000","1,362,000","543,000","431,000","214,000","14,000","-24,000",,"23,000"
			GainLossOnInvestmentSecurities,,,"-22,004,000","-3,535,000","-407,000","-26,379,000","-7,366,000","-7,086,000",,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,"7,102,000","51,466,000","1,368,000","-1,385,000","2,289,000","379,000","3,289,000","4,425,000","1,537,000","1,453,000","1,427,000","0","0",,,,,
		DepreciationAmortizationDepletion,,"122,703,000","194,429,000","230,443,000","151,002,000","114,004,000","79,030,000","55,389,000","48,515,000","47,386,000","43,808,000","39,193,000","26,358,000","17,019,000","12,350,000","10,602,000","7,803,000","7,052,000","5,215,000"
			DepreciationAndAmortization,,"122,703,000","194,429,000","230,443,000","151,002,000","114,004,000","79,030,000","55,389,000","48,515,000","47,386,000","43,808,000","39,193,000","26,358,000","17,019,000","12,350,000","10,602,000","7,803,000","7,052,000","5,215,000"
