name,ttm,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003
TotalRevenue,"4,037,478,000","2,997,760,000","3,105,246,000","4,276,539,000","3,578,682,000","3,096,491,000","2,447,430,000","1,799,509,000","1,478,348,000","1,246,766,000","1,138,887,000","959,854,000","753,195,000","539,851,000","386,307,000","292,567,000","201,003,000","136,445,000","96,051,000","77,721,000","53,379,000","41,950,073.386"
	OperatingRevenue,"4,037,478,000","2,997,760,000","3,105,246,000","4,276,539,000","3,578,682,000","3,096,491,000","2,447,430,000","1,799,509,000","1,478,348,000","1,246,766,000","1,138,887,000","959,854,000","753,195,000","539,851,000","386,307,000","292,567,000","201,003,000","136,445,000","96,051,000","77,721,000","53,379,000","41,950,073.386"
CostOfRevenue,"1,900,177,000","1,409,438,000","1,754,291,000","2,036,875,000","1,588,899,000","1,376,269,000","1,065,740,000","749,586,000","614,364,000","526,320,000","451,669,000","384,177,000","293,063,000","213,779,000","147,261,000","112,011,000","77,219,000","55,239,000","40,016,000","33,068,000","23,077,000","17,556,942.07"
GrossProfit,"2,137,301,000","1,588,322,000","1,350,955,000","2,239,664,000","1,989,783,000","1,720,222,000","1,381,690,000","1,049,923,000","863,984,000","720,446,000","687,218,000","575,677,000","460,132,000","326,072,000","239,046,000","180,556,000","123,784,000","81,206,000","56,035,000","44,653,000","30,302,000","24,393,131.316"
OperatingExpense,"1,749,349,000","1,398,276,000","2,333,468,000","2,090,604,000","1,590,780,000","1,413,070,000","1,118,731,000","787,774,000","668,907,000","566,917,000","493,272,000","453,112,000","339,972,000","230,363,000","161,732,000","119,636,000","78,449,000","54,073,000","48,034,000","31,231,000","24,778,000","21,411,064.066"
	SellingGeneralAndAdministration,"1,749,349,000","1,398,276,000","2,333,468,000","2,090,604,000","1,590,780,000","1,413,070,000","1,118,731,000","787,774,000","668,907,000","566,917,000","493,272,000","453,112,000","339,972,000","230,363,000","161,732,000","119,636,000","78,449,000","54,073,000","48,035,000","31,231,000","24,778,000","2,496,572.302"
		GeneralAndAdministrativeExpense,"1,149,211,000","953,583,000","1,866,573,000","1,489,826,000","1,145,521,000","1,028,783,000","794,482,000","554,948,000","471,010,000","378,434,000","324,210,000","311,014,000","226,404,000","148,409,000","103,336,000","80,689,000","52,832,000",,"38,688,000","25,103,000","19,750,000",
			OtherGandA,"1,149,211,000","953,583,000","1,866,573,000","1,489,826,000","1,145,521,000","1,028,783,000","794,482,000","554,948,000","471,010,000","378,434,000","324,210,000","311,014,000","226,404,000","148,409,000","103,336,000","80,689,000","52,832,000",,"38,688,000","25,103,000","19,750,000",
		SellingAndMarketingExpense,"600,138,000","444,693,000","466,895,000","600,778,000","445,259,000","384,287,000","324,249,000","232,826,000","197,897,000","188,483,000","169,062,000","142,098,000","113,568,000","81,954,000","58,396,000","38,947,000","25,617,000",,"10,483,000","6,128,000","5,028,000","2,496,572.302"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,"-1,000",,,"18,914,491.764"
OperatingIncome,"387,952,000","190,046,000","-982,513,000","149,060,000","399,003,000","307,152,000","262,959,000","262,149,000","195,077,000","153,529,000","193,946,000","122,565,000","120,160,000","95,709,000","77,314,000","60,920,000","45,335,000","27,133,000","8,001,000","13,422,000","5,524,000","2,982,067.249"
NetNonOperatingInterestIncomeExpense,,"113,746,000","119,492,000","134,764,000","111,490,000","95,915,000","84,838,000","61,445,000","66,861,000","66,605,000","44,880,000","30,121,000","25,488,000","13,017,000","6,474,000","6,599,000","8,035,000",,"-958,000","-325,000","126,000",
	InterestIncomeNonOperating,,"114,453,000","123,542,000","141,511,000","116,117,000","97,530,000","84,838,000","61,445,000","66,861,000","66,605,000","44,880,000","30,121,000","25,488,000","13,017,000","6,474,000","6,599,000","8,035,000",,"298,000","441,000","499,000",
	InterestExpenseNonOperating,,"707,000","4,050,000","6,747,000","4,627,000","1,615,000","0","0",,,,,,,,"0","0",,"1,256,000","766,000","373,000",
OtherIncomeExpense,"7,222,000","4,739,000","-169,477,000","31,153,000","-22,657,000","-87,218,000","9,227,000","7,115,000","5,346,000","342,000","4,373,000","772,000","1,040,000","-296,000","-252,000","590,000","-886,000","-121,000","-365,000",,,"966.399"
	GainOnSaleOfSecurity,"1,815,000","-93,000","7,071,000","-289,000","-18,044,000","-78,257,000","7,366,000","7,086,000",,,,,,,,,,,"-391,000",,,
	SpecialIncomeCharges,,"-8,056,000","-208,959,000","-72,001,000","-31,750,000","-7,537,000","-980,000","-2,338,000","3,760,000","0","3,621,000","0","0","-1,537,000","0","590,000","-886,000","-121,000","-365,000",,,"966.399"
		ImpairmentOfCapitalAssets,,"0","0","31,794,000","0","5,245,000",,,,,,"0",,"1,537,000",,,,,,,,
		WriteOff,,"8,056,000","129,350,000","40,207,000","31,750,000","5,919,000","980,000","2,338,000","0","0",,,,,,,,,,,,
		GainOnSaleOfBusiness,,"0","-79,609,000","0","0","3,627,000","0","0","3,760,000","0","3,621,000","0","0","-1,537,000","0",,,,,,,
		GainOnSaleOfPPE,,,,,,"3,627,000","0","0","3,760,000","0","3,621,000","0","0",,,,,,,,,
	OtherNonOperatingIncomeExpenses,"13,463,000","12,888,000","32,411,000","103,443,000","27,137,000","-1,424,000","2,841,000","2,367,000","1,586,000","342,000","752,000","772,000","1,040,000","1,241,000","-252,000",,,,,,,
PretaxIncome,"508,920,000","308,531,000","-1,032,498,000","314,977,000","487,836,000","315,849,000","357,024,000","330,709,000","267,284,000","220,476,000","243,199,000","153,458,000","146,688,000","108,430,000","83,536,000","68,109,000","52,484,000","31,398,000","6,700,000","13,180,000","5,930,000","3,280,201.494"
TaxProvision,"123,601,000","66,066,000","136,312,000","83,588,000","134,362,000","85,714,000","59,408,000","50,624,000","37,531,000","26,221,000","26,042,000","15,355,000","10,772,000","8,236,000","5,974,000","7,256,000","3,644,000","1,897,000","1,736,000","706,000","319,000","192,555.1"
EarningsFromEquityInterestNetOfTax,"-48,807,000","-7,102,000","-51,466,000","-1,368,000","1,385,000","-2,289,000","-379,000","-3,289,000","-4,425,000","-1,537,000","-1,453,000","-1,427,000","0","0",,,,,,,,
NetIncomeCommonStockholders,"311,578,000","177,341,000","-1,187,721,000","334,414,000","413,333,000","238,065,000","296,130,000","274,457,000","224,884,000","193,013,000","215,704,000","136,269,000","132,688,000","101,774,000","77,789,000","61,016,000","49,013,000","29,631,000","6,155,000","17,152,000","6,329,000","2,339,049.184"
	NetIncome,"311,578,000","177,341,000","-1,187,721,000","334,414,000","413,333,000","238,065,000","296,130,000","274,457,000","224,884,000","193,013,000","215,704,000","136,269,000","132,688,000","101,774,000","77,789,000","61,016,000","49,013,000","29,631,000","6,158,000","17,152,000","6,329,000","2,339,049.184"
		NetIncomeIncludingNoncontrollingInterests,"336,512,000","235,363,000","-1,220,276,000","230,021,000","354,859,000","227,846,000","297,237,000","276,796,000","225,328,000","192,718,000","215,704,000","136,269,000","132,688,000","101,539,000","77,562,000","60,853,000","48,840,000","29,501,000","6,159,000","17,164,000","6,356,000","2,335,304.386"
			NetIncomeContinuousOperations,"336,512,000","235,363,000","-1,220,276,000","230,021,000","354,859,000","227,846,000","297,237,000","276,796,000","225,328,000","192,718,000","215,704,000","136,676,000","135,916,000","100,194,000","77,562,000","60,853,000","48,840,000","29,631,000","4,962,000","12,474,000","5,611,000","3,091,391.192"
			NetIncomeDiscontinuousOperations,,,,,,,,,,"0","0","-407,000","-3,228,000","1,345,000",,,,,"1,196,000","4,678,000","718,000","-752,342.009"
