name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
TotalAssets,"2,685,400,000","2,634,961,000","3,831,809,000","2,404,489,000","1,542,352,000","901,851,000","605,583,000","581,193,000","553,061,000","246,203,000","106,159,000"
	CurrentAssets,"1,570,446,000","1,513,743,000","1,341,501,000","1,894,781,000","921,038,000","680,289,000","439,264,000","371,032,000","359,054,000","127,061,000","76,785,000"
		CashCashEquivalentsAndShortTermInvestments,"1,150,441,000","1,171,691,000","984,612,000","1,669,218,000","817,252,000","624,287,000","340,550,000","282,086,000","292,864,000","88,843,000","54,870,000"
			CashAndCashEquivalents,"914,323,000","921,278,000","780,196,000","1,244,099,000","443,293,000","366,985,000","315,442,000","181,592,000","271,244,000","69,659,000","36,795,000"
				CashFinancial,,"532,832,000","214,771,000",,,,,,,,
				CashEquivalents,,"388,446,000","565,425,000",,,,,,,,
			OtherShortTermInvestments,"236,118,000","250,413,000","204,416,000","425,119,000","373,959,000","257,302,000","25,108,000","100,494,000","21,620,000","19,184,000","18,075,000"
		Receivables,"290,121,000","261,849,000","247,472,000","169,411,000","65,172,000","33,316,000","78,335,000","56,243,000","39,537,000","25,977,000","16,392,000"
			AccountsReceivable,"290,121,000","261,849,000","247,472,000","169,411,000","65,172,000","33,316,000","78,335,000","56,243,000","39,537,000","25,977,000","16,392,000"
				GrossAccountsReceivable,"300,270,000","270,152,000","255,202,000","179,168,000","70,205,000","38,036,000","81,022,000","58,242,000","41,608,000","27,818,000","17,671,000"
				AllowanceForDoubtfulAccountsReceivable,"-10,149,000","-8,303,000","-7,730,000","-9,757,000","-5,033,000","-4,720,000","-2,687,000","-1,999,000","-2,071,000","-1,841,000","-1,279,000"
			OtherReceivables,,,,,,,,,,,"5,290,000"
		PrepaidAssets,,,"109,417,000","56,152,000","38,614,000","22,686,000","20,379,000","15,571,000","9,521,000","12,241,000","3,721,000"
		CurrentDeferredAssets,,,,,,,"0","17,132,000","17,132,000","0","1,802,000"
			CurrentDeferredTaxesAssets,,,,,,,"0","17,132,000","17,132,000","0","1,802,000"
		OtherCurrentAssets,"129,884,000","80,203,000","109,417,000",,,,,,,,"0"
	TotalNonCurrentAssets,"1,114,954,000","1,121,218,000","2,490,308,000","509,708,000","621,314,000","221,562,000","166,319,000","210,161,000","194,007,000","119,142,000","29,374,000"
		NetPPE,"249,794,000","249,744,000","275,062,000","112,495,000","144,864,000","120,179,000","117,617,000","126,407,000","105,021,000","75,538,000","23,107,000"
