name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalRevenue,"2,772,384,000","2,748,377,000","2,566,111,000","2,329,114,000","1,725,625,000","818,379,000","603,693,000","441,231,000","364,967,000","273,499,000","195,591,000","125,022,000","74,602,000"
	OperatingRevenue,"2,772,384,000","2,748,377,000","2,566,111,000","2,329,114,000","1,725,625,000","818,379,000","603,693,000","441,231,000","359,061,000","269,256,000","191,234,000","121,361,000","71,193,000"
CostOfRevenue,"815,807,000","828,675,000","744,592,000","654,512,000","464,745,000","271,036,000","190,762,000","150,986,000","123,328,000","96,979,000","73,633,000","47,779,000","24,493,000"
GrossProfit,"1,956,577,000","1,919,702,000","1,821,519,000","1,674,602,000","1,260,880,000","547,343,000","412,931,000","290,245,000","241,639,000","176,520,000","121,958,000","77,243,000","50,109,000"
OperatingExpense,"1,614,304,000","1,571,770,000","1,435,057,000","1,208,870,000","836,871,000","458,582,000","338,145,000","275,187,000","223,511,000","178,404,000","128,209,000","76,510,000","51,464,000"
	SellingGeneralAndAdministration,"1,158,545,000","1,102,438,000","1,022,659,000","937,335,000","656,791,000","336,704,000","240,896,000","200,571,000","168,428,000","135,710,000","91,575,000","48,962,000","32,811,000"
		GeneralAndAdministrativeExpense,"361,659,000","343,242,000","312,260,000","282,531,000","156,035,000","121,134,000","82,883,000","91,486,000","86,180,000","68,939,000","51,920,000","31,112,000","21,909,000"
			OtherGandA,"361,659,000","343,242,000","312,260,000","282,531,000","156,035,000","121,134,000","82,883,000","91,486,000","86,180,000","68,939,000","51,920,000","31,112,000","21,909,000"
		SellingAndMarketingExpense,"796,886,000","759,196,000","710,399,000","654,804,000","500,756,000","215,570,000","158,013,000","109,085,000","82,248,000","66,771,000","39,655,000","17,850,000","10,902,000"
	ResearchAndDevelopment,"455,759,000","469,332,000","412,398,000","271,535,000","180,080,000","121,878,000","97,249,000","74,616,000","55,083,000","42,694,000","36,634,000","27,548,000","18,653,000"
OperatingIncome,"342,273,000","347,932,000","386,462,000","465,732,000","424,009,000","88,761,000","74,786,000","15,058,000","18,128,000","-1,884,000","-6,251,000","733,000","-1,355,000"
NetNonOperatingInterestIncomeExpense,,"21,957,000","-3,212,000","-7,748,000","-34,923,000","-11,121,000","-13,221,000","-8,736,000","-5,502,000","-1,202,000","-549,000","-256,000","-438,000"
	InterestIncomeNonOperating,,"35,999,000","10,956,000","2,137,000","7,102,000","13,199,000","8,957,000","2,394,000","1,702,000","324,000","41,000","46,000","48,000"
	InterestExpenseNonOperating,,"14,042,000","14,168,000","9,885,000","42,025,000","24,320,000","22,178,000","11,130,000","7,204,000","1,526,000","590,000","302,000","486,000"
OtherIncomeExpense,"537,000","-77,069,000","-1,045,228,000","13,670,000","-23,377,000","3,006,000","-6,487,000","25,943,000","-15,502,000","-24,908,000","-3,460,000","-419,000","-737,000"
	GainOnSaleOfSecurity,,"-6,348,000","-206,000","13,670,000","-6,522,000","3,006,000","-6,487,000","29,105,000","-14,951,000","-24,908,000","-3,460,000","-419,000","-737,000"
	SpecialIncomeCharges,"-2,630,000","-70,721,000","-1,045,022,000","0","-16,855,000","0","0","-3,162,000","-551,000","0",,"-419,000",
		ImpairmentOfCapitalAssets,"0","68,091,000","1,045,022,000","0",,"0","0","3,162,000","551,000","0",,,
		WriteOff,,,,,,"0","0","3,162,000","551,000","0",,,
		OtherSpecialCharges,,,,,"16,855,000",,,,,,,,
		GainOnSaleOfBusiness,,"-2,630,000","0","0",,,,,,,,,
PretaxIncome,"364,767,000","292,820,000","-661,978,000","471,654,000","365,709,000","80,646,000","55,078,000","32,265,000","-2,876,000","-27,994,000","-10,260,000","58,000","-2,530,000"
TaxProvision,"77,642,000","-14,748,000","32,310,000","-21,853,000","16,463,000","-15,248,000","-22,413,000","-49,535,000","27,025,000","26,069,000","4,983,000","854,000","-145,000"
NetIncomeCommonStockholders,"287,125,000","307,568,000","-694,288,000","493,507,000","349,246,000","95,894,000","77,454,000","81,720,000","-29,901,000","-54,063,000","-15,243,000","-796,000","-2,385,000"
	NetIncome,"287,125,000","307,568,000","-694,288,000","493,507,000","349,246,000","95,894,000","77,491,000","81,800,000","-29,901,000","-54,063,000","-15,243,000","-796,000","-2,385,000"
		NetIncomeIncludingNoncontrollingInterests,"287,125,000","307,568,000","-694,288,000","493,507,000","349,246,000","95,894,000","77,491,000","81,800,000","-29,901,000","-54,063,000","-15,243,000","-796,000","-2,385,000"
			NetIncomeContinuousOperations,"287,125,000","307,568,000","-694,288,000","493,507,000","349,246,000","95,894,000","77,491,000","81,800,000","-29,901,000","-54,063,000","-15,243,000","-796,000","-2,385,000"
	OtherunderPreferredStockDividend,,,,,"-17,880,000","0","37,000","80,000","0","0","-492,000",,
AverageDilutionEarnings,"6,316,000","6,336,000","0","4,900,000","17,880,000","0","37,000","851,000","0","0",,,
DilutedNIAvailtoComStockholders,"293,441,000","313,904,000","-694,288,000","498,407,000","367,126,000","95,894,000","77,491,000","82,571,000","-29,901,000","-54,063,000","-15,243,000","-796,000","-2,385,000"
BasicEPS,"2.4","2.51","-5.48","3.88","2.88","0.8","0.64","0.69","-0.26","-0.59","-0.137","-0.008","-0.025"
DilutedEPS,"2.15","2.24","-5.48","3.4","2.69","0.76","0.61","0.68","-0.26","-0.59","-0.137","-0.008","-0.025"
BasicAverageShares,"119,240,366","122,503,366","126,778,626","127,224,974","121,251,588","119,665,248","120,146,076","118,538,687","113,562,738","91,122,291","110,962,515","93,694,906","93,694,906"
DilutedAverageShares,"136,271,406","140,145,406","126,778,626","146,683,324","136,414,592","125,720,073","127,084,785","122,267,673","113,562,738","91,122,291","110,962,515","93,694,906","93,694,906"
TotalOperatingIncomeAsReported,"342,273,000","279,841,000","-658,560,000","465,732,000","424,009,000","88,761,000","74,786,000","11,896,000","17,577,000","-1,884,000","-6,251,000","733,000","-1,355,000"
