name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"180,348,000,000","176,191,000,000","158,057,000,000","136,341,000,000","127,144,000,000","155,900,000,000","160,338,000,000","156,776,000,000","151,800,000,000","149,558,000,000","144,077,000,000","146,917,000,000","133,559,000,000","135,605,000,000","128,954,000,000","116,283,000,000","145,114,000,000","172,455,000,000","160,065,000,000","176,835,000,000","172,316,000,000","164,338,000,000","162,258,000,000","160,504,000,000","170,058,000,000","160,658,000,000","143,350,000,000","153,627,000,000","146,991,000,000","137,137,000,000","128,439,000,000","108,521,000,000","100,132,000,000","88,286,300,000","97,650,000,000","96,145,900,000","92,445,600,000","71,643,400,000","62,715,800,000","52,774,400,000"
	OperatingRevenue,"180,348,000,000","176,191,000,000","158,057,000,000","136,341,000,000","127,144,000,000","155,900,000,000","160,338,000,000","156,776,000,000","151,800,000,000","149,558,000,000","144,077,000,000","146,917,000,000","133,559,000,000","135,605,000,000","128,954,000,000","116,283,000,000","145,114,000,000","172,455,000,000","160,065,000,000","176,835,000,000","172,316,000,000","164,338,000,000","162,258,000,000","160,504,000,000","170,058,000,000","160,658,000,000","143,350,000,000","153,627,000,000","146,991,000,000","137,137,000,000","128,439,000,000","108,521,000,000","100,132,000,000","88,286,300,000","97,650,000,000","96,145,900,000","92,445,600,000","71,643,400,000","62,715,800,000","52,774,400,000"
CostOfRevenue,"165,856,000,000","160,031,000,000","140,893,000,000","119,903,000,000","121,359,000,000","144,165,000,000","145,732,000,000","140,368,000,000","135,042,000,000","131,814,000,000","131,903,000,000","123,050,000,000","116,154,000,000","117,225,000,000","108,796,000,000","98,866,000,000","127,102,000,000","142,587,000,000","148,866,000,000","144,920,000,000","135,755,000,000","129,685,000,000","125,027,000,000","128,348,000,000","131,085,000,000","126,664,000,000","112,652,000,000","117,706,000,000","118,586,000,000","110,595,000,000","102,910,000,000","91,762,000,000","88,804,000,000","70,371,300,000","78,004,100,000","72,615,700,000","68,233,300,000","58,495,100,000","51,866,200,000","44,435,400,000"
GrossProfit,"14,492,000,000","16,160,000,000","17,164,000,000","16,438,000,000","5,785,000,000","11,735,000,000","14,606,000,000","16,408,000,000","16,758,000,000","17,744,000,000","12,174,000,000","23,867,000,000","17,405,000,000","18,380,000,000","20,158,000,000","17,417,000,000","18,012,000,000","29,868,000,000","11,199,000,000","31,915,000,000","36,561,000,000","34,653,000,000","37,231,000,000","32,156,000,000","38,973,000,000","33,994,000,000","30,698,000,000","35,921,000,000","28,405,000,000","26,542,000,000","25,529,000,000","16,759,000,000","11,328,000,000","17,915,000,000","19,645,900,000","23,530,200,000","24,212,300,000","13,148,300,000","10,849,600,000","8,339,000,000"
OperatingExpense,"10,500,000,000","10,702,000,000","10,888,000,000","11,915,000,000","10,193,000,000","11,161,000,000","11,403,000,000","11,527,000,000","10,972,000,000","10,763,000,000","11,842,000,000","11,058,000,000","11,606,000,000","10,848,000,000","11,693,000,000","13,029,000,000","21,430,000,000","21,169,000,000","19,148,000,000","24,588,000,000","24,012,000,000","26,642,000,000","28,249,000,000","28,668,000,000","21,255,000,000","18,128,000,000","16,423,000,000","15,640,000,000","13,500,000,000","12,544,000,000","10,334,000,000","7,920,000,000","6,523,000,000","11,930,900,000","9,105,800,000","9,550,100,000","10,764,800,000","6,947,100,000","6,793,100,000","5,609,300,000"
	SellingGeneralAndAdministration,"10,500,000,000","10,702,000,000","10,888,000,000","11,915,000,000","10,193,000,000","11,161,000,000","11,403,000,000","11,527,000,000","10,972,000,000","10,763,000,000","11,842,000,000","10,850,000,000","11,529,000,000","10,884,000,000","11,909,000,000","13,029,000,000","21,430,000,000","21,169,000,000","19,148,000,000","24,588,000,000","24,012,000,000","26,642,000,000","28,249,000,000","18,572,000,000","11,847,000,000","8,874,000,000","7,834,000,000","7,995,000,000","6,625,000,000","6,044,000,000","5,424,000,000","4,856,000,000","4,434,000,000","6,152,600,000","5,920,900,000","5,321,400,000","8,307,200,000","3,779,700,000","3,833,500,000","3,216,500,000"
		GeneralAndAdministrativeExpense,,,,,,,,"11,527,000,000",,"10,763,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,"11,527,000,000",,"10,763,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,"8,779,000,000",,"10,096,000,000","9,408,000,000","9,254,000,000","8,589,000,000","7,645,000,000","6,875,000,000","6,500,000,000","4,910,000,000","3,064,000,000","2,089,000,000","5,778,300,000","3,184,900,000","4,228,700,000","2,457,600,000","3,167,400,000","2,959,600,000","2,392,800,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,"8,779,000,000",,"10,096,000,000","9,408,000,000","9,254,000,000","8,589,000,000","7,645,000,000","6,875,000,000","6,500,000,000","4,910,000,000","3,064,000,000","2,089,000,000","5,778,300,000","3,184,900,000","4,228,700,000","2,457,600,000","3,167,400,000","2,959,600,000","2,392,800,000"
