name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalAssets,"570,956,000","793,117,000","1,157,881,000","1,411,507,000","1,586,743,000","1,642,142,000","1,677,505,000","1,761,377,000","1,796,264,000","2,227,597,000","2,042,010,000","2,031,474,000","1,774,476,000","381,570,000","14,962,000"
	CurrentAssets,"255,583,000","367,351,000","588,051,000","934,026,000","887,913,000","998,629,000","1,072,448,000","1,091,936,000","1,075,242,000","1,385,058,000","1,562,498,000","1,487,786,000","1,323,327,000","173,855,000","14,207,000"
		CashCashEquivalentsAndShortTermInvestments,"141,563,000","281,279,000","498,726,000","850,587,000","750,887,000","841,021,000","880,129,000","862,977,000","853,362,000","1,016,634,000","1,240,472,000","1,209,289,000","1,122,935,000","118,833,000","12,313,000"
			CashAndCashEquivalents,"141,563,000","281,279,000","498,726,000","850,587,000","750,887,000","841,021,000","880,129,000","862,977,000","853,362,000","1,016,634,000","1,240,472,000","1,209,289,000","1,122,935,000","118,833,000","12,313,000"
		Receivables,"55,722,000","51,662,000","44,466,000","48,435,000","59,744,000","76,210,000","108,593,000","88,732,000","114,963,000","150,112,000","136,633,000","113,152,000","110,023,000","42,407,000","601,000"
			AccountsReceivable,"50,373,000","44,971,000","36,755,000","42,998,000","54,953,000","69,493,000","98,294,000","71,272,000","68,175,000","90,597,000","83,673,000","96,713,000","108,747,000","42,407,000","601,000"
				GrossAccountsReceivable,"53,229,000","49,509,000","44,729,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,856,000","-4,538,000","-7,974,000",,,,,,,,,,,,
			TaxesReceivable,"5,349,000","6,691,000","7,711,000","5,437,000","4,791,000","6,717,000","10,299,000","17,460,000","46,788,000","59,515,000","52,960,000","16,439,000","1,276,000",,
		Inventory,,,,"1,280,000","25,426,000","33,739,000","25,528,000","31,042,000","42,305,000","52,237,000","57,097,000","39,733,000","6,070,000",,
			FinishedGoods,,,,"1,280,000","25,426,000","33,739,000","25,528,000","31,042,000","42,305,000","52,237,000","57,097,000","39,733,000",,,
		PrepaidAssets,"9,799,000","16,048,000","28,550,000","18,038,000","27,077,000","28,209,000","40,399,000","34,132,000","49,134,000","32,758,000","46,705,000","40,305,000","19,657,000","12,615,000","1,293,000"
		RestrictedCash,"26,075,000","417,000",,,,,,,,"12,019,000","14,579,000","16,507,000","12,128,000",,
		CurrentDeferredAssets,"14,627,000","9,362,000","6,476,000","4,942,000",,,,,,"16,271,000","27,938,000","31,211,000","19,243,000",,
			CurrentDeferredTaxesAssets,,,,,,,,,,"16,271,000","27,938,000","31,211,000","19,243,000",,
		AssetsHeldForSaleCurrent,,,,,,,"0","63,246,000","0","85,445,000",,,,,
		OtherCurrentAssets,"7,797,000","8,583,000","9,833,000","12,024,000","24,779,000","19,450,000","17,799,000","11,807,000","15,478,000","47,872,000","39,074,000","37,589,000","33,271,000",,
	TotalNonCurrentAssets,"315,373,000","425,766,000","569,830,000","477,481,000","698,830,000","643,513,000","605,057,000","669,441,000","721,022,000","842,539,000","479,512,000","543,688,000","451,149,000","207,715,000","755,000"
		NetPPE,"32,727,000","68,858,000","121,539,000","160,633,000","233,340,000","143,117,000","151,145,000","169,452,000","198,897,000","176,004,000","134,423,000","121,072,000","51,800,000","16,490,000","274,000"
			GrossPPE,"339,438,000","526,433,000","504,735,000","491,683,000","544,774,000","447,547,000","558,940,000","511,556,000","484,441,000","365,952,000","244,700,000","167,308,000","66,427,000","18,495,000","348,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"302,172,000","447,801,000","433,201,000","391,526,000","383,313,000","391,968,000","504,346,000","462,459,000","434,060,000","322,504,000","204,873,000","138,530,000","51,428,000","13,262,000","348,000"
				OtherProperties,"18,099,000","60,204,000","47,958,000","75,349,000","113,534,000","5,265,000","4,989,000","4,862,000","4,838,000","4,507,000","3,997,000",,,,
				Leases,"19,167,000","18,428,000","23,576,000","24,808,000","47,927,000","50,314,000","49,605,000","44,235,000","45,543,000","38,941,000","35,830,000","28,778,000","14,999,000","5,233,000","0"
			AccumulatedDepreciation,"-306,711,000","-457,575,000","-383,196,000","-331,050,000","-311,434,000","-304,430,000","-407,795,000","-342,104,000","-285,544,000","-189,948,000","-110,277,000","-46,236,000","-14,627,000","-2,005,000","-74,000"
		GoodwillAndOtherIntangibleAssets,"190,089,000","196,326,000","240,703,000","244,850,000","360,309,000","370,892,000","306,185,000","317,466,000","323,815,000","267,365,000","249,270,000","249,281,000","212,570,000","172,813,000","239,000"
			Goodwill,"178,685,000","178,685,000","216,393,000","214,699,000","325,017,000","325,491,000","286,989,000","274,551,000","287,332,000","236,756,000","220,827,000","206,684,000","166,903,000","132,038,000","0"
			OtherIntangibleAssets,"11,404,000","17,641,000","24,310,000","30,151,000","35,292,000","45,401,000","19,196,000","42,915,000","36,483,000","30,609,000","28,443,000","42,597,000","45,667,000","40,775,000","239,000"
		InvestmentsAndAdvances,"74,823,000","119,541,000","119,541,000","37,671,000","76,576,000","108,515,000","135,189,000","141,882,000","178,236,000","24,298,000","20,652,000","84,209,000","50,604,000",,
		NonCurrentDeferredAssets,"14,767,000","36,049,000","82,011,000","27,310,000","22,334,000",,,"5,231,000","3,454,000","57,594,000","35,941,000","29,916,000","46,104,000","14,544,000","0"
			NonCurrentDeferredTaxesAssets,"11,639,000","13,550,000","62,945,000","11,593,000","4,829,000",,,"5,231,000","3,454,000","57,594,000","35,941,000","29,916,000","46,104,000","14,544,000","0"
		OtherNonCurrentAssets,"2,967,000","4,992,000","6,036,000","7,017,000","6,271,000","20,989,000","12,538,000","40,641,000","16,620,000","317,278,000","39,226,000","59,210,000","90,071,000","3,868,000","242,000"
TotalLiabilitiesNetMinorityInterest,"611,268,000","784,259,000","947,585,000","1,303,833,000","1,191,697,000","1,259,531,000","1,425,660,000","1,496,315,000","1,325,677,000","1,462,653,000","1,330,328,000","1,289,373,000","1,075,009,000","372,040,000","44,931,000"
	CurrentLiabilities,"369,154,000","531,440,000","630,987,000","938,988,000","821,547,000","957,174,000","1,133,499,000","1,213,051,000","1,203,525,000","1,293,598,000","1,187,778,000","1,168,441,000","995,162,000","370,419,000","10,219,000"
		PayablesAndAccruedExpenses,"233,210,000","304,584,000","329,574,000","467,150,000","607,509,000","738,221,000","844,860,000","810,390,000","814,686,000","860,241,000","946,422,000","910,517,000","771,588,000","331,596,000","9,005,000"
			Payables,"15,016,000","59,568,000","22,165,000","40,888,000","25,459,000","47,346,000","41,613,000","39,398,000","38,475,000","28,283,000","97,606,000","149,480,000","162,333,000","70,864,000","4,506,000"
				AccountsPayable,"15,016,000","59,568,000","22,165,000","33,026,000","20,415,000","38,359,000","31,968,000","28,551,000","24,590,000","13,822,000","27,573,000","59,865,000","40,918,000","57,543,000","182,000"
				TotalTaxPayable,,,"601,000","7,862,000","5,044,000","8,987,000","9,645,000","10,847,000","13,885,000","14,461,000","70,033,000","89,615,000","121,415,000",,
					IncomeTaxPayable,,,"601,000","7,862,000","5,044,000","8,987,000","9,645,000","10,847,000","13,885,000","14,461,000","21,994,000","33,887,000","70,861,000",,
				DuetoRelatedPartiesCurrent,,,,,,,,,,,,,"246,000","13,321,000","0"
				OtherPayable,,,,,,,,,,,,,"520,723,000",,"4,324,000"
			CurrentAccruedExpenses,"218,194,000","245,016,000","307,409,000","426,262,000","582,050,000","690,875,000","803,247,000","770,992,000","776,211,000","831,958,000","848,816,000","761,037,000","609,255,000","260,732,000","4,499,000"
		CurrentProvisions,"4,445,000","11,072,000","19,601,000","33,173,000","22,002,000","27,957,000","31,275,000","33,104,000","35,297,000","32,535,000","38,597,000","69,209,000","67,452,000",,
