name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
TotalRevenue,"511,889,000","514,910,000","599,085,000","967,108,000","1,416,868,000","2,218,915,000","2,636,746,000","2,843,877,000","3,013,615,000","2,954,816,000","3,042,123,000","2,573,655,000","2,334,472,000","1,610,430,000","312,941,000","14,540,000"
	OperatingRevenue,"511,889,000","514,910,000","599,085,000","967,108,000","1,416,868,000","2,218,915,000","2,636,746,000","2,843,877,000","3,013,615,000","2,954,816,000","3,042,123,000","2,573,655,000","2,334,472,000","1,610,430,000","312,941,000","14,540,000"
CostOfRevenue,"55,677,000","64,246,000","76,261,000","229,992,000","739,574,000","1,032,786,000","1,316,145,000","1,510,016,000","1,732,962,000","1,667,006,000","1,576,814,000","1,072,122,000","718,940,000","258,879,000","42,896,000","4,716,000"
GrossProfit,"456,212,000","450,664,000","522,824,000","737,116,000","677,294,000","1,186,129,000","1,320,601,000","1,333,861,000","1,280,653,000","1,287,810,000","1,465,309,000","1,501,533,000","1,615,532,000","1,351,551,000","270,045,000","9,824,000"
OperatingExpense,"432,837,000","460,910,000","630,606,000","699,876,000","757,719,000","1,146,300,000","1,266,698,000","1,302,747,000","1,351,852,000","1,341,870,000","1,433,339,000","1,425,790,000","1,515,934,000","1,589,474,000","487,206,000","10,901,000"
	SellingGeneralAndAdministration,"432,837,000","460,910,000","630,606,000","699,876,000","757,719,000","1,146,300,000","1,266,698,000","1,302,747,000","1,351,852,000","1,341,870,000","1,433,339,000","1,425,790,000","1,515,934,000","1,589,474,000","487,206,000","10,901,000"
		GeneralAndAdministrativeExpense,"304,118,000","350,405,000","481,375,000","511,096,000","603,185,000","806,945,000","870,961,000","901,829,000","999,677,000","1,100,528,000","1,191,385,000","1,210,966,000","1,179,080,000","821,002,000","196,637,000","5,848,000"
			OtherGandA,"304,118,000","350,405,000","481,375,000","511,096,000","603,185,000","806,945,000","870,961,000","901,829,000","999,677,000","1,100,528,000","1,191,385,000","1,210,966,000","1,179,080,000","821,002,000","196,637,000","5,848,000"
		SellingAndMarketingExpense,"128,719,000","110,505,000","149,231,000","188,780,000","154,534,000","339,355,000","395,737,000","400,918,000","352,175,000","241,342,000","241,954,000","214,824,000","336,854,000","768,472,000","290,569,000","5,053,000"
OperatingIncome,"23,375,000","-10,246,000","-107,782,000","37,240,000","-80,425,000","39,829,000","53,903,000","31,114,000","-71,199,000","-54,060,000","31,970,000","75,743,000","99,598,000","-237,923,000","-217,161,000","-1,077,000"
NetNonOperatingInterestIncomeExpense,"-4,681,000","-5,454,000","-4,847,000","-12,090,000","-26,841,000","-15,849,000","-15,489,000","-17,393,000","-14,104,000","-1,926,000","533,000","1,430,000","2,522,000","1,176,000","-240,000","-16,000"
	InterestIncomeNonOperating,"3,848,000","10,264,000","9,533,000","5,116,000","6,351,000","7,744,000","6,420,000","3,287,000","1,808,000","863,000","1,416,000","1,721,000","2,522,000","1,176,000",,
	InterestExpenseNonOperating,"8,529,000","15,718,000","14,380,000","17,206,000","33,192,000","23,593,000","21,909,000","20,680,000","15,912,000","2,789,000","883,000","291,000","0","0",,
	TotalOtherFinanceCost,,,,,,,,,,,,,"-1,702,000","-5,973,000","240,000","16,000"
