name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"971,500,000","725,600,000","372,900,000","817,900,000","976,300,000","653,100,000","645,997,000","724,378,000","817,313,000","571,366,000","454,411,000","401,132,000","534,796,000","396,069,000","367,981,000","265,623,000","593,185,000","601,794,000","320,647,000","496,624,000","358,506,000","454,155,000","473,139,000","372,475,000","162,556,000","391,500,000","126,600,000","543,800,000","280,000,000","227,400,000","283,800,000","217,200,000","229,800,000","120,100,000","161,600,000","185,000,000"
	CashFlowFromContinuingOperatingActivities,"971,500,000","725,600,000","372,900,000","817,900,000","976,300,000","653,100,000","645,997,000","724,378,000","817,313,000","571,366,000","454,411,000","401,132,000","534,796,000","396,069,000","367,981,000","265,623,000","593,185,000","601,794,000","320,647,000","496,624,000","358,506,000","454,155,000","473,139,000","372,475,000","162,556,000","391,500,000","126,600,000","543,800,000","280,000,000","227,400,000","283,800,000","217,200,000","229,800,000","120,100,000","161,600,000","185,000,000"
		NetIncomeFromContinuingOperations,"-1,033,600,000","-1,487,800,000","203,000,000","435,300,000","225,400,000","520,500,000","220,434,000","396,607,000","533,151,000","446,872,000","413,310,000","283,928,000","335,999,000","385,367,000","397,752,000","374,930,000","306,766,000","333,003,000","230,055,000","212,075,000","195,977,000","157,664,000","-170,674,000","59,732,000","-144,631,000","189,000,000","206,400,000","135,000,000","199,900,000","155,600,000","179,300,000","200,000,000","179,000,000","81,700,000","89,200,000","92,200,000"
		OperatingGainsLosses,,"539,000,000","22,100,000","88,700,000","-1,500,000","109,800,000",,,,,,,,,,,,,,"-2,006,000","-2,307,000","51,495,000","290,404,000","2,532,000","46,719,000",,"20,000,000",,,"13,300,000","-25,300,000",,,,,
			GainLossOnSaleOfBusiness,"563,400,000","539,000,000","22,100,000","108,800,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,"-20,100,000","-1,500,000","-1,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,"0","0","111,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"402,500,000","659,600,000","788,100,000","908,700,000","652,000,000","266,400,000","211,864,000","207,634,000","190,401,000","197,776,000","205,052,000","228,675,000","192,087,000","196,266,000","168,399,000","180,963,000","166,138,000","156,520,000","146,707,000","180,132,000","146,180,000","164,123,000","183,838,000","225,899,000","264,221,000","277,300,000","169,200,000","166,600,000","138,300,000","129,900,000","122,300,000","100,700,000","95,600,000","81,800,000","60,200,000","60,000,000"
			DepreciationAndAmortization,"402,500,000","659,600,000","788,100,000","908,700,000","652,000,000","266,400,000","211,864,000","207,634,000","190,401,000","197,776,000","205,052,000","228,675,000","192,087,000","196,266,000","168,399,000","180,963,000","166,138,000","156,520,000","146,707,000","180,132,000","146,180,000","164,123,000","183,838,000","225,899,000","264,221,000","277,300,000","169,200,000","166,600,000","138,300,000","129,900,000","122,300,000","100,700,000","95,600,000","81,800,000","60,200,000","60,000,000"
				Depreciation,"122,700,000","127,700,000","127,300,000","163,300,000","120,200,000","133,500,000","139,255,000","143,018,000","119,707,000","111,605,000","105,258,000","102,799,000","99,718,000","113,821,000","95,925,000","95,934,000","87,873,000","88,804,000","67,773,000","78,097,000","75,618,000","88,070,000","89,262,000","104,247,000",,,,,,,,,,,,
