name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993,01/31/1992,01/31/1991,01/31/1990
OperatingCashFlow,"19,873,000,000","21,172,000,000","14,615,000,000","16,571,000,000","18,839,000,000","13,687,000,000","13,165,000,000","12,031,000,000","9,783,000,000","9,373,000,000","8,242,000,000","7,628,000,000","6,975,000,000","6,651,000,000","4,585,000,000","5,125,000,000","5,528,000,000","5,727,000,000","7,660,000,000","6,620,000,000","6,632,000,000","6,545,000,000","4,802,000,000","5,963,000,000","2,796,000,000","2,446,000,000","1,917,000,000","1,029,000,000","1,100,000,000","713,000,000","534,500,000","396,500,000","338,100,000","266,600,000","180,700,000","116,800,000"
	CashFlowFromContinuingOperatingActivities,"19,873,000,000","21,172,000,000","14,615,000,000","16,571,000,000","18,839,000,000","13,687,000,000","13,165,000,000","12,031,000,000","9,783,000,000","9,373,000,000","8,242,000,000","7,628,000,000","6,975,000,000","6,651,000,000","4,585,000,000","5,125,000,000","5,528,000,000","5,727,000,000","7,660,000,000","6,620,000,000","6,632,000,000","6,545,000,000","4,802,000,000","5,963,000,000","2,796,000,000","2,446,000,000","1,917,000,000","1,029,000,000","1,100,000,000","713,000,000","534,500,000","396,500,000","338,100,000","266,600,000","180,700,000","116,800,000"
		NetIncomeFromContinuingOperations,"14,772,000,000","15,143,000,000","17,105,000,000","16,433,000,000","12,866,000,000","11,242,000,000","11,121,000,000","8,630,000,000","7,957,000,000","7,009,000,000","6,345,000,000","5,385,000,000","4,535,000,000","3,883,000,000","3,338,000,000","2,661,000,000","2,260,000,000","4,395,000,000","5,761,000,000","5,838,000,000","5,001,000,000","4,304,000,000","3,664,000,000","3,044,000,000","2,581,000,000","2,320,000,000","1,614,000,000","1,160,000,000","938,000,000","731,500,000","604,500,000","457,400,000","362,900,000","249,200,000","163,400,000","112,000,000"
		OperatingGainsLosses,,,,,,,,,,"-144,000,000","-323,000,000",,,,,,,,,"253,000,000","125,000,000",,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,"-144,000,000","-323,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"3,416,000,000","3,247,000,000","2,975,000,000","2,862,000,000","2,519,000,000","2,296,000,000","2,152,000,000","2,062,000,000","1,973,000,000","1,863,000,000","1,786,000,000","1,757,000,000","1,684,000,000","1,682,000,000","1,718,000,000","1,806,000,000","1,902,000,000","1,906,000,000","1,886,000,000","1,579,000,000","1,319,000,000","1,076,000,000","903,000,000","764,000,000","601,000,000","463,000,000","373,000,000","283,000,000","232,000,000","181,200,000","129,600,000","89,800,000","69,500,000","52,300,000","34,400,000","21,100,000"
			DepreciationAndAmortization,"3,416,000,000","3,247,000,000","2,975,000,000","2,862,000,000","2,519,000,000","2,296,000,000","2,152,000,000","2,062,000,000","1,973,000,000","1,863,000,000","1,786,000,000","1,757,000,000","1,684,000,000","1,682,000,000","1,718,000,000","1,806,000,000","1,902,000,000","1,906,000,000","1,886,000,000","1,579,000,000","1,319,000,000","1,076,000,000","903,000,000","764,000,000","601,000,000","463,000,000","373,000,000","283,000,000","232,000,000","181,200,000","129,600,000","89,800,000","69,500,000","52,300,000","34,400,000","21,100,000"
		DeferredTax,"157,000,000",,,"-276,000,000","-569,000,000","202,000,000","26,000,000","92,000,000","-117,000,000",,,,,,,,,"-348,000,000","46,000,000","-609,000,000","319,000,000","605,000,000","173,000,000",,,,"7,000,000","-28,000,000","29,000,000","18,000,000","-2,500,000","12,600,000","5,500,000","-2,100,000","700,000","-2,900,000"
			DeferredIncomeTax,"157,000,000",,,"-276,000,000","-569,000,000","202,000,000","26,000,000","92,000,000","-117,000,000",,,,,,,,,"-348,000,000","46,000,000","-609,000,000","319,000,000","605,000,000","173,000,000",,,,"7,000,000","-28,000,000","29,000,000","18,000,000","-2,500,000","12,600,000","5,500,000","-2,100,000","700,000","-2,900,000"
		AssetImpairmentCharge,,,,,"0","0","247,000,000","0","0",,"0","0","97,000,000","0","0","163,000,000","743,000,000","0",,,,,,,,,,,,,,,,,,
