name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991,03/31/1990,03/31/1989,03/31/1988,02/28/1987,02/28/1986
TotalAssets,"29,774,150,000,000","24,670,067,000,000","23,973,153,000,000","21,921,030,000,000","20,461,465,000,000","20,419,122,000,000","19,349,164,000,000","18,958,123,000,000","18,229,294,000,000","18,425,837,000,000","16,048,438,000,000","14,157,473,000,000","11,787,599,000,000","11,570,874,000,000","11,629,115,000,000","11,818,917,000,000","12,579,021,020,200","12,037,230,813,120","10,630,179,069,300","9,321,430,821,220","8,320,997,093,250","7,670,854,710,840","6,923,138,051,310","5,768,513,099,340","4,741,706,036,879.2","5,039,037,698,920","4,851,358,575,585","4,180,509,497,860","3,540,911,045,553","3,008,916,583,155","2,922,998,761,284","3,009,337,299,276","3,159,073,033,970","2,963,666,957,745","2,826,553,204,749","2,293,392,727,992","1,780,544,067,645","1,695,991,535,999","1,675,959,623,735"
	CurrentAssets,"11,872,564,000,000","9,578,348,000,000","8,841,425,000,000","7,579,091,000,000","7,301,010,000,000","7,347,294,000,000","6,925,288,000,000","6,555,467,000,000","6,241,626,000,000","6,296,140,000,000","5,549,158,000,000","5,136,850,000,000","4,739,086,000,000","4,690,047,000,000","4,613,724,000,000","4,621,178,000,000","5,216,472,305,440","5,192,930,604,000","4,575,094,231,500","4,010,723,429,720","3,649,812,531,950","3,287,913,641,400","3,080,450,202,830","2,645,278,535,520","2,377,142,167,522.4","2,372,109,061,790","2,314,622,295,570","1,956,206,374,888","1,648,238,255,073","1,364,883,718,513","1,421,018,597,988","1,367,818,989,152","1,508,736,236,606","1,623,603,151,260","1,530,467,172,327","1,274,124,740,044","931,884,428,534","863,062,013,482","842,043,607,125"
		CashCashEquivalentsAndShortTermInvestments,"5,184,148,000,000","4,066,906,000,000","3,892,674,000,000","3,053,327,000,000","2,862,406,000,000","2,657,395,000,000","2,469,665,000,000","2,255,403,000,000","1,860,491,000,000","1,564,438,000,000","1,295,604,000,000","1,354,235,000,000","1,247,113,000,000","1,279,024,000,000","1,119,902,000,000","690,369,000,000","1,047,861,217,560","945,625,888,320","716,690,218,050","773,899,550,620","723,728,144,100","546,687,901,480","607,929,379,460","424,989,924,900","416,810,617,073.8","377,980,227,085","339,818,824,665","358,221,519,440","301,272,553,170","202,624,834,412","186,885,681,420","150,557,022,308","205,657,640,932","220,228,021,560","231,692,164,734","248,270,655,705","129,706,125,832","134,898,484,997","118,958,370,265"
			CashAndCashEquivalents,"4,954,565,000,000","3,803,014,000,000","3,674,931,000,000","2,758,020,000,000","2,672,353,000,000","2,494,121,000,000","2,256,488,000,000","2,105,976,000,000","1,757,456,000,000","1,471,730,000,000","1,193,584,000,000","1,270,612,000,000","1,247,113,000,000","1,279,024,000,000","1,119,902,000,000","690,369,000,000","1,047,861,217,560","945,625,888,320","716,690,218,050","773,899,550,620","723,728,144,100","546,687,901,480","607,929,379,460","424,989,924,900","416,810,617,073.8","377,980,227,085","339,818,824,665","358,221,519,440","301,272,553,170","202,624,834,412","186,885,681,420","150,557,022,308","205,657,640,932","220,228,021,560","231,692,164,734","248,270,655,705","129,706,125,832","134,898,484,997","118,958,370,265"
				CashFinancial,"3,381,610,000,000","2,822,949,000,000","2,654,447,000,000","2,037,392,000,000","2,017,247,000,000","1,815,920,000,000","1,691,645,000,000","1,528,861,000,000","1,157,781,000,000","1,091,179,000,000","935,880,000,000","932,418,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"1,572,955,000,000","980,065,000,000","1,020,484,000,000","720,628,000,000","655,106,000,000","678,201,000,000","564,843,000,000","577,115,000,000","599,675,000,000","380,551,000,000","257,704,000,000","338,194,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"229,583,000,000","263,892,000,000","217,743,000,000","295,307,000,000","190,053,000,000","163,274,000,000","213,177,000,000","149,427,000,000","103,035,000,000","92,708,000,000","102,020,000,000","83,623,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"3,798,684,000,000","2,959,764,000,000","2,590,881,000,000","2,596,468,000,000","2,512,267,000,000","2,744,878,000,000","2,641,162,000,000","2,642,964,000,000","2,752,728,000,000","2,919,632,000,000","2,672,013,000,000","2,360,219,000,000","1,893,876,000,000","1,918,759,000,000","1,983,634,000,000","2,026,244,000,000","2,355,568,884,160","2,481,885,040,800","2,193,973,668,000","1,813,200,429,740","1,636,467,974,350","1,540,022,413,880","1,443,666,138,980","1,224,651,976,470","1,086,333,621,606.2","1,059,842,789,925","1,062,897,066,315","768,802,300,360","645,267,332,241","496,695,227,728","487,698,269,592","440,978,520,752","460,690,123,168","584,617,351,185","561,146,660,685","403,686,628,489","170,568,021,250","136,063,914,673","126,581,365,360"
			AccountsReceivable,"3,798,684,000,000","2,959,764,000,000","2,590,881,000,000","2,596,468,000,000","2,512,267,000,000","2,744,878,000,000","2,641,162,000,000","2,642,964,000,000","2,752,728,000,000","2,919,632,000,000","2,672,013,000,000","2,360,219,000,000","1,893,876,000,000","1,918,759,000,000","883,476,000,000","854,214,000,000","1,018,745,652,280","1,055,552,246,880","963,159,148,350","791,592,972,520","373,019,201,900","443,933,226,860","451,095,827,260","448,698,561,660","1,086,333,621,606.2",,,,,,,,,,,,,,
				GrossAccountsReceivable,"3,807,086,000,000","2,968,384,000,000","2,599,726,000,000","2,606,989,000,000","2,523,569,000,000","2,757,433,000,000","2,655,551,000,000","2,657,474,000,000","2,768,616,000,000","2,924,999,000,000","2,679,273,000,000","2,367,355,000,000","1,893,876,000,000","1,918,759,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
