name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"922,009,000","754,887,000","548,461,000","975,701,000","1,177,890,000","868,272,000","1,205,921,000","1,005,061,000","1,174,339,000","1,100,118,000","1,146,677,000","977,093,000","801,458,000","885,291,000","1,092,345,000","537,712,000","-683,057,000","798,146,000","761,780,000","962,614,000","835,831,000","935,553,000","779,546,000","756,808,000","565,344,000","416,100,000","318,100,000","309,700,000","228,300,000","169,100,000","80,800,000","96,200,000","87,900,000","50,000,000","46,500,000","61,100,000"
	CashFlowFromContinuingOperatingActivities,"922,009,000","754,887,000","548,461,000","975,701,000","1,177,890,000","868,272,000","1,205,921,000","1,005,061,000","1,174,339,000","1,100,118,000","1,146,677,000","977,093,000","801,458,000","885,291,000","1,163,418,000","609,010,000","-608,029,000","798,146,000","761,780,000","962,614,000","835,831,000","935,553,000","779,546,000","756,808,000","565,344,000","416,100,000","318,100,000","309,700,000","228,300,000","169,100,000","80,800,000","96,200,000","87,900,000","50,000,000","46,500,000","61,100,000"
		NetIncomeFromContinuingOperations,"667,026,000","695,046,000","739,214,000","650,024,000","1,298,000","423,635,000","531,451,000","521,759,000","692,164,000","752,207,000","844,611,000","733,993,000","623,925,000","548,078,000","259,669,000","70,641,000","684,235,000","933,843,000","1,043,153,000","959,604,000","889,766,000","760,928,000","580,217,000","437,746,000","347,713,000","267,200,000","213,500,000","174,100,000","166,000,000","112,500,000","104,300,000","18,400,000","54,200,000","37,000,000","38,300,000","36,200,000"
		OperatingGainsLosses,"-60,111,000","-67,624,000","-21,891,000","8,317,000","40,833,000","13,344,000","36,481,000","29,900,000","29,122,000","61,923,000","37,651,000","88,093,000","85,443,000","79,727,000","143,397,000","-203,113,000","-1,734,317,000","2,420,864,000","-516,707,000","-47,865,000","-318,452,000","-45,754,000","-68,836,000","91,779,000","33,311,000","11,200,000","18,800,000","9,600,000","21,600,000","8,400,000","12,500,000","36,600,000",,"3,200,000","8,700,000","-2,700,000"
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,"20,067,000","21,964,000","16,269,000","9,773,000","10,678,000","-21,480,000","-22,234,000","2,892,000","-14,581,000",,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,"-9,269,000",,,,,,,"-261,266,000","-1,813,635,000","-36,033,000",,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,"-60,111,000","-67,624,000","-21,891,000","8,317,000","40,833,000","13,344,000","36,481,000","29,900,000","38,273,000","60,824,000","33,709,000","66,877,000","71,347,000","59,441,000","79,630,000","80,387,000","76,426,000","-15,302,000",,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"166,263,000","158,112,000","151,942,000","165,185,000","185,715,000","232,537,000","264,863,000","222,188,000","209,555,000","198,074,000","179,300,000","167,072,000","168,978,000","180,408,000","255,171,000","246,344,000","220,755,000","204,172,000","213,769,000","205,705,000","214,112,000","196,918,000","175,778,000","153,061,000","133,348,000","113,800,000","87,400,000","70,200,000","55,300,000","42,300,000","36,900,000","57,000,000","29,400,000","22,600,000","22,400,000","20,000,000"
			DepreciationAndAmortization,"166,263,000","158,112,000","151,942,000","165,185,000","185,715,000","232,537,000","264,863,000","222,188,000","209,555,000","198,074,000","179,300,000","167,072,000","168,978,000","180,408,000","255,171,000","246,344,000","220,755,000","204,172,000","213,769,000","205,705,000","214,112,000","196,918,000","175,778,000","153,061,000","133,348,000","113,800,000","87,400,000","70,200,000","55,300,000","42,300,000","36,900,000","57,000,000","29,400,000","22,600,000","22,400,000","20,000,000"
				Depreciation,,,,,,,,,,,,,,"180,408,000","255,171,000","246,344,000","222,191,000","204,172,000",,,,,,,,,,,,,,,,,,
