name,ttm,06/30/2024,06/30/2023,06/30/2022,04/30/2021,04/30/2020,04/30/2019,04/30/2018,04/30/2017,04/30/2016,04/30/2015,04/30/2014,04/30/2013,04/30/2012,04/30/2011,04/30/2010,04/30/2009,04/30/2008,04/30/2007,04/30/2006,04/30/2005,04/30/2004,04/30/2003,04/30/2002,04/30/2001,04/30/2000,04/30/1999,04/30/1998,04/30/1997,04/30/1996,04/30/1995,04/30/1994,04/30/1993,04/30/1992,04/30/1991,04/30/1990,04/30/1989
OperatingCashFlow,"720,860,000","720,860,000","821,841,000","808,537,000","625,928,000","108,961,000","606,538,000","850,003,000","552,197,000","544,553,000","626,608,000","809,581,000","497,108,000","362,049,000","512,503,000","587,469,000","1,024,439,000","258,760,000","-584,724,000","594,142,000","514,397,000","852,463,000","690,825,000","741,446,000","295,515,000","490,578,000","220,776,000","185,003,000","88,431,000","210,744,000","124,363,000","287,800,000","344,500,000","344,600,000","194,300,000","117,400,000","37,600,000"
	CashFlowFromContinuingOperatingActivities,"720,860,000","720,860,000","821,841,000","808,537,000","625,928,000","108,961,000","606,538,000","850,003,000","552,197,000","544,553,000","626,608,000","809,581,000","497,108,000","362,049,000","512,503,000","587,469,000","926,861,000","45,715,000","-657,420,000","844,193,000","760,726,000","852,463,000","690,825,000","741,446,000","295,515,000","490,578,000","220,776,000","185,003,000","88,431,000","210,744,000","124,363,000","287,800,000","344,500,000","344,600,000","194,300,000","117,400,000","37,600,000"
		NetIncomeFromContinuingOperations,"595,317,000","595,317,000","553,700,000","553,674,000","583,791,000","-7,526,000","422,509,000","613,149,000","408,945,000","374,267,000","473,663,000","475,157,000","433,948,000","265,932,000","406,110,000","479,242,000","485,673,000","-308,647,000","-433,653,000","490,408,000","623,910,000","694,093,000","580,064,000","434,405,000","281,162,000","251,895,000","215,366,000","392,130,000","47,755,000","177,168,000","107,259,000","200,500,000","180,700,000","162,300,000","140,100,000","123,500,000","100,200,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,,,"65,303,000","-238,423,000","38,692,000","-107,846,000","127,960,000","72,087,000","65,164,000","21,554,000","-236,655,000","276,000","-128,040,000","76,893,000","3,000,000","4,300,000","4,100,000","12,300,000","4,800,000","3,800,000"
		DepreciationAmortizationDepletion,"121,784,000","121,784,000","130,501,000","142,178,000","156,852,000","169,536,000","166,695,000","183,295,000","182,168,000","173,598,000","159,804,000","115,604,000","92,407,000","103,576,000","121,633,000","126,901,000","123,631,000","119,514,000","150,215,000","148,321,000","149,936,000","248,849,000","161,821,000","155,386,000","205,608,000","147,218,000","74,605,000","55,787,000","36,526,000","133,825,000","67,684,000","57,100,000","54,700,000","44,300,000","33,000,000","29,200,000","25,900,000"
			DepreciationAndAmortization,"121,784,000","121,784,000","130,501,000","142,178,000","156,852,000","169,536,000","166,695,000","183,295,000","182,168,000","173,598,000","159,804,000","115,604,000","92,407,000","103,576,000","121,633,000","126,901,000","123,631,000","119,514,000","150,215,000","148,321,000","149,936,000","248,849,000","161,821,000","155,386,000","205,608,000","147,218,000","74,605,000","55,787,000","36,526,000","133,825,000","67,684,000","57,100,000","54,700,000","44,300,000","33,000,000","29,200,000","25,900,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,"191,703,000","183,867,000","179,131,000",,,,,,,"166,811,000","111,240,000",,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,"144,679,000","84,191,000","69,718,000",,,,,,,"120,836,000","22,585,000",,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,"144,679,000","84,191,000","69,718,000",,,,,,,"120,836,000","22,585,000",,,,,,,
		DeferredTax,"-40,940,000","-40,940,000","49,579,000","-53,352,000","-22,583,000","-8,300,000","1,129,000","112,140,000","46,455,000","36,276,000","-15,502,000","20,958,000","-21,846,000","13,227,000","9,432,000","170,566,000","73,213,000","-51,695,000","-45,381,000","-86,652,000","-60,554,000","-2,081,000","63,849,000","30,136,000","-38,870,000","-29,286,000","1,739,000","-15,639,000","538,000","52,639,000","3,440,000","-2,700,000",,"-2,800,000","-100,000","-2,400,000","-2,000,000"
			DeferredIncomeTax,"-40,940,000","-40,940,000","49,579,000","-53,352,000","-22,583,000","-8,300,000","1,129,000","112,140,000","46,455,000","36,276,000","-15,502,000","20,958,000","-21,846,000","13,227,000","9,432,000","170,566,000","73,213,000","-51,695,000","-45,381,000","-86,652,000","-60,554,000","-2,081,000","63,849,000","30,136,000","-38,870,000","-29,286,000","1,739,000","-15,639,000","538,000","52,639,000","3,440,000","-2,700,000",,"-2,800,000","-100,000","-2,400,000","-2,000,000"
		AssetImpairmentCharge,"106,000,000",,,"0","0","106,000,000","0","0",,,,"277,000","3,581,000","113,951,000","22,700,000",,,,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"82,567,000","82,567,000","52,290,000","66,807,000","73,451,000","76,621,000","70,569,000","74,489,000","52,776,000","75,395,000","74,993,000","80,007,000","90,685,000","97,365,000","180,951,000",,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"34,277,000","34,277,000","31,326,000","34,252,000","28,271,000","28,045,000","23,767,000","21,954,000","19,285,000","23,540,000","26,068,000","20,058,000","15,293,000","14,968,000","14,500,000","29,369,000","26,557,000","40,373,000",,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,,,,,,,,,,,,,,"265,932,000","587,061,000","640,538,000","181,829,000","174,813,000","104,799,000","86,776,000","89,012,000","-255,956,000",,,,,,,"17,565,000",,,,"-100,000","-200,000","100,000",,"-100,000"
