name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
TotalAssets,"12,833,000,000","12,312,000,000","12,603,000,000","9,129,000,000","8,417,000,000","7,643,000,000","7,572,000,000","7,749,000,000","7,591,000,000","8,143,000,000","8,177,000,000","7,630,000,000","7,507,000,000","7,243,000,000","7,155,000,000","6,119,000,000","6,248,000,000"
	CurrentAssets,"2,130,000,000","2,250,000,000","2,062,000,000","2,563,000,000","1,706,000,000","1,345,000,000","1,327,000,000","1,139,000,000","1,124,000,000","1,709,000,000","1,163,000,000","1,758,000,000","1,591,000,000","2,165,000,000","2,009,000,000","1,057,000,000","1,065,000,000"
		CashCashEquivalentsAndShortTermInvestments,"896,000,000","1,149,000,000","1,187,000,000","1,882,000,000","961,000,000","686,000,000","552,000,000","538,000,000","503,000,000","815,000,000","484,000,000","927,000,000","1,122,000,000","1,634,000,000","1,431,000,000","428,000,000","409,000,000"
			CashAndCashEquivalents,"881,000,000","991,000,000","960,000,000","1,207,000,000","893,000,000","570,000,000","503,000,000","482,000,000","457,000,000","685,000,000","454,000,000","413,000,000","534,000,000","1,110,000,000","1,327,000,000","428,000,000","409,000,000"
			OtherShortTermInvestments,"15,000,000","158,000,000","227,000,000","675,000,000","68,000,000","116,000,000","49,000,000","56,000,000","46,000,000","130,000,000","30,000,000","514,000,000","588,000,000","524,000,000","104,000,000",,
		Receivables,"883,000,000","834,000,000","633,000,000","316,000,000","421,000,000","427,000,000","350,000,000","304,000,000","298,000,000","274,000,000","273,000,000","531,000,000","225,000,000","272,000,000","306,000,000","353,000,000","391,000,000"
			AccountsReceivable,"883,000,000","834,000,000","633,000,000","316,000,000","421,000,000","427,000,000","350,000,000","304,000,000","298,000,000","274,000,000","273,000,000","531,000,000","225,000,000",,,,
				GrossAccountsReceivable,"933,000,000","897,000,000","686,000,000","372,000,000","453,000,000","453,000,000","371,000,000","322,000,000","313,000,000","287,000,000","284,000,000","542,000,000","235,000,000",,,,
				AllowanceForDoubtfulAccountsReceivable,"-50,000,000","-63,000,000","-53,000,000","-56,000,000","-32,000,000","-26,000,000","-21,000,000","-18,000,000","-15,000,000","-13,000,000","-11,000,000","-11,000,000","-10,000,000",,,,
		Inventory,"9,000,000","9,000,000","10,000,000","9,000,000","12,000,000","14,000,000","14,000,000","28,000,000","12,000,000","17,000,000","77,000,000","80,000,000","87,000,000","100,000,000","133,000,000","170,000,000","150,000,000"
		PrepaidAssets,"51,000,000","39,000,000","26,000,000","281,000,000","28,000,000","36,000,000","24,000,000","40,000,000","63,000,000","47,000,000","12,000,000","12,000,000","29,000,000","6,000,000","85,000,000","18,000,000","3,000,000"
		RestrictedCash,"34,000,000","39,000,000","57,000,000","11,000,000","150,000,000","33,000,000","234,000,000","76,000,000","96,000,000","359,000,000","184,000,000","72,000,000","27,000,000","106,000,000","11,000,000","37,000,000","20,000,000"
		CurrentDeferredAssets,,,,,,,,,,"26,000,000","11,000,000","19,000,000","23,000,000","29,000,000","23,000,000","51,000,000","25,000,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,"26,000,000","11,000,000","19,000,000","23,000,000","29,000,000","23,000,000","51,000,000","25,000,000"
		AssetsHeldForSaleCurrent,"62,000,000","0",,,,,,,,"63,000,000","0","34,000,000","0",,,,
		OtherCurrentAssets,"195,000,000","180,000,000","149,000,000","64,000,000","134,000,000","149,000,000","153,000,000","153,000,000","152,000,000","108,000,000","122,000,000","83,000,000","78,000,000","18,000,000","20,000,000",,"67,000,000"
	TotalNonCurrentAssets,"10,703,000,000","10,062,000,000","10,541,000,000","6,566,000,000","6,711,000,000","6,298,000,000","6,245,000,000","6,610,000,000","6,467,000,000","6,434,000,000","7,014,000,000","5,872,000,000","5,916,000,000","5,078,000,000","5,146,000,000","5,062,000,000","5,183,000,000"
		NetPPE,"2,709,000,000","2,769,000,000","3,294,000,000","3,600,000,000","3,949,000,000","3,608,000,000","4,034,000,000","4,270,000,000","4,031,000,000","4,186,000,000","4,671,000,000","4,139,000,000","4,043,000,000","3,453,000,000","3,585,000,000","3,495,000,000","3,495,000,000"
			GrossPPE,"4,958,000,000","4,950,000,000","5,612,000,000","5,948,000,000","6,098,000,000","5,847,000,000","6,332,000,000","6,634,000,000","6,252,000,000","6,208,000,000","7,016,000,000","6,351,000,000","6,083,000,000","5,437,000,000","5,499,000,000","5,211,000,000","5,211,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"564,000,000","557,000,000","676,000,000","658,000,000","690,000,000","713,000,000","916,000,000","901,000,000","674,000,000","710,000,000","672,000,000","688,000,000","666,000,000","621,000,000","557,000,000","560,000,000","560,000,000"
				BuildingsAndImprovements,"2,645,000,000","2,658,000,000","3,065,000,000","3,381,000,000","3,285,000,000","3,583,000,000","3,880,000,000","4,125,000,000","3,898,000,000","3,948,000,000","4,628,000,000","4,062,000,000","3,878,000,000","3,365,000,000","3,310,000,000","3,158,000,000","3,158,000,000"
				MachineryFurnitureEquipment,"1,166,000,000","1,136,000,000","1,186,000,000","1,216,000,000","1,183,000,000","1,178,000,000","1,204,000,000","1,316,000,000","1,209,000,000","1,173,000,000","1,376,000,000","1,288,000,000","1,243,000,000","1,106,000,000","1,123,000,000","1,057,000,000","1,057,000,000"
				OtherProperties,"369,000,000","385,000,000","446,000,000","474,000,000","493,000,000",,,,,,,,,,,,
				ConstructionInProgress,"23,000,000","30,000,000","47,000,000","32,000,000","253,000,000","158,000,000","122,000,000","90,000,000","251,000,000","151,000,000","86,000,000","65,000,000","56,000,000","84,000,000","246,000,000","202,000,000","202,000,000"
				Leases,"191,000,000","184,000,000","192,000,000","187,000,000","194,000,000","215,000,000","210,000,000","202,000,000","220,000,000","226,000,000","254,000,000","248,000,000","240,000,000","261,000,000","263,000,000","234,000,000","234,000,000"
			AccumulatedDepreciation,"-2,249,000,000","-2,181,000,000","-2,318,000,000","-2,348,000,000","-2,149,000,000","-2,239,000,000","-2,298,000,000","-2,364,000,000","-2,221,000,000","-2,022,000,000","-2,345,000,000","-2,212,000,000","-2,040,000,000","-1,984,000,000","-1,914,000,000","-1,716,000,000","-1,716,000,000"
		GoodwillAndOtherIntangibleAssets,"4,875,000,000","4,769,000,000","4,942,000,000","673,000,000","763,000,000","911,000,000","455,000,000","724,000,000","676,000,000","685,000,000","738,000,000","521,000,000","461,000,000","382,000,000","397,000,000","376,000,000","562,000,000"
			Goodwill,"3,205,000,000","3,101,000,000","2,965,000,000","288,000,000","326,000,000","283,000,000","150,000,000","125,000,000","129,000,000","133,000,000","147,000,000","133,000,000","102,000,000","102,000,000","113,000,000","120,000,000","203,000,000"
			OtherIntangibleAssets,"1,670,000,000","1,668,000,000","1,977,000,000","385,000,000","437,000,000","628,000,000","305,000,000","599,000,000","547,000,000","552,000,000","591,000,000","388,000,000","359,000,000","280,000,000","284,000,000","256,000,000","359,000,000"
		InvestmentsAndAdvances,"993,000,000","833,000,000","954,000,000","980,000,000","843,000,000","735,000,000","750,000,000","186,000,000","327,000,000","334,000,000","329,000,000","283,000,000","280,000,000","245,000,000","223,000,000","204,000,000","324,000,000"
			LongTermEquityInvestment,"211,000,000","178,000,000","216,000,000","260,000,000","232,000,000","233,000,000","212,000,000",,,,,,,,,,
			InvestmentinFinancialAssets,"686,000,000","578,000,000","673,000,000","627,000,000","546,000,000","390,000,000","429,000,000",,,,,,,,,,
				AvailableForSaleSecurities,"686,000,000","578,000,000","673,000,000","627,000,000","546,000,000","390,000,000","429,000,000",,,,,,,,,,
			OtherInvestments,"96,000,000","77,000,000","65,000,000","93,000,000","65,000,000","112,000,000","109,000,000",,,,,,,,,,
		NonCurrentAccountsReceivable,,,,,"35,000,000","13,000,000","19,000,000","19,000,000","20,000,000","40,000,000","119,000,000","126,000,000","360,000,000",,,,
		NonCurrentNoteReceivables,"73,000,000","60,000,000","41,000,000","29,000,000","35,000,000","13,000,000","19,000,000","19,000,000","20,000,000","40,000,000","119,000,000","126,000,000","360,000,000",,"385,000,000","410,000,000","160,000,000"
		NonCurrentDeferredAssets,"552,000,000","363,000,000","28,000,000","207,000,000","144,000,000","180,000,000","141,000,000","313,000,000","301,000,000","196,000,000","198,000,000","183,000,000","197,000,000","62,000,000","74,000,000","126,000,000","151,000,000"
			NonCurrentDeferredTaxesAssets,"358,000,000","257,000,000","14,000,000","207,000,000","144,000,000","180,000,000","141,000,000","313,000,000","301,000,000","196,000,000","198,000,000","183,000,000","197,000,000","62,000,000","74,000,000","126,000,000","151,000,000"
		OtherNonCurrentAssets,"1,501,000,000","1,268,000,000","1,282,000,000","1,077,000,000","977,000,000","851,000,000","846,000,000","1,098,000,000","1,112,000,000","993,000,000","959,000,000","620,000,000","575,000,000","936,000,000","867,000,000","451,000,000","491,000,000"
TotalLiabilitiesNetMinorityInterest,"9,266,000,000","8,610,000,000","9,037,000,000","5,915,000,000","4,450,000,000","3,966,000,000","3,719,000,000","3,841,000,000","3,596,000,000","3,512,000,000","3,400,000,000","2,809,000,000","2,679,000,000","2,112,000,000","2,115,000,000","2,527,000,000","2,779,000,000"
	CurrentLiabilities,"3,578,000,000","3,287,000,000","2,232,000,000","984,000,000","1,086,000,000","1,061,000,000","992,000,000","924,000,000","1,107,000,000","730,000,000","871,000,000","618,000,000","568,000,000","596,000,000","495,000,000","653,000,000","697,000,000"
		PayablesAndAccruedExpenses,"961,000,000","915,000,000","822,000,000","302,000,000","454,000,000","512,000,000","488,000,000","676,000,000","657,000,000","598,000,000","544,000,000","476,000,000","450,000,000","539,000,000","483,000,000","615,000,000","663,000,000"
			Payables,"493,000,000","500,000,000","523,000,000","102,000,000","150,000,000","151,000,000","136,000,000","162,000,000","141,000,000","130,000,000","133,000,000","138,000,000","144,000,000","145,000,000","196,000,000","341,000,000","357,000,000"
				AccountsPayable,"493,000,000","500,000,000","523,000,000","102,000,000","150,000,000","151,000,000","136,000,000","162,000,000","141,000,000","130,000,000","133,000,000","138,000,000","144,000,000","145,000,000","196,000,000","318,000,000","303,000,000"
				TotalTaxPayable,,,,,,,,,,,,,,,"5,000,000","23,000,000","54,000,000"
					IncomeTaxPayable,,,,,,,,,,,,,,,"5,000,000","23,000,000","54,000,000"
			CurrentAccruedExpenses,"468,000,000","415,000,000","299,000,000","200,000,000","304,000,000","361,000,000","352,000,000","514,000,000","516,000,000","468,000,000","411,000,000","338,000,000","306,000,000","394,000,000","287,000,000","274,000,000","306,000,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"210,000,000","235,000,000","187,000,000","111,000,000","144,000,000","150,000,000","145,000,000","129,000,000","122,000,000","120,000,000","133,000,000","137,000,000","114,000,000",,,,
		CurrentDebtAndCapitalLeaseObligation,"792,000,000","699,000,000","45,000,000","289,000,000","43,000,000","11,000,000","11,000,000","119,000,000","328,000,000","9,000,000","194,000,000","4,000,000","4,000,000","57,000,000","12,000,000","38,000,000","26,000,000"
			CurrentDebt,"751,000,000","660,000,000","10,000,000","260,000,000","11,000,000","11,000,000","11,000,000","119,000,000","328,000,000","9,000,000","194,000,000","4,000,000","4,000,000","57,000,000","12,000,000","38,000,000","26,000,000"
				OtherCurrentBorrowings,"751,000,000","660,000,000","10,000,000","260,000,000","11,000,000","11,000,000",,,,,,,,,,,
			CurrentCapitalLeaseObligation,"41,000,000","39,000,000","35,000,000","29,000,000","32,000,000","0",,,,,,,,,,,
		CurrentDeferredLiabilities,"1,598,000,000","1,438,000,000","1,178,000,000","282,000,000","445,000,000","388,000,000","348,000,000",,,,,,,,,,
			CurrentDeferredRevenue,"1,598,000,000","1,438,000,000","1,178,000,000","282,000,000","445,000,000","388,000,000","348,000,000",,,,,,,,,,
		OtherCurrentLiabilities,"17,000,000",,,,,,,,,"3,000,000",,"1,000,000",,,,,"8,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"5,688,000,000","5,323,000,000","6,805,000,000","4,931,000,000","3,364,000,000","2,905,000,000","2,727,000,000","2,917,000,000","2,489,000,000","2,782,000,000","2,529,000,000","2,191,000,000","2,111,000,000","1,516,000,000","1,620,000,000","1,874,000,000","2,082,000,000"
		LongTermProvisions,,,,,,,,"296,000,000","280,000,000","284,000,000","262,000,000","267,000,000","237,000,000",,,,
		LongTermDebtAndCapitalLeaseObligation,"2,578,000,000","2,751,000,000","4,317,000,000","3,361,000,000","2,005,000,000","1,623,000,000","1,440,000,000","1,445,000,000","1,042,000,000","1,381,000,000","1,289,000,000","1,229,000,000","1,221,000,000","1,516,000,000","1,620,000,000","1,874,000,000","794,000,000"
			LongTermDebt,"2,305,000,000","2,453,000,000","3,968,000,000","2,984,000,000","1,612,000,000","1,623,000,000","1,440,000,000","1,445,000,000","1,042,000,000","1,381,000,000","1,289,000,000","1,229,000,000","1,221,000,000","1,516,000,000","1,620,000,000","1,874,000,000","794,000,000"
			LongTermCapitalLeaseObligation,"273,000,000","298,000,000","349,000,000","377,000,000","393,000,000","0",,,,,,,,,,,
		NonCurrentDeferredLiabilities,"2,314,000,000","1,987,000,000","1,985,000,000","1,218,000,000","972,000,000","863,000,000","888,000,000","772,000,000","759,000,000","790,000,000","604,000,000","453,000,000","312,000,000",,,,
			NonCurrentDeferredTaxesLiabilities,"66,000,000","72,000,000","93,000,000","48,000,000","47,000,000","54,000,000","62,000,000","57,000,000","59,000,000","66,000,000","74,000,000","80,000,000","5,000,000",,,,
			NonCurrentDeferredRevenue,"1,759,000,000","1,495,000,000","1,349,000,000","659,000,000","475,000,000","442,000,000","424,000,000","363,000,000","367,000,000","383,000,000","192,000,000","93,000,000","57,000,000",,,,
		TradeandOtherPayablesNonCurrent,"407,000,000","339,000,000","281,000,000","166,000,000","147,000,000","131,000,000","107,000,000","100,000,000","127,000,000","62,000,000","90,000,000","91,000,000","198,000,000",,,,
		EmployeeBenefits,"73,000,000","68,000,000","66,000,000","67,000,000","80,000,000","78,000,000","69,000,000","20,000,000","20,000,000","19,000,000","18,000,000","20,000,000","20,000,000",,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,,,,,"20,000,000","20,000,000","19,000,000","18,000,000","20,000,000","20,000,000",,,,
		OtherNonCurrentLiabilities,"316,000,000","178,000,000","156,000,000","119,000,000","160,000,000","210,000,000","223,000,000","600,000,000","261,000,000","246,000,000","266,000,000","131,000,000","123,000,000",,,"1,209,000,000","1,288,000,000"
TotalEquityGrossMinorityInterest,"3,567,000,000","3,702,000,000","3,566,000,000","3,214,000,000","3,967,000,000","3,677,000,000","3,853,000,000","3,908,000,000","3,995,000,000","4,631,000,000","4,777,000,000","4,821,000,000","4,828,000,000","5,131,000,000","5,040,000,000","3,592,000,000","3,469,000,000"
	StockholdersEquity,"3,564,000,000","3,699,000,000","3,563,000,000","3,211,000,000","3,962,000,000","3,670,000,000","3,837,000,000","3,903,000,000","3,991,000,000","4,627,000,000","4,769,000,000","4,811,000,000","4,818,000,000","5,118,000,000","5,016,000,000","3,564,000,000","3,434,000,000"
		CapitalStock,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","1,000,000","1,000,000"
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
			CommonStock,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","2,000,000","1,000,000","1,000,000"
		AdditionalPaidInCapital,"0","318,000,000","640,000,000","13,000,000","0","50,000,000","967,000,000","1,686,000,000","1,931,000,000","2,621,000,000","3,015,000,000","3,263,000,000","3,380,000,000","3,751,000,000","3,731,000,000","2,242,000,000","3,325,000,000"
		RetainedEarnings,"3,738,000,000","3,622,000,000","3,167,000,000","3,389,000,000","4,170,000,000","3,819,000,000","3,054,000,000","2,493,000,000","2,289,000,000","2,165,000,000","1,821,000,000","1,614,000,000","1,517,000,000","1,404,000,000","1,338,000,000","1,381,000,000","1,213,000,000"
		TreasuryStock,,,,,,,,,"0","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,000,000","0","1,101,000,000"
