name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007
OperatingCashFlow,"848,000,000","800,000,000","674,000,000","315,000,000","-611,000,000","396,000,000","341,000,000","587,000,000","462,000,000","538,000,000","473,000,000","456,000,000","499,000,000","393,000,000","450,000,000","276,000,000","291,000,000","386,000,000"
	CashFlowFromContinuingOperatingActivities,"848,000,000","800,000,000","674,000,000","315,000,000","-611,000,000","396,000,000","341,000,000","586,000,000","462,000,000","538,000,000","473,000,000","456,000,000","499,000,000","393,000,000","450,000,000","276,000,000","287,000,000","362,000,000"
		NetIncomeFromContinuingOperations,"975,000,000","220,000,000","455,000,000","-222,000,000","-703,000,000","766,000,000","769,000,000","390,000,000","206,000,000","124,000,000","346,000,000","205,000,000","87,000,000","111,000,000","51,000,000","-43,000,000","114,000,000","266,000,000"
		OperatingGainsLosses,"-818,000,000","-17,000,000","-259,000,000","-440,000,000","106,000,000","-729,000,000","-780,000,000","-414,000,000","-57,000,000","55,000,000","-257,000,000","-70,000,000","30,000,000","24,000,000","-4,000,000","13,000,000","-9,000,000","-50,000,000"
			GainLossOnSaleOfBusiness,"-730,000,000",,,,,"-723,000,000","-772,000,000","-236,000,000","6,000,000","-9,000,000","-311,000,000","-125,000,000","0","2,000,000","-26,000,000",,,
			GainLossOnSaleOfPPE,,,"-263,000,000","-414,000,000","36,000,000","-739,000,000","-772,000,000","-236,000,000","6,000,000","-9,000,000","-311,000,000","-125,000,000","0","2,000,000","-26,000,000","0","0","-22,000,000"
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,"14,000,000","3,000,000","5,000,000","3,000,000","5,000,000","3,000,000","-5,000,000","23,000,000","-17,000,000"
			GainLossOnInvestmentSecurities,,"-18,000,000","-263,000,000","-414,000,000",,"-2,000,000","3,000,000","41,000,000","4,000,000",,,"-2,000,000","-17,000,000",,"-19,000,000","-10,000,000","37,000,000","-12,000,000"
			EarningsLossesFromEquityInvestments,"-47,000,000","1,000,000","-5,000,000","-28,000,000","70,000,000","10,000,000","-8,000,000","-219,000,000","-67,000,000","64,000,000","54,000,000","50,000,000","44,000,000","17,000,000","54,000,000","28,000,000","-5,000,000","1,000,000"
		DepreciationAmortizationDepletion,"418,000,000","439,000,000","461,000,000","337,000,000","341,000,000","364,000,000","327,000,000","348,000,000","326,000,000","320,000,000","354,000,000","345,000,000","353,000,000","305,000,000","279,000,000","269,000,000","249,000,000","214,000,000"
			DepreciationAndAmortization,"418,000,000","439,000,000","461,000,000","337,000,000","341,000,000","364,000,000","327,000,000","348,000,000","326,000,000","320,000,000","354,000,000","345,000,000","353,000,000","305,000,000","279,000,000","269,000,000","249,000,000","214,000,000"
				Depreciation,"418,000,000","439,000,000","461,000,000","337,000,000","341,000,000","364,000,000","327,000,000","348,000,000",,,,,,,,,,
		DeferredTax,"-188,000,000","-125,000,000","-259,000,000","200,000,000","-59,000,000","28,000,000","-33,000,000","56,000,000","-12,000,000","-103,000,000","-28,000,000","-7,000,000","65,000,000","-137,000,000","-8,000,000","73,000,000","6,000,000","-100,000,000"
			DeferredIncomeTax,"-188,000,000","-125,000,000","-259,000,000","200,000,000","-59,000,000","28,000,000","-33,000,000","56,000,000","-12,000,000","-103,000,000","-28,000,000","-7,000,000","65,000,000","-137,000,000","-8,000,000","73,000,000","6,000,000","-100,000,000"
		AssetImpairmentCharge,"40,000,000","30,000,000","38,000,000","8,000,000","62,000,000","18,000,000","47,000,000","0","0","5,000,000","17,000,000","22,000,000","0","6,000,000","44,000,000","12,000,000","86,000,000","61,000,000"
		ProvisionandWriteOffofAssets,,,,,,,,,,"-6,000,000","0","6,000,000","4,000,000","4,000,000","1,000,000",,,
		UnrealizedGainLossOnInvestmentSecurities,"-9,000,000","-36,000,000","55,000,000","-14,000,000","13,000,000","-26,000,000","47,000,000","-1,000,000",,,,"0","0","13,000,000","-19,000,000",,,
		StockBasedCompensation,"75,000,000","75,000,000","61,000,000","59,000,000","28,000,000","35,000,000","28,000,000","32,000,000","26,000,000","26,000,000","52,000,000","27,000,000","22,000,000",,,,,
		OtherNonCashItems,"-1,000,000","2,000,000","-61,000,000","-3,000,000","25,000,000","-47,000,000","-2,000,000","22,000,000","-26,000,000","55,000,000","-18,000,000","-41,000,000","5,000,000","32,000,000","36,000,000","34,000,000","20,000,000","-76,000,000"
		ChangeInWorkingCapital,"347,000,000","203,000,000","167,000,000","388,000,000","-424,000,000","-13,000,000","-79,000,000","125,000,000","-36,000,000","25,000,000","24,000,000","-31,000,000","-67,000,000","35,000,000","70,000,000","-82,000,000","-179,000,000","47,000,000"
			ChangeInReceivables,,"0","-209,000,000","-85,000,000","120,000,000","-26,000,000","14,000,000","-37,000,000","-14,000,000","29,000,000","-28,000,000","-9,000,000","-33,000,000","-17,000,000","22,000,000","57,000,000","4,000,000","-19,000,000"
			ChangeInInventory,,,,,,"1,000,000","0","12,000,000","2,000,000","1,000,000","8,000,000","3,000,000","8,000,000","7,000,000","4,000,000","-10,000,000","-21,000,000","14,000,000"
			ChangeInPrepaidAssets,,"-90,000,000","-112,000,000","201,000,000","-265,000,000","-22,000,000","-5,000,000","14,000,000","21,000,000","-16,000,000","-53,000,000","16,000,000","8,000,000","-6,000,000","76,000,000","-66,000,000","-15,000,000",
			ChangeInPayablesAndAccruedExpense,,"-29,000,000","96,000,000","87,000,000","-256,000,000","-33,000,000","-130,000,000","102,000,000","7,000,000","-7,000,000","186,000,000","71,000,000","81,000,000","10,000,000","11,000,000","-42,000,000","-136,000,000","75,000,000"
				ChangeInPayable,,"-29,000,000","96,000,000","87,000,000","-256,000,000","-33,000,000","-130,000,000","102,000,000","7,000,000","-7,000,000","186,000,000","71,000,000","81,000,000","10,000,000","11,000,000","-42,000,000","-136,000,000","75,000,000"
					ChangeInAccountPayable,,"-29,000,000","96,000,000","87,000,000","-256,000,000","-33,000,000","-130,000,000","102,000,000","7,000,000","-7,000,000","186,000,000","71,000,000","81,000,000","10,000,000","11,000,000","-19,000,000","-10,000,000","-19,000,000"
			ChangeInOtherCurrentAssets,,"-92,000,000","-110,000,000","-10,000,000",,,,"13,000,000","-4,000,000","78,000,000","-18,000,000","-73,000,000","-1,000,000","-2,000,000",,,,
			ChangeInOtherCurrentLiabilities,,"-56,000,000","-35,000,000","-50,000,000","-50,000,000","-43,000,000","7,000,000","53,000,000","34,000,000","1,000,000","-19,000,000","-6,000,000","-118,000,000","62,000,000","-11,000,000",,,
			ChangeInOtherWorkingCapital,,"470,000,000","537,000,000","245,000,000","27,000,000","111,000,000","35,000,000","-19,000,000","-86,000,000","17,000,000","-70,000,000","-106,000,000","-13,000,000","-21,000,000","-32,000,000","-21,000,000","-11,000,000","-23,000,000"
		DividendReceivedCFO,,"9,000,000","16,000,000","2,000,000","3,000,000","13,000,000","17,000,000","29,000,000","35,000,000","36,000,000",,,,,,,,
	CashFromDiscontinuedOperatingActivities,,,,,,,,,,,,,,,"0","0","4,000,000","24,000,000"
InvestingCashFlow,"-433,000,000","-365,000,000","416,000,000","-1,772,000,000","-736,000,000","585,000,000","374,000,000","457,000,000","-372,000,000","-47,000,000","373,000,000","-147,000,000","-489,000,000","-1,015,000,000","-663,000,000","-427,000,000","-284,000,000","-389,000,000"
	CashFlowFromContinuingInvestingActivities,"-433,000,000","-365,000,000","416,000,000","-1,772,000,000","-736,000,000","585,000,000","374,000,000","457,000,000","-372,000,000","-47,000,000","373,000,000","-147,000,000","-489,000,000","-1,015,000,000","-663,000,000","-427,000,000","-423,000,000","-396,000,000"
		CapitalExpenditureReported,"-194,000,000","-198,000,000","-201,000,000","-111,000,000","-122,000,000","-369,000,000","-297,000,000","-298,000,000","-211,000,000","-269,000,000","-253,000,000","-232,000,000","-301,000,000","-331,000,000","-310,000,000","-216,000,000","-258,000,000",
		NetPPEPurchaseAndSale,"677,000,000","-10,000,000","625,000,000","758,000,000","85,000,000","940,000,000","1,382,000,000","663,000,000","289,000,000","231,000,000","1,311,000,000","569,000,000","43,000,000","205,000,000","136,000,000","-109,000,000","-28,000,000","-519,000,000"
			PurchaseOfPPE,,"-10,000,000",,,,,,,,,,,,,"-210,000,000","-109,000,000","-28,000,000","-617,000,000"
			SaleOfPPE,,,"625,000,000","758,000,000","85,000,000","940,000,000","1,382,000,000","663,000,000","289,000,000","231,000,000","1,311,000,000","569,000,000","43,000,000","205,000,000","136,000,000","0","0","98,000,000"
		NetIntangiblesPurchaseAndSale,,,,"0","0","21,000,000","0","0",,,,,,,,,,
			SaleOfIntangibles,,,,"0","0","21,000,000","0","0",,,,,,,,,,
		NetBusinessPurchaseAndSale,"-48,000,000","-211,000,000","-128,000,000","-2,847,000,000","-60,000,000","-38,000,000","-687,000,000","77,000,000","-467,000,000","-3,000,000","-548,000,000","-814,000,000","-233,000,000","-716,000,000","0",,,
			PurchaseOfBusiness,"-58,000,000","-218,000,000","-182,000,000","-2,945,000,000","-65,000,000","-66,000,000","-738,000,000","-348,000,000","-599,000,000","-3,000,000","-548,000,000","-814,000,000","-233,000,000","-716,000,000","0",,,
			SaleOfBusiness,"10,000,000","7,000,000","54,000,000","98,000,000","5,000,000","28,000,000","51,000,000","425,000,000","132,000,000",,,,,,,,,
		NetInvestmentPurchaseAndSale,"-770,000,000","93,000,000","108,000,000","447,000,000","-601,000,000","-1,000,000","-41,000,000","11,000,000","-7,000,000","-27,000,000","-158,000,000","98,000,000","98,000,000","-127,000,000","-482,000,000","-132,000,000","-132,000,000","80,000,000"
			PurchaseOfInvestment,"-1,266,000,000","-483,000,000","-952,000,000","-793,000,000","-1,143,000,000","-350,000,000","-665,000,000","-469,000,000","-464,000,000","-567,000,000","-535,000,000","-729,000,000","-460,000,000","-547,000,000","-1,825,000,000","-453,000,000","-368,000,000","-55,000,000"
			SaleOfInvestment,"496,000,000","576,000,000","1,060,000,000","1,240,000,000","542,000,000","349,000,000","624,000,000","480,000,000","457,000,000","540,000,000","377,000,000","827,000,000","558,000,000","420,000,000","1,343,000,000","321,000,000","236,000,000","135,000,000"
		NetOtherInvestingChanges,"-98,000,000","-39,000,000","12,000,000","-19,000,000","-38,000,000","32,000,000","17,000,000","4,000,000","24,000,000","21,000,000","21,000,000","232,000,000","-96,000,000","-46,000,000","-7,000,000","30,000,000","-5,000,000","43,000,000"
	CashFromDiscontinuedInvestingActivities,,,,,,,,,,,,,,"0","27,000,000","0","139,000,000","7,000,000"
FinancingCashFlow,"-78,000,000","-578,000,000","-1,106,000,000","1,288,000,000","1,525,000,000","-541,000,000","-850,000,000","-858,000,000","-96,000,000","-715,000,000","-607,000,000","-264,000,000","-124,000,000","56,000,000","-39,000,000","1,056,000,000","-20,000,000","-374,000,000"
	CashFlowFromContinuingFinancingActivities,"-78,000,000","-578,000,000","-1,106,000,000","1,288,000,000","1,525,000,000","-541,000,000","-850,000,000","-858,000,000","-96,000,000","-715,000,000","-607,000,000","-264,000,000","-124,000,000","56,000,000","-39,000,000","1,056,000,000","-20,000,000","-374,000,000"
		NetIssuancePaymentsOfDebt,"784,000,000","-64,000,000","-711,000,000","731,000,000","1,629,000,000","-9,000,000","185,000,000","-112,000,000","182,000,000","7,000,000","-150,000,000","17,000,000","10,000,000","465,000,000","-39,000,000","-389,000,000","6,000,000","228,000,000"
			NetLongTermDebtIssuance,"784,000,000","-64,000,000","-711,000,000","731,000,000","1,629,000,000","-9,000,000","185,000,000","-112,000,000","182,000,000","7,000,000","-150,000,000","17,000,000","10,000,000","465,000,000","-39,000,000","-359,000,000","-24,000,000","228,000,000"
				LongTermDebtIssuance,"1,426,000,000","596,000,000","0","1,949,000,000","2,035,000,000","400,000,000","416,000,000","670,000,000","620,000,000","12,000,000","249,000,000","385,000,000","10,000,000","519,000,000","0","498,000,000","0","1,386,000,000"
				LongTermDebtPayments,"-642,000,000","-660,000,000","-711,000,000","-1,218,000,000","-406,000,000","-409,000,000","-231,000,000","-782,000,000","-438,000,000","-5,000,000","-399,000,000","-368,000,000","0","-54,000,000","-39,000,000","-857,000,000","-24,000,000","-1,158,000,000"
			NetShortTermDebtIssuance,,,,,,,,,,,,,,"0","0","-30,000,000","30,000,000",
				ShortTermDebtIssuance,,,,,,,,,,,,,,"0","0","675,000,000","175,000,000",
				ShortTermDebtPayments,,,,,,,,,,,,,,"0","0","-705,000,000","-145,000,000",
		NetCommonStockIssuance,"-761,000,000","-453,000,000","-369,000,000","575,000,000","-69,000,000","-421,000,000","-946,000,000","-743,000,000","-272,000,000","-715,000,000","-443,000,000","-275,000,000","-136,000,000","-396,000,000","0","1,482,000,000",,"-1,101,000,000"
			CommonStockIssuance,,"0","0","575,000,000","0","0",,,,,,,,"0","0","1,482,000,000","0",
