name,ttm,02/29/2024,02/28/2023,02/28/2022,02/28/2021,02/29/2020,02/28/2019,02/28/2018,02/28/2017,02/29/2016,02/28/2015,02/28/2014,02/28/2013,02/29/2012,02/28/2011,02/28/2010,02/28/2009,02/29/2008,02/28/2007,02/28/2006,02/28/2005,02/29/2004,02/28/2003,02/28/2002,02/28/2001,02/29/2000,02/28/1999,02/28/1998,02/28/1997
OperatingCashFlow,"526,213,000","458,617,000","1,283,332,000","-2,549,450,000","667,760,000","-236,606,000","162,971,000","-80,550,000","-455,311,000","-116,757,000","-968,130,000","-613,163,000","-778,441,000","-62,164,000","-6,758,000","50,290,000","264,591,000","79,520,000","136,800,000","117,513,000","41,846,000","146,964,000","71,967,000","42,641,000","17,960,000","-25,093,000","-82,000,000","-86,100,000","-25,400,000"
	CashFlowFromContinuingOperatingActivities,"526,213,000","458,617,000","1,283,332,000","-2,549,450,000","667,760,000","-236,606,000","162,971,000","-80,550,000","-455,311,000","-116,757,000","-968,130,000","-613,163,000","-778,441,000","-62,164,000","-6,758,000","50,290,000","264,591,000","79,520,000","136,800,000","117,513,000","41,846,000","146,964,000","71,967,000","42,641,000","17,960,000","-25,093,000","-82,000,000","-86,100,000","-25,400,000"
		NetIncomeFromContinuingOperations,"403,346,000","479,204,000","484,762,000","1,151,297,000","746,919,000","888,433,000","842,413,000","664,112,000","626,970,000","623,428,000","597,358,000","492,586,000","434,284,000","413,795,000","377,495,000","281,668,000","59,213,000","182,025,000","198,597,000","134,220,000","101,315,000","116,450,000","94,802,000","90,802,000","45,564,000","1,118,000","-23,500,000","-34,200,000","-9,300,000"
		OperatingGainsLosses,,,,,,,,,,"13,136,000","3,852,000","2,707,000","1,945,000","2,569,000","1,143,000","372,000","10,728,000","1,404,000","88,000","-764,000","-1,486,000","-1,462,000","30,000","100,000","9,092,000","3,935,000",,"11,500,000",
		DepreciationAmortizationDepletion,"266,660,000","260,414,000","265,224,000","273,188,000","242,156,000","215,811,000","182,247,000","179,942,000","168,875,000","137,360,000","115,173,000","101,911,000","95,283,000","82,812,000","76,321,000","58,328,000","54,741,000","46,615,000","34,551,000","26,692,000","20,145,000","16,303,000","14,950,000","16,440,000","18,270,000","15,241,000","10,000,000","4,600,000","1,700,000"
			DepreciationAndAmortization,"266,660,000","260,414,000","265,224,000","273,188,000","242,156,000","215,811,000","182,247,000","179,942,000","168,875,000","137,360,000","115,173,000","101,911,000","95,283,000","82,812,000","76,321,000","58,328,000","54,741,000","46,615,000","34,551,000","26,692,000","20,145,000","16,303,000","14,950,000","16,440,000","18,270,000","15,241,000","10,000,000","4,600,000","1,700,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,"26,692,000","20,145,000","16,181,000","14,873,000","16,340,000","18,116,000",,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,"54,000","108,000","122,000","77,000","100,000","154,000",,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,"54,000","108,000","122,000","77,000","100,000","154,000",,,,
		DeferredTax,"291,000","-4,800,000","-6,550,000","15,000,000","-35,787,000","-1,102,000","2,300,000","81,007,000","2,324,000","17,237,000","-4,299,000","-17,185,000","3,858,000","-872,000","17,493,000","29,761,000","-41,502,000","-24,405,000","-14,169,000","-19,088,000","-7,251,000","-1,298,000","8,880,000","3,162,000","8,758,000","1,225,000","11,300,000","-1,900,000","1,700,000"
			DeferredIncomeTax,"291,000","-4,800,000","-6,550,000","15,000,000","-35,787,000","-1,102,000","2,300,000","81,007,000","2,324,000","17,237,000","-4,299,000","-17,185,000","3,858,000","-872,000","17,493,000","29,761,000","-41,502,000","-24,405,000","-14,169,000","-19,088,000","-7,251,000","-1,298,000","8,880,000","3,162,000","8,758,000","1,225,000","11,300,000","-1,900,000","1,700,000"
		AssetImpairmentCharge,,,,,,,,,,,,"50,000","-50,000","248,000","0","2,055,000","0","0",,,,,,,,,,,
		ProvisionandWriteOffofAssets,"391,436,000","390,827,000","415,150,000","256,620,000","232,938,000","274,967,000","217,785,000","200,340,000","214,718,000","178,317,000","153,330,000","148,958,000","87,835,000","59,279,000","27,749,000",,,,,,,,,,,,,,
		StockBasedCompensation,"131,434,000","119,720,000","85,592,000","109,197,000","121,899,000","108,861,000","75,011,000","61,879,000","91,595,000","51,077,000","81,880,000","66,480,000","62,112,000","48,089,000","43,606,000","37,858,000","35,436,000","33,467,000",,,,,,,,,,,
		OtherNonCashItems,"8,821,000","9,252,000","4,773,000","-19,139,000","-1,409,000","3,507,000","2,825,000","1,298,000","4,169,000","13,136,000","3,852,000",,,,,,,"33,467,000","36,717,000","21,632,000","18,063,000",,,,,,,"-100,000","-100,000"
		ChangeInWorkingCapital,"-675,775,000","-796,000,000","34,381,000","-4,335,613,000","-638,956,000","-1,727,083,000","-1,159,610,000","-1,269,128,000","-1,563,962,000","-1,137,312,000","-1,915,424,000","-1,408,620,000","-1,463,758,000","-668,084,000","-550,565,000","-359,752,000","145,975,000","-159,586,000","-118,984,000","-45,179,000","-88,940,000","16,971,000","-46,695,000","-67,763,000","-63,724,000","-46,612,000","-79,800,000","-66,000,000","-19,400,000"
			ChangeInReceivables,"-725,456,000","-902,939,000","-1,106,902,000","-2,229,769,000","-344,345,000","-1,360,159,000","-1,053,160,000","-1,058,152,000","-1,229,999,000","-1,197,068,000","-1,427,766,000","-1,312,104,000","-997,766,000","-642,548,000","-301,521,000","-248,503,000","-84,913,000","-69,096,000","-40,809,000","7,214,000","-9,155,000","-42,083,000","-21,776,000","-38,606,000","-5,409,000","-31,889,000","-36,500,000","-32,500,000","-11,800,000"
