name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,08/31/1992,08/31/1991,08/31/1990,08/31/1989,08/31/1988,08/31/1987,08/31/1986,08/31/1985
TotalAssets,"2,959,319,000","3,246,912,000","3,288,094,000","2,298,031,000","1,862,595,000","1,243,893,000","945,858,000","786,904,000","622,856,000","543,841,000","453,184,000","373,868,000","351,083,000","306,781,000","288,065,000","311,358,000","345,737,000","311,276,000","307,428,000","238,053,000","160,104,000","145,396,000","156,975,000","159,298,000","156,000,000","154,400,000","130,300,000","55,300,000","28,200,000","22,100,000","54,000,000","43,500,000","44,600,000","40,100,000","46,400,000","68,000,000","59,700,000","64,500,000","48,100,000","54,900,000"
	CurrentAssets,"1,116,870,000","1,390,776,000","1,566,885,000","869,801,000","670,791,000","526,651,000","417,079,000","367,394,000","245,826,000","207,636,000","225,530,000","154,023,000","137,568,000","142,865,000","149,451,000","127,095,000","160,934,000","121,040,000","151,097,000","111,407,000","68,414,000","60,257,000","44,645,000","51,180,000","54,200,000","57,700,000","46,300,000","31,700,000","20,700,000","16,100,000","31,800,000","27,200,000","29,400,000","26,300,000","33,600,000","45,800,000","38,300,000","39,600,000","30,600,000","34,800,000"
		CashCashEquivalentsAndShortTermInvestments,"66,157,000","47,499,000","62,896,000","51,821,000","35,359,000","14,928,000","26,049,000","86,170,000","12,305,000","4,000","66,280,000","9,939,000","6,584,000","43,879,000","65,360,000","8,692,000","56,213,000","6,785,000","5,085,000","2,424,000","8,781,000","316,000","1,191,000","550,000","5,100,000","2,700,000","1,000,000","1,500,000","4,000,000","500,000","300,000","300,000","100,000",,"100,000","900,000","800,000","2,400,000","1,800,000","1,600,000"
			CashAndCashEquivalents,"66,157,000","47,499,000","62,896,000","51,821,000","35,359,000","14,928,000","26,049,000","86,170,000","12,305,000","4,000","66,280,000","9,939,000","6,584,000","38,880,000","52,365,000","8,692,000","56,213,000","6,785,000","5,085,000","2,424,000","8,781,000","316,000","1,191,000","550,000","5,100,000","2,700,000","1,000,000","1,500,000","4,000,000","500,000","300,000","300,000","100,000",,"100,000","900,000","800,000","2,400,000","1,800,000","1,600,000"
			OtherShortTermInvestments,,,,,,,,,,,,,"0","4,999,000","12,995,000","0",,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"214,707,000","214,262,000","319,782,000","268,625,000","199,976,000","121,812,000","82,157,000","57,374,000","41,509,000","37,987,000","31,015,000","21,846,000","22,620,000","12,890,000","12,541,000","7,913,000","15,740,000","17,828,000","33,583,000","26,099,000","14,844,000","12,969,000","10,493,000","13,451,000","11,300,000","13,600,000","9,200,000","4,900,000","4,200,000","3,100,000","9,500,000","8,300,000","12,600,000","11,700,000","10,400,000","14,400,000","11,600,000","12,500,000","8,800,000","17,900,000"
			AccountsReceivable,"214,707,000","214,262,000","319,782,000","268,625,000","199,976,000","121,812,000","82,157,000","57,374,000","41,509,000","37,987,000","31,015,000","21,846,000","22,620,000","12,890,000","12,541,000","7,913,000","15,740,000","17,828,000","33,583,000","26,099,000","14,844,000","12,969,000","10,493,000","13,451,000",,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"220,408,000","220,166,000","326,228,000","274,267,000","203,120,000","123,707,000","83,693,000","58,524,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-5,701,000","-5,904,000","-6,446,000","-5,642,000","-3,144,000","-1,895,000","-1,536,000","-1,150,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"768,407,000","1,029,705,000","1,095,907,000","493,899,000","393,607,000","340,615,000","274,748,000","188,743,000","170,834,000","132,492,000","101,211,000","97,367,000","92,052,000","69,328,000","57,757,000","93,934,000","76,279,000","83,076,000","100,617,000","72,332,000","37,311,000","37,143,000","25,526,000","33,703,000","33,400,000","35,400,000","29,500,000","22,700,000","11,000,000","10,500,000","19,300,000","16,300,000","15,900,000","13,500,000","13,000,000","19,100,000","15,800,000","15,300,000","9,400,000","14,000,000"
