name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,08/31/1992,08/31/1991,08/31/1990,08/31/1989
OperatingCashFlow,"438,946,000","527,229,000","602,514,000","-111,573,000","231,400,000","269,525,000","156,608,000","152,702,000","201,667,000","95,018,000","107,020,000","82,677,000","72,689,000","36,831,000","42,063,000","63,256,000","4,657,000","84,910,000","67,021,000","32,253,000","9,012,000","31,541,000","12,200,000","28,159,000","9,853,000","29,600,000","18,000,000","11,000,000","11,900,000","9,600,000","6,400,000","6,100,000","3,800,000","2,800,000","5,000,000","5,200,000","-500,000"
	CashFlowFromContinuingOperatingActivities,"438,946,000","527,229,000","602,514,000","-111,573,000","231,400,000","269,525,000","156,608,000","152,702,000","201,667,000","95,018,000","107,020,000","82,677,000","72,689,000","36,831,000","42,063,000","63,256,000","4,657,000","84,910,000","67,021,000","32,253,000","9,012,000","30,791,000","10,867,000","28,159,000","9,853,000","29,600,000","18,000,000","11,000,000","11,900,000","9,600,000","6,500,000","5,900,000","3,500,000","3,500,000","2,700,000","3,100,000","-500,000"
		NetIncomeFromContinuingOperations,"121,218,000","64,195,000","394,974,000","287,739,000","158,440,000","146,509,000","148,551,000","132,884,000","129,671,000","74,345,000","62,266,000","50,119,000","37,340,000","30,059,000","28,034,000","-24,053,000","11,678,000","39,767,000","31,023,000","33,602,000","25,108,000","19,423,000","-14,598,000","8,934,000","1,547,000","17,200,000","15,200,000","12,000,000","13,400,000","7,800,000","5,500,000","5,600,000","200,000","3,800,000","1,700,000","-13,400,000","-1,300,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,"-613,000","2,836,000","-2,393,000","-351,000","-913,000","-43,000","828,000","561,000","31,207,000","156,000","7,161,000","-100,000","100,000",,,,,,,"-100,000","100,000","1,700,000","1,900,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,"-613,000","2,836,000","-2,393,000",,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"130,947,000","131,768,000","129,212,000","112,320,000","97,980,000","75,358,000","67,526,000","54,727,000","46,167,000","41,624,000","32,596,000","27,500,000","25,665,000","20,522,000","17,087,000","18,468,000","17,078,000","17,557,000","15,669,000","11,945,000","9,300,000","7,863,000","7,332,000","8,534,000","8,954,000","8,100,000","6,800,000","3,000,000","1,700,000","800,000","700,000","1,900,000","600,000","1,600,000","1,600,000","1,800,000","2,400,000"
			DepreciationAndAmortization,"130,947,000","131,768,000","129,212,000","112,320,000","97,980,000","75,358,000","67,526,000","54,727,000","46,167,000","41,624,000","32,596,000","27,500,000","25,665,000","20,522,000","17,087,000","18,468,000","17,078,000","17,557,000","15,669,000","11,945,000","9,300,000","7,863,000","7,332,000","8,534,000","8,954,000","8,100,000","6,800,000","3,000,000","1,700,000","800,000","700,000","1,900,000","600,000","1,600,000","1,600,000","1,800,000","2,400,000"
		DeferredTax,,"2,067,000","-9,277,000","-3,279,000","-1,504,000","3,416,000","13,874,000","6,808,000","-2,598,000","1,062,000","-5,493,000","269,000","-668,000","821,000","-1,438,000","-16,685,000","-2,145,000","-1,488,000","653,000","-215,000","-1,394,000","383,000","1,748,000","84,000","-2,304,000","1,100,000","100,000","300,000","-300,000","-300,000","-300,000","500,000","-1,800,000",,"1,400,000","-500,000","100,000"
			DeferredIncomeTax,,"2,067,000","-9,277,000","-3,279,000","-1,504,000","3,416,000","13,874,000","6,808,000","-2,598,000","1,062,000","-5,493,000","269,000","-668,000","821,000","-1,438,000","-16,685,000","-2,145,000","-1,488,000","653,000","-215,000","-1,394,000","383,000","1,748,000","84,000","-2,304,000","1,100,000","100,000","300,000","-300,000","-300,000","-300,000","500,000","-1,800,000",,"1,400,000","-500,000","100,000"
		AssetImpairmentCharge,,,,,,,,,,,,,,"0","0","45,040,000","5,487,000",,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"18,450,000","18,229,000","23,695,000","27,161,000","18,502,000","16,077,000","14,065,000","20,036,000","15,420,000","14,043,000","10,817,000","10,839,000","6,318,000","4,587,000","4,176,000","3,494,000","3,636,000",,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"7,762,000","7,716,000","3,496,000","7,456,000","2,229,000","-1,553,000","-13,000","4,371,000","1,540,000","1,335,000","2,796,000","1,867,000","654,000","1,570,000","-613,000",,"9,123,000","2,489,000","2,981,000","1,492,000","1,245,000",,,,,,"100,000","-100,000","-100,000","100,000","200,000",,"1,400,000","-100,000","300,000","14,500,000","-200,000"
