name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,08/31/1992,08/31/1991,08/31/1990,08/31/1989,08/31/1988,08/31/1987,08/31/1986,08/31/1985
TotalRevenue,"3,819,432,000","3,784,808,000","5,207,143,000","4,472,697,000","2,796,166,000","2,371,482,000","2,475,807,000","2,147,770,000","1,678,898,000","1,403,066,000","1,190,782,000","1,015,576,000","901,123,000","681,166,000","572,755,000","397,839,000","510,506,000","668,625,000","729,232,000","669,147,000","530,870,000","353,116,000","325,431,000","254,770,000","253,129,000","324,500,000","330,600,000","208,400,000","168,200,000","100,100,000","83,000,000","130,800,000","37,100,000","109,600,000","92,600,000","92,200,000","122,900,000","98,800,000","88,000,000","72,600,000","53,300,000"
	OperatingRevenue,"3,302,291,000","3,295,322,000","4,637,250,000","4,114,155,000","2,561,429,000","2,133,641,000","2,475,807,000","2,147,770,000","1,678,898,000","1,403,066,000","1,190,782,000","1,015,576,000","901,123,000","681,166,000","572,755,000","397,839,000","510,506,000","668,625,000","729,232,000","669,147,000","530,870,000","353,116,000","325,431,000","254,770,000","253,129,000","324,500,000","330,600,000","208,400,000","168,200,000","100,100,000","83,000,000","130,800,000","37,100,000","109,600,000","92,600,000","92,200,000","122,900,000","98,800,000","88,000,000","72,600,000","53,300,000"
CostOfRevenue,"2,957,082,000","3,008,618,000","3,933,854,000","3,429,662,000","2,090,076,000","1,832,280,000","1,955,463,000","1,654,656,000","1,249,995,000","1,097,064,000","935,859,000","802,467,000","732,464,000","541,445,000","446,585,000","319,129,000","403,000,000","510,200,000","575,156,000","519,000,000","414,491,000","266,435,000","246,844,000","194,309,000","197,723,000","241,000,000","255,900,000","159,100,000","123,700,000","71,800,000","59,800,000","94,700,000","27,600,000","80,700,000","69,300,000","66,000,000","96,300,000","76,200,000","63,500,000","51,200,000","37,000,000"
GrossProfit,"862,350,000","776,190,000","1,273,289,000","1,043,035,000","706,090,000","539,202,000","520,344,000","493,114,000","428,903,000","306,002,000","254,923,000","213,109,000","168,659,000","139,721,000","126,170,000","78,710,000","107,506,000","158,425,000","154,076,000","150,147,000","116,379,000","86,681,000","78,587,000","60,461,000","55,406,000","83,500,000","74,700,000","49,300,000","44,500,000","28,300,000","23,200,000","36,100,000","9,500,000","28,900,000","23,300,000","26,200,000","26,600,000","22,600,000","24,500,000","21,400,000","16,300,000"
OperatingExpense,"665,924,000","652,762,000","720,261,000","644,625,000","483,156,000","338,992,000","321,556,000","278,833,000","228,053,000","186,032,000","157,482,000","134,811,000","110,527,000","91,173,000","80,742,000","69,251,000","82,121,000","92,466,000","98,781,000","92,418,000","72,383,000","52,404,000","49,374,000","40,116,000","38,339,000","51,500,000","45,800,000","27,500,000","22,100,000","15,500,000","14,000,000","28,200,000","8,500,000","23,400,000","19,600,000","21,500,000","23,300,000","20,700,000","20,200,000","17,400,000","15,000,000"
	SellingGeneralAndAdministration,"665,924,000","652,762,000","720,261,000","644,625,000","483,156,000","338,992,000","321,556,000","278,833,000","228,053,000","186,032,000","157,482,000","134,811,000","110,527,000","91,173,000","80,742,000","69,489,000","82,796,000","93,173,000","99,419,000","92,549,000","72,811,000","52,404,000","49,374,000","40,116,000","38,339,000","43,400,000","39,000,000","24,500,000","20,400,000","14,700,000","13,300,000","26,300,000","7,900,000","21,800,000","18,000,000","19,700,000","20,900,000","18,400,000","18,000,000","15,700,000","14,000,000"
		GeneralAndAdministrativeExpense,,,,,,,,"278,833,000","228,053,000","186,032,000","157,482,000","134,811,000","110,527,000","91,173,000","80,742,000","69,489,000","82,796,000",,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,"0","0","1,876,000","1,456,000","0","0","0","2,667,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,,,,,,,,"278,833,000","228,053,000","186,032,000","157,482,000","132,935,000","109,071,000","91,173,000","80,742,000","69,489,000","80,129,000",,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"8,954,000","8,100,000","6,800,000","3,000,000","1,700,000","800,000","700,000","1,900,000","600,000","1,600,000","1,600,000","1,800,000","2,400,000","2,300,000","2,200,000","1,700,000","1,000,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"8,954,000","8,100,000","6,800,000","3,000,000","1,700,000","800,000","700,000","1,900,000","600,000","1,600,000","1,600,000","1,800,000","2,400,000","2,300,000","2,200,000","1,700,000","1,000,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,"-79,000","-79,000","-238,000","-675,000","-707,000","-638,000","-131,000","-428,000",,,,,,,,,,,,,,,,,,,,
OperatingIncome,"196,426,000","123,428,000","553,028,000","398,410,000","222,934,000","200,210,000","198,788,000","214,281,000","200,850,000","119,970,000","97,441,000","78,298,000","58,132,000","48,548,000","45,428,000","9,459,000","25,385,000","65,959,000","55,295,000","57,729,000","43,996,000","34,277,000","29,213,000","20,345,000","17,067,000","32,000,000","28,900,000","21,800,000","22,400,000","12,800,000","9,200,000","7,900,000","1,000,000","5,500,000","3,700,000","4,700,000","3,300,000","1,900,000","4,300,000","4,000,000","1,300,000"
NetNonOperatingInterestIncomeExpense,"-37,064,000","-40,424,000","-27,573,000","-16,366,000","-13,453,000","-8,796,000","-6,436,000","-1,437,000","-1,678,000","-1,885,000","-430,000","-351,000","-330,000","-292,000","-218,000","-789,000","-877,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"37,064,000","40,424,000","27,573,000","16,366,000","13,453,000","8,796,000","6,436,000","1,437,000","1,678,000","1,885,000","430,000","351,000","330,000","292,000","218,000","789,000","877,000",,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"11,486,000",,,,,"8,796,000","6,436,000","1,437,000","1,678,000","1,885,000","430,000","351,000","330,000","292,000","218,000","789,000",,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,,,,,,,,,"-3,716,000","-1,954,000",,,,,"-45,040,000","-5,487,000","707,000","638,000","131,000","428,000",,,,"-6,897,000",,,,,"100,000",,,,,,,"-1,800,000","600,000",,,"1,600,000"
	SpecialIncomeCharges,,,,,,,,"0","0","-3,716,000","-1,954,000","0","0","0","0","-45,040,000","-5,487,000","707,000","638,000","131,000","428,000",,,,"-6,897,000",,,,,"100,000",,,,,,,"-1,800,000","600,000",,,"1,600,000"
		RestructuringAndMergernAcquisition,,,,,,,,"0","0","3,716,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,"0","0","45,040,000","5,487,000",,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,"0","0","-1,954,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"159,362,000","83,004,000","525,455,000","382,044,000","209,481,000","191,414,000","192,352,000","212,844,000","199,172,000","114,369,000","95,057,000","77,947,000","57,802,000","48,256,000","45,210,000","-36,370,000","19,021,000","63,344,000","50,694,000","54,063,000","40,857,000","31,243,000","25,647,000","16,194,000","13,646,000","28,600,000","25,000,000","19,300,000","22,000,000","12,900,000","9,200,000","7,500,000","600,000","4,200,000","1,500,000","2,100,000","-1,400,000",,"3,000,000","3,200,000","2,000,000"
