name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006
OperatingCashFlow,"2,344,615,000","2,296,164,000","966,463,000","1,389,108,000","803,336,000","669,316,000","742,779,000","489,337,000","386,392,000","297,538,000","314,449,000","278,339,000","280,113,000","203,615,000","179,995,000","117,960,000","46,437,774","36,480,539","25,448,814","-10,282,069"
	CashFlowFromContinuingOperatingActivities,"2,344,615,000","2,296,164,000","966,463,000","1,389,108,000","803,336,000","669,316,000","742,779,000","489,337,000","386,392,000","297,538,000","314,449,000","278,339,000","280,113,000","203,615,000","179,995,000","117,960,000","44,294,490","37,845,411","24,298,258","-10,282,069"
		NetIncomeFromContinuingOperations,"1,632,525,000","1,550,190,000","854,800,000","975,322,000","588,913,000","645,596,000","483,801,000","258,662,000","303,381,000","266,047,000","239,033,000","279,547,000","271,431,000","184,964,000","122,197,000","58,281,000","39,363,227","30,842,452","7,666,331","1,394,104"
		OperatingGainsLosses,"841,000","32,527,000","-48,829,000","15,191,000","4,485,000","-1,925,000","-14,876,000","6,227,000",,,,,,,"-1,792,000",,,"-334,220","792,537","10,000"
			GainLossOnSaleOfPPE,,,"-10,180,000","0","0",,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"841,000","32,527,000","-38,649,000","15,191,000","4,485,000","-1,925,000","-14,876,000","6,227,000",,,,,,,"-1,792,000",,,,,
		DepreciationAmortizationDepletion,"400,591,000","379,384,000","291,791,000","224,206,000","185,478,000","161,933,000","122,484,000","108,235,000","87,697,000","73,383,000","58,364,000","49,068,000","43,000,000","30,259,000","24,614,000","20,832,000","15,822,950","8,291,254","4,586,646","2,466,298"
			DepreciationAndAmortization,"400,591,000","379,384,000","291,791,000","224,206,000","185,478,000","161,933,000","122,484,000","108,235,000","87,697,000","73,383,000","58,364,000","49,068,000","43,000,000","30,259,000","24,614,000","20,832,000","15,822,950","8,291,254","4,586,646","2,466,298"
				Depreciation,,"374,000,000","282,700,000","215,300,000",,,,,,,,,,,,,,,,
				AmortizationCashFlow,,"5,000,000","8,800,000","8,800,000",,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,"5,000,000","8,800,000","8,800,000",,,,,,,,,,,,,,,,
		DeferredTax,,"-28,383,000","3,042,000","-5,180,000","34,908,000","24,129,000","16,786,000","-11,416,000","-17,563,000","11,142,000","2,087,000","820,000","-6,445,000","-693,000","11,234,000","387,000","-6,441,402","1,798,882","-3,076,876","-174,901"
			DeferredIncomeTax,,"-28,383,000","3,042,000","-5,180,000","34,908,000","24,129,000","16,786,000","-11,416,000","-17,563,000","11,142,000","2,087,000","820,000","-6,445,000","-693,000","11,234,000","387,000","-6,441,402","1,798,882","-3,076,876","-174,901"
		AssetImpairmentCharge,,"74,501,000","407,913,000","0","0","0","0","11,593,000","0","0",,,"0","0","1,772,000","379,000",,,,
		ProvisionandWriteOffofAssets,,"23,709,000","62,928,000","0",,,,,,,,,,,,,,,,
		StockBasedCompensation,"95,301,000","93,560,000","78,075,000","69,137,000","50,797,000","45,593,000","28,568,000","17,610,000","16,822,000","10,356,000","8,269,000","10,087,000","15,637,000","10,340,000","7,273,000","5,616,000",,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,"-1,273,000","1,202,000","-413,000","-6,457,000","-9,901,000","-5,750,000","-7,863,000","3,858,000",,,,
		OtherNonCashItems,,"-28,547,000","-23,337,000","-18,699,000","-13,696,000","-11,939,000","-6,859,000","-6,202,000","-4,548,000","-3,647,000","-1,468,000","-4,654,000","-1,351,000","-1,775,000","-1,406,000","-2,183,000","-1,087,250","5,947,097","1,219,038","2,699,916"
		ChangeInWorkingCapital,"174,077,000","199,223,000","-659,920,000","129,131,000","-47,549,000","-194,071,000","112,875,000","104,628,000","603,000","-59,743,000","8,577,000","-50,072,000","-32,258,000","-13,730,000","23,966,000","30,790,000","-3,363,035","-9,034,274","13,903,119","-16,677,486"
			ChangeInReceivables,,,,,,,,,,,,,,"3,743,000","-541,000","-3,974,000","698,458","847,304","-682,670","-663,245"
				ChangesInAccountReceivables,,,,,,,,,,,,,,"3,743,000","-587,000","-3,974,000",,,,
			ChangeInInventory,"174,558,000","66,584,000","-573,438,000","-323,609,000","-96,548,000","-117,591,000","-85,942,000","-21,178,000","-5,403,000","-83,286,000","-26,806,000","-38,507,000","-51,222,000","-46,072,000","-7,954,000","11,296,000","-19,782,088","-11,217,151","-5,751,628","-10,693,625"
			ChangeInPrepaidAssets,"6,233,000","49,075,000","-180,534,000","-62,296,000","-124,965,000","-89,529,000","-28,983,000","24,487,000","-4,151,000","-55,926,000","-21,678,000","-10,872,000","-18,304,000","1,344,000","-3,443,000","-225,000","-1,858,070","-2,379,731","-391,580","-553,983"
			ChangeInPayablesAndAccruedExpense,"-7,114,000","-67,563,000","-5,930,000","342,311,000","157,699,000","-44,269,000","132,118,000","-14,341,000","-14,840,000","52,793,000","29,170,000","-8,465,000","13,230,000","13,169,000","17,162,000","8,131,000","831,566","540,457","-1,099,306","4,571,376"
				ChangeInPayable,"13,035,000","4,171,000","-71,294,000","238,433,000","58,538,000","-48,947,000","118,390,000","-18,021,000","4,060,000","20,717,000","17,106,000","-23,448,000","13,238,000","12,142,000","11,573,000","12,988,000",,,,
