name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004
TotalRevenue,"9,989,290,000","9,619,278,000","8,110,518,000","6,256,617,000","4,401,879,000","3,979,296,000","3,288,319,000","2,649,181,000","2,344,392,000","2,060,523,000","1,797,213,000","1,591,188,000","1,370,358,000","1,000,839,000","711,704,000","452,898,000","353,488,212","269,942,362","147,964,195","84,129,093","40,748,376","18,188,000"
	OperatingRevenue,"9,989,290,000","9,619,278,000","8,110,518,000","6,256,617,000","4,401,879,000","3,979,296,000","3,288,319,000","2,649,181,000","2,344,392,000","2,060,523,000","1,797,213,000","1,591,188,000","1,370,358,000","1,000,839,000","711,704,000","452,898,000","353,488,212","269,942,362","147,964,195","84,129,093","40,748,376","18,188,000"
CostOfRevenue,"4,141,948,000","4,009,873,000","3,618,178,000","2,648,052,000","1,937,888,000","1,755,910,000","1,472,032,000","1,250,391,000","1,144,775,000","1,063,357,000","883,033,000","751,112,000","607,532,000","431,488,000","316,757,000","229,812,000","174,420,844","125,014,988","72,249,501","41,176,981",,"0"
GrossProfit,"5,847,342,000","5,609,405,000","4,492,340,000","3,608,565,000","2,463,991,000","2,223,386,000","1,816,287,000","1,398,790,000","1,199,617,000","997,166,000","914,180,000","840,076,000","762,826,000","569,351,000","394,947,000","223,086,000","179,067,368","144,927,374","75,714,694","42,952,112",,"18,188,000"
OperatingExpense,"3,547,968,000","3,402,228,000","2,766,199,000","2,233,816,000","1,614,163,000","1,334,276,000","1,110,451,000","904,264,000","778,465,000","628,090,000","538,147,000","448,718,000","386,387,000","282,393,000","214,556,000","136,161,000","122,503,202","93,376,167","59,491,046","39,225,404",,"17,427,000"
	SellingGeneralAndAdministration,"3,546,715,000","3,397,218,000","2,757,447,000","2,225,034,000","1,609,003,000","1,334,247,000","1,110,379,000","904,264,000","778,465,000","628,090,000","538,147,000","448,718,000","386,387,000","282,393,000","214,556,000","136,161,000","118,098,347","93,376,167","51,862,736","39,225,404",,"0"
	DepreciationAmortizationDepletionIncomeStatement,"1,253,000","5,010,000","8,752,000","8,782,000","5,160,000","29,000","72,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"1,253,000","5,010,000","8,752,000","8,782,000","5,160,000","29,000","72,000",,,,,,,,,,,,,,,
			Amortization,"1,253,000","5,010,000","8,752,000","8,782,000","5,160,000","29,000","72,000",,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"1,253,000","5,010,000","8,752,000","8,782,000","5,160,000","29,000","72,000",,,,,,,,,,,,,,,
