name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
OperatingCashFlow,"3,373,000,000","3,227,000,000","-795,000,000","15,000,000","-1,312,000,000","3,038,000,000","4,701,000,000","4,543,000,000","4,044,000,000","3,459,000,000","4,833,000,000","4,439,412,000","3,057,757,000","2,662,496,000","1,870,151,000","638,613,000","124,872,000","365,457,000","-196,720,000","589,916,000","373,369,000","137,116,000","86,842,000",,
	CashFlowFromContinuingOperatingActivities,"3,373,000,000","3,227,000,000","-944,000,000","-243,000,000","-1,191,000,000","2,803,000,000","4,701,000,000","4,543,000,000","4,044,000,000","3,459,000,000","4,833,000,000","4,439,412,000","3,057,757,000","2,662,496,000","1,870,151,000","638,613,000","124,872,000","365,457,000","-196,720,000","589,916,000","373,369,000","137,116,000","86,842,000",,
		NetIncomeFromContinuingOperations,"1,925,000,000","1,431,000,000","-1,541,000,000","-1,469,000,000","-1,900,000,000","3,168,000,000","2,951,000,000","3,263,000,000","2,025,000,000","2,386,000,000","3,588,000,000","2,954,676,000","1,881,813,000","1,883,119,000","781,603,000","-368,743,000","-168,325,000","116,688,000","442,003,000","283,686,000","495,183,000","66,634,000","39,548,000",,
		OperatingGainsLosses,"-6,000,000","17,000,000","-2,000,000","186,000,000","19,000,000","-503,000,000","187,000,000","78,000,000","60,000,000","15,000,000","11,000,000","2,758,000","161,160,000","31,135,000","65,187,000","22,749,000","-19,407,000","16,022,000","2,624,000","156,098,000","-212,965,000",,,,
			GainLossOnSaleOfBusiness,,,,"0","0","-556,000,000","0","0","0","1,000,000","1,000,000","1,376,000","1,732,000","1,513,000","0",,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"-23,000,000","7,000,000","-10,000,000","34,000,000","-20,000,000","-21,000,000","-26,000,000","53,000,000","-21,000,000","-21,000,000","-12,000,000","-13,029,000","-2,799,000","-176,000","6,819,000","-499,000","-28,548,000",,,,,,,,
			GainLossOnInvestmentSecurities,,"-1,000,000","1,000,000","-1,000,000",,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,342,000,000","1,266,000,000","1,091,000,000","1,097,000,000","1,052,000,000","1,071,000,000","1,146,000,000","1,208,000,000","1,149,000,000","1,038,000,000","1,072,000,000","1,047,820,000","932,211,000","837,770,000","736,273,000","586,041,000","533,151,000","252,782,000","119,977,000","99,796,000","76,324,000","53,859,000","46,662,000",,
			DepreciationAndAmortization,"1,342,000,000","1,266,000,000","1,091,000,000","1,097,000,000","1,052,000,000","1,071,000,000","1,146,000,000","1,208,000,000","1,149,000,000","1,038,000,000","1,072,000,000","1,047,820,000","932,211,000","837,770,000","736,273,000","586,041,000","533,151,000","252,782,000","119,977,000","99,796,000","76,324,000","53,859,000","46,662,000",,
				Depreciation,"1,342,000,000","1,266,000,000","1,091,000,000","1,097,000,000","1,052,000,000","1,071,000,000","1,146,000,000","1,208,000,000","1,149,000,000","1,038,000,000","1,072,000,000","1,047,820,000","932,211,000","837,770,000","736,273,000","586,041,000","506,986,000","202,557,000","110,773,000","95,296,000","69,432,000","53,859,000",,,
