name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
TotalAssets,"25,674,000,000","24,815,000,000","25,553,000,000","24,701,000,000","25,051,000,000","23,696,000,000","23,846,000,000","24,140,000,000","6,082,000,000","6,833,000,000","6,794,000,000","6,342,000,000","5,910,000,000","8,983,000,000","7,933,000,000","8,903,000,000","8,942,000,000","8,588,000,000","8,530,000,000","8,668,000,000","8,177,000,000","8,296,000,000","9,107,000,000","8,237,000,000","7,324,000,000","6,233,000,000","5,557,000,000"
	CurrentAssets,"3,311,000,000","3,313,000,000","3,626,000,000","2,825,000,000","3,127,000,000","2,706,000,000","2,740,000,000","3,371,000,000","1,384,000,000","1,610,000,000","1,903,000,000","1,475,000,000","1,324,000,000","3,382,000,000","2,851,000,000","3,406,000,000","3,572,000,000","3,319,000,000","3,390,000,000","1,946,000,000","1,347,000,000","1,773,000,000","2,130,000,000","1,415,000,000","1,600,000,000","1,333,000,000","1,367,000,000"
		CashCashEquivalentsAndShortTermInvestments,"338,000,000","507,000,000","1,393,000,000","877,000,000","225,000,000","316,000,000","383,000,000","858,000,000","96,000,000","104,000,000","126,000,000","88,000,000","102,000,000","505,000,000","115,000,000","134,000,000","332,000,000","191,000,000","203,000,000","770,000,000","229,000,000","198,000,000","817,000,000","334,000,000","489,000,000","390,000,000","289,000,000"
			CashAndCashEquivalents,"338,000,000","507,000,000","1,393,000,000","877,000,000","225,000,000","316,000,000","383,000,000","858,000,000","96,000,000","104,000,000","126,000,000","88,000,000","102,000,000","505,000,000","115,000,000","134,000,000","332,000,000","191,000,000","203,000,000","770,000,000","229,000,000","198,000,000","817,000,000","334,000,000","489,000,000","390,000,000","289,000,000"
				CashFinancial,,,,,"225,000,000",,,,,,,,,,,,,,,,,,,,,,
		Receivables,"2,712,000,000","2,571,000,000","1,982,000,000","1,768,000,000","2,395,000,000","2,133,000,000","1,973,000,000","1,695,000,000","1,103,000,000","1,100,000,000","1,081,000,000","1,028,000,000","875,000,000","938,000,000","838,000,000","898,000,000","1,148,000,000","1,060,000,000","1,001,000,000","797,000,000","728,000,000","522,000,000","611,000,000","728,000,000","740,000,000","605,000,000","724,000,000"
			AccountsReceivable,"2,712,000,000","2,571,000,000","1,982,000,000","1,768,000,000","2,395,000,000","2,133,000,000","1,973,000,000","1,695,000,000","1,103,000,000","1,100,000,000","1,081,000,000","1,028,000,000","875,000,000",,,"898,000,000","1,148,000,000","1,060,000,000","1,001,000,000","797,000,000","728,000,000","522,000,000","611,000,000","728,000,000",,,
				GrossAccountsReceivable,"2,909,000,000","2,762,000,000","2,169,000,000",,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-197,000,000","-191,000,000","-187,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,"22,000,000","11,000,000","1,489,000,000","1,444,000,000","1,981,000,000","1,557,000,000","1,186,000,000","1,164,000,000",,,,"96,000,000","97,000,000","93,000,000","75,000,000","129,000,000"
		PrepaidAssets,,,"251,000,000","180,000,000","252,000,000","249,000,000","235,000,000","230,000,000","77,000,000","64,000,000","67,000,000","57,000,000","54,000,000","81,000,000","68,000,000",,,,,,"223,000,000","300,000,000","223,000,000",,,,"159,000,000"
