name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997
OperatingCashFlow,"3,183,000,000","3,170,000,000","2,363,000,000","1,177,000,000","1,639,000,000","1,685,000,000","2,357,000,000","2,227,000,000","1,619,000,000","1,515,000,000","1,224,000,000","1,140,000,000","989,000,000","1,089,000,000","1,151,000,000","868,000,000","641,000,000","778,000,000","970,000,000","840,000,000","891,000,000","403,000,000","516,000,000","403,000,000","856,000,000","711,000,000","605,000,000","521,000,000"
	CashFlowFromContinuingOperatingActivities,"3,183,000,000","3,170,000,000","2,363,000,000","1,177,000,000","1,639,000,000","1,685,000,000","2,357,000,000","2,227,000,000","1,619,000,000","1,515,000,000","1,224,000,000","1,140,000,000","989,000,000","1,089,000,000","1,151,000,000","868,000,000","641,000,000","778,000,000","970,000,000","840,000,000","891,000,000","403,000,000","516,000,000","403,000,000","856,000,000","711,000,000","605,000,000","521,000,000"
		NetIncomeFromContinuingOperations,"2,936,000,000","3,083,000,000","2,358,000,000","1,099,000,000","-267,000,000","1,273,000,000","1,907,000,000","1,459,000,000","808,000,000","859,000,000","753,000,000","626,000,000","571,000,000","198,000,000","458,000,000","-353,000,000","347,000,000","696,000,000","608,000,000","668,000,000","594,000,000","476,000,000","439,000,000","269,000,000","490,000,000","400,000,000","390,000,000","324,000,000"
		OperatingGainsLosses,,,,"164,000,000","3,000,000","-147,000,000","-194,000,000","-687,000,000","1,000,000","-25,000,000",,,,"-5,000,000","178,000,000","-5,000,000","-246,000,000","-186,000,000","35,000,000","-40,000,000","-65,000,000","-274,000,000","-107,000,000","-104,000,000","-19,000,000","-83,000,000","6,000,000",
		DepreciationAmortizationDepletion,"284,000,000","277,000,000","282,000,000","295,000,000","478,000,000","403,000,000","284,000,000","279,000,000","159,000,000","139,000,000","148,000,000","127,000,000","102,000,000","144,000,000","178,000,000","185,000,000","190,000,000","197,000,000","188,000,000","184,000,000","166,000,000","160,000,000","187,000,000","222,000,000","195,000,000","162,000,000","140,000,000","126,000,000"
			DepreciationAndAmortization,"284,000,000","277,000,000","282,000,000","295,000,000","478,000,000","403,000,000","284,000,000","279,000,000","159,000,000","139,000,000","148,000,000","127,000,000","102,000,000","144,000,000","178,000,000","185,000,000","190,000,000","197,000,000","188,000,000","184,000,000","166,000,000","160,000,000","187,000,000","222,000,000","195,000,000","162,000,000","140,000,000","126,000,000"
				Depreciation,"284,000,000","277,000,000","282,000,000","295,000,000","478,000,000","403,000,000","284,000,000","279,000,000","159,000,000","139,000,000","148,000,000","127,000,000","102,000,000","144,000,000",,,,,,,,,,,,,,
		DeferredTax,"-534,000,000","-612,000,000","280,000,000","-281,000,000","-478,000,000","-200,000,000","-239,000,000","887,000,000","103,000,000","143,000,000","71,000,000","73,000,000","224,000,000","113,000,000","-27,000,000",,,,,,,,,,,"87,000,000","76,000,000",
			DeferredIncomeTax,"-534,000,000","-612,000,000","280,000,000","-281,000,000","-478,000,000","-200,000,000","-239,000,000","887,000,000","103,000,000","143,000,000","71,000,000","73,000,000","224,000,000","113,000,000","-27,000,000",,,,,,,,,,,"87,000,000","76,000,000",
		AssetImpairmentCharge,,,,,,,,,,,,"0","19,000,000","324,000,000","131,000,000","832,000,000","0",,,,,,,,,,,
		StockBasedCompensation,"222,000,000","205,000,000","192,000,000","182,000,000","201,000,000","187,000,000","184,000,000","181,000,000","212,000,000","113,000,000","109,000,000","116,000,000","94,000,000",,,,,,,,,,,,,,,
