name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"977,967,000","869,791,000","442,842,000","485,463,000","285,696,000","168,436,000","-27,317,000","-27,614,000","594,509,000","734,557,000","888,564,000","698,426,000","1,275,650,000","664,693,000","527,970,000","945,041,000","436,338,000","560,532,000","875,946,000","466,677,000","570,372,000","604,802,000","1,199,343,000","756,251,000","555,090,000","430,463,000","586,201,000","503,400,000","524,800,000","446,600,000","343,400,000","303,300,000","131,100,000","197,100,000","156,000,000","200,500,000"
	CashFlowFromContinuingOperatingActivities,"977,967,000","869,791,000","442,842,000","485,463,000","285,696,000","168,436,000","-27,317,000","-27,614,000","594,509,000","734,557,000","888,564,000","698,426,000","1,275,650,000","664,693,000","527,970,000","945,041,000","436,338,000","560,532,000","875,946,000","466,677,000","570,372,000","604,802,000","1,183,337,000","756,793,000","555,090,000","430,463,000","586,201,000","503,400,000","524,800,000","446,600,000","343,400,000","303,300,000","131,100,000","197,100,000","156,000,000","200,500,000"
		NetIncomeFromContinuingOperations,"322,216,000","214,352,000","393,913,000","902,987,000","123,579,000","-218,750,000","-533,299,000","-995,606,000","312,908,000","369,416,000","498,874,000","903,944,000","776,464,000","768,508,000","684,863,000","528,704,000","379,636,000","599,993,000","592,927,000","417,019,000","572,723,000","537,632,000","230,101,000","298,919,000","-430,969,000","-82,373,000","206,053,000","-178,100,000","372,200,000","337,900,000","255,800,000","135,900,000","143,900,000","118,100,000","91,200,000","79,600,000"
		OperatingGainsLosses,"-21,041,000","-17,407,000","-6,968,000","66,030,000","-9,724,000","8,486,000","2,224,000",,,,,,,,,"1,491,000","6,831,000","2,790,000","-10,984,000","-32,938,000","-24,852,000","-13,507,000","254,599,000","22,127,000","647,272,000","237,134,000","122,200,000","37,100,000",,"-9,100,000","16,000,000","-41,100,000","11,800,000","6,500,000","5,000,000","10,900,000"
			GainLossOnSaleOfBusiness,,"0","45,366,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,"1,491,000","6,831,000",,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-22,057,000","-18,423,000","-25,429,000","-11,842,000","-10,752,000","771,000","2,224,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"174,624,000","177,344,000","182,179,000","184,313,000","193,451,000","244,518,000","271,932,000","274,767,000","262,340,000","265,427,000","248,701,000","196,393,000","174,282,000","161,298,000","165,808,000","169,830,000","172,095,000","172,080,000","172,264,000","174,991,000","182,478,000","183,819,000","191,928,000","262,508,000","256,389,000","246,010,000","214,355,000","654,000,000","181,300,000","170,000,000","124,300,000","92,000,000","63,600,000","57,700,000","50,300,000","42,700,000"
			DepreciationAndAmortization,"174,624,000","177,344,000","182,179,000","184,313,000","193,451,000","244,518,000","271,932,000","274,767,000","262,340,000","265,427,000","248,701,000","196,393,000","174,282,000","161,298,000","165,808,000","169,830,000","172,095,000","172,080,000","172,264,000","174,991,000","182,478,000","183,819,000","191,928,000","262,508,000","256,389,000","246,010,000","214,355,000","654,000,000","181,300,000","170,000,000","124,300,000","92,000,000","63,600,000","57,700,000","50,300,000","42,700,000"
				Depreciation,"140,077,000","139,451,000","144,577,000","146,274,000","154,526,000","204,406,000","232,837,000","240,818,000","235,797,000","233,025,000","207,701,000","179,333,000","157,536,000","147,458,000","149,977,000","152,065,000","160,048,000","160,790,000","166,328,000","170,772,000","176,729,000","178,256,000","180,346,000","201,012,000",,,,,,,,,,,,
				AmortizationCashFlow,"34,547,000","37,893,000","37,602,000","38,039,000","38,925,000","40,112,000","39,095,000","33,949,000","26,543,000","32,402,000","41,000,000","17,060,000","16,746,000","13,840,000","15,831,000","17,765,000","12,047,000","11,290,000","5,936,000","4,219,000","5,749,000","5,563,000","11,582,000","61,496,000",,,,,,,,,,,,
					AmortizationOfIntangibles,"34,547,000","37,893,000","37,602,000","38,039,000","38,925,000","40,112,000","39,095,000","33,949,000","26,543,000","32,402,000","41,000,000","17,060,000","16,746,000","13,840,000","15,831,000","17,765,000","12,047,000","11,290,000","5,936,000","4,219,000","5,749,000","5,563,000","11,582,000","61,496,000",,,,,,,,,,,,
		DeferredTax,"180,907,000","176,385,000","69,510,000","-484,145,000","-5,300,000","-19,525,000","31,624,000","441,287,000","-1,350,000","4,133,000","8,142,000","19,632,000","-71,981,000","25,169,000","-11,401,000","-21,971,000","-13,535,000","23,034,000","-10,129,000","106,350,000","-18,560,000","13,589,000","106,903,000","54,962,000","3,383,000","-7,151,000","-999,000","64,000,000","-2,100,000","-17,200,000",,,,,,
			DeferredIncomeTax,"180,907,000","176,385,000","69,510,000","-484,145,000","-5,300,000","-19,525,000","31,624,000","441,287,000","-1,350,000","4,133,000","8,142,000","19,632,000","-71,981,000","25,169,000","-11,401,000","-21,971,000","-13,535,000","23,034,000","-10,129,000","106,350,000","-18,560,000","13,589,000","106,903,000","54,962,000","3,383,000","-7,151,000","-999,000","64,000,000","-2,100,000","-17,200,000",,,,,,
		AssetImpairmentCharge,,"-1,502,000","18,279,000","1,202,000","9,149,000","42,181,000","59,097,000","73,892,000","9,165,000","0","0","14,000,000","0","0","15,444,000","11,146,000",,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"51,775,000","63,748,000","64,916,000","40,881,000","44,006,000","75,139,000","74,974,000","127,592,000","31,455,000","33,305,000",,,,,,,,,,,,,,,,,,,,,,,,,,
