name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"5,428,713,000","5,441,219,000","5,434,687,000","5,457,741,000","4,588,433,000","4,504,571,000","4,514,810,000","4,881,493,000","5,453,150,000","5,702,613,000","6,023,819,000","6,484,892,000","6,420,881,000","6,266,037,000","5,856,195,000","5,430,846,000","5,918,002,000","5,970,090,000","5,650,156,000","5,179,016,000","5,102,786,000","4,960,100,000","4,885,340,000","4,687,924,000","4,565,489,000","4,595,490,000","4,698,337,000","5,455,500,000","4,535,300,000","4,369,800,000","3,205,000,000","2,704,400,000","1,847,900,000","1,621,700,000","1,470,600,000","1,237,000,000","990,000,000","1,020,100,000","1,058,700,000","1,050,900,000"
	OperatingRevenue,"5,428,713,000","5,441,219,000","5,434,687,000","5,457,741,000","4,588,433,000","4,504,571,000","4,514,810,000","4,881,493,000","5,453,150,000","5,702,613,000","6,023,819,000","6,484,892,000","6,420,881,000","6,266,037,000","5,856,195,000","5,430,846,000","5,918,002,000","5,970,090,000","5,650,156,000","5,179,016,000","5,102,786,000","4,960,100,000","4,885,340,000","4,687,924,000","4,565,489,000","4,595,490,000","4,698,337,000","5,455,500,000","4,535,300,000","4,369,800,000","3,205,000,000","2,704,400,000","1,847,900,000","1,621,700,000","1,470,600,000","1,237,000,000","990,000,000","1,020,100,000","1,058,700,000","1,050,900,000"
CostOfRevenue,"2,740,984,000","2,857,503,000","2,953,335,000","2,831,079,000","2,345,330,000","2,527,230,000","2,716,127,000","3,056,922,000","2,906,459,000","2,896,255,000","3,022,797,000","3,006,009,000","3,011,684,000","3,120,211,000","2,901,222,000","2,716,149,000","3,233,596,000","3,192,790,000","3,038,363,000","2,806,148,000","2,692,061,000","2,530,617,000","2,524,353,000","2,538,990,000","2,572,247,000","2,167,459,000","2,174,187,000","2,469,100,000","2,134,300,000","2,132,100,000","1,479,200,000","1,251,500,000","858,800,000","767,000,000","719,100,000","579,800,000","475,500,000","544,100,000","533,600,000","512,200,000"
GrossProfit,"2,687,729,000","2,583,716,000","2,481,352,000","2,626,662,000","2,243,103,000","1,977,341,000","1,798,683,000","1,824,571,000","2,546,691,000","2,806,358,000","3,001,022,000","3,478,883,000","3,409,197,000","3,145,826,000","2,954,973,000","2,714,697,000","2,684,406,000","2,777,300,000","2,611,793,000","2,372,868,000","2,410,725,000","2,429,483,000","2,360,987,000","2,148,934,000","1,993,242,000","2,428,031,000","2,524,150,000","2,986,400,000","2,401,000,000","2,237,700,000","1,725,800,000","1,452,900,000","989,100,000","854,700,000","751,500,000","657,200,000","514,500,000","476,000,000","525,100,000","538,700,000"
OperatingExpense,"2,026,118,000","2,022,057,000","1,805,837,000","1,897,100,000","1,868,367,000","1,940,239,000","2,033,032,000","2,160,269,000","2,026,716,000","2,265,436,000","2,347,308,000","2,310,780,000","2,388,182,000","2,104,725,000","2,053,071,000","1,983,529,000","2,142,614,000","2,047,222,000","1,882,975,000","1,708,339,000","1,679,908,000","1,639,004,000","1,602,846,000","1,553,914,000","1,606,718,000","1,798,484,000","1,863,294,000","2,513,500,000","1,732,500,000","1,623,100,000","1,276,700,000","1,153,700,000","727,800,000","617,000,000","568,800,000","494,100,000","414,800,000","498,200,000","437,500,000","401,800,000"
	SellingGeneralAndAdministration,"2,026,118,000","2,022,057,000","1,805,837,000","1,897,100,000","1,868,367,000","1,940,239,000","2,033,032,000","2,160,269,000","2,026,716,000","2,265,436,000","2,347,308,000","2,310,780,000","2,388,182,000","2,104,725,000","2,053,071,000","1,983,529,000","2,142,614,000","2,047,222,000","1,882,975,000","1,708,339,000","1,679,908,000","1,639,004,000","1,602,845,000","1,507,793,000","1,560,157,000","1,552,474,000","1,648,939,000","1,859,500,000","1,551,200,000","1,453,100,000","1,152,400,000","1,061,700,000","664,200,000","559,300,000","518,500,000","451,400,000","379,600,000","482,300,000","427,100,000","393,000,000"
		GeneralAndAdministrativeExpense,"1,522,245,000","1,497,271,000","1,271,582,000","1,351,426,000","1,342,564,000","1,390,022,000","1,508,744,000","1,517,983,000","1,391,769,000","1,547,584,000","1,614,065,000","1,560,575,000","1,670,379,000","1,405,478,000","1,405,801,000","1,373,776,000","1,423,455,000","1,338,454,000","1,232,000,000","1,079,224,000","1,036,941,000","1,002,899,000","1,050,344,000","964,239,000","981,823,000",,,,,,,,,,,,,,,
			OtherGandA,"1,522,245,000","1,497,271,000","1,271,582,000","1,351,426,000","1,342,564,000","1,390,022,000","1,508,744,000","1,517,983,000","1,391,769,000","1,547,584,000","1,614,065,000","1,560,575,000","1,670,379,000","1,405,478,000","1,405,801,000","1,373,776,000","1,423,455,000","1,338,454,000","1,232,000,000","1,079,224,000","1,036,941,000","1,002,899,000","1,050,344,000","964,239,000","981,823,000",,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"503,873,000","524,786,000","534,255,000","545,674,000","525,803,000","550,217,000","524,288,000","642,286,000","634,947,000","717,852,000","733,243,000","750,205,000","717,803,000","699,247,000","647,270,000","609,753,000","719,159,000","708,768,000","650,975,000","629,115,000","642,967,000","636,105,000","552,501,000","543,554,000","578,334,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,"46,121,000","46,561,000","246,010,000","214,355,000","654,000,000","181,300,000","170,000,000","124,300,000","92,000,000","63,600,000","57,700,000","50,300,000","42,700,000","35,200,000","15,900,000","10,400,000","8,800,000"
