name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"9,596,900,000","9,611,900,000","7,386,700,000","9,141,500,000","6,265,200,000","8,122,100,000","6,966,700,000","5,551,200,000","6,059,600,000","6,539,100,000","6,730,300,000","7,120,700,000","6,966,100,000","7,150,100,000","6,341,600,000","5,751,000,000","5,917,200,000","4,876,300,000","4,341,500,000","4,336,800,000","3,903,600,000","3,268,800,000","2,890,100,000","2,688,300,000","2,751,500,000","3,008,900,000","2,766,300,000","2,442,300,000","2,461,000,000","2,296,200,000","1,926,200,000","1,679,800,000","1,425,900,000","1,423,200,000","1,301,000,000","1,246,000,000"
	CashFlowFromContinuingOperatingActivities,"9,596,900,000","9,611,900,000","7,386,700,000","9,141,500,000","6,265,200,000","8,122,100,000","6,966,700,000","5,551,200,000","6,059,600,000","6,539,100,000","6,730,300,000","7,120,700,000","6,966,100,000","7,150,100,000","6,341,600,000","5,751,000,000","5,917,200,000","4,876,300,000","4,994,500,000","4,336,800,000","3,903,600,000","3,268,800,000","2,890,100,000","2,688,300,000","2,751,500,000","3,008,900,000","2,766,300,000","2,442,300,000","2,461,000,000","2,296,200,000","1,926,200,000","1,679,800,000","1,425,900,000","1,423,200,000","1,301,000,000","1,246,000,000"
		NetIncomeFromContinuingOperations,"8,306,800,000","8,468,800,000","6,177,400,000","7,545,200,000","4,730,500,000","6,025,400,000","5,924,300,000","5,192,300,000","4,686,500,000","4,529,300,000","4,757,800,000","5,585,900,000","5,464,800,000","5,503,100,000","4,946,300,000","4,551,000,000","4,313,200,000","2,395,100,000","3,544,200,000","2,602,200,000","2,278,500,000","1,471,400,000","893,500,000","1,636,600,000","1,977,300,000","1,947,900,000","1,550,100,000","1,642,500,000","1,572,600,000","1,427,300,000","1,224,400,000","1,082,500,000","958,600,000","859,600,000","802,300,000","727,000,000"
		OperatingGainsLosses,,"-103,200,000","732,700,000","-97,800,000","-28,200,000","-128,200,000","-308,800,000","-1,155,800,000","-310,700,000","-163,900,000",,,,,,"-94,900,000","-160,100,000","-68,600,000","73,500,000","159,600,000",,"36,800,000","98,600,000",,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,,"-103,200,000","732,700,000","-97,800,000","-28,200,000","-128,200,000","-308,800,000","-1,155,800,000","-310,700,000","-163,900,000",,,,,,"0","0","-68,600,000",,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,,,,,,"-94,900,000",,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"2,007,200,000","1,978,200,000","1,870,600,000","1,868,100,000","1,751,400,000","1,617,900,000","1,482,000,000","1,363,400,000","1,516,500,000","1,555,700,000","1,644,500,000","1,585,100,000","1,488,500,000","1,415,000,000","1,276,200,000","1,216,200,000","1,207,800,000","1,214,100,000","1,249,900,000","1,249,500,000","1,201,000,000","1,148,200,000","1,050,800,000","1,086,300,000","1,010,700,000","956,300,000","881,100,000","793,800,000","742,900,000","709,000,000","628,600,000","568,400,000","554,900,000","514,200,000","493,300,000","438,000,000"
			DepreciationAndAmortization,"2,007,200,000","1,978,200,000","1,870,600,000","1,868,100,000","1,751,400,000","1,617,900,000","1,482,000,000","1,363,400,000","1,516,500,000","1,555,700,000","1,644,500,000","1,585,100,000","1,488,500,000","1,415,000,000","1,276,200,000","1,216,200,000","1,207,800,000","1,214,100,000","1,249,900,000","1,249,500,000","1,201,000,000","1,148,200,000","1,050,800,000","1,086,300,000","1,010,700,000","956,300,000","881,100,000","793,800,000","742,900,000","709,000,000","628,600,000","568,400,000","554,900,000","514,200,000","493,300,000","438,000,000"
		DeferredTax,"-811,400,000","-686,400,000","-345,700,000","-428,300,000","6,400,000","149,700,000","102,600,000","-36,400,000","-538,600,000","-1,400,000","-90,700,000","25,200,000","134,500,000","188,400,000","-75,700,000","203,000,000","101,500,000","-39,100,000","33,400,000","-31,600,000","-171,900,000","181,400,000","-44,600,000","-87,600,000","60,500,000","52,900,000","35,400,000","-1,100,000","32,900,000","-4,200,000","-5,600,000","52,400,000","22,400,000","64,700,000","70,800,000","68,000,000"
			DeferredIncomeTax,"-811,400,000","-686,400,000","-345,700,000","-428,300,000","6,400,000","149,700,000","102,600,000","-36,400,000","-538,600,000","-1,400,000","-90,700,000","25,200,000","134,500,000","188,400,000","-75,700,000","203,000,000","101,500,000","-39,100,000","33,400,000","-31,600,000","-171,900,000","181,400,000","-44,600,000","-87,600,000","60,500,000","52,900,000","35,400,000","-1,100,000","32,900,000","-4,200,000","-5,600,000","52,400,000","22,400,000","64,700,000","70,800,000","68,000,000"
