name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"25,757,700,000","25,493,700,000","23,182,600,000","23,222,900,000","19,207,800,000","21,364,400,000","21,257,900,000","22,820,400,000","24,621,900,000","25,413,000,000","27,441,300,000","28,105,700,000","27,567,000,000","27,006,000,000","24,074,600,000","22,744,700,000","23,522,400,000","22,786,600,000","20,895,200,000","19,117,300,000","18,594,000,000","17,140,500,000","15,405,700,000","14,870,000,000","14,243,000,000","13,259,300,000","12,421,400,000","11,408,800,000","10,686,500,000","9,794,500,000","8,320,800,000","7,408,100,000","7,133,300,000","6,695,000,000","6,639,600,000","6,142,000,000","5,566,300,000","4,893,500,000","4,143,500,000","3,694,700,000"
	OperatingRevenue,"25,425,100,000","25,178,100,000","22,854,200,000","22,872,800,000","18,865,300,000","21,076,500,000","21,025,200,000","22,820,400,000","24,621,900,000","25,413,000,000","27,441,300,000","28,105,700,000","27,567,000,000","27,006,000,000","24,074,600,000","22,744,700,000","23,522,400,000","22,786,600,000","20,895,200,000","19,117,300,000","18,594,000,000","17,140,500,000","15,405,700,000","14,870,000,000","14,243,000,000","13,259,300,000","12,421,400,000","11,408,800,000","10,686,500,000","9,794,500,000","8,320,800,000","7,408,100,000","7,133,300,000","6,695,000,000","6,639,600,000","6,142,000,000","5,566,300,000","4,893,500,000","4,143,500,000","3,694,700,000"
CostOfRevenue,"11,083,200,000","10,931,200,000","9,975,400,000","10,642,700,000","9,455,700,000","10,185,000,000","10,425,300,000","12,199,600,000","14,417,200,000","15,623,800,000","16,985,600,000","17,203,000,000","16,750,700,000","16,319,400,000","14,437,300,000","13,952,900,000","14,883,200,000","14,881,400,000","13,963,200,000","12,940,000,000","12,690,600,000","8,532,300,000","7,668,500,000","7,352,700,000","6,832,200,000","5,192,700,000","4,838,200,000","1,978,800,000","1,803,700,000","3,622,700,000","2,992,800,000","2,685,400,000","1,133,900,000","1,113,300,000","1,190,100,000","3,582,000,000","3,287,900,000","2,868,200,000","1,807,900,000","1,484,100,000"
GrossProfit,"14,674,500,000","14,562,500,000","13,207,200,000","12,580,200,000","9,752,100,000","11,179,400,000","10,832,600,000","10,620,800,000","10,204,700,000","9,789,200,000","10,455,700,000","10,902,700,000","10,816,300,000","10,686,600,000","9,637,300,000","8,791,800,000","8,639,200,000","7,905,200,000","6,932,000,000","6,177,300,000","5,903,400,000","8,608,200,000","7,737,200,000","7,517,300,000","7,410,800,000","8,066,600,000","7,583,200,000","9,430,000,000","8,882,800,000","6,171,800,000","5,328,000,000","4,722,700,000","5,999,400,000","5,581,700,000","5,449,500,000","2,560,000,000","2,278,400,000","2,025,300,000","2,335,600,000","2,210,600,000"
OperatingExpense,"2,912,900,000","2,816,900,000","2,862,600,000","2,707,500,000","2,545,600,000","2,229,400,000","2,200,200,000","2,231,300,000","2,384,500,000","2,434,300,000","2,487,900,000","2,385,600,000","2,455,200,000","2,393,700,000","2,333,300,000","2,011,900,000","2,190,300,000","2,355,900,000","2,537,300,000","2,238,000,000","2,365,500,000","5,776,000,000","5,624,300,000","4,820,300,000","4,277,500,000","4,852,200,000","4,559,900,000","6,735,200,000","6,296,000,000","3,676,200,000","3,170,700,000","2,800,700,000","4,201,800,000","4,017,000,000","3,948,900,000","1,101,000,000","994,700,000","863,500,000","1,411,300,000","1,353,700,000"
	SellingGeneralAndAdministration,"2,526,200,000","2,435,200,000","2,492,200,000","2,377,800,000","2,245,000,000","1,966,900,000","1,985,400,000","2,231,300,000","2,384,500,000","2,434,300,000","2,487,900,000","2,385,600,000","2,455,200,000","2,393,700,000","2,333,300,000","2,234,200,000","2,355,500,000","2,367,000,000","2,295,700,000","2,118,400,000","1,939,100,000","5,244,400,000","4,791,000,000","4,562,900,000","4,277,500,000","3,895,900,000","3,678,800,000","5,941,400,000","5,553,100,000","2,967,200,000","2,542,100,000","2,232,300,000","3,646,900,000","3,502,800,000","3,455,600,000","663,000,000","611,300,000","525,100,000","1,175,000,000","1,119,400,000"
	DepreciationAmortizationDepletionIncomeStatement,"386,700,000","381,700,000","370,400,000","329,700,000","300,600,000","262,500,000","214,800,000",,,,,,,,,,,,,,,,,,,"956,300,000","881,100,000","793,800,000","742,900,000","709,000,000","628,600,000","568,400,000","554,900,000","514,200,000","493,300,000","438,000,000","383,400,000","338,400,000","236,300,000","234,300,000"
		DepreciationAndAmortizationInIncomeStatement,"386,700,000","381,700,000","370,400,000","329,700,000","300,600,000","262,500,000","214,800,000",,,,,,,,,,,,,,,,,,,"956,300,000","881,100,000","793,800,000","742,900,000","709,000,000","628,600,000","568,400,000","554,900,000","514,200,000","493,300,000","438,000,000","383,400,000","338,400,000","236,300,000","234,300,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,"-232,900,000","-198,200,000","-222,300,000","-165,200,000","-11,100,000","241,600,000","119,600,000","426,400,000","531,600,000","833,300,000","257,400,000",,,,,,,,,,,,,,,,
OperatingIncome,"11,761,600,000","11,745,600,000","10,344,600,000","9,872,700,000","7,206,500,000","8,950,000,000","8,632,400,000","8,389,500,000","7,820,200,000","7,354,900,000","7,967,800,000","8,517,100,000","8,361,100,000","8,292,900,000","7,304,000,000","6,779,900,000","6,448,900,000","5,549,300,000","4,394,700,000","3,939,300,000","3,537,900,000","2,832,200,000","2,112,900,000","2,697,000,000","3,133,300,000","3,214,400,000","3,023,300,000","2,694,800,000","2,586,800,000","2,495,600,000","2,157,300,000","1,922,000,000","1,797,600,000","1,564,700,000","1,500,600,000","1,459,000,000","1,283,700,000","1,161,800,000","924,300,000","856,900,000"
