name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993
TotalRevenue,"663,288,000","672,601,000","751,898,000","732,393,000","506,397,000","700,966,000","679,567,000","567,953,000","552,752,000","594,923,000","586,980,000","570,255,000","505,478,000","468,117,000","382,190,000","349,705,000","460,857,000","559,550,000","532,865,000","470,941,000","418,966,000","330,214,000","300,077,000","299,725,000","320,841,000","295,067,000","277,800,000","237,005,000","215,100,000","185,900,000","160,900,000","142,200,000","134,200,000"
	OperatingRevenue,"663,288,000","672,601,000","751,898,000","732,393,000","506,397,000","700,966,000","679,567,000","567,953,000","552,752,000","594,923,000","586,980,000","570,255,000","505,478,000","468,117,000","382,190,000","349,705,000","460,857,000","559,550,000","532,865,000","470,941,000","418,966,000","330,214,000","300,077,000","299,725,000","320,841,000","295,067,000","277,800,000","237,005,000","215,100,000","185,900,000","160,900,000","142,200,000","134,200,000"
CostOfRevenue,"302,305,000","302,207,000","318,003,000","313,328,000","235,898,000","326,077,000","310,209,000","269,875,000","257,935,000","277,993,000","276,998,000","264,994,000","227,596,000","211,772,000","199,188,000","184,043,000","175,913,000","222,868,000","209,922,000","184,621,000","168,818,000","129,908,000","115,907,000","115,653,000","117,051,000","121,478,000","106,400,000","93,400,000","91,100,000","80,600,000","72,800,000","68,600,000","66,100,000"
GrossProfit,"360,983,000","370,394,000","433,895,000","419,065,000","270,499,000","374,889,000","369,358,000","298,078,000","294,817,000","316,930,000","309,982,000","305,261,000","277,882,000","256,345,000","183,002,000","165,662,000","284,944,000","336,682,000","322,943,000","286,320,000","250,148,000","200,306,000","184,170,000","184,072,000","203,790,000","173,589,000","171,400,000","143,605,000","124,000,000","105,300,000","88,100,000","73,600,000","68,100,000"
OperatingExpense,"320,484,000","315,689,000","313,541,000","301,574,000","256,707,000","331,898,000","307,161,000","254,878,000","240,836,000","246,823,000","238,495,000","237,519,000","228,536,000","222,782,000","195,099,000","187,177,000","281,554,000","285,905,000","270,624,000","238,283,000","215,072,000","165,525,000","-133,590,000","157,799,000","169,658,000","157,820,000","138,800,000","117,700,000","103,600,000","87,200,000","72,300,000","59,400,000","55,500,000"
	SellingGeneralAndAdministration,"320,484,000","315,689,000","313,541,000","301,574,000","256,707,000","331,898,000","307,161,000","254,878,000","240,836,000","246,823,000","238,495,000","237,519,000","228,536,000","222,782,000","195,099,000","187,177,000","281,554,000","285,905,000","270,624,000","238,283,000","215,072,000","165,525,000","152,394,000","157,799,000","163,317,000","152,631,000","133,400,000","113,600,000","99,700,000","84,300,000","69,200,000","57,000,000","53,300,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"6,341,000","5,189,000","5,400,000","4,100,000","3,900,000","2,900,000","3,100,000","2,400,000","2,200,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"6,341,000","5,189,000","5,400,000","4,100,000","3,900,000","2,900,000","3,100,000","2,400,000","2,200,000"
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,"-285,984,000",,,,,,,,,,
OperatingIncome,"40,499,000","54,705,000","120,354,000","117,491,000","13,792,000","42,991,000","62,197,000","43,200,000","53,981,000","70,107,000","71,487,000","67,742,000","49,346,000","33,563,000","-12,097,000","-21,515,000","3,390,000","50,777,000","52,319,000","48,037,000","35,076,000","34,781,000","317,760,000","26,273,000","34,132,000","15,769,000","32,600,000","25,905,000","20,400,000","18,100,000","15,800,000","14,200,000","12,600,000"
