name,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993
TotalAssets,"16,246,000,000","16,866,000,000","17,590,000,000","17,706,000,000","21,172,000,000","19,194,000,000","19,583,000,000","19,851,000,000","20,576,000,000","21,330,000,000","21,620,000,000","20,991,000,000","22,095,000,000","20,631,000,000","21,300,000,000","22,145,000,000","27,789,000,000","29,550,000,000","33,168,000,000","14,885,000,000","14,550,000,000","14,441,000,000","16,112,000,000","15,574,000,000","17,692,000,000","13,464,000,000","13,738,000,000","14,264,100,000","14,295,100,000","12,379,700,000","7,419,400,000","7,019,800,000"
	CurrentAssets,"6,089,000,000","5,853,000,000","6,758,000,000","6,184,000,000","6,810,000,000","7,445,000,000","7,646,000,000","7,626,000,000","7,652,000,000","8,580,000,000","8,688,000,000","7,876,000,000","8,777,000,000","6,899,000,000","6,882,000,000","6,740,000,000","6,324,000,000","7,422,000,000","10,145,000,000","7,510,000,000","7,452,000,000","7,154,000,000","8,348,000,000","7,844,000,000","8,522,000,000","5,972,000,000","6,194,000,000","6,427,300,000","6,360,400,000","5,190,400,000","3,297,600,000","3,390,100,000"
		CashCashEquivalentsAndShortTermInvestments,"1,034,000,000","862,000,000","1,712,000,000","1,679,000,000","685,000,000","1,162,000,000","1,455,000,000","1,297,000,000","1,109,000,000","2,246,000,000","2,273,000,000","1,836,000,000","2,827,000,000","1,464,000,000","1,686,000,000","1,385,000,000","583,000,000","1,211,000,000","248,000,000","868,000,000","925,000,000","716,000,000","636,000,000","222,000,000","218,000,000","307,000,000","142,000,000","148,800,000","172,500,000","206,500,000","222,400,000","567,000,000"
			CashAndCashEquivalents,"1,034,000,000","862,000,000","1,712,000,000","1,679,000,000","685,000,000","1,162,000,000","1,455,000,000","1,297,000,000","1,109,000,000","2,246,000,000","2,273,000,000","1,836,000,000","2,827,000,000","1,464,000,000","1,686,000,000","1,385,000,000","583,000,000","1,211,000,000","248,000,000","868,000,000","925,000,000","716,000,000","636,000,000","222,000,000","218,000,000","307,000,000","142,000,000","148,800,000","172,500,000","206,500,000","222,400,000","567,000,000"
		Receivables,"293,000,000","300,000,000","297,000,000","276,000,000","409,000,000","400,000,000","363,000,000","522,000,000","558,000,000","424,000,000","438,000,000","371,000,000","368,000,000","338,000,000","358,000,000","360,000,000","463,000,000","517,000,000","2,522,000,000","3,418,000,000","3,213,000,000","2,945,000,000","2,379,000,000","2,435,000,000","4,313,000,000","2,209,000,000","2,640,000,000","2,834,300,000","2,842,100,000","2,265,700,000","1,758,900,000","1,543,800,000"
			AccountsReceivable,"293,000,000","300,000,000","297,000,000","276,000,000","409,000,000","400,000,000","363,000,000","522,000,000","558,000,000","424,000,000","438,000,000","371,000,000","368,000,000","338,000,000",,"439,000,000","463,000,000","517,000,000","2,522,000,000","3,418,000,000","3,213,000,000","2,945,000,000","2,379,000,000","2,435,000,000","4,313,000,000",,,,,,,
		Inventory,"4,361,000,000","4,267,000,000","4,383,000,000","3,774,000,000","5,188,000,000","5,263,000,000","5,178,000,000","5,399,000,000","5,506,000,000","5,417,000,000","5,557,000,000","5,308,000,000","5,117,000,000","4,758,000,000","4,615,000,000","4,769,000,000","5,060,000,000","5,317,000,000","5,662,000,000","3,120,000,000","3,215,000,000","3,359,000,000","3,376,000,000","3,747,000,000","3,819,000,000","3,376,000,000","3,354,000,000","3,246,000,000","3,271,300,000","2,380,400,000","1,180,800,000","1,148,900,000"
			FinishedGoods,"4,361,000,000","4,267,000,000","4,383,000,000","3,774,000,000","5,188,000,000","5,263,000,000","5,178,000,000","5,399,000,000","5,506,000,000","5,417,000,000","5,557,000,000","5,308,000,000","5,117,000,000","4,758,000,000",,,,,,,,,,,,,,,,,,
		PrepaidAssets,,"424,000,000","366,000,000","455,000,000","528,000,000","620,000,000","650,000,000","408,000,000","479,000,000","493,000,000","420,000,000","361,000,000","465,000,000","339,000,000","223,000,000","226,000,000",,,"203,000,000","104,000,000",,,,"200,000,000",,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,"10,000,000","21,000,000","4,000,000",,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,"10,000,000","21,000,000","4,000,000",,,,,,,,
		OtherCurrentAssets,"401,000,000","424,000,000","366,000,000","455,000,000","528,000,000","620,000,000","650,000,000","408,000,000","479,000,000","493,000,000","420,000,000","361,000,000","465,000,000","339,000,000",,"226,000,000","218,000,000","377,000,000","1,713,000,000",,"99,000,000","124,000,000","1,936,000,000","1,436,000,000","172,000,000","80,000,000","58,000,000","198,200,000","74,500,000","337,800,000","135,500,000","130,400,000"
	TotalNonCurrentAssets,"10,157,000,000","11,013,000,000","10,832,000,000","11,522,000,000","14,362,000,000","11,749,000,000","11,937,000,000","12,225,000,000","12,924,000,000","12,750,000,000","12,932,000,000","13,115,000,000","13,318,000,000","13,732,000,000","14,418,000,000","15,405,000,000","21,465,000,000","22,128,000,000","23,023,000,000","7,375,000,000","7,098,000,000","7,287,000,000","7,764,000,000","7,730,000,000","9,170,000,000","7,492,000,000","7,544,000,000","7,836,800,000","7,934,700,000","7,189,300,000","4,121,800,000","3,629,700,000"
		NetPPE,"7,613,000,000","8,596,000,000","8,473,000,000","8,818,000,000","9,301,000,000","6,637,000,000","6,672,000,000","7,017,000,000","7,616,000,000","7,800,000,000","7,930,000,000","8,196,000,000","8,420,000,000","8,813,000,000","9,507,000,000","10,442,000,000","10,991,000,000","11,473,000,000","12,034,000,000","6,018,000,000","6,174,000,000","6,379,000,000","6,506,000,000","6,621,000,000","6,828,000,000","6,572,000,000","6,520,000,000","6,524,800,000","6,305,200,000","5,349,900,000","2,576,900,000","2,478,300,000"
			GrossPPE,"11,889,000,000","13,229,000,000","13,021,000,000","13,218,000,000","13,693,000,000","11,132,000,000","11,282,000,000","11,873,000,000","12,935,000,000","13,394,000,000","13,996,000,000","14,143,000,000","14,406,000,000","14,862,000,000","15,289,000,000","15,900,000,000","16,130,000,000","16,044,000,000","16,250,000,000","9,798,000,000","9,642,000,000","9,519,000,000","9,371,000,000","9,205,000,000","9,052,000,000","8,755,000,000","8,266,000,000","7,897,100,000","7,272,700,000","5,941,500,000","2,947,200,000","2,667,800,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,
				LandAndImprovements,"1,262,000,000","1,334,000,000","1,353,000,000","1,390,000,000","1,436,000,000","1,454,000,000","1,494,000,000","1,541,000,000","1,629,000,000","1,664,000,000","1,696,000,000","1,736,000,000","1,689,000,000","1,702,000,000","1,719,000,000","1,764,000,000","1,783,000,000","1,804,000,000","1,893,000,000","966,000,000","966,000,000","956,000,000","972,000,000","992,000,000",,,,,,,,
				BuildingsAndImprovements,"4,537,000,000","5,059,000,000","4,938,000,000","4,918,000,000","5,187,000,000","5,423,000,000","5,550,000,000","5,757,000,000","6,362,000,000","6,868,000,000","7,446,000,000","7,455,000,000","7,399,000,000","7,375,000,000","5,160,000,000","5,258,000,000","7,509,000,000","7,528,000,000","7,969,000,000","4,177,000,000","4,193,000,000","4,144,000,000","4,061,000,000","4,045,000,000",,,,,,,,
				MachineryFurnitureEquipment,"3,785,000,000","4,153,000,000","3,922,000,000","4,032,000,000","4,402,000,000","4,230,000,000","4,204,000,000","4,541,000,000","4,910,000,000","4,828,000,000","4,811,000,000","4,909,000,000","5,275,000,000","5,752,000,000","6,129,000,000","6,608,000,000","6,777,000,000","6,642,000,000","6,261,000,000","4,581,000,000","4,483,000,000","4,419,000,000","4,257,000,000","4,095,000,000",,,,,,,,
				OtherProperties,"2,305,000,000","2,683,000,000","2,808,000,000","2,878,000,000","2,668,000,000",,,,,,,,,,,"53,000,000","61,000,000","70,000,000","127,000,000","74,000,000",,,"81,000,000","73,000,000",,,,,,,,
				Leases,,,,,"0","25,000,000","34,000,000","34,000,000","34,000,000","34,000,000","43,000,000","43,000,000","43,000,000","33,000,000","2,281,000,000","2,270,000,000",,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-4,276,000,000","-4,633,000,000","-4,548,000,000","-4,400,000,000","-4,392,000,000","-4,495,000,000","-4,610,000,000","-4,856,000,000","-5,319,000,000","-5,594,000,000","-6,066,000,000","-5,947,000,000","-5,986,000,000","-6,049,000,000","-5,782,000,000","-5,458,000,000","-5,139,000,000","-4,571,000,000","-4,216,000,000","-3,780,000,000","-3,468,000,000","-3,140,000,000","-2,865,000,000","-2,584,000,000","-2,224,000,000","-2,183,000,000","-1,746,000,000","-1,372,300,000","-967,500,000","-591,600,000","-370,300,000","-189,500,000"
		GoodwillAndOtherIntangibleAssets,"1,258,000,000","1,260,000,000","1,263,000,000","1,265,000,000","4,347,000,000","5,056,000,000","4,385,000,000","4,395,000,000","4,411,000,000","4,239,000,000","4,270,000,000","4,304,000,000","4,341,000,000","4,380,000,000","4,421,000,000","4,462,000,000","9,964,000,000","10,087,000,000","10,600,000,000","638,000,000","640,000,000","640,000,000","683,000,000","617,000,000","1,735,000,000","631,000,000","690,000,000","717,400,000","744,700,000","1,006,500,000",,
			Goodwill,"828,000,000","828,000,000","828,000,000","828,000,000","3,908,000,000","3,908,000,000","3,897,000,000","3,897,000,000","3,897,000,000","3,743,000,000","3,743,000,000","3,743,000,000","3,743,000,000","3,743,000,000","3,743,000,000","3,743,000,000","9,133,000,000","9,204,000,000","9,520,000,000",,,,"305,000,000",,,,,,,,,
			OtherIntangibleAssets,"430,000,000","432,000,000","435,000,000","437,000,000","439,000,000","1,148,000,000","488,000,000","498,000,000","514,000,000","496,000,000","527,000,000","561,000,000","598,000,000","637,000,000","678,000,000","719,000,000","831,000,000","883,000,000","1,080,000,000","638,000,000","640,000,000","640,000,000","378,000,000","617,000,000","1,735,000,000","631,000,000","690,000,000","717,400,000","744,700,000","1,006,500,000",,
