name,ttm,01/31/2024,01/31/2023,01/31/2022,01/31/2021,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013,01/31/2012,01/31/2011,01/31/2010,01/31/2009,01/31/2008,01/31/2007,01/31/2006,01/31/2005,01/31/2004,01/31/2003,01/31/2002,01/31/2001,01/31/2000,01/31/1999,01/31/1998,01/31/1997,01/31/1996,01/31/1995,01/31/1994,01/31/1993
TotalRevenue,"23,509,000,000","23,866,000,000","25,449,000,000","25,399,000,000","18,097,000,000","25,331,000,000","25,739,000,000","25,641,000,000","26,564,000,000","27,079,000,000","28,105,000,000","27,931,000,000","27,686,000,000","26,405,000,000","25,003,000,000","23,489,000,000","24,892,000,000","26,313,000,000","26,970,000,000","22,390,000,000","15,776,000,000","15,264,000,000","15,435,000,000","15,651,000,000","16,638,000,000","16,029,000,000","15,365,000,000","15,220,000,000","15,229,000,000","15,048,500,000","8,315,900,000","7,229,400,000","7,079,900,000"
	OperatingRevenue,"22,763,000,000","23,092,000,000","24,442,000,000","24,460,000,000","18,097,000,000","25,331,000,000","25,739,000,000","25,641,000,000","26,564,000,000","27,079,000,000","28,105,000,000","27,931,000,000","27,686,000,000","26,405,000,000","25,003,000,000","23,489,000,000","24,892,000,000","26,313,000,000","26,970,000,000","22,390,000,000","15,776,000,000","15,264,000,000","15,435,000,000","15,651,000,000","16,638,000,000","16,029,000,000","15,365,000,000","15,220,000,000","15,229,000,000","15,048,500,000","8,315,900,000","7,229,400,000","7,079,900,000"
CostOfRevenue,"13,863,000,000","14,143,000,000","15,306,000,000","14,956,000,000","12,286,000,000","15,171,000,000","15,215,000,000","15,181,000,000","15,666,000,000","16,496,000,000","16,863,000,000","16,725,000,000","16,538,000,000","15,738,000,000","14,824,000,000","13,973,000,000","15,009,000,000","15,677,000,000","16,197,000,000","13,297,000,000","9,382,000,000","9,099,000,000","9,255,000,000","9,531,000,000","9,955,000,000","9,576,000,000","8,587,000,000","8,590,000,000","8,794,000,000","8,798,000,000","4,804,600,000","4,117,100,000","3,962,700,000"
GrossProfit,"9,646,000,000","9,723,000,000","10,143,000,000","10,443,000,000","5,811,000,000","10,160,000,000","10,524,000,000","10,460,000,000","10,898,000,000","10,583,000,000","11,242,000,000","11,206,000,000","11,148,000,000","10,667,000,000","10,179,000,000","9,516,000,000","9,883,000,000","10,636,000,000","10,773,000,000","9,093,000,000","6,394,000,000","6,165,000,000","6,180,000,000","6,120,000,000","6,683,000,000","6,453,000,000","6,778,000,000","6,630,000,000","6,435,000,000","6,250,500,000","3,511,300,000","3,112,300,000","3,117,200,000"
OperatingExpense,"8,341,000,000","8,509,000,000","8,500,000,000","8,250,000,000","6,851,000,000","9,056,000,000","9,127,000,000","9,059,000,000","9,355,000,000","8,468,000,000","8,355,000,000","8,440,000,000","8,482,000,000","8,281,000,000","8,260,000,000","8,062,000,000","8,481,000,000","8,554,000,000","8,487,000,000","6,500,000,000","4,994,000,000","4,824,000,000","4,837,000,000","4,854,000,000","4,912,000,000","4,760,000,000","5,323,000,000","5,289,000,000","5,542,000,000","5,268,100,000","2,875,900,000","2,580,300,000","2,687,400,000"
	SellingGeneralAndAdministration,"8,341,000,000","8,509,000,000","8,500,000,000","8,250,000,000","6,851,000,000","9,056,000,000","9,127,000,000","9,059,000,000","9,355,000,000","8,468,000,000","8,355,000,000","8,440,000,000","8,482,000,000","8,281,000,000","8,260,000,000","8,062,000,000","8,481,000,000","8,554,000,000","8,678,000,000","6,980,000,000","4,994,000,000","4,824,000,000","4,837,000,000","4,801,000,000","4,912,000,000","4,760,000,000","4,692,000,000","4,679,000,000","4,982,000,000","4,748,300,000","2,549,100,000","2,323,500,000","2,420,700,000"
		GeneralAndAdministrativeExpense,"8,341,000,000","8,509,000,000","8,500,000,000","8,250,000,000","6,851,000,000","9,056,000,000","9,127,000,000","9,059,000,000","9,355,000,000","8,468,000,000","8,355,000,000","8,440,000,000","8,482,000,000","8,281,000,000","8,260,000,000","8,062,000,000",,,,,,,,,,,,,,,,,
			SalariesAndWages,"12,000,000","134,000,000","39,000,000","96,000,000","84,000,000","58,000,000","88,000,000","105,000,000","98,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"8,329,000,000","8,375,000,000","8,461,000,000","8,154,000,000","6,767,000,000","8,998,000,000","9,039,000,000","8,954,000,000","9,257,000,000","8,468,000,000","8,355,000,000","8,440,000,000","8,482,000,000","8,281,000,000","8,260,000,000","8,062,000,000",,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"653,000,000","745,000,000","631,000,000","610,000,000","560,000,000","519,800,000","326,800,000","256,800,000","266,700,000"
