name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
TotalAssets,"19,492,990,000","18,557,694,000","18,729,837,000","18,399,317,000","16,684,599,000","15,205,970,000","14,094,869,000","12,973,911,000","12,264,757,000","11,468,996,000","6,650,978,000","5,938,427,000","5,562,411,000","5,572,371,000","4,811,348,000","5,047,141,000","5,033,698,000","4,629,624,000","3,984,227,000","3,484,986,000"
	CurrentAssets,"1,313,148,000","1,872,869,000","3,301,568,000","3,557,544,000","730,145,000","550,313,000","518,337,000","411,093,000","340,411,000","283,735,000","182,924,000","164,929,000","152,143,000","138,241,000","151,562,000","249,722,000","119,424,000","137,636,000","189,129,000","276,611,000"
		CashCashEquivalentsAndShortTermInvestments,"402,415,000","946,987,000","1,746,647,000","3,300,482,000","252,876,000","163,851,000","176,190,000","128,347,000","115,937,000","84,824,000","56,467,000","45,500,000","58,926,000","55,047,000","50,152,000","185,717,000","40,291,000","63,530,000","60,416,000","172,424,000"
			CashAndCashEquivalents,"402,415,000","946,987,000","1,506,647,000","3,300,482,000","252,876,000","163,851,000","176,190,000","128,347,000","115,937,000","84,824,000","56,467,000","45,500,000","58,926,000","55,047,000","50,152,000","185,717,000","40,291,000","63,530,000","60,416,000","172,424,000"
			OtherShortTermInvestments,,"0","240,000,000","0",,,,,,,,,,,,,,,,
		Receivables,"280,271,000","326,272,000","1,167,473,000","20,578,000","75,109,000","55,249,000","43,961,000","63,215,000","44,996,000","32,432,000","18,260,000","15,062,000","8,159,000","7,879,000","7,868,000","6,047,000","8,408,000","15,277,000","11,691,000","10,806,000"
			AccountsReceivable,"280,271,000","326,272,000","1,167,473,000","20,578,000","75,109,000","55,249,000","43,961,000","63,215,000","44,996,000","32,432,000","18,260,000","15,062,000","8,159,000","7,879,000","7,868,000","6,047,000","8,173,000","10,244,000","11,691,000","10,806,000"
				GrossAccountsReceivable,"293,471,000","340,272,000","1,196,173,000","55,978,000",,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-13,200,000","-14,000,000","-28,700,000","-35,400,000",,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,"235,000","5,033,000",,
		Inventory,"157,646,000","148,717,000","118,205,000","82,381,000","95,427,000","90,202,000","82,121,000","66,255,000","58,173,000","56,555,000","43,715,000","39,681,000","36,234,000","32,763,000","28,865,000","29,494,000","41,997,000","33,392,000","29,133,000","18,356,000"
		PrepaidAssets,,,"269,243,000","154,103,000","306,733,000","241,011,000","216,065,000","153,276,000","121,305,000","109,924,000","64,482,000","64,686,000","48,824,000","42,552,000","61,580,000","24,460,000","27,353,000","24,211,000","27,203,000","20,683,000"
		RestrictedCash,,,,,,,,,,,,,,,"3,097,000","4,004,000","1,375,000","1,226,000","48,034,000","28,520,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,"14,591,000","13,497,000"
		OtherCurrentAssets,"472,816,000","450,893,000","269,243,000","154,103,000","306,733,000","241,011,000","216,065,000","153,276,000","121,305,000","109,924,000","64,482,000","64,686,000","48,824,000","42,552,000",,,,"38,425,000","41,785,000","12,325,000"
	TotalNonCurrentAssets,"18,179,842,000","16,684,825,000","15,428,269,000","14,841,773,000","15,954,454,000","14,655,657,000","13,576,532,000","12,562,818,000","11,924,346,000","11,185,261,000","6,468,054,000","5,773,498,000","5,410,268,000","5,434,130,000","4,659,786,000","4,797,419,000","4,914,274,000","4,491,988,000","3,795,098,000","3,208,375,000"
		NetPPE,"16,433,292,000","14,516,366,000","13,528,806,000","13,411,226,000","13,371,941,000","12,119,253,000","11,040,488,000","10,117,689,000","9,458,805,000","8,623,773,000","5,647,670,000","4,960,142,000","4,640,093,000","4,639,281,000","3,836,127,000","4,119,222,000","4,243,872,000","3,816,292,000","3,113,229,000","2,515,104,000"
			GrossPPE,"22,967,387,000","20,280,917,000","18,593,611,000","17,837,319,000","17,355,553,000","15,525,164,000","13,921,511,000","12,560,587,000","11,501,990,000","10,348,860,000","7,113,783,000","6,211,626,000","5,703,086,000","5,533,908,000","4,557,963,000","4,814,188,000","4,783,989,000","4,216,615,000","3,395,283,000","2,677,789,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,"84,182,000","64,079,000"
				LandAndImprovements,"58,370,000","58,370,000","58,370,000","58,370,000","38,375,000","34,936,000","37,535,000","37,535,000","19,138,000","1,009,000","1,009,000","1,009,000","1,009,000","1,009,000",,,,,,
				MachineryFurnitureEquipment,"21,361,364,000","18,470,678,000","16,933,449,000","16,637,148,000","16,019,850,000","14,440,544,000","12,874,458,000","11,588,936,000","10,773,754,000","9,706,093,000","6,542,073,000","5,601,375,000","5,314,651,000","5,269,084,000","4,557,963,000","4,814,188,000","136,024,000","115,813,000","84,182,000",
				OtherProperties,"999,471,000","880,056,000","767,819,000","765,739,000","909,579,000","558,052,000","487,921,000","483,744,000","408,523,000","351,377,000","273,077,000","233,235,000","202,928,000","186,770,000",,,"4,647,965,000","4,100,802,000","3,311,101,000","2,613,710,000"
				ConstructionInProgress,"548,182,000","871,813,000","833,973,000","376,062,000","387,749,000","491,632,000","521,597,000","450,372,000","300,575,000","290,381,000","297,624,000","376,007,000","184,498,000","77,045,000",,,,,,
			AccumulatedDepreciation,"-6,534,095,000","-5,764,551,000","-5,064,805,000","-4,426,093,000","-3,983,612,000","-3,405,911,000","-2,881,023,000","-2,442,898,000","-2,043,185,000","-1,725,087,000","-1,466,113,000","-1,251,484,000","-1,062,993,000","-894,627,000","-721,836,000","-694,966,000","-540,117,000","-400,323,000","-282,054,000","-162,685,000"
		GoodwillAndOtherIntangibleAssets,"598,659,000","598,659,000","598,659,000","598,659,000","2,216,706,000","2,235,194,000","2,261,357,000","2,297,016,000","2,318,516,000","2,388,355,000","611,330,000","611,330,000","602,792,000","602,792,000","602,792,000","602,792,000","602,792,000","602,792,000","400,254,000","611,138,000"
			Goodwill,"98,134,000","98,134,000","98,134,000","98,134,000","1,388,931,000","1,388,931,000","1,388,931,000","1,388,931,000","1,388,931,000","1,388,931,000",,,,,,,"400,254,000","400,254,000","400,254,000","392,600,000"
			OtherIntangibleAssets,"500,525,000","500,525,000","500,525,000","500,525,000","827,775,000","846,263,000","872,426,000","908,085,000","929,585,000","999,424,000",,,,,,,"202,538,000","202,538,000","218,538,000","218,538,000"
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,"9,273,000","6,943,000"
		OtherNonCurrentAssets,"1,147,891,000","1,569,800,000","1,300,804,000","831,888,000","365,807,000","301,210,000","274,687,000","148,113,000","147,025,000","173,133,000","209,054,000","202,026,000","167,383,000","192,057,000","220,867,000","75,405,000","67,610,000","72,904,000","281,615,000","75,190,000"
TotalLiabilitiesNetMinorityInterest,"19,192,183,000","18,489,103,000","16,297,187,000","14,045,212,000","10,169,020,000","9,242,969,000","8,345,103,000","8,436,185,000","8,483,877,000","7,950,183,000","4,019,712,000","3,919,643,000","3,717,948,000","3,831,845,000","3,106,797,000","3,497,342,000","3,798,172,000","3,174,557,000","2,606,523,000","2,111,478,000"
	CurrentLiabilities,"6,038,701,000","5,054,851,000","3,730,432,000","1,913,903,000","3,584,390,000","3,150,500,000","2,490,021,000","2,312,818,000","2,366,519,000","2,086,599,000","1,075,488,000","945,089,000","817,446,000","653,317,000","494,038,000","991,808,000","815,483,000","767,456,000","637,909,000","501,413,000"
		PayablesAndAccruedExpenses,"1,233,257,000","1,547,202,000","1,292,206,000","679,192,000","883,052,000","876,063,000","567,150,000","579,755,000","712,706,000","692,445,000","377,084,000","370,063,000","291,392,000","280,900,000","235,020,000","558,683,000","291,509,000","298,768,000","217,430,000","183,341,000"
			Payables,"174,338,000","228,742,000","233,172,000","83,136,000","100,777,000","159,564,000","53,433,000","38,002,000","66,257,000","139,931,000","123,332,000","139,023,000","83,290,000","64,399,000","28,601,000","280,470,000","88,715,000","116,947,000","73,003,000","69,875,000"
				AccountsPayable,"174,338,000","228,742,000","233,172,000","83,136,000","100,777,000","159,564,000","53,433,000","38,002,000","45,488,000","101,983,000","86,788,000","79,126,000","80,327,000","64,399,000","28,376,000","70,412,000","88,715,000","116,947,000","73,003,000","69,875,000"
				DuetoRelatedPartiesCurrent,,,,,,,,"0","20,769,000","37,948,000","36,544,000","59,897,000","2,963,000",,,,,,,
				OtherPayable,,,,,,,,,,,,,,,"225,000","210,058,000",,,,
			CurrentAccruedExpenses,"1,058,919,000","1,318,460,000","1,059,034,000","596,056,000","782,275,000","716,499,000","513,717,000","541,753,000","646,449,000","552,514,000","253,752,000","231,040,000","208,102,000","216,501,000","206,419,000","278,213,000","202,794,000","181,821,000","144,427,000","113,466,000"
		CurrentDebtAndCapitalLeaseObligation,"1,744,778,000","991,128,000","876,890,000","124,885,000","746,358,000","681,218,000","619,373,000","560,193,000","629,840,000","576,947,000","286,575,000","221,233,000","200,582,000","78,237,000","3,586,000","182,487,000","191,172,000","154,638,000","140,694,000","86,198,000"
