name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
OperatingCashFlow,"1,947,163,000","2,005,714,000","210,020,000","-2,468,009,000","-2,556,243,000","1,822,605,000","2,075,171,000","1,601,247,000","1,264,087,000","1,042,178,000","635,601,000","475,281,000","398,594,000","356,990,000","430,423,000","117,532,000","-23,297,000","36,331,000","147,504,000","136,828,000","146,329,000"
	CashFlowFromContinuingOperatingActivities,"1,947,163,000","2,005,714,000","210,020,000","-2,468,009,000","-2,556,243,000","1,822,605,000","2,075,171,000","1,601,247,000","1,264,087,000","1,042,178,000","635,601,000","475,281,000","398,594,000","356,990,000","430,423,000","117,532,000","-23,297,000","36,331,000","147,504,000","136,828,000","146,329,000"
		NetIncomeFromContinuingOperations,"420,172,000","166,178,000","-2,269,909,000","-4,506,587,000","-4,012,514,000","930,228,000","954,843,000","759,872,000","633,085,000","427,137,000","342,601,000","102,886,000","168,556,000","126,859,000","22,986,000","66,952,000","-211,803,000","-226,962,000","-130,899,000","16,235,000","-8,708,000"
		OperatingGainsLosses,"33,887,000","28,649,000","186,622,000","1,350,109,000","10,563,000","11,463,000","809,000","22,211,000","38,259,000","26,525,000","7,274,000","-861,000","1,945,000","-2,338,000","603,000","-35,488,000","-111,464,000","92,024,000","35,122,000","-29,418,000","9,545,000"
			NetForeignCurrencyExchangeGainLoss,"-2,221,000","8,188,000","-10,795,000","-9,865,000","8,584,000","-1,934,000","-5,537,000","0","0",,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"3,208,000","13,760,000","8,618,000","-39,842,000","-8,501,000",,,"-103,000","79,000","26,525,000","7,274,000","-861,000","1,945,000","-2,338,000","603,000","-35,488,000",,,,,
		DepreciationAmortizationDepletion,"945,975,000","883,236,000","810,053,000","758,604,000","739,619,000","647,102,000","566,972,000","521,484,000","445,635,000","450,335,000","304,877,000","245,111,000","216,137,000","211,049,000","191,913,000","169,701,000","162,565,000","148,003,000","119,097,000","85,615,000","87,397,000"
			DepreciationAndAmortization,"945,975,000","883,236,000","810,053,000","758,604,000","739,619,000","647,102,000","566,972,000","521,484,000","445,635,000","450,335,000","304,877,000","245,111,000","216,137,000","211,049,000","191,913,000","169,701,000","162,565,000","148,003,000","119,097,000","85,615,000","87,397,000"
		DeferredTax,,,"-1,237,000","78,000","12,765,000","-26,134,000","1,508,000","9,153,000","-2,448,000","1,269,000","6,187,000","2,844,000","0","0",,,,,,,
			DeferredIncomeTax,,,"-1,237,000","78,000","12,765,000","-26,134,000","1,508,000","9,153,000","-2,448,000","1,269,000","6,187,000","2,844,000","0","0",,,,,,,
