name,ttm,05/31/2024,05/31/2023,05/31/2022,05/31/2021,05/31/2020,05/31/2019,05/31/2018,05/31/2017,05/31/2016,05/31/2015,05/31/2014,05/31/2013,05/31/2012,05/31/2011,05/31/2010,05/31/2009,05/31/2008,05/31/2007,05/31/2006,05/31/2005,05/31/2004,05/31/2003,05/31/2002,05/31/2001,05/31/2000,05/31/1999,05/31/1998,05/31/1997,05/31/1996,05/31/1995,05/31/1994,05/31/1993,05/31/1992,05/31/1991,05/31/1990,05/31/1989
OperatingCashFlow,"7,429,000,000","7,429,000,000","5,841,000,000","5,188,000,000","6,657,000,000","2,485,000,000","5,903,000,000","4,955,000,000","3,846,000,000","3,399,000,000","4,680,000,000","3,013,000,000","3,032,000,000","1,824,000,000","1,812,000,000","3,164,000,000","1,736,100,000","1,936,300,000","1,878,700,000","1,667,900,000","1,570,700,000","1,518,500,000","922,000,000","1,082,200,000","656,500,000","699,600,000","961,000,000","517,500,000","323,100,000","330,000,000","254,900,000","576,500,000","265,300,000","436,600,000","14,200,000","127,100,000","169,400,000"
	CashFlowFromContinuingOperatingActivities,"7,429,000,000","7,429,000,000","5,841,000,000","5,188,000,000","6,657,000,000","2,485,000,000","5,903,000,000","4,955,000,000","3,846,000,000","3,399,000,000","4,680,000,000","3,013,000,000","3,032,000,000","1,824,000,000","1,812,000,000","3,164,000,000","1,736,100,000","1,936,300,000","1,878,700,000","1,667,900,000","1,570,700,000","1,518,500,000","922,000,000","1,082,200,000","656,500,000","699,600,000","961,000,000","517,500,000","323,100,000","330,000,000","254,900,000","576,500,000","265,300,000","436,600,000","14,200,000","127,100,000","169,400,000"
		NetIncomeFromContinuingOperations,"5,700,000,000","5,700,000,000","5,070,000,000","6,046,000,000","5,727,000,000","2,539,000,000","4,029,000,000","1,933,000,000","4,240,000,000","3,760,000,000","3,273,000,000","2,693,000,000","2,472,000,000","2,211,000,000","2,133,000,000","1,907,000,000","1,486,700,000","1,883,400,000","1,491,500,000","1,392,000,000","1,211,600,000","945,600,000","474,000,000","663,300,000","589,700,000","579,100,000","451,400,000","399,600,000","795,800,000","553,200,000","399,700,000","298,800,000","365,000,000","329,200,000","287,000,000","243,000,000","167,000,000"
		OperatingGainsLosses,"-138,000,000","-138,000,000","-213,000,000","-26,000,000","-138,000,000","23,000,000","233,000,000","-99,000,000","-117,000,000","98,000,000","424,000,000","56,000,000","-58,000,000",,,,,"-60,600,000",,,"63,100,000","47,200,000","278,600,000","13,900,000","32,400,000","14,900,000","28,000,000","59,300,000",,"-500,000",,,,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,"0","0","-124,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"-138,000,000","-138,000,000","-213,000,000","-26,000,000","-138,000,000","23,000,000","233,000,000","-99,000,000","-117,000,000","98,000,000","424,000,000","56,000,000","66,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"844,000,000","844,000,000","859,000,000","840,000,000","797,000,000","1,119,000,000","720,000,000","774,000,000","716,000,000","662,000,000","649,000,000","586,000,000","502,000,000","396,000,000","358,000,000","396,000,000","383,300,000","321,500,000","270,200,000","290,900,000","287,700,000","313,500,000","262,500,000","271,600,000","214,100,000","223,600,000","228,800,000","233,500,000","168,300,000","132,400,000","90,200,000","64,500,000","60,400,000","47,700,000","34,500,000","17,100,000","14,800,000"
			DepreciationAndAmortization,"844,000,000","844,000,000","859,000,000","840,000,000","797,000,000","1,119,000,000","720,000,000","774,000,000","716,000,000","662,000,000","649,000,000","586,000,000","502,000,000","396,000,000","358,000,000","396,000,000","383,300,000","321,500,000","270,200,000","290,900,000","287,700,000","313,500,000","262,500,000","271,600,000","214,100,000","223,600,000","228,800,000","233,500,000","168,300,000","132,400,000","90,200,000","64,500,000","60,400,000","47,700,000","34,500,000","17,100,000","14,800,000"
				Depreciation,"796,000,000","796,000,000","703,000,000","717,000,000","744,000,000","721,000,000","705,000,000","747,000,000","706,000,000","649,000,000","606,000,000","518,000,000","438,000,000","373,000,000","335,000,000","324,000,000","335,000,000","303,600,000","269,700,000","282,000,000","257,200,000","255,200,000","239,300,000","223,500,000","197,400,000","188,000,000",,,,,,,,,,,
				AmortizationCashFlow,"48,000,000","48,000,000","156,000,000","123,000,000","53,000,000","398,000,000","15,000,000","27,000,000","10,000,000","13,000,000","43,000,000","68,000,000","64,000,000","23,000,000","23,000,000","72,000,000","48,300,000","17,900,000","500,000","8,900,000","30,500,000","58,300,000","23,200,000","48,100,000","16,700,000","35,600,000",,,,,,,,,,,
					AmortizationOfIntangibles,"48,000,000","48,000,000","156,000,000","123,000,000","53,000,000","398,000,000","15,000,000","27,000,000","10,000,000","13,000,000","43,000,000","68,000,000","64,000,000","23,000,000","23,000,000","72,000,000","48,300,000","17,900,000","500,000","8,900,000","30,500,000","58,300,000","23,200,000","48,100,000","16,700,000","35,600,000",,,,,,,,,,,
		DeferredTax,"-497,000,000","-497,000,000","-117,000,000","-650,000,000","-385,000,000","-380,000,000","34,000,000","647,000,000","-273,000,000","-80,000,000","-113,000,000","-11,000,000","20,000,000","-59,000,000","-76,000,000","8,000,000","-294,100,000","-300,600,000","34,100,000","-26,000,000","21,300,000","19,000,000","67,500,000","29,800,000","79,800,000","36,800,000","37,900,000","-113,900,000","-47,100,000","-73,300,000","-24,700,000","-23,900,000","4,300,000","8,200,000","-2,700,000","-900,000","-8,500,000"
			DeferredIncomeTax,"-497,000,000","-497,000,000","-117,000,000","-650,000,000","-385,000,000","-380,000,000","34,000,000","647,000,000","-273,000,000","-80,000,000","-113,000,000","-11,000,000","20,000,000","-59,000,000","-76,000,000","8,000,000","-294,100,000","-300,600,000","34,100,000","-26,000,000","21,300,000","19,000,000","67,500,000","29,800,000","79,800,000","36,800,000","37,900,000","-113,900,000","-47,100,000","-73,300,000","-24,700,000","-23,900,000","4,300,000","8,200,000","-2,700,000","-900,000","-8,500,000"
		AssetImpairmentCharge,,,,,,,,,,,,,,,"0",,"401,300,000",,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"804,000,000","804,000,000","755,000,000","638,000,000","611,000,000","429,000,000","325,000,000","218,000,000","215,000,000","236,000,000","191,000,000","177,000,000","174,000,000","130,000,000","105,000,000","159,000,000","170,600,000","141,000,000",,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,,,,,,,,,,,,,,,,,,"141,000,000","147,700,000","54,200,000",,,"266,100,000","5,000,000",,,,,,"100,000","-1,300,000","4,600,000","13,000,000","19,300,000","10,600,000","5,600,000","3,800,000"
		ChangeInWorkingCapital,"716,000,000","716,000,000","-513,000,000","-1,660,000,000","45,000,000","-1,245,000,000","562,000,000","1,482,000,000","-935,000,000","-1,277,000,000","256,000,000","-488,000,000","-78,000,000","-854,000,000","-708,000,000","694,000,000","-411,700,000","-48,400,000","-64,800,000","-43,200,000","-13,000,000","193,200,000","-148,100,000","112,500,000","-259,500,000","-154,800,000","214,900,000","-61,000,000","-593,900,000","-281,900,000","-209,000,000","232,500,000","-177,400,000","32,200,000","-315,200,000","-137,700,000","-7,700,000"
			ChangeInReceivables,"-329,000,000","-329,000,000","489,000,000","-504,000,000","-1,606,000,000","1,239,000,000","-270,000,000","187,000,000","-426,000,000","60,000,000","-216,000,000","-298,000,000","142,000,000","-323,000,000","-273,000,000","182,000,000","-238,000,000","-118,300,000","-39,600,000","-85,100,000","-93,500,000","97,100,000","-136,300,000","-135,200,000","-141,400,000","-82,600,000","134,300,000","79,700,000","-485,600,000","-292,900,000","-301,600,000","24,000,000","-62,500,000","-74,400,000","-120,000,000","-104,500,000","-38,000,000"
				ChangesInAccountReceivables,"-329,000,000","-329,000,000","489,000,000","-504,000,000","-1,606,000,000","1,239,000,000","-270,000,000","187,000,000","-426,000,000","60,000,000","-216,000,000","-298,000,000","142,000,000","-323,000,000","-273,000,000","182,000,000","-238,000,000","-118,300,000",,,,"82,500,000","-136,300,000","-135,200,000",,,,,,,,,,,,,
			ChangeInInventory,"908,000,000","908,000,000","-133,000,000","-1,676,000,000","507,000,000","-1,854,000,000","-490,000,000","-255,000,000","-231,000,000","-590,000,000","-621,000,000","-505,000,000","-219,000,000","-815,000,000","-551,000,000","285,000,000","32,200,000","-249,800,000","-49,500,000","-200,300,000","-103,300,000","-55,900,000","-102,800,000","55,400,000","-16,700,000","-311,800,000","197,300,000","-58,000,000","-416,700,000","-301,400,000","-69,700,000","160,800,000","-97,500,000","115,400,000","-275,000,000","-86,600,000","-24,500,000"
			ChangeInPrepaidAssets,"-260,000,000","-260,000,000","-644,000,000","-845,000,000","-182,000,000","-654,000,000","-203,000,000","35,000,000","-120,000,000","-161,000,000","-144,000,000","-210,000,000","-28,000,000","-141,000,000","-35,000,000","-70,000,000","14,100,000","-11,200,000","-60,800,000","-37,200,000","71,400,000","-103,600,000","60,900,000","16,900,000",,,,,,,,,,,,,
