name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
TotalAssets,"13,872,995,000","12,627,979,000","11,718,707,000","11,596,642,000","10,717,160,000","7,980,789,000","7,571,885,000","7,204,189,000","6,676,684,000","6,532,083,000","6,067,208,000","5,749,187,000","5,500,501,000","5,047,827,000","4,781,471,000","4,193,317,000","2,279,737,000","1,977,496,000","1,718,896,000","1,432,357,000","1,157,033,000","1,009,419,000","856,859,000","715,995,000","610,400,000","493,300,000","247,600,000","183,600,000","153,600,000","87,300,000","73,100,000"
	CurrentAssets,"5,558,302,000","5,048,259,000","4,504,262,000","4,499,787,000","3,833,662,000","3,543,102,000","3,397,672,000","3,257,975,000","3,010,026,000","3,065,380,000","2,835,201,000","2,732,948,000","2,607,610,000","2,301,252,000","2,226,719,000","1,875,433,000","1,102,304,000","1,000,676,000","910,641,000","813,477,000","656,926,000","631,045,000","550,663,000","449,204,000","364,400,000","310,900,000","134,100,000","100,200,000","98,600,000","57,200,000","55,200,000"
		CashCashEquivalentsAndShortTermInvestments,"279,132,000","108,583,000","362,113,000","465,640,000","40,406,000","31,315,000","46,348,000","146,598,000","116,301,000","250,560,000","231,318,000","248,128,000","361,552,000","29,721,000","26,935,000","31,301,000","47,555,000","29,903,000","31,384,000","69,028,000","21,094,000","29,333,000","15,541,000","9,704,000","10,300,000","1,700,000","2,300,000","1,200,000","2,800,000","3,400,000","3,200,000"
			CashAndCashEquivalents,"279,132,000","108,583,000","362,113,000","465,640,000","40,406,000","31,315,000","46,348,000","146,598,000","116,301,000","250,560,000","231,318,000","248,128,000","361,552,000","29,721,000","26,935,000","31,301,000","47,555,000","29,903,000","31,384,000","69,028,000","21,094,000","29,333,000","15,041,000","9,204,000","9,800,000","1,700,000","2,300,000","1,200,000","2,800,000","3,400,000","3,200,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,"500,000","500,000","500,000",,,,,,
		Receivables,"515,492,000","470,174,000","385,674,000","330,294,000","294,407,000","270,181,000","292,487,000","279,379,000","233,687,000","213,211,000","198,123,000","181,174,000","203,753,000","183,652,000","170,997,000","165,811,000","132,505,000","128,838,000","131,073,000","113,904,000","102,930,000","88,339,000","79,926,000","61,848,000","52,400,000","54,300,000","12,500,000","11,300,000","9,500,000","9,700,000","15,400,000"
			AccountsReceivable,"375,049,000","343,155,000","272,562,000","229,679,000","214,915,000","192,026,000","216,251,000","197,274,000","161,078,000","143,900,000","131,504,000","122,989,000","135,149,000","183,652,000","170,997,000","165,811,000","84,242,000","128,838,000","131,073,000","60,928,000","52,235,000","45,421,000","41,486,000",,,,,,,,
				GrossAccountsReceivable,"390,883,000","357,850,000","284,432,000","242,349,000","229,332,000","205,264,000","228,968,000","209,314,000","170,715,000","152,613,000","138,165,000","129,436,000","141,552,000",,,,,,"76,627,000","64,345,000",,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-15,834,000","-14,695,000","-11,870,000","-12,670,000","-14,417,000","-13,238,000","-12,717,000","-12,040,000","-9,637,000","-8,713,000","-6,661,000","-6,447,000","-6,403,000",,,,,,"-2,778,000","-3,417,000",,,,,,,,,,,
			OtherReceivables,"140,443,000","127,019,000","113,112,000","100,615,000","79,492,000","78,155,000","76,236,000","82,105,000","72,609,000","69,311,000","66,619,000","58,185,000","68,604,000",,,,"48,263,000",,"57,224,000","52,976,000","50,695,000","42,918,000","38,440,000",,,,,,,,
		Inventory,"4,658,367,000","4,359,126,000","3,686,383,000","3,653,195,000","3,454,092,000","3,193,344,000","3,009,800,000","2,778,976,000","2,631,015,000","2,554,789,000","2,375,047,000","2,276,331,000","1,985,748,000","2,023,488,000","1,913,218,000","1,570,144,000","881,761,000","812,938,000","725,339,000","625,320,000","523,750,000","504,098,000","447,793,000","372,069,000","293,900,000","246,000,000","111,800,000","83,900,000","59,000,000","42,500,000","34,800,000"
		CurrentDeferredAssets,,,,,,,,,,,,,"0","33,877,000","85,934,000","64,028,000",,,,,"4,753,000","5,040,000","3,908,000",,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,"0","33,877,000","85,934,000","64,028,000",,,,,"4,753,000","5,040,000","3,908,000",,,,,,,,
		OtherCurrentAssets,"105,311,000","110,376,000","70,092,000","50,658,000","44,757,000","48,262,000","49,037,000","53,022,000","29,023,000","46,820,000","30,713,000","27,315,000","56,557,000","30,514,000","29,635,000","44,149,000","40,483,000","28,997,000","22,845,000","5,225,000","4,399,000","4,235,000","3,495,000","5,583,000","7,800,000","8,900,000","7,500,000","3,800,000","27,300,000","1,600,000","1,800,000"
	TotalNonCurrentAssets,"8,314,693,000","7,579,720,000","7,214,445,000","7,096,855,000","6,883,498,000","4,437,687,000","4,174,213,000","3,946,214,000","3,666,658,000","3,466,703,000","3,232,007,000","3,016,239,000","2,892,891,000","2,746,575,000","2,554,752,000","2,317,884,000","1,177,433,000","976,820,000","808,255,000","618,880,000","500,107,000","378,374,000","306,196,000","266,791,000","246,000,000","182,400,000","113,500,000","83,400,000","55,000,000","30,100,000","17,900,000"
