name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
OperatingCashFlow,"3,035,789,000","3,034,084,000","3,148,250,000","3,207,310,000","2,836,603,000","1,708,479,000","1,727,555,000","1,403,687,000","1,510,713,000","1,345,488,000","1,190,430,000","908,026,000","1,251,555,000","1,118,991,000","703,687,000","285,200,000","298,542,000","299,418,000","185,928,000","213,322,000","226,536,000","168,836,000","104,533,000","50,029,000","5,832,000","29,700,000","-19,100,000","17,900,000","4,900,000","900,000","8,400,000","-1,800,000"
	CashFlowFromContinuingOperatingActivities,"3,035,789,000","3,034,084,000","3,148,250,000","3,207,310,000","2,836,603,000","1,708,479,000","1,727,555,000","1,403,687,000","1,510,713,000","1,345,488,000","1,190,430,000","908,026,000","1,251,555,000","1,118,991,000","703,687,000","285,200,000","298,542,000","299,418,000","185,928,000","213,322,000","226,536,000","168,836,000","104,533,000","50,029,000","5,832,000","29,700,000","-19,100,000","17,900,000","4,900,000","900,000","8,400,000","-2,000,000"
		NetIncomeFromContinuingOperations,"2,372,417,000","2,346,581,000","2,172,650,000","2,164,685,000","1,752,302,000","1,391,042,000","1,324,487,000","1,133,804,000","1,037,691,000","931,216,000","778,182,000","670,292,000","585,746,000","507,673,000","419,373,000","307,498,000","186,232,000","193,988,000","178,085,000","164,266,000","139,566,000","100,087,000","81,992,000","66,352,000","51,708,000","45,600,000","30,800,000","23,100,000","19,000,000","14,100,000","11,100,000","8,200,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,"-11,639,000",,"-352,000","5,007,000","1,812,000","16,955,000","-9,311,000","11,709,000","6,791,000","11,582,000","5,080,000","7,300,000","2,600,000","2,300,000","1,400,000","1,300,000","300,000","300,000"
		DepreciationAmortizationDepletion,"440,273,000","409,061,000","357,933,000","328,217,000","314,635,000","270,875,000","258,937,000","233,845,000","217,866,000","210,256,000","194,205,000","183,180,000","177,106,000","165,880,000","161,442,000","148,179,000","112,998,000","78,943,000","64,938,000","57,228,000","54,325,000","42,374,000","36,907,000","30,544,000","24,812,000","17,900,000","12,200,000","8,300,000","6,100,000","4,000,000","3,200,000","2,800,000"
			DepreciationAndAmortization,"440,273,000","409,061,000","357,933,000","328,217,000","314,635,000","270,875,000","258,937,000","233,845,000","217,866,000","210,256,000","194,205,000","183,180,000","177,106,000","165,880,000","161,442,000","148,179,000","112,998,000","78,943,000","64,938,000","57,228,000","54,325,000","42,374,000","36,907,000","30,544,000","24,812,000","17,900,000","12,200,000","8,300,000","6,100,000","4,000,000","3,200,000","2,800,000"
				Depreciation,,,,,,,,,,,,,,,"159,730,000","142,912,000","107,345,000",,,,"53,126,000","41,216,000","35,923,000","28,963,000",,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,"1,712,000","5,267,000","5,653,000",,,,"1,199,000","1,158,000","984,000","1,581,000",,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,"1,712,000","5,267,000","5,653,000",,,,"1,199,000","1,158,000","984,000","1,581,000",,,,,,,,
		DeferredTax,"52,900,000","48,232,000","69,575,000","20,383,000","12,381,000","21,158,000","20,160,000","-4,593,000","10,394,000","-22,650,000","1,487,000","1,919,000","8,162,000","54,120,000","99,257,000","50,381,000","11,031,000","-6,341,000","-1,017,000","-671,000","7,640,000","13,796,000","5,666,000","6,371,000","3,245,000","5,500,000","7,600,000","-1,000,000","1,500,000","900,000",,"-100,000"
			DeferredIncomeTax,"52,900,000","48,232,000","69,575,000","20,383,000","12,381,000","21,158,000","20,160,000","-4,593,000","10,394,000","-22,650,000","1,487,000","1,919,000","8,162,000","54,120,000","99,257,000","50,381,000","11,031,000","-6,341,000","-1,017,000","-671,000","7,640,000","13,796,000","5,666,000","6,371,000","3,245,000","5,500,000","7,600,000","-1,000,000","1,500,000","900,000",,"-100,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,"1,797,000","7,852,000","7,758,000","3,732,000",,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,,,,,,,,"0","0","21,626,000","0",,,,,,,,,,,,,,,,,
		StockBasedCompensation,"27,169,000","27,511,000","26,458,000","24,656,000","22,747,000","21,921,000","20,176,000","19,401,000","18,859,000","21,899,000","23,095,000","21,722,000","22,026,000","20,579,000","16,973,000","21,413,000","13,554,000",,,"7,840,000","5,067,000","4,026,000",,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,"-55,994,000","-63,078,000","-49,150,000","-30,811,000","-38,631,000","-22,985,000","-18,587,000","-10,215,000",,,,"7,137,000","4,526,000","5,486,000",,,,,,,,,,
		OtherNonCashItems,"12,980,000","7,070,000","5,589,000","6,516,000","9,266,000","11,445,000","13,365,000","14,661,000","8,885,000","8,945,000","7,678,000","9,459,000","9,252,000","10,089,000","3,106,000","8,739,000","8,226,000","12,777,000","11,029,000","3,517,000","-18,904,000","2,197,000","618,000",,,"-100,000","-100,000","-100,000",,"100,000","600,000","100,000"
		ChangeInWorkingCapital,"130,050,000","195,629,000","516,045,000","662,853,000","725,272,000","-7,962,000","90,430,000","6,569,000","217,018,000","195,822,000","234,933,000","52,265,000","487,894,000","362,009,000","22,123,000","-248,553,000","-37,231,000","15,044,000","-68,919,000","-27,973,000","34,316,000","870,000","-27,441,000","-64,820,000","-79,013,000","-46,500,000","-72,200,000","-14,700,000","-23,100,000","-19,500,000","-6,800,000","-13,300,000"
			ChangeInReceivables,"-83,571,000","-35,539,000","-75,859,000","-47,427,000","-20,515,000","-15,577,000","18,138,000","-27,742,000","-38,548,000","-23,858,000","-19,271,000","-16,937,000","4,404,000","-21,219,000","-21,748,000","-9,714,000","-7,437,000","-8,555,000","-9,426,000","-8,974,000","-11,636,000","-9,108,000","-10,011,000","-11,340,000","-10,637,000","-1,400,000","-5,800,000","-1,800,000","-2,400,000","-2,300,000","-1,400,000","-1,600,000"
				ChangesInAccountReceivables,"-83,571,000","-35,539,000","-75,859,000","-47,427,000","-20,515,000","-15,577,000","18,138,000","-27,742,000","-38,548,000","-23,858,000","-19,271,000","-16,937,000","4,404,000","-21,219,000","-21,748,000","-9,714,000","-7,437,000",,,"-8,974,000","-11,636,000","-9,108,000",,,,,,,,,,
			ChangeInInventory,"-116,123,000","-288,323,000","-669,046,000","-32,634,000","-198,864,000","-239,912,000","-163,367,000","-231,802,000","-119,270,000","-76,226,000","-179,742,000","-96,876,000","-276,904,000","37,740,000","-110,271,000","-339,742,000","-142,333,000","-68,823,000","-91,427,000","-62,157,000","-66,375,000","-19,652,000","-56,305,000","-35,115,000","-78,145,000","-47,900,000","-53,300,000","-27,900,000","-24,900,000","-16,500,000","-7,600,000","-10,700,000"
			ChangeInPayablesAndAccruedExpense,"-145,513,000","252,184,000","1,355,221,000","681,964,000","766,406,000","207,580,000","209,952,000","272,915,000","361,923,000","253,340,000","405,727,000","157,355,000","724,707,000","374,738,000","107,859,000","75,517,000","50,410,000","62,279,000","25,737,000","43,158,000","94,594,000","29,760,000","23,495,000","-16,891,000","4,062,000","-1,900,000","20,100,000","12,400,000","4,300,000","2,700,000","-100,000","100,000"
				ChangeInPayable,"-156,747,000","240,950,000","1,335,921,000","663,250,000","778,347,000","193,284,000","200,579,000","267,485,000","349,307,000","272,681,000","392,804,000","151,955,000","717,052,000","375,007,000","97,920,000","86,329,000","50,410,000",,,"43,158,000","94,594,000","29,760,000",,,,,,,,,,
					ChangeInTaxPayable,"-146,091,000","33,889,000","151,063,000","152,339,000","197,739,000","-20,139,000","22,903,000","14,220,000","26,880,000","81,617,000","32,158,000","24,777,000","71,346,000","-8,625,000","15,346,000","6,505,000",,,,,,,,,,,,,,,,
						ChangeInIncomeTaxPayable,"-146,091,000","33,889,000","151,063,000","152,339,000","197,739,000","-20,139,000","22,903,000","14,220,000","26,880,000","81,617,000","32,158,000","24,777,000","71,346,000","-8,625,000","15,346,000","6,505,000",,,,,,,,,,,,,,,,
					ChangeInAccountPayable,"-10,656,000","207,061,000","1,184,858,000","510,911,000","580,608,000","213,423,000","177,676,000","253,265,000","322,427,000","191,064,000","360,646,000","127,178,000","645,706,000","383,632,000","82,574,000","79,824,000","50,410,000",,,"43,158,000","94,594,000","29,760,000",,,,,,,,,,
				ChangeInAccruedExpense,,"11,234,000","19,300,000","18,714,000","-11,941,000","14,296,000","9,373,000","5,430,000","12,616,000","-19,341,000","12,923,000","5,400,000","7,655,000","-269,000","9,939,000","-10,812,000",,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,"-835,000","-540,000","-788,000","1,168,000","1,797,000","-500,000","-29,200,000","-2,900,000","-700,000","-2,400,000","200,000","-1,300,000"
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,"17,049,000","9,239,000","16,168,000","-2,642,000","3,910,000","5,200,000","-4,000,000","5,500,000","600,000","-1,000,000","2,100,000","200,000"
			ChangeInOtherWorkingCapital,"475,257,000","267,307,000","-94,271,000","60,950,000","178,245,000","39,947,000","25,707,000","-6,802,000","12,913,000","42,566,000","28,219,000","8,723,000","35,687,000","-29,250,000","46,283,000","25,386,000","62,129,000","30,143,000","6,197,000","3,517,000","17,733,000","-130,000",,,,,,,,,,
	CashFromDiscontinuedOperatingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,000"
InvestingCashFlow,"-1,158,385,000","-995,936,000","-739,985,000","-615,620,000","-614,895,000","-796,746,000","-534,302,000","-464,223,000","-529,096,000","-407,188,000","-423,402,000","-388,754,000","-317,407,000","-319,653,000","-351,277,000","-410,661,000","-367,597,000","-300,318,000","-225,201,000","-269,073,000","-171,986,000","-130,560,000","-105,385,000","-77,846,000","-40,517,000","-77,800,000","-100,800,000","-37,700,000","-11,200,000","-49,900,000","-8,300,000","-11,100,000"
	CashFlowFromContinuingInvestingActivities,"-1,158,385,000","-995,936,000","-739,985,000","-615,620,000","-614,895,000","-796,746,000","-534,302,000","-464,223,000","-529,096,000","-407,188,000","-423,402,000","-388,754,000","-317,407,000","-319,653,000","-351,277,000","-410,661,000","-367,597,000","-300,318,000","-225,201,000","-269,073,000","-171,986,000","-130,560,000","-105,385,000","-77,846,000","-40,517,000","-77,800,000","-100,800,000","-37,700,000","-11,200,000","-49,900,000","-8,300,000","-11,100,000"
		NetPPEPurchaseAndSale,"-1,001,768,000","-988,575,000","-548,539,000","-433,359,000","-449,809,000","-620,939,000","-499,484,000","-461,476,000","-471,225,000","-411,262,000","-427,107,000","-394,150,000","-297,675,000","-325,604,000","-363,295,000","-410,491,000","-340,433,000","-280,328,000","-227,996,000","-203,224,000","-171,833,000","-135,224,000","-99,979,000","-59,987,000","-29,126,000","-79,000,000","-101,000,000","-36,900,000","-33,700,000","-28,500,000","-13,600,000","-8,300,000"
