name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
TotalAssets,"2,969,693,000","2,854,589,000","2,015,983,000","1,849,737,000","1,717,190,000","1,353,416,000","1,092,465,000","1,001,442,000","699,177,000","601,982,000","562,096,000"
	CurrentAssets,"471,817,000","555,531,000","662,414,000","566,816,000","540,138,000","388,540,000","177,001,000","91,225,000","72,945,000","75,318,000","57,547,000"
		CashCashEquivalentsAndShortTermInvestments,"350,743,000","409,840,000","545,909,000","439,478,000","436,256,000","289,431,000","113,080,000","40,393,000","31,430,000","43,291,000","31,267,000"
			CashAndCashEquivalents,"275,842,000","409,840,000","545,909,000","439,478,000","436,256,000","289,431,000","113,080,000","40,393,000","31,430,000","43,291,000","31,267,000"
			OtherShortTermInvestments,"74,901,000","0",,,,,,,,,
		Receivables,"56,276,000","66,688,000","44,449,000","38,662,000","52,441,000","58,332,000","56,801,000","42,365,000","29,844,000","21,706,000","17,628,000"
			AccountsReceivable,"41,890,000","46,242,000","27,257,000","16,447,000","42,268,000","38,960,000","37,272,000","26,873,000","19,079,000","19,275,000","15,783,000"
				GrossAccountsReceivable,"41,890,000","46,242,000","27,257,000","16,454,000","42,379,000","39,044,000","37,304,000","27,560,000","19,708,000","19,674,000","16,135,000"
				AllowanceForDoubtfulAccountsReceivable,"0","0","0","-7,000","-111,000","-84,000","-32,000","-687,000","-629,000","-399,000","-352,000"
			NotesReceivable,,,,,,,,,"0","1,290,000","513,000"
			TaxesReceivable,"3,314,000","5,471,000","3,673,000","5,461,000","947,000","6,824,000","6,947,000","4,693,000","0",,
			DuefromRelatedPartiesCurrent,,,,,,"0","3,020,000","2,864,000","4,940,000","1,141,000","1,332,000"
			OtherReceivables,"11,072,000","14,975,000","13,519,000","16,754,000","9,226,000","12,548,000","9,562,000","7,935,000","5,825,000",,
		Inventory,"4,677,000","5,266,000","1,155,000","473,000","877,000","5,122,000","2,692,000","1,802,000","4,557,000","3,012,000","2,243,000"
		PrepaidAssets,"13,842,000","11,078,000","12,869,000","11,881,000","8,025,000","4,947,000","3,929,000","3,591,000","5,152,000","4,355,000","3,573,000"
		RestrictedCash,"46,279,000","62,659,000","58,032,000","76,322,000","42,539,000","30,708,000","499,000","3,074,000","1,962,000","0","1,351,000"
		OtherCurrentAssets,,,,,,,,,"5,825,000","2,954,000","1,485,000"
	TotalNonCurrentAssets,"2,497,876,000","2,299,058,000","1,353,569,000","1,282,921,000","1,177,052,000","964,876,000","915,464,000","910,217,000","626,232,000","526,664,000","504,549,000"
		NetPPE,"771,415,000","695,757,000","364,017,000","324,929,000","301,114,000","114,367,000","83,327,000","61,238,000","56,139,000","49,579,000","33,766,000"
			GrossPPE,"1,094,373,000","923,626,000","516,313,000","432,649,000","374,735,000","167,453,000","119,555,000","92,225,000","79,664,000","65,307,000","40,737,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"1,341,000","1,341,000","1,341,000","1,341,000","1,341,000","1,341,000","910,000","910,000","910,000","910,000","910,000"
				BuildingsAndImprovements,"2,572,000","8,589,000","8,589,000","8,589,000","8,589,000","8,632,000","5,107,000","5,107,000","5,107,000","5,119,000","5,341,000"
				MachineryFurnitureEquipment,"173,606,000","137,345,000","92,212,000","72,388,000","54,548,000","31,065,000","16,239,000","3,708,000","3,030,000","2,309,000","141,000"
				OtherProperties,"560,599,000","490,017,000","259,162,000","224,554,000","208,864,000","42,488,000","33,877,000","32,956,000","30,338,000","24,233,000","15,344,000"
				ConstructionInProgress,"13,530,000","13,974,000","8,199,000","10,158,000","3,416,000","7,095,000","3,241,000","8,295,000","1,991,000","5,375,000","0"
				Leases,"342,725,000","272,360,000","146,810,000","115,619,000","97,977,000","76,832,000","60,181,000","41,249,000","38,288,000","27,361,000","19,001,000"
			AccumulatedDepreciation,"-322,958,000","-227,869,000","-152,296,000","-107,720,000","-73,621,000","-53,086,000","-36,228,000","-30,987,000","-23,525,000","-15,728,000","-6,971,000"
		GoodwillAndOtherIntangibleAssets,"1,090,009,000","1,119,757,000","429,506,000","444,896,000","461,742,000","433,843,000","412,638,000","430,843,000","450,600,000","472,143,000","460,538,000"
			Goodwill,"717,502,000","702,690,000","228,569,000","227,821,000","227,821,000","199,513,000","176,981,000","176,981,000","176,981,000","176,981,000","157,210,000"
			OtherIntangibleAssets,"372,507,000","417,067,000","200,937,000","217,075,000","233,921,000","234,330,000","235,657,000","253,862,000","273,619,000","295,162,000","303,328,000"
		InvestmentsAndAdvances,"128,393,000","25,122,000","18,760,000","0",,,,,,,
			InvestmentinFinancialAssets,"50,886,000","0",,,,,,,,,
				AvailableForSaleSecurities,"50,886,000",,,,,,,,,,
			OtherInvestments,"77,507,000","25,122,000",,,,,,,,,
		NonCurrentNoteReceivables,,,,,,,,,"0","2,007,000","3,672,000"
		NonCurrentDeferredAssets,"504,188,000","454,565,000","539,264,000","511,200,000","412,293,000","414,841,000","407,782,000","410,407,000","117,358,000","260,000",
			NonCurrentDeferredTaxesAssets,"504,188,000","454,565,000","539,264,000","511,200,000","412,293,000","414,841,000","407,782,000","410,407,000","117,358,000","260,000",
		OtherNonCurrentAssets,"3,871,000","3,857,000","2,022,000","1,896,000","1,903,000","1,825,000","11,717,000","7,729,000","2,135,000","2,675,000","6,573,000"
TotalLiabilitiesNetMinorityInterest,"3,088,684,000","3,066,150,000","2,658,828,000","2,555,410,000","2,424,944,000","1,736,205,000","1,229,402,000","1,216,197,000","700,257,000","450,233,000","240,181,000"
	CurrentLiabilities,"251,329,000","244,530,000","176,610,000","111,895,000","145,478,000","131,403,000","112,030,000","83,273,000","66,252,000","60,885,000","56,747,000"
		PayablesAndAccruedExpenses,"131,381,000","119,511,000","99,908,000","41,430,000","79,358,000","87,577,000","78,300,000","55,769,000","40,636,000","35,232,000","30,379,000"
			Payables,"65,082,000","52,518,000","48,194,000","19,388,000","47,735,000","55,193,000","59,710,000","36,579,000","26,969,000","26,738,000","25,517,000"
				AccountsPayable,"23,788,000","20,578,000","27,892,000","19,388,000","21,267,000","30,428,000","28,648,000","28,507,000","23,950,000","26,738,000","25,517,000"
				TotalTaxPayable,"41,294,000","31,940,000","20,302,000","0","26,468,000","24,765,000","31,062,000","8,072,000","3,019,000",,
				OtherPayable,,,,,"26,468,000","24,765,000","31,062,000","8,072,000","3,019,000",,
			CurrentAccruedExpenses,"66,299,000","66,993,000","51,714,000","22,042,000","31,623,000","32,384,000","18,590,000","19,190,000","13,667,000","8,494,000","4,862,000"
		CurrentDebtAndCapitalLeaseObligation,"20,750,000","20,750,000","17,500,000","17,500,000","17,500,000","12,000,000","7,185,000","7,185,000","5,100,000","3,900,000","10,662,000"
			CurrentDebt,"20,750,000","20,750,000","17,500,000","17,500,000","17,500,000","12,000,000","7,185,000","7,185,000","5,100,000","3,900,000","9,500,000"
				OtherCurrentBorrowings,"20,750,000","20,750,000","17,500,000","17,500,000","17,500,000",,,,,"3,900,000","9,500,000"
			CurrentCapitalLeaseObligation,,,,,,,,,,"376,000","1,162,000"
		CurrentDeferredLiabilities,"59,591,000","53,759,000","28,351,000","26,691,000","27,596,000","23,488,000","19,083,000","17,780,000","14,717,000","14,549,000","11,444,000"
			CurrentDeferredRevenue,"59,591,000","53,759,000","28,351,000","26,691,000","27,596,000","23,488,000","19,083,000","17,780,000","14,717,000","14,549,000","11,444,000"
		OtherCurrentLiabilities,"39,607,000","50,510,000","30,851,000","26,274,000","21,024,000","8,338,000","7,462,000","2,539,000","5,799,000","7,204,000","4,262,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"2,837,355,000","2,821,620,000","2,482,218,000","2,443,515,000","2,279,466,000","1,604,802,000","1,117,372,000","1,132,924,000","634,005,000","389,348,000","183,434,000"
		LongTermDebtAndCapitalLeaseObligation,"2,344,463,000","2,319,974,000","1,937,955,000","1,919,336,000","1,840,425,000","1,160,127,000","696,576,000","702,003,000","479,779,000","375,881,000","173,798,000"
			LongTermDebt,"1,962,874,000","1,978,131,000","1,740,273,000","1,751,426,000","1,687,505,000","1,160,127,000","696,576,000","702,003,000","479,779,000","375,881,000","173,375,000"
			LongTermCapitalLeaseObligation,"381,589,000","341,843,000","197,682,000","167,910,000","152,920,000","0",,,,"45,000","423,000"
		NonCurrentDeferredLiabilities,"33,691,000","34,623,000","33,428,000","33,468,000","35,574,000","38,760,000","16,196,000","14,697,000","16,570,000","12,948,000","9,162,000"
