name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
OperatingCashFlow,"340,872,000","330,254,000","240,207,000","189,289,000","31,138,000","204,311,000","184,399,000","131,021,000","108,817,000","81,663,000","79,405,000","66,943,000"
	CashFlowFromContinuingOperatingActivities,"340,872,000","330,254,000","240,207,000","189,289,000","31,138,000","204,311,000","184,399,000","131,021,000","108,817,000","81,663,000","79,405,000","66,943,000"
		NetIncomeFromContinuingOperations,"162,372,000","147,035,000","110,456,000","46,122,000","-15,204,000","135,413,000","103,162,000","55,601,000","71,247,000","38,130,000","37,295,000","25,799,000"
		OperatingGainsLosses,"8,302,000","2,660,000","-5,238,000","16,240,000","-107,000","-159,000","6,202,000","1,675,000","889,000","-245,000","4,152,000","-52,000"
			GainLossOnSaleOfBusiness,,"0","-1,324,000","0","0",,,,,,"0",
			GainLossOnSaleOfPPE,,,,"-46,000","-107,000","-159,000","462,000","-159,000","-514,000","-273,000","-545,000","-52,000"
			GainLossOnInvestmentSecurities,"1,042,000","666,000","-4,381,000","16,061,000",,,"1,170,000","1,755,000","797,000","28,000",,
			EarningsLossesFromEquityInvestments,"4,072,000","1,994,000","467,000","179,000","0","0",,,,,,
		DepreciationAmortizationDepletion,"155,833,000","149,413,000","124,022,000","62,800,000","53,832,000","44,583,000","35,635,000","32,095,000","31,894,000","32,636,000","32,842,000","29,054,000"
			DepreciationAndAmortization,"155,833,000","149,413,000","124,022,000","62,800,000","53,832,000","44,583,000","35,635,000","32,095,000","31,894,000","32,636,000","32,842,000","29,054,000"
				Depreciation,,"97,931,000","124,022,000","46,123,000","53,832,000","44,346,000","35,260,000","31,761,000","31,502,000","32,158,000","32,341,000","28,808,000"
				AmortizationCashFlow,,"51,482,000",,"16,677,000","57,000","237,000","375,000","334,000","392,000","478,000","501,000","246,000"
					AmortizationOfIntangibles,,"51,482,000",,"16,677,000","57,000","237,000","375,000","334,000","392,000","478,000","501,000","246,000"
		DeferredTax,"53,062,000","49,225,000","34,787,000","13,265,000","1,264,000","27,591,000","28,698,000","55,068,000","15,678,000","3,586,000","-63,000","-1,430,000"
			DeferredIncomeTax,"53,062,000","49,225,000","34,787,000","13,265,000","1,264,000","27,591,000","28,698,000","55,068,000","15,678,000","3,586,000","-63,000","-1,430,000"
		AmortizationOfSecurities,"-4,208,000","-3,273,000","0","0",,,,,,,,
		AssetImpairmentCharge,,,,"17,462,000","0","0",,,,,,
		ProvisionandWriteOffofAssets,,,,"10,000","-74,000","87,000","19,000","-19,000","59,000","667,000","139,000","57,000"
		StockBasedCompensation,"5,960,000","7,906,000","8,068,000","8,805,000","4,777,000","4,826,000","5,479,000","2,531,000","1,728,000","4,877,000","0",
		OtherNonCashItems,"-36,354,000","-29,589,000","-10,734,000","5,914,000","-20,828,000","6,792,000","4,338,000","2,956,000","4,545,000","1,596,000","1,315,000","1,582,000"
		ChangeInWorkingCapital,"-4,095,000","6,877,000","-21,154,000","36,143,000","7,297,000","-14,822,000","866,000","-18,886,000","-17,223,000","416,000","3,725,000","11,933,000"
			ChangeInReceivables,"5,922,000","4,761,000","-19,177,000","-10,804,000","23,611,000","-895,000","1,097,000","-11,085,000","-7,754,000","-414,000","-3,455,000","-1,820,000"
				ChangesInAccountReceivables,"5,922,000","4,761,000","-19,177,000","-10,804,000","23,611,000","-895,000","-1,923,000","-10,481,000","-7,754,000","-414,000","-3,632,000","-3,101,000"
			ChangeInInventory,"1,635,000","599,000","-4,112,000","-681,000","404,000","4,244,000","-2,430,000","-890,000","2,755,000","-1,545,000","-769,000","-1,750,000"
			ChangeInPrepaidAssets,,,,"5,235,000","-2,212,000","-4,900,000","1,410,000","4,328,000","-3,417,000","-1,088,000","4,028,000","-1,803,000"
			ChangeInPayablesAndAccruedExpense,"9,150,000","-975,000","-14,721,000","30,928,000","-10,938,000","-31,266,000","-15,987,000","-7,236,000","506,000","263,000","5,042,000","13,456,000"
				ChangeInPayable,,,,"30,483,000","-37,559,000","-31,266,000","-15,987,000","-7,236,000","506,000","263,000","5,042,000","13,456,000"
					ChangeInTaxPayable,,,,"-445,000","-26,621,000","-24,998,000","-30,493,000","-11,446,000","-6,922,000",,"0",
						ChangeInIncomeTaxPayable,,,,"-445,000","-26,621,000","-24,998,000","-30,493,000","-11,446,000","-6,922,000",,"0",
					ChangeInAccountPayable,,,,"30,928,000","-10,938,000","-6,268,000","14,506,000","4,210,000","7,428,000","263,000","5,042,000","13,456,000"
			ChangeInOtherCurrentAssets,"-9,815,000","929,000","-5,152,000","8,259,000","-2,676,000","-3,198,000","5,778,000","-2,981,000","-7,944,000","-5,720,000","-1,818,000","-776,000"
			ChangeInOtherCurrentLiabilities,"-24,076,000","-12,043,000","11,093,000","2,172,000","2,172,000","-3,213,000","-1,425,000","3,858,000","-670,000","-989,000","4,026,000","-1,382,000"
			ChangeInOtherWorkingCapital,"13,089,000","13,606,000","10,915,000","6,269,000","-5,276,000","19,506,000","13,833,000","-552,000","-4,116,000","8,821,000","699,000","4,205,000"
InvestingCashFlow,"-229,406,000","-339,991,000","-506,566,000","-90,916,000","-52,278,000","-110,694,000","-86,416,000","-37,042,000","-14,694,000","-19,161,000","-54,362,000","-7,137,000"
	CashFlowFromContinuingInvestingActivities,"-229,406,000","-339,991,000","-506,566,000","-90,916,000","-52,278,000","-110,694,000","-86,416,000","-37,042,000","-14,694,000","-19,161,000","-54,362,000","-7,137,000"
