name,ttm,06/30/2024,06/30/2023,06/30/2022,06/30/2021,06/30/2020,06/30/2019,06/30/2018,06/30/2017
TotalRevenue,"2,700,400,000","2,700,400,000","2,800,300,000","3,582,200,000","4,021,800,000","1,825,900,000","915,000,000","435,000,000","218,600,000"
	OperatingRevenue,"2,700,400,000","2,700,400,000","2,800,300,000","3,582,200,000","4,021,800,000","1,825,900,000","915,000,000","435,000,000","216,000,000"
CostOfRevenue,"1,494,000,000","1,494,000,000","1,876,700,000","2,883,800,000","2,567,400,000","988,200,000","531,400,000","245,400,000","144,700,000"
GrossProfit,"1,206,500,000","1,206,500,000","923,500,000","698,400,000","1,454,400,000","837,700,000","383,600,000","189,600,000","73,900,000"
OperatingExpense,"1,612,100,000","1,612,100,000","1,786,700,000","2,679,400,000","1,637,700,000","917,200,000","585,800,000","237,200,000","144,600,000"
	SellingGeneralAndAdministration,"1,262,800,000","1,262,800,000","1,388,900,000","1,907,000,000","1,390,100,000","828,100,000","531,000,000","213,800,000","131,600,000"
		GeneralAndAdministrativeExpense,"627,300,000","627,300,000","771,800,000","917,700,000","661,800,000","351,400,000","207,000,000","62,400,000","45,600,000"
			SalariesAndWages,,,"196,100,000","182,900,000","128,300,000",,,,
			OtherGandA,"627,300,000","627,300,000","771,800,000","917,700,000","661,800,000","351,400,000","207,000,000","62,400,000","45,600,000"
		SellingAndMarketingExpense,"635,500,000","635,500,000","617,100,000","989,300,000","728,300,000","476,700,000","324,000,000","151,400,000","86,000,000"
	ResearchAndDevelopment,"304,800,000","304,800,000","318,400,000","359,500,000","247,600,000","89,100,000","54,800,000","23,400,000","13,000,000"
	DepreciationAmortizationDepletionIncomeStatement,"47,100,000","47,100,000","57,400,000","75,300,000","27,300,000",,,,
		DepreciationAndAmortizationInIncomeStatement,"47,100,000","47,100,000","57,400,000","75,300,000","27,300,000",,,,
	OtherOperatingExpenses,"-2,600,000","-2,600,000","22,000,000","337,600,000",,,,,
OperatingIncome,"-405,600,000","-405,600,000","-863,200,000","-1,981,000,000","-183,300,000","-79,500,000","-202,200,000","-47,600,000","-70,700,000"
NetNonOperatingInterestIncomeExpense,"-77,400,000","-77,400,000","-70,700,000","-40,700,000","-6,900,000","16,200,000","7,000,000","-300,000","-300,000"
	InterestIncomeNonOperating,"35,100,000","35,100,000","26,400,000","2,300,000","7,900,000","18,200,000","8,700,000",,
	InterestExpenseNonOperating,"112,500,000","112,500,000","97,100,000","43,000,000","14,800,000","2,000,000","1,700,000","300,000",
	TotalOtherFinanceCost,,,,,,,"-7,000,000","300,000","300,000"
OtherIncomeExpense,"-69,100,000","-69,100,000","-324,000,000","-786,400,000","-7,900,000","-5,100,000","-300,000",,
	GainOnSaleOfSecurity,,,"7,000,000","-31,800,000","-3,500,000","-4,000,000","-300,000",,
	SpecialIncomeCharges,"-69,800,000","-69,800,000","-333,900,000","-753,100,000","-4,500,000","-1,200,000",,,
		RestructuringAndMergernAcquisition,"66,100,000","66,100,000","189,400,000","180,700,000","0","0",,,
		ImpairmentOfCapitalAssets,"57,300,000","57,300,000","144,500,000","572,400,000","4,500,000","1,200,000",,,
		OtherSpecialCharges,"-53,600,000","-53,600,000","22,000,000","337,600,000",,,,,
	OtherNonOperatingIncomeExpenses,"700,000","700,000","2,900,000","-1,500,000","100,000","100,000","-300,000",,
PretaxIncome,"-552,100,000","-552,100,000","-1,258,000,000","-2,808,100,000","-198,200,000","-68,400,000","-195,600,000","-47,800,000","-71,100,000"
TaxProvision,"-200,000","-200,000","3,700,000","19,600,000","-9,200,000","3,300,000","100,000","100,000","0"
NetIncomeCommonStockholders,"-551,900,000","-551,900,000","-1,261,700,000","-2,827,700,000","-189,000,000","-71,600,000","-245,700,000","-47,900,000","-163,400,000"
	NetIncome,"-551,900,000","-551,900,000","-1,261,700,000","-2,827,700,000","-189,000,000","-71,600,000","-195,600,000","-47,900,000","-71,100,000"
		NetIncomeIncludingNoncontrollingInterests,"-551,900,000","-551,900,000","-1,261,700,000","-2,827,700,000","-189,000,000","-71,700,000","-195,700,000","-47,900,000","-71,100,000"
			NetIncomeContinuousOperations,"-551,900,000","-551,900,000","-1,261,700,000","-2,827,700,000","-189,000,000","-71,700,000","-195,700,000","-47,900,000","-71,100,000"
	OtherunderPreferredStockDividend,,,,,"0","0","50,100,000","0","92,300,000"
DilutedNIAvailtoComStockholders,"-551,900,000","-551,900,000","-1,261,700,000","-2,827,700,000","-189,000,000","-71,600,000","-245,700,000","-47,900,000","-163,400,000"
BasicEPS,"-2.11","-1.51","-3.64","-8.74","-0.64","-0.32","-0.885","-0.205","-0.7"
DilutedEPS,"-2.11","-1.51","-3.64","-8.74","-0.64","-0.32","-0.885","-0.205","-0.7"
BasicAverageShares,"361,037,988","365,546,334","346,670,699","322,368,818","293,892,643","220,952,237","277,760,414","233,552,393","233,552,393"
DilutedAverageShares,"361,037,988","365,546,334","346,670,699","322,368,818","293,892,643","220,952,237","277,760,414","233,552,393","233,552,393"
TotalOperatingIncomeAsReported,"-529,000,000","-529,000,000","-1,197,100,000","-2,734,000,000","-187,800,000","-80,700,000","-202,300,000","-47,500,000","-70,700,000"
TotalExpenses,"3,106,100,000","3,106,100,000","3,663,400,000","5,563,200,000","4,205,100,000","1,905,400,000","1,117,200,000","482,600,000","289,300,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-551,900,000","-551,900,000","-1,261,700,000","-2,827,700,000","-189,000,000","-71,600,000","-195,600,000","-47,900,000","-71,100,000"
NormalizedIncome,"-482,100,000","-482,100,000","-1,003,449,000","-2,207,629,000","-181,368,000","-67,804,000","-195,381,000","-47,900,000","-71,100,000"
InterestIncome,"35,100,000","35,100,000","26,400,000","2,300,000","7,900,000","18,200,000","8,700,000",,
InterestExpense,"112,500,000","112,500,000","97,100,000","43,000,000","14,800,000","2,000,000","1,700,000","300,000",
NetInterestIncome,"-77,400,000","-77,400,000","-70,700,000","-40,700,000","-6,900,000","16,200,000","7,000,000","-300,000","-300,000"
EBIT,"-439,600,000","-439,600,000","-1,160,900,000","-2,765,100,000","-183,400,000","-66,400,000","-193,900,000","-47,500,000","-70,700,000"
EBITDA,"-330,800,000","-330,800,000","-1,036,600,000","-2,622,300,000","-119,600,000","-26,200,000","-172,200,000","-40,900,000","-67,000,000"
ReconciledCostOfRevenue,"1,432,300,000","1,432,300,000","1,809,800,000","2,816,300,000","2,567,400,000","988,200,000","531,400,000","245,400,000","144,700,000"
ReconciledDepreciation,"108,800,000","108,800,000","124,300,000","142,800,000","63,800,000","40,200,000","21,700,000","6,600,000","3,700,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-551,900,000","-551,900,000","-1,261,700,000","-2,827,700,000","-189,000,000","-71,600,000","-195,600,000","-47,900,000","-71,100,000"
TotalUnusualItemsExcludingGoodwill,"-69,800,000","-69,800,000","-326,900,000","-784,900,000","-8,000,000","-5,200,000","-300,000",,
TotalUnusualItems,"-69,800,000","-69,800,000","-326,900,000","-784,900,000","-8,000,000","-5,200,000","-300,000",,
NormalizedEBITDA,"-261,000,000","-261,000,000","-709,700,000","-1,837,400,000","-111,600,000","-21,000,000","-171,900,000","-40,900,000","-67,000,000"
TaxRateForCalcs,"0","0","0.21","0.21","0.046","0.27","0.27","0.27","0"
TaxEffectOfUnusualItems,"0","0","-68,649,000","-164,829,000","-368,000","-1,404,000","-81,000","0","0"
