name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
TotalAssets,"875,005,000","864,227,000","885,704,000","872,770,000","730,721,000","595,897,000","555,553,000","512,565,000","494,058,000","504,555,000","464,291,000","438,408,000","390,382,000","417,492,000","397,095,000","386,468,000","401,817,000","379,639,000","350,562,000","374,487,000","347,214,000","365,469,000","387,439,000","395,658,000","372,100,000","319,700,000","253,200,000","212,100,000","128,800,000","76,200,000","27,800,000","7,700,000"
	CurrentAssets,"231,018,000","251,039,000","255,009,000","306,407,000","181,546,000","196,277,000","169,994,000","145,575,000","152,590,000","147,760,000","125,040,000","118,626,000","94,824,000","119,468,000","87,399,000","75,348,000","73,661,000","84,543,000","92,008,000","89,144,000","62,458,000","57,433,000","65,131,000","65,515,000","46,100,000","68,000,000","49,200,000","48,300,000","38,300,000","22,900,000","7,100,000","3,100,000"
		CashCashEquivalentsAndShortTermInvestments,"40,587,000","47,373,000","70,610,000","130,204,000","27,911,000","33,258,000","22,345,000","15,563,000","21,006,000","20,122,000","13,670,000","16,396,000","18,942,000","47,829,000","28,219,000","12,527,000","8,877,000","12,979,000","22,098,000","14,698,000","7,071,000","9,499,000","17,609,000","11,886,000","3,700,000","33,800,000","18,700,000","24,100,000","19,900,000","12,800,000","800,000","400,000"
			CashAndCashEquivalents,"40,587,000","47,373,000","70,610,000","130,204,000","27,911,000","33,258,000","22,345,000","15,563,000","21,006,000","20,122,000","13,670,000","16,396,000","18,942,000","47,829,000","28,219,000","10,987,000","8,877,000","12,979,000","22,098,000","14,698,000","7,071,000","9,499,000","17,609,000","6,141,000","3,700,000","33,800,000","18,700,000","24,100,000","19,900,000","12,800,000","800,000","400,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,"0","1,540,000","0",,,,,,,"5,745,000",,,,,,,,
		Receivables,"112,020,000","118,161,000","103,108,000","102,726,000","82,276,000","99,762,000","72,880,000","65,480,000","71,408,000","71,680,000","56,769,000","49,224,000","32,390,000","30,092,000","22,144,000","23,775,000","22,539,000","23,326,000","21,300,000","26,460,000","19,717,000","16,763,000","23,238,000","23,064,000","21,400,000","17,400,000","15,100,000","13,100,000","10,200,000","5,700,000","3,600,000","1,300,000"
			AccountsReceivable,"104,244,000","102,533,000","81,370,000","90,135,000","70,462,000","78,118,000","64,644,000","59,691,000","63,320,000","56,047,000","53,203,000","44,647,000","28,169,000","24,733,000","22,144,000","23,775,000","22,539,000","23,326,000","21,300,000","26,460,000","19,717,000","16,763,000","23,238,000","23,064,000",,,,,,,,
				GrossAccountsReceivable,"112,597,000","109,251,000","83,734,000","93,757,000","77,803,000","82,323,000","66,915,000","61,177,000","65,767,000","59,861,000","57,521,000","47,704,000","31,203,000","27,528,000",,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-8,353,000","-6,718,000","-2,364,000","-3,622,000","-7,341,000","-4,205,000","-2,271,000","-1,486,000","-2,447,000","-3,814,000","-4,318,000","-3,057,000","-3,034,000","-2,795,000",,,,,,,,,,,,,,,,,,
			NotesReceivable,"5,199,000","6,848,000","12,352,000","11,318,000","7,790,000","5,498,000","4,333,000","3,417,000","7,816,000","6,106,000","3,566,000","4,577,000","4,221,000","4,735,000",,,,,,,,,,,,,,,,,,
			TaxesReceivable,"2,577,000","8,780,000","9,386,000","1,273,000","4,024,000","16,146,000","3,903,000","2,372,000","272,000","9,527,000","0",,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,,,,,,,"86,000","105,000","157,000","114,000","284,000","1,062,000",,"624,000",,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,"0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,,,,,,,,
		Inventory,"36,126,000","41,382,000","34,981,000","30,265,000","27,529,000","27,203,000","30,620,000","25,132,000","21,564,000","27,394,000","23,035,000","22,178,000","20,091,000","17,402,000","15,767,000","16,872,000","18,806,000","26,729,000","26,030,000","22,851,000","17,030,000","16,341,000","12,659,000","18,321,000","10,600,000","9,800,000","9,100,000","6,800,000","5,200,000","2,500,000","1,400,000","1,200,000"
		PrepaidAssets,,,"46,310,000","43,212,000","43,830,000","36,054,000","28,522,000","24,105,000","20,372,000","18,736,000","14,336,000","12,782,000","10,210,000","10,009,000","9,113,000","9,797,000","10,711,000","7,779,000","13,456,000","15,208,000","11,590,000","10,955,000","8,986,000",,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,"8,248,000","8,004,000","10,279,000","7,636,000","9,647,000","8,408,000","7,102,000","7,147,000","6,362,000","7,085,000","7,624,000","7,050,000","3,875,000","2,639,000",,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"8,248,000","8,004,000","10,279,000","7,636,000","9,647,000","8,408,000","7,102,000","7,147,000","6,362,000","7,085,000","7,624,000","7,050,000","3,875,000","2,639,000",,,,,,,,,
